<title>冬月 七歲作</title>,<text>一片團團月。高懸萬國燈。風力雖云壯。淸光滅不能。</text>
<title>七步詩 按公年十九。登壬午別試第。路遇先進。令賦御賜花。呼韻以試。遂應口而成。</title>,<text>紅碧相交巧剪裁。仙葩曾自月宮來。枝間播馥能招蝶。頭上移春不待培。華燭芳筵光燦爛。祥風瑞日影徘徊。雨餘偶過甘文縣。村杏磎桃揔欲猜。</text>
<title>聞喜席。次地主韻。</title>,<text>斷斷生平一技無。寸忱惟願孝忠俱。西遊幾日懷鄕邑。南返于今夢上都。父頌天恩圖報答。兄銘大義戒奔趍。當筵更有區區感。地主榮臨倒一壺。家君有天恩報答將何以。須竭微忠事我王之句。舍伯有莫隨流輩學奔馳之詩。又有旋從義上必加思之語。故第三句及之。</text>
<title>讀小學</title>,<text>余觀小學書。敎自食言初。律己寧無法。治邦亦有餘。麻姑爬癢瓜。元聖指南車。吾黨如有意。須從敬字居。</text>
<title>讀宋史</title>,<text>鳳輦低佪寒日曛。隔河虜陣皷聲聞。憑樓未賦平胡句。不世奇勳出將軍。冦萊公釰戟霜淸燿半空。北門聲勢繞行宮。河關百萬強胡膽。落盡將軍酒斝中。澶淵十里愁聞海浪喧。孤臣含淚望君門。身邊一隻通天帶。猶得先朝雨露恩。雷陽鐵馬驕嘶塞上雲。玉鑾容與北河濆。萊公一擲邊塵靜。半是屛間太尉勳。高瓊貝多西敎竟何施。未救臺城餓死時。可笑天雄猶自誦。任他虜馬壓殘碑。王欽若戒朙無將罪難逃。再涉風波欲沒蒿。秋晩留州霜滿葉。驛路誰送一蒸羔。丁謂龍圖學士倚星轅。專對曾聞孔聖言。只怕殊邦君命辱。天寒猶不倒深尊。孔道輔芝臺草制聲名大。台閣都鉉法令煩。欲識荊公心與迹。請看韓子去時言。王介甫</text>
<title>讀勿巖公做人錄。賦古詩三十三韻。</title>,<text>大哉乾兮高且明。至哉坤兮廣且厚。陰陽陶冶化機轉。有名從知爲物母。惟人最靈參三才。禀賦寧同飛與走。厥目朙焉厥耳聦。方其足也圓其首。有身元來必有主。一片靈臺開半畝。神朙不昧萬理具。天所授人人所受。雖然出入固有時。馬悍鋒銛難可守。良材已膏牧童斧。蘖芽又被牛羊蹂。從僞難以做堯舜。劚眞終看爲桀紂。肆惟我祖勿巖公。丹田俶載鋤稂莠。提綱挈維用作圖。贒聖嘉訓昭一部。竊觀篇首所陳語。其序分明容子九。繼以慕齋家訓八。其言旨於盎齊酒。其下拈揭聖孫說。後之學者宜看取。其間或附宋儒言。大抵無非防外誘。存之以爲律身則。進道高明猶反手。推之以爲理邦𧗱。坐使民風覃九有。初由謹獨立心上。終到如毛之德輶。高者與天地相侔。卑者起於夫與婦。終身用之亦有裕。可免迷塗屍肉忸。男兒事業到此畢。後世應穪君子某。粤我先民咸歸宿。巍巍道德傳悠久。彼哉世人莫之察。何必區區筭筲斗。人之做人不做人。只在其心正與否。陳篇對越會一心。旨訣丁寧從可扣。偏憐此身業罔階。緬仰當年功不苟。昭昭心法留在玆。手澤如新猶未朽。孱孫如不珮遺訓。其肎精靈云有後。追遠至情日難裁。向上初心其敢負。見善思遷期至善。有咎思改期無咎。莫把時日謾愒翫。須從師友勤矯。一年之內春而冬。一日之內卯而酉。窃恐斯志或不繼。敬取遺篇書座右。</text>
<title>自勉 二首</title>,<text>強策跚指泰岑。進寸盈尺退還尋。何時到得高高頂。快覩寒鴉曉湧金。器量元來易底盈。只緣人禀氣形生。醉時謹勑猶爲狹。貴後謙恭豈是宏。季路在陳愁道厄。鄧公平蜀喜功成。自慚格致工夫小。竹牖何時向陽明。</text>
<title>三峯書院次板上韻</title>,<text>趺坐山齋耿不寐。一燈相對到更三。虛明可驗中宵氣。欲問惺惺憶瑞巖。</text>
<title>次金丈 儋 北牕韻。四疊。</title>,<text>鶴骨逃塵小築幽。早時瓊蘂採崑邱。淸風睡熟羲皇枕。黃菊杯濃栗里秋。萬事莫如林下卧。雙眉不受世間愁。偶然城市萍蓬轉。春滿田園客夢悠。堂號北牕萬事幽。百年身世樂斯邱。淸狂豪氣乾坤窄。文酒閒情水月秋。有事詩中眞有趣。無絃琴裏自無愁。西來弊褐飄然去。一笑風塵意覺悠。數間茅屋繞林幽。天餉先生此一邱。夜讀朝耕忘歲月。花開葉落識春秋。山中色色無非樂。酒後嗚嗚可破愁。客到休言塵世事。北牕高卧夢悠悠。北牕翁卧北牕幽。窻外靑山是樂邱。千載淸風留一室。數叢佳菊自三秋。不完冠服原非恥。有樂琴書豈用愁。想得此翁堂搆意。悠然餘韻正悠悠。</text>
<title>有感 二首</title>,<text>倉頡誤成狡慝字。千秋留作小人衷。還容高檜生當世。始信乾坤量亦弘。天於飛走賦何豊。爲鳳爲麟浪費功。若使化成夔卨輩。舜庭奚獨協羣工。</text>
<title>豊基倅丁丈 思愼 瓜滿將歸。奉呈七言五首。</title>,<text>西飛彩鳳邈難攀。脫却南州枳棘間。回首法川春色老。碧梧枝上舊棲閒。吏隱名區作一仙。奚囊貯得幾詩篇。懸知豐樂亭前月。定入他時夢裏姸。短琴孤鶴理歸裝。太守離筵酒滿觴。六載爲治非不久。州民猶道解符忙。公去蒼生更仰誰。老將塡壑壯應之。臨分無限傷心處。不是區區爲別離。試察民生未解嚬。濟饑惟賴發倉囷。歸舟草載仁風去。恐减基川百里春。</text>
<title>龍壽寺</title>,<text>路入金沙白日沉。夕陽風物動淸襟。樓浮鰲背高千尺。山號龍頭翠幾岑。波語瑤溪知雨過。葉肥琪樹覺春深。幽禽亦解酧佳句。林外喃喃送好音。</text>
<title>陶山巖棲軒</title>,<text>白日虛堂掩小扉。水光山色晩依依。百年松檜環臺老。三月風烟繞麓飛。藜卧櫝中含剩馥。璣蹲架上失眞機。先生德宇今無及。徙倚欄頭只淚揮。</text>
<title>臨淵臺懷古</title>,<text>臨淵臺上洞雲浮。下有長江去不休。松麓得風聲十里。楓崖迎雨色三秋。主人叙古仍悲愴。客子懷贒久逗留。華額曾經陶老手。至今藏篋耀銀鉤。</text>
<title>科星松壇感古 二首</title>,<text>紫芝初長南山阿。上有白雲來又去。返照入墟春寂寥。厖眉皓髮今何處。壇前流水無時已。壇上松寒鶴影虛。日暮看山山雨碧。滿壇藥草復誰鋤。</text>
<title>見幸兒書懷。二首</title>,<text>歸來自京洛。髧彼認吾兒。失母堪憐汝。見爺却問誰。候門初似喜。背面更如悲。喚出思携抱。低佪上滕遟。自叩莊盆後。難堪對此兒。蒼蒼無奈彼。孑孑更依誰。久別空勞夢。相逢祗助悲。至情何眷戀。臨發故遟遲。</text>
<title>榮鄕感古</title>,<text>幾年長旅塌。今日暫鄕關。馹路驅馳後。天時荏苒間。親知多白髮。骨肉半靑山。萬事渾如夣。人情只涕潸。</text>
<title>自京歸鄕</title>,<text>秋風彈淚故山前。人事天時極愴然。杳杳山川新面目。依依魚鳥舊因緣。松壇柳岸孤吟外。葱笛篠驂片夢邊。難把一壺除百感。茅齋剪燭夜如年。</text>
<title>淸明前一日夜偶吟</title>,<text>平沙立馬夕陽時。遊子還鄕不勝悲。回首江山非昔日。弊廬前逕望猶疑。短短寒茅未掩椽。枕邊猶足望靑天。貧家自有淸凉界。不待開牕月透姸。</text>
