<title>春帖 甲午</title>,<text>羲經著復卦。曾傳說湯銘。莫使今如舊。工夫在喚惺。</text>
<title>偶吟</title>,<text>安宅爲居正路行。吾儒家計日經營。工夫却笑調絃法。消息休傳打麥聲。活水來時源自淨。春風吹處草還生。若敎人慾消磨盡。可見虛靈本體明。道如平地豈難行。莫向他歧別有營。時或有明還有晦。本來無臭亦無聲。居仁若不工夫熟。由義其如手段生。不必求師千里遠。須看枕上一燈明。</text>
<title>息山先生講道于天雲齋。余與同門諸益。築書室于齋之南。號養正。謹次先生韻。乙未</title>,<text>自潔初攀絳帳開。也知方寸少偕來。滄洲舊制臨流起。汾水羣才講學培。茅塞山蹊刈去盡。物霑時雨化生催。閒中氣象看何處。梧柳淸風霽月迴。附原韻泉涓山下一堂開。靜裏相求潔者來。治物人功存切琢。因材天意見栽培。朝來不愼牛羊牧。老去空憐烏兔催。珍重諸君努力處。狂瀾㝡怕未能迴。</text>
<title>養正齋聯句</title>,<text>人生交契貴知心。儂。 義合金蘭臭味深。聖則。 郢曲高歌千古雪。儂。 牙心先解七絃琴。經旬講席同薰炙。斗春。 達夜匡牀搉古今。學道輔仁師友在。儂。 愚蒙何幸免牛襟。聖則。</text>
<title>到梅谷姜丈君平家。嘗石榴。吟呈一律。</title>,<text>懸星結綉自林安。梅谷幽人摘滿盤。剔出水晶猩血染。剖來金椀玉漿寒。江南土產雖多積。洛北人家所罕看。此日嘗新還有思。陸生懷去橘團團。</text>
<title>送李子大歸覲 丁酉</title>,<text>前年至日客天涯。寒食東風未返家。海岸孤吟靑草短。鄕山憑望白雲多。東牀舊伴今將去。南國羇蹤可柰何。一語祝君還自祝。兩家具慶百年過。</text>
<title>夜夢還家</title>,<text>經年遊子始還家。堂上雙親喜色多。此夜不知春夢闊。覺來依舊客天涯。</text>
<title>伏次家大人竹窩韻</title>,<text>竹竹猗猗舍東籬。淇園綠竹在於斯。欲知君子孤高節。瞻彼雲間籊籊枝。竹竹靑靑舍南籬。北都叢竹在於斯。竊祈一室平安報。比彼窠中裊裊枝。竹竹叢叢舍西籬。唐家義竹在於斯。仰看堂上壎篪樂。却似豹文簇簇枝。竹竹森森舍北籬。坡翁立竹在於斯。常思庭下芝蘭茁。亦似龍孫箇箇枝。</text>
<title>辛丑冬。先生爲德川洞主。陪至牛房寺。謹次先生韻。</title>,<text>海鄕千里問津來。南國行窩到處開。衡嶽淸遊成此夜。萬山風雪酒三盃。</text>
<title>甲辰四月。陪先生曁諸長老。訪三藏寺大源菴。謹次先生韻。</title>,<text>㝡是三韓勝。頭流萬疊幽。林深春已暮。泉急雨初收。大老祠猶在。騷屳跡莫求。偏欣靈境上。前後執鞭遊。</text>
<title>春帖三絶 己酉</title>,<text>無端十載遠遊人。怊悵三時憶兩親。但願東君憐此意。長留和氣北堂春。爾皃不揚體不長。况兼貧賤寄他方。如今若乏躬修力。百歲公然老一鄕。數間茆屋向陽開。囪外羣山鳳舞來。何處先看春信到。簷前知有暗香梅。</text>
