<title>得失</title>,<text>得失由身出。毁譽從外來。自修我道理。毋負參三才。</text>
<title>心</title>,<text>當識眇然心。能爲一身主。片時苟放過。涉海亡舟艣。</text>
<title>破巾</title>,<text>巾破不須憂。行虧眞可羞。尙令帽子掩。無物補愆尤。</text>
<title>月夜</title>,<text>皓月靑天在。淸光十分明。無人不仰見。高高臨八紘。</text>
<title>淸夜吟</title>,<text>夜靜乾坤廓。仰看列宿錯。團團一輪月。灝灝明萬壑。</text>
<title>權監司贈節箑</title>,<text>斯人心囂囂。於世不曾求。節箑三頭至。吏云自南州。</text>
<title>秋齋卽事</title>,<text>月入庭心白。天浮鴈背靑。閒吟好男子。俯仰一般情。</text>
<title>題安東地圖</title>,<text>黃池量四海。太白憶崑崙。登山小天下。千古更何人。</text>
<title>尋山水</title>,<text>去自靑山路。來尋綠水流。高吟日將暮。幽興滿毫頭。</text>
<title>求放心</title>,<text>能存是心地。便是得天理。安敢不以敬。放則私意起。</text>
<title>性善</title>,<text>性命賢愚同。氣質昏明異。欲知性之善。看他惻隱地。</text>
<title>題簇上畫鷹</title>,<text>解他足上絛。他本高飛物。合放雲霄際。如何受絆紲。</text>
<title>獨坐吟</title>,<text>繁華城市裏。四壁立空空。終日跏趺坐。弊冠禿髮翁。</text>
<title>偶吟</title>,<text>春山雨後碧。秋葉霜前紅。此理誰能免。嗟嗟鑷白翁。</text>
<title>寄宜閒子</title>,<text>瑞雪簷前舞。寒窓俗慮空。幽人詩興發。把酒對春風。</text>
<title>送三弟景元之虎溪</title>,<text>送汝往儒宮。春風花始發。吾言汝欽哉。大道正如髮。</text>
<title>送金上舍 觀錫 赴試</title>,<text>秋雨初晴日。吾君向洛時。臨分何以贈。廣漢最高枝。</text>
<title>寄五卯堂金上舍 敬天</title>,<text>九十人間老。文章嶺海傳。窓前方讀易。直欲絶韋編。</text>
<title>思朴子裕 順寬</title>,<text>子裕久不見。箴言久不聞。此道日以否。誰復張吾軍。</text>
<title>思權和彥 崇聖</title>,<text>齪齪今世上。器識誰居前。不見和彥氏。居然十九年。</text>
<title>思金季崙</title>,<text>嗟嗟今世上。誰識金季崙。所貴乎爾者。孝悌出天眞。</text>
<title>往東郭李氏家。見權上舍 緻，金上舍 景澈，洪監察 晟，李察訪 象靖 四君子。前夕月下。各步菊圃詩。恨不及拚詠。追次以自慰。</title>,<text>高堂留好客。明月上東林。穩把當宵興。細論隔歲心。燈前誰韻暢。筆下我懷深。獨恨風情少。不曾送好音。</text>
<title>麗澤齋十二詠</title>,<text>杖策東臯俯草廬。嘯聲乘月氣全舒。朗詠淸詩增暢豁。每於日暮讀書餘。右舒嘯臯洗滌垢塵日日新。淸泠一道灑衣巾。雞鳴提掇心神起。無限湯盤谷水濱。右滌垢流黃花秋晩牧丹春。富貴誰看隱逸倫。植物從來殊趣味。有時評品惱詩人。右花園此君非俗最淸眞。春夏秋冬一樣顔。風雪滿天然後看。歲寒孤節警愚頑。右竹階芭蕉階上得春多。舊葉纔開新葉加。體物誰能先我詠。書窓三復興無涯。右蕉窓山谿斜側水縈回。姑射精神一樹梅。老叟廵簷索一笑。三春消息最初胚。右梅谿小丘屋角不盈尋。種得盤松滿地陰。莫道材成難大用。遊人多少聽風琴。右松丘人功巧處類天成。雲壁中間鑿一泓。數斛淸泠游鯈樂。吾非魚也得魚情。右鮒泓馥馥叢蘭意自奇。迎風舞處暗香隨。澗中獨秀君知否。聖操洋洋又楚詞。右蘭畦梧柳成林塞路傍。不罷人力作垣墻。野雀啾啾聲在樹。閒時聽得自無妨。右鳥林天精自是成仙藥。我有杞崖齊屋角。採實羣童同賦芧。園林秋事漸看迫。右杞壁人間何草不宜藥。最愛黃精獨補勞。滿畹無非仙圃種。等閒䒟芍亦同臯。右藥圃</text>
<title>奉簡遯窩愼上舍 後聃</title>,<text>近世文章姜菊圃。當今經學李星湖。吾南亦有黃田老。經學文章一代儒。</text>
<title>聽杜鵑</title>,<text>痛矣帝秦百十年。大明何日照中天。漫漫長夜乾坤裏。掩淚衰翁聽杜鵑。</text>
<title>晦齋先生筆蹟</title>,<text>秋初敬讀先生集。山仰先生夜夢頻。又見先生遺墨在。玉山皓月想精神。</text>
<title>題愼上舍所送峀雲墨竹 峀雲柳德章</title>,<text>峀雲墨竹妙傳神。頡頏東坡更逼眞。俗念已空幽趣發。悠然看對憶河濱。</text>
<title>無藩籬</title>,<text>寥落寒居少障遮。四隣通處便吾家。須將此理推天下。何必營營殼裏蝸。</text>
<title>謝權中立 達時 送鞋</title>,<text>日行千步身無疾。寶訣年前聽顧翁。每恨淵明艱一履。江州刺史復生東。</text>
<title>偶吟</title>,<text>明窓獨坐靜觀理。萬物變化無停時。二五絪縕覺無盡。無盡藏處互相推。</text>
<title>鳳城歸路。過草庵。吟得一絶。呈上主倅鄭公 壽延。</title>,<text>鳳城山色問如何。行事怱怱瞥眼過。也識秋庵無語佛。通心能解別懷多。</text>
<title>說我亭。示學者。</title>,<text>卜築也須近學宮。吾儒觀感在其中。不偏不倚庸常地。如琢如磨切至功。高頂知從平處起。源泉亦向海流通。倘能一的眞工在。眼到明時耳亦聦。</text>
<title>敬次振谷精舍重修韻</title>,<text>自從樑折失依歸。何處摳衣聽妙微。草木芳春餘氣色。詩書絳帳尙依俙。卧龍庵起遺芬地。放鶴亭臨下釣磯。倖有賢孫能肯構。斯文不與卉俱腓。</text>
<title>木纓子</title>,<text>蓮實箱中數斗贏。團圓箇箇合冠纓。百珠揀去疑星散。一線貫來若螮橫。本自淤泥充服珮。倘生楚野價連城。從來萬物由人用。不遇相知誰重輕。</text>
<title>南行卽事</title>,<text>南行有何事。冒雨涉湖水。湖流細若絲。牛飮欲斷止。崎嶇入山裏。天荒未開地。前遮疑無路。後阻忘所履。峯巒左右峙。勢若千萬雉。強將與精兵。騎步張弓矢。褰衣步下騎。十息登其𡷞。一覽衆山小。三道入顧指。竹嶺丹丘路。獐山鹿門陂。山村狹似碁。谷水淺如洟。溪魚游鯈鯈。僅通石磵涘。下尋屹里去。所經惟桃李。雲寺隔一山。夙願今始遂。獨遊太無聊。書呼金彥士。小庵初尋入。經師都且美。出拜禮恭謹。前導指大寺。大寺跨南北。沙門閙如市。金生無消息。惠師說佛理。跏趺坐蒲團。闍梨奴虜使。韶縣在其南。渭陽多族類。咫尺如不入。他日必相詈。白石踰南山。黃犢思北里。沙村昔聞熟。玉谷前路是。逢人問所由。數里輒逶迤。直入謁姑母。見我不勝喜。謂余見汝面。如見吾兄姒。至親兩相阻。爾來閱幾禩。暄冷尙未了。酒果命厨婢。夜闌更剪燭。身勞素病痺。留連一二日。遍訪諸外氏。雍容母從弟。強疾爲我起。病脚瘦如杖。情談勤且摯。曰汝來未易。謁吾先墓戺。自念曾未省。便覺顙有泚。再拜謹奉敎。移席斂袵跪。世德說甚詳。吳氏有所自。吾叔頗聦明。學力尙可恃。况有金上舍。文談警俗耳。千里自蔚來。吳李左右侍。隔歲倖相逢。客裏事奇異。敬源顔韶華。君佐同辛巳。朝夕來相問。慇懃故意至。翻羽文才奇。惜哉鳳棲枳。丰姿眞可愛。表裏正相似。欲別不忍別。三宿豈余志。日晩命回車。還宿金氏子。倒屣出門迎。歡笑啓玉齒。香果饋以情。夜深耿不寐。七日始歸家。三兄送路次。質野誰更訾。猶勝文而史。</text>
<title>哭閔處士士相 鈺</title>,<text>吾與閔士相。曾同講庸學。學識已博約。言論多堅確。初來先尋我。瞻視甚高卓。浹旬往來數。我從無朝夕。不我鄕微品。禮數尤謹愨。戒行書數條。於學最有覺。嗟哉捨我去。有玉誰與琢。慇懃留別語。臨分更手握。此後有書否。景厚勿忘却。言猶在吾耳。不敏吾齷齪。追悔已無及。時時我心剝。</text>
<title>輓詞[後山李公宗洙]</title>,<text>奮起頹流入淡枯。閉門終日對書圖。寤懷千載無餘事。皓首爲期只善吾。顧齋門下苦經生。塵刹身心死不更。知己一堂成博約。未須麗澤細論評。憶曾遊自碧湖陽。止宿竆廬慰有喪。珍重師傳三四字。時時提掇警踈荒。窈窕城洞靜修藏。斅學朝曛事業長。書帶年年香未斷。何人題作鄭公鄕。</text>
