<title>次陶靖節四時吟</title>,<text>春花堆萬壑。夏樹蔭千峯。秋光黃入菊。冬色翠留松。</text>
<title>聞喜日。伏次家大人韻。</title>,<text>志尙非無素。才資顧未奇。敢忘純深誨。蚤夜竚勿隳。</text>
<title>送李上舍學祖 幷序</title>,<text>上之八年。㫌慶州殉節士李公彭壽閭。華秩以貤之。曠典也。其耳孫庠生述賢氏。周歲旅于京。竣百年未遑之事而歸。非誠若孝。能之乎。飮餞日。泮中同志咸贈言以同慶。謹忘拙續貂。以寓曠感之情。陰雨霏霏古鶴城。秋霄劒氣至今橫。精魂應化雎陽厲。冠服虗封蔡野塋。二品恩章超格例。百年幽蹟始分明。君歸試看西生浦。白日溶溶萬斛溟。</text>
<title>深店乞策 時在泮步歸</title>,<text>問策途傍舍。贈之松木枝。歲寒心不改。路險力能支。</text>
<title>雨泊困知化</title>,<text>關雨困知化。堠名解警人。未諳潦霽義。宵起喚心神。</text>
<title>過丹山口占</title>,<text>削壁粧紅錦。澄江練綠綺。沙頭問白鷗。閒者爾誰似。</text>
<title>元子百日。謹次太學志慶韻。</title>,<text>華渚祥光繞禁庭。東方聖以後庚生。周家寶曆方中歲。漢代重歌頌壽星。宗社綿延基篤慶。天人歡喜見同情。於昭陟降羣龍在。卜爾神孫萬億齡。</text>
<title>辛亥元日。自溫陵出直口占。</title>,<text>齋罷喬陵向禁川。衣冠逐逐拜新年。嵩呼三殿趨星佩。茶薦千家裊曉烟。遊子經年歸未得。思親此日信誰傳。縻身薄宦眞堪笑。南望行雲意悵然。</text>
<title>知舊多言齋官久直之苦。戲題解嘲。二首</title>,<text>人言滯直苦。我愛山齋靜。睡罷可觀書。閒居宜養性。官淸事更稀。食淡味還永。拙迹厭紛華。鷦棲誰復競。微雨報新晴。灑然塵慮淸。看雲時振策。臨澗或晞纓。老樹常烟氣。幽禽共水聲。家僮採朮歸。紅日已西楹。</text>
<title>陵卒逐日呈課。每言官令嚴。樵竪不敢來。</title>,<text>齋居事事失於寬。嚴令何曾禁得奸。媚言容悅渠無怪。此態淸朝已厭看。</text>
<title>孝陵齋所有仁廟御畫墨竹帖。乃內賜河西金公麟厚者也。每念金公藥院之䟽見格。窮山之哭竟夕。不覺感涕自隕。</title>,<text>寶墨淋漓出禁林。蒼然猶帶歲寒心。未參藥院當時恨。長使遺臣淚滿襟。</text>
<title>壬子疏廳罷歸日。謹次權殿中 訪 餞行韻。</title>,<text>淸朝公議草茅臣。腔血披刳徹九旻。慟結明幽三十載。聲齊忠義萬千人。深宵有淚沾華衮。前席無譁進佩紳。歸語山南扶杖老。華城佳氣曉來新。</text>
<title>李憲台 鼎揆 來傳今日筵中。上俯詢卿知李仁行乎。果何如人也。對曰。嶺下耿介士也。上曰。向來親擢。庶不爲謬擧乎。自顧踈遠微臣。尙蒙記有。撫躬尤增怵惕。</title>,<text>空踈猶睿念。耿介亦虗名。反省增憂畏。恐傷聖主明。</text>
<title>悼李戚季陞 宇級</title>,<text>法門衰敗日。吉士在南州。存葛文將繼。湖沙袂早摳。守從窮處確。工向靜中優。歲暮留幽約。蘭林露忽遒。</text>
<title>悼金英實 宗華</title>,<text>蘆峯無語立嶔崟。忍聽情朋自誄吟。有酒未澆碨磊腹。爲文謾吐激昂音。誰知短處還長處。每惜人心異我心。猿哭鸞啼俱絶慽。原鴒何事又相尋。</text>
<title>悼全聖中 一欽</title>,<text>氣義風流自妙年。舊遊咸說聖中賢。蓉臺月霽樽曾對。竹峀雲迷屩每聯。萬里鵬搏驚折翼。三秋驥卧忽遺鞭。何心更過門前路。堤柳溪花揔可憐。</text>
<title>悼權持平應範</title>,<text>骯髒權持憲。確乎古士風。無氊留二子。有膝藐三公。晩出元天造。長歸奈道窮。丹山逢故友。黔被免斜封。公歿於丹陽。主守龜窩金公㙆具棺斂。故云。</text>
<title>七月十五夜口占</title>,<text>月色新秋白。風光永夜淸。濂翁好氣象。千載見分明。</text>
<title>戊午十二月。下御題于太學試諸生。選其尤者。咸造于庭。宣饌以勞之。錫以銀杯。藏之太學。命近侍臣曁入庭諸生。詩以颺之。</title>,<text>君不見玉瓚黃流頌周王。壽考作人追金章。又不見漢家獸樽燕羣臣。斟酌嘉言注一堂。聖朝文物四百年。洪匀陶鑄士多賢。玉署桃杯翰苑觶。至今寵錫煌煌鐫。最是太學賢所關。洋洋絃誦俎豆間。風敎先自鄕飮始。玄酒在室王道易。興之鄕物命司徒。利用王家占風地。初筵載開鹿鳴宴。滿百靑衿又十選。龍顔一解壽域春。絲絡天厨送珍膳。榴花封出赭黃帕。銀縷深杯中有刻。一朝饗之中心貺。我有多士於焉客。東膠盛禮善繼志。皇祖當年有其事。質如素練圓如月。君子有酒德將醉。昇平盛事億萬年。留與諸生受言藏。何必傾金與注玉。于以媵觶而比觥。衿佩肅穆圜橋門。旣醉旣飽皆君恩。君恩如海若爲答。八域文敎歌衢樽。陵莪泮芹培養久。太和元氣濃如酒。華人三祝周九如。稱此銀杯獻眉壽。寶籙長與銀杯傳。玉燭金膏享天佑。</text>
<title>輓權國章 濟綸</title>,<text>杪秋迎拜頖橋邊。盥讀東窩世德篇。嵒立百年星聚地。綸宣兩代鶴歸天。從知孝友家聲在。更喜眞淳古意全。飈馭一朝乘化去。春風旅櫬涕堪漣。</text>
<title>輓張士晉 時復</title>,<text>東洛傳家緖。南州有席珍。溫淳知德器。脫略見天眞。苹鹿曾三舍。臯禽又九宸。並鄕成晩契。百歲置心親。</text>
<title>己未秋。以殿中監因事罷歸。人有傳酉谷權臺丈謂我過於淸高。芝厓金斐仲又目之以古時狷士。謾此解嘲。</title>,<text>殷賢齊士去千年。莫把淸高等閒傳。惟有一名辭不得。古之狷者曰嘐然。</text>
<title>滯雨齋中。奉和季舅雲菴公 宜渙 贈別韻。</title>,<text>屑屑西來志未強。喪吾虗靜學他忙。郞潛十載何須恨。秪愧無才可佐王。金鶴山人寶珮光。年來無意利名塲。贈言珍重堪銘佩。爾邁吾征兩勿忘。</text>
<title>謝官圖歸。輒被諸父兄所尼。近得堂叔書。云决歸不是異語。感喜構拙。</title>,<text>形役多年遠謫同。三時目送南飛鴻。謝官不是常情外。知己初逢一室中。懶向齊墦求暮夜。幾驚秦樹報秋風。讀書種子須無絶。舞勺阿兒尙舊蒙。</text>
<title>漫吟</title>,<text>淸朝文物日駸駸。名實年來杳莫尋。燮理台扉三閣老。羽儀离陛兩山林。進賢章牘人人口。明義陽秋箇箇心。何事狂踈司樴吏。中宵謾聽子䂓音。</text>
<title>次寢郞族叔 頤淳 蓮花詩韵</title>,<text>風晩千林水滿塘。山家時物屆梅黃。波神擎出瑤簪白。未吐芳心已聞香。蓉臺遺稧憶吾鄕。文酒開筵凈友塘。剩喜立泥珠瑩潔。更憐擎雨盖圓蒼。菊從陶去侯誰愛。梅待陳歸定自香。聞說仙齋饒宿賞。臨風不覺起徬徉。吾鄕有芙蓉臺稧帖。實退陶先生所命名者。郡治又有兩蓮塘。每歲文酒會。多在其上。淨友塘。借使陶院故事。得無僭猥之嫌否。</text>
<title>樊巖蔡相公 濟恭 挽</title>,<text>眉老云遐此道淪。千年光嶽孕精神。卽溫望儼眞君子。後樂先憂古大臣。八耋晨興勤拜廟。百僚朝集懾垂紳。幾番起滅西江浪。是岸亭中笑不顰。從古明良際遇難。三朝元老始終完。黃麻導樂羣囂息。赤舃登庭左海安。餘事文章光黼黻。匡時勳業濟醎酸。遺詩宛對公眞像。寒夜星芒雪後巒。壬癸三䟽凜雪霜。海東千古樹倫綱。忠精獨啓金緘秘。睿孝追揚玉冊光。隻手擎來天北極。高山仰止嶺南鄕。不知何日胚胎得。一慟公私我涕滂。</text>
<title>壬戌二月初一日。聞鄙名挂彈章。此下西遷時</title>,<text>虞廷置納言。命汝堲譖說。但使愼厥修。何緣蒙不潔。達士豔冥鴻。騷人悲暮鴂。近聞江上石。亦復紛如雪。試士壇碑。爲邑宰搥碎。</text>
<title>構原情。以無路上達而止。</title>,<text>三入金吾地。偏蒙玉汝天。戴盆空自阻。置牘更何緣。北望梧雲暮。西瞻桂嶺懸。隨時元我道。談笑路三千。余前後對吏者三。一則以將作監。被金文淳搆誣事也。一則以殿中裏行。因武僚折辱於夜禁。率諸僚不仕事也。一則以秋曹正郞。對檢案做錯。被承宣請推事也。俱蒙先朝曲貸之恩。或帶職白放。或乍遞旋仍。今直因備啓行遣。無由伸卞。天日之明。何以俯燭乎。</text>
<title>大風捲盡屋上茅</title>,<text>年來生事太牢騷。蔀屋經冬未盖茅。廣廈花溪成浪計。憂天杞室任羣嘲。枝鷦自喜心無競。林鹿寧知命在庖。會事天公掀卧堗。中宵閒坐獨嘐嘐。</text>
<title>林臯朴氏妹。携小奚徒步來見。</title>,<text>孤露相依是弟兄。省楸一路每逢迎。曾傷遊宦成離闊。豈識嚴程有困亨。却踏沙頭留鴈迹。忙飛原裏作鴒鳴。倘知博謇終貽慽。早聽阿嬃戒獨醒。</text>
<title>十一日。辭家廟發程。</title>,<text>詩禮傳家及此身。嘉名初度望余仁。眞工易間提惺每。拙直難容遠戒勤。已分盡時方信命。君恩孤處是忘親。二句皆述先訓 風林倍切伊蒿慟。玆世安承訓誨諄。</text>
<title>宿鳳城。琴舜言 詩 沽秋露。誦西出陽關之句。</title>,<text>西風終日拂行塵。別路朋情面面新。陽關一闋題尤着。此去將成渭上人。</text>
<title>登召亭陂。始見大海。</title>,<text>汪濊由來一勺多。蒙泉幾日進盈科。物於天地斯爲鉅。量有江河詎可涯。獨怪無風常盪漾。爭如止水不濤波。從知大化靡時息。看取源頭活潑麽。</text>
<title>宿陟州。乘月登竹西樓。</title>,<text>佳哉第一樓。平地有仙丘。江憶玄暉練。石疑米芾鏤。綵綳傳羽箭。縞鶴掠蘭舟。殲却妖蟇快。腰鋩射斗牛。是夜月食</text>
<title>塩盆到底碁置</title>,<text>海堧隨處植塩盆。日用吾民見大原。文武火煎丹九轉。陰陽罏鑄雪千飜。和羹商鼎功咸賴。衣履齊疆利式繁。誰識金盤形虎白。來從辛苦爇薪村。鎔金範土斸松杉。炎上蒸來潤下醎。五氣參成調五味。吾民日用厚生咸。</text>
<title>宿江陵邑底。登望美樓。和唐子方韻。</title>,<text>海山天設險。雉堞似星羅。末路知心少。危程感目多。烟迷黃雀樹。春漲白鷗波恩許玆遊壯。長吟望美歌。</text>
<title>登鏡浦臺</title>,<text>餐雪花飛嶺。臨風鏡浦臺。湖光排野豁。海色和天來。笙鶴歸何晩。沙鷗故不猜。桃根成小坐。遲日且銜杯。</text>
<title>過襄陽府。抵洛山寺。周覽義相臺，觀音窟。</title>,<text>勝地謾敎佛像蟠。跨空奇石拄危欄。鯨噴巨壑舂千丈。虹飮中洲架兩竿。登市虗樓能幷武。嵎都出日最先看。沙門尙悟安身法。度外風濤一鉢閑。一僧孤寄觀音窟。問汝欲成佛乎。僧指海濤曰。世界正如許。掛錫處便可安身。豈望成佛乎。</text>
