<title>偶題</title>,<text>門對南山矗。軒臨洛水流。百年仁智樂。黃卷一牀頭。</text>
<title>玉淵春望</title>,<text>探春一屐馭仙風。晴日登高望眼通。剩占偸閒眞有樂。梅花開落舊時䕺。先祖看竹門詩曰。不見意中人。梅花自開落。</text>
<title>泮舍夜吟</title>,<text>簷外三更月。窻間一點燈。不敎纖翳累。夜氣湛虛澄。</text>
<title>賡進御製中和尺韻 奎章閣講製抄啓時</title>,<text>金泥煌玉尺。降自五雲重。化協中和節。功參子黍鐘。齊平身作度。長短物成容。分寸臣無報。賡歌頌六龍。						御製原韻						頒尺中和節。紅泥下九重。拱星依紫極。絫黍叶黃鐘。漢帝提三日。陳君臥百容。裁來五色線。許爾補山龍。</text>
<title>賡進皇壇親享。次兩朝御製韻。奎章閣講製抄啓時</title>,<text>歲歲東藩報祀親。天時重屬執徐春。百年禮樂中朝缺。七廟儀文左海陳。北極星辰臨羽衛。東流江漢濯衣巾。雲韶九闋愀如見。惟願宸心永世遵。						御製原韻													玉輅東巡怳見親。依依壇木記王春。山河極北淪諸夏。牲醴吾東享肆陳。數十麟經淹日月。三千鰈域葆冠巾。齋衣肅穆監明水。萬折餘誠志事遵。</text>
<title>賡進御製迎春軒奉觴志喜。用洛南軒前韻。奎章閣講製抄啓時</title>,<text>提抱元良壽母前。洛南和氣又斯筵。侍臣競奏萊衣曲。盤泰休祥頌萬年。						御製原韻						椒塗衍慶自光前。綵舞重開獻壽筵。軒敞迎春春不老。恭將此會又年年。</text>
<title>賡進敬奉閣御製韻。閣奉皇明誥勑○奎章閣講製抄啓時</title>,<text>紅日瞻依碧海濤。萬年遺澤潤彤毫。皇華舊躅恩綸炳。東土彝倫畫閣高。聖代儀文稽寶牒。故家來耳帀仙袍。宸章瀉出西周淚。倍覺胷中割快刀。						御製原韻						江漢朝宗萬里濤。皇恩浩蕩注麟毫。唐堯並立山河鞏。周稷重光日月高。草木皆知今鰈域。風雲猶帶舊龍袍。昭回北苑瞻新構。百世吾東奉赤刀。</text>
<title>賡進獻陵顯隆園行幸時。曉次舟橋。步戊子前韻。以志感懷韻。奎章閣講製抄啓時</title>,<text>喬山前路大江湄。楊柳依依感昔時。五夜軍聲催曉舫。羹牆聖慕又題詩。						御製原韻						鑾蹕秋晴鷺水湄。滿江濡露想前時。依然戊子春三月。十里船開七字詩。</text>
<title>又賡進七律 奎章閣講製抄啓時</title>,<text>玉輅靑繩擁翠煙。蹌蹌鸞鷺曉江天。八營金鼓灘聲外。百里旌旂山影邊。珪幣宸誠雲漢徹。珠丘秋色廣陵連。嶽靈河伯交迎處。倏到龍驤鳳翥前。						御製原韻						羽林旗鼓帀靑煙。龍鳳津樓月上天。卻憶廣陵春水外。回瞻梧峀彩雲邊。燈光歷歷江聲動。兵氣森森野色連。漢渡東南松柏永。此時孺慕更多前。</text>
<title>賡進完讀一帙。獻祝慈宮御製韻。奎章閣講製抄啓時</title>,<text>海東千一會。此擧儘猗歟。萊舞歡嬉日。麟毫筆削餘。眞工敉禹惕。故事按朱書。抃蹈賡宸什。易筵幸晉如。						御製原韻						侍食諸君子。能知此會歟。咿唔完一帙。工課殿三餘。每夜光明燭。今年左氏書。慈心識喜事。萊舞九詩如。</text>
<title>賡進親祭獻陵。還次果川縣御製韻。奎章閣講製抄啓時</title>,<text>春秋祇謁法天行。金尺洪謨萬世營。霜露喬山添舊感。歌絃淸廟有遺聲。東方首出宏基奠。皇極申休庶物生。野老皤皤爭喜抃。格玄宸孝曉朝淸。</text>
<title>次王母獻仙桃樂詞韻 二首○親試應製</title>,<text>觚稜日上舜堯光。和氣先凝度索陽。雲近瑤池開法宴。宮深長樂坐中央。星回南極輝輝影。花襲東風冄冄香。更看九重春色醉。君王遐壽發長祥。						一曲雲韶響九天。星冠飛下綵花筵。仙人掌挹三宵露。獸炭香浮九點煙。羽物商臣渾化內。龜齡鶴壽拜罇前。慇懃寄語花成實。寶曆千千萬萬年。</text>
<title>魚虎 親試應製</title>,<text>十里蘆花岸。窺魚水鳥多。羽毛翻夕照。跳躍見淸波。飮啄同烏鬼。優閒異白鵝。垂綸人不見。風雨石苔磨。</text>
<title>有草生庭 親試應製</title>,<text>羲和欽日月。異卉自生庭。匹美靈蓍策。無名本草經。朔移花漸綻。弦滿葉旋零。不待璿璣察。天心見瑞蓂。</text>
<title>投壺 親試應製</title>,<text>對投非戲局。審固似張弧。錯落觥籌散。鏘鳴玉佩趨。歌貍依節奏。立馬獻彤玈。賓主交歡席。威儀在一壺。</text>
<title>玄圭 親試應製</title>,<text>奫奫玄德大功稽。金簡靈祥奉尺圭。司烜赤璋儀較重。祭天蒼璧禮相齊。奇精斧鑿崐山下。嘉績波歸黑水西。四海底平庭有實。千秋率土頌羣黎。</text>
<title>銅人勝 親試應製</title>,<text>內園前夜入東風。金鳳銀鵝葉葉䕺。仙掌雕鎪甘露濕。綵花頒賜近臣同。排寒淑氣凝三殿。滿袖天香直萬銅。爭道今春花事早。半天飛下玉芙蓉。</text>
<title>三冬文史 親試應製</title>,<text>豐桴響裏喚疎慵。暇日焚香可愛冬。蠧簡丘墳傳魯壁。天時羽籥敎周雍。晷添刺繡千編繹。雪照名山一部功。待詔金門逢聖代。太平文物賁笙鏞。</text>
<title>魚龍出聽 親試應製</title>,<text>噌吰金石吼飛霆。軒豁平湖百怪形。崐竹雌雄潛戛韻。雲門鱗臝自通靈。從知大樂昭羣蟄。更送餘音舞彩翎。夜靜波濤呑吐地。至今漁子尙傾聽。</text>
<title>早晩燕然刻頌詩 親試應製</title>,<text>將軍出塞擁旄旗。瀚海風聲草木知。萬里宣威跨衛霍。三邊鼔勇奮貅貔。泮宮須獻淮夷馘。泰嶽應留石鼓詩。老健詞臣猶膽氣。燕然故事又明時。</text>
<title>又臥旗亭送夕陽 親試應製</title>,<text>贏買人間徹底癡。此心隨處未應移。水村山郭攜藜杖。禪榻茶煙倒玉巵。政喜日舒蝴入夢。忽驚天暮鳥棲籬。蕭疎白髮成何事。欲把書燈喚酒旗。</text>
<title>語君眞富貴 親試應製</title>,<text>江湖白髮老癡身。禪榻茶煙樂我眞。醉臥閒中春睡足。何須一筏問要津。</text>
