<title>溪上獨坐</title>,<text>聽水心無滯。看山意不移。箇中多悟會。默默坐如癡。</text>
<title>雪朝</title>,<text>晴暉敷汞海。侈觀浩無涯。昨夜江南路。寒梅着幾花。</text>
<title>偶題</title>,<text>寂寂溪南屋。濃陰庇四垂。黃鸝啼不盡。山日更遅遅。</text>
<title>月正作砥行。出東城口占。實爲習藝。</title>, <text>半歲費經營。今朝啓行李。步步出東門。氣凌漢嶽峙。</text>
<title>踰忘憂峴</title>, <text>神人不慳跡。聖祖此忘憂。曠世羹墻慕。回思駐驆秋。</text>
<title>純廟大行再周日。感懷三首。</title>,<text>永懷堪白髮。流景杳蒼梧。赤子當時痛。那知到此宵。此夜環東土。悲號拱北門。須臾毋死願。神聖我君孫。喪堯三載痛。之啓萬民歌。林下多翹首。春來復太和。</text>
<title>夜與翠庭 李聞慶福愚 翫月。次唐絶韻二首。</title>,<text>柝嚴雙闕警。鍾鎖萬街行。寂寂荷溪月。同君此夜情。遠嶂迷如睡。橫雲靜不行。深林人不到。明月最多情。</text>
<title>送三從姪柱台歸鄕</title>,<text>洛社恒爲客。秋風又送人。故山黃菊在。吾亦踵歸輪。</text>
<title>偶題</title>,<text>採荰香盈掬。珍奇勝夜光。願言遺所想。雲樹阻華陽。</text>
<title>夜風</title>,<text>半夜獰風起。寒聲動枕扃。朝來開戶視。落葉滿空庭。</text>
<title>歸鄕</title>,<text>木落山容肅。禾收野色虛。秋風歸故峽。楓菊勝鱸魚。</text>
<title>野樓卽景 用武侯草堂韻</title>, <text>落日侵郊大。歸雲倚樹遅。虛樓人獨坐。幽興有誰知。</text>
<title>任友錦川 名圭直字容叔 見訪山居。論文共賦。用前韻。</title>, <text>下榻靑山重。披書白日遅。靜中休俗語。眞樂兩相知。</text>
<title>楊湖朴友見訪。夜共賦。約暮春要我共漁。</title>,<text>古意墻東隱。春心日下遊。花開無惡木。月出盡高樓。酒且生俱限。詩應死乃休。南湖留後約。料理繫漁舟。</text>
<title>峽行値暮。投宿民舍。</title>,<text>峽氓猶有義。留客一宵眠。蝸屋蒙匏葉。鶉衣染炭烟。甁罌輸國糓。襁褓出軍錢。寄語繁華子。民生此可憐。</text>
<title>暮春出郭</title>,<text>家居春汗漫。出郭見人耕。日暖花心篤。山深石氣淸。過林黃鳥在。入洞白雲生。萬物無拘束。隨風也自情。</text>
<title>晩尋高達菴 楊根</title>, <text>磬鳴蒼檜頂。知有小菴奇。恠鳥窺金佛。幽花蔭石龜。客來山日晩。僧睡洞雲遅。絶俗無如此。携書更可宜。</text>
<title>逸興</title>,<text>悲歌駞右客。逸興鳳陽心。雨過沙留跡。雲來野送陰。海山多入夢。天地少知音。偶立松溪路。淸風爽一襟。</text>
<title>秋夜聽雨</title>,<text>蕭蕭鳴澗戶。客枕頓醒孤。細響蚕登葉。幽威虎嘯嵎。已耕應潤麥。將落轉敲梧。靜聽心飄爽。三秋病可蘇。</text>
<title>謾興</title>,<text>琴書當富貴。蓬蓽是樓臺。水洗山心出。雲收野色來。起居籬下菊。談笑月中盃。可愛浮萍跡。烟霞到處開。</text>
<title>感興</title>,<text>秋來多慷慨。萬物各隨時。海岱心空遠。蓬桑計已遅。毛錐難自售。和璞奈無知。流景不吾假。親齡遽及衰。</text>
<title>秋興 四首</title>, <text>漢上秋風早。賓鴻已報時。夜聲桐葉聽。霜信菊花知。歲月書生感。江山義士悲。商絃歌白雪。何處遇鍾期。山河淸肅氣。天地斂藏時。鶴夢霜華警。蛩吟歲事知。有朋如此戀。非客自然悲。故峽羣飛鴈。帶來木落期。冷暖皆宜酒。悲歡揔入詩。樓高留月久。郊逈送雲遅。貧屋恒蕭瑟。親朋每別離。深林車馬少。秋夜下書帷。我家何所長。楓菊滿山阿。唱夜鷄籌遠。駄寒鴈背多。樹聲歐老感。屛夢晦翁歌。耿耿云誰想。蒼葭溯北河。</text>
<title>夜與李翠石共賦 二首</title>,<text>地僻常留客。官閒不負山。夢餘同橘隱。緣結宿桑還。得酒當新菊。經霜出舊巒。玉罣幽興在。何日共商顔。病起添詩澁。孤燈夜自深。勉人多古意。憂國盡秋心。晩計琴書重。微官歲月沉。抱關吾亦隱。霜柝孰知音。</text>
<title>蟬</title>,<text>曳聲知去就。到處足淸閒。快霽高樓外。斜陽遠樹間。亂鳴搖白日。乍歇寂靑山。脫殼終遺世。仙標杳莫攀。</text>
<title>家居</title>,<text>我有家居樂。囂塵了不關。棊聲遅白日。詩思默靑山。得志繁華外。持身笑語間。每懷陶令宅。幽鳥倦飛還。</text>
<title>偶唫</title>,<text>我生天賦足。不與世相聞。愛水仍親石。看山忽得雲。琹書流歲月。草木作儀文。國民今大病。良藥有誰分。</text>
<title>斗尾呼舟</title>,<text>斜陽渡口喚長年。逆水風帆快似仙。盡日勞勞翻作逸。誰云有路莫乘船。</text>
<title>同南宗携書翰泉</title>,<text>十里城南就靜居。兩人携簏講鄒書。萬事必從勤苦得。繩樞薺味我猶餘。主人每語寒突薄飯甚悶故云。</text>
<title>所懷伊人</title>,<text>學釰歸來歎歲闌。天涯雲樹杳盈看。靑山夙約終孤負。一曝那堪制十寒。</text>
<title>次南宗題百子屛韻</title>,<text>玩世歸來倚小屛。迷藏百態巧丹靑。剩令邵老看欹枕。一笑無妨我醉醒。</text>
<title>寄李友君實滯關西。仍誡浪遊。</title>,<text>大同江水去漫漫。一盡天涯不復還。把得奔濤如可住。古人何惜寸陰間。</text>
<title>早春卽事</title>,<text>江村淡淡捲殘霞。細雨朝晴樹欲花。溪山晩眺流和晷。隱暎春光漏碧紗。</text>
<title>旱餘得雨</title>,<text>緬思殷后吊民時。氣象堪推此雨知。苟匪造功貽遍洽。那將人力揔無遺。</text>
<title>伴崔愚山上洛途中共占</title>,<text>一年強半路悠悠。短策隨身不暫休。眉月帶來猶未鏡。秋風又上漢陽舟。</text>
