<title>曉思</title>,<text>眞工須下學。惕若日乾乾。人事修能盡。自然上達天。</text>
<title>題惺惺之室 所居之室</title>,<text>走作雖無常。操存卻有方。固持惺惺法。心地自明光。</text>
<title>澗水</title>,<text>雲門山下水。混混去何之。不曾舍晝夜。爲有滄溟期。</text>
<title>老圃</title>,<text>東風二月百花㘽。休說秋風取次回。秋風不是無情物。能使黃花九月開。</text>
<title>盤榴</title>,<text>種得園榴已一尋。童童翠蓋自成陰。屈盤縱有因人巧。孰禦叢芽向上心。</text>
<title>題雲門寺 二首</title>,<text>萬歲樓高會稽陰。袈裟禪宿坐觀心。歸依自有沙門鉢。曠達還嫌俗子襟。螭目潭前春尙早。甄萱郭外雪猶沈。禪牕曉對西峯月。疎影參差覺樹林。法殿寒鍾五夜鳴。天門洞裏曙光生。懶聽因果松軒冷。借說行持竹戶明。幽人自有山中味。耆臘渠留世外情。臨流滿酌黃金水。病骨如穌體欲輕。</text>
<title>次安恥窩 孝完 櫂淵亭韻</title>,<text>詩成當日未遑亭。留待亭成秘地靈。數曲櫂歌隨興發。一泓淵水照心醒。處世早辭徵束帛。敎兒曾讀侍筵經。向晩枯桐怊悵抱。只看雲外數峯靑。</text>
<title>次盧丈 佖淵 克己齋韻</title>,<text>二字師門密付幽。登臨此日意悠悠。勿旗揮賊嚴軍律。志帥閑邪臥戍樓。牧羊尋斧齊山下。破釜沈船楚水洲。庸言庸行誠存處。物物形形肺腑收。</text>
<title>次松齋韻</title>,<text>庭畔蒼蒼手植松。百年人去尙春容。寒歲自知宣聖後。雨時能免呂秦封。聯名納贄幾高足。覿德薰仁各撒胷。嗟我鄕隣生苦晩。遲遲蔭下獨相從。</text>
<title>謹次丁公 敏道 訥淵亭重修韻</title>,<text>先生當日好藏修。磊落淸標此地留。九邑絃歌傳古蹟。一家文學有源頭。亂落楊花芳草岸。羣飛水鳥綠蘋洲。懷詠遺風鄕子弟。至今淵上泛舟遊。</text>
<title>松京懷古</title>,<text>滿月臺前半月城。何人到此不傷情。繁華五百年間事。薄暮鍾鳴古國聲。</text>
<title>朴淵瀑布</title>,<text>白日層巖雨不晴。噴來飛沫動䨓聲。千載吾東無李白。廬山一瀑獨傳名。</text>
<title>題金剛歸客詩軸</title>,<text>金剛曾願見。客自金剛還。閱來詩一軸。如見金剛山。</text>
<title>百榴園 幷小序</title>,<text>歲乙丑秋。陪李尙書晩歸翁入檜淵院。謁寒岡鄭先生祠。退而講心經近思等書於百梅園。園卽先生平日杖屨之所也。古査百本。依舊保太和春色。而髣髴聞香於百世之下也。心乎愛慕。乃以安石榴百本種之于所居堂前。扁之曰百榴園。園裏新栽榴十十。草堂從此倍生光。暖日輕風花影下。慇懃如嗅百梅香。</text>
<title>奉餞李按使 參鉉</title>,<text>四載嶠南一視仁。蕭蕭五馬達城春。老臣歸拜彤墀日。聖主應憐白髮新。</text>
<title>登籠山亭。謹次孤雲先生韻。</title>,<text>曲曲淸溪疊疊巒。孤雲遺躅此中間。題名川石非難事。卻怕塵緣累碧山。</text>
<title>寄族祖聾山子 光軾 寓所</title>,<text>聾山佳水石。空負昔年心。千竿手種竹。猶自護牕陰。</text>
<title>松 二首</title>,<text>有蘿施于上。有苓藏其下。豈直賁山林。他年支大廈。縱然在谷中。不自等荊棘。可矣棟樑材。良工曾未識。</text>
<title>竹</title>,<text>一夜霜風萬木前。繁華物色屬誰邊。惟有亭亭牆下竹。獨抽貞榦最堪憐。</text>
<title>檜</title>,<text>直性終難屈。十尋耐急風。自知世不與。藏在萬山中。</text>
<title>蘭</title>,<text>猗猗獨自秀。不伍衆花叢。偶共棲林下。匪云臭味同。</text>
<title>菊</title>,<text>元亮處士後。愛菊復誰人。先子詩中語。乃知用意親。</text>
<title>梅</title>,<text>曉天雪月淨無塵。的歷香梢暎我隣。瘦骨冰姿寒不病。從今休說後來春。</text>
<title>壬申元朝</title>,<text>天地無垠藐此身。於焉三十五年春。自顧初心還有愧。今年人是去年人。</text>
