<title>興庵卽事 庚申</title>,<text>頑雲收遠嶂。紅日度前川。寒山鳴夕磬。餘韻上靑天。</text>
<title>故里賦感 庚午</title>,<text>籬落蒼蒼竟日寒。行人一篴路漫漫。芳草遠如西塞別。故山靑似去年看。旅鴈徘徊雲滿地。親朋迢遰月生欄。春色不知人事變。殘花猶自發囱間。</text>
<title>和贈李士澄 壽瀅 匪所</title>,<text>茂城簫鼓不堪秋。南國文章賦遠遊。霜月凄凄歸客夢。蘆花漠漠送人樓。才高獨抱齊門瑟。心定何愁漢上舟。龍山曉雨空怊悵。回首西州鴈影流。</text>
<title>下第出崇禮門</title>,<text>歧路紛紛西復東。萬人如海盡怱怱。早知歸事重如此。差可山田採草翁。</text>
<title>夜會</title>,<text>山田橙葉何靑靑。盡日霏霏孤草亭。白露滿天數人語。萬家如水一雞醒。西莊明月憶舊伴。南國流頭下長汀。招招大隱山中桂。爲子出門雲不停。</text>
<title>挽薪塢金公 泳奎 二絶 癸酉</title>,<text>洛水洋洋琵瑟靑。挺公卓犖毓精靈。東方日月昇平世。佇看文虹萬丈明。蕭蕭風雨落花天。驚起黃粱一夜眠。滿腹詩書都載去。薪翁衣鉢幾人傳。</text>
<title>渡漢江</title>,<text>木覓山前初上舟。漢陽江口又逢秋。滔滔逝水止何處。冄冄年華憶舊遊。叢桂深山歸短褐。浮雲白日望瓊樓。送客天涯鄕國遠。煙波回首使人愁。</text>
<title>遊場巖</title>,<text>㶁㶁山溪竟日淸。遊人臨水各言情。萬樹深如吹雨色。夕陽凉似聽蟬聲。人生役役堪行樂。民俗煕煕際聖明。謾敎漁郞逐春水。世間傳誦桃源行。</text>
<title>同沈景寬 相敎 賦感</title>,<text>秋水溶溶深碧塘。西風嫋嫋我思長。天時已變黃花發。霜月新晴白鴈凉。昔我葱笙如昨日。嗟君布褐尙佗鄕。漢北浮雲回首望。滔滔來去盡滄浪。</text>
<title>贈從姪 暾喜</title>,<text>半世浮沉下俗流。始知人道備春秋。讀書空抱經綸策。送歲那堪老大愁。久試杵砧終鑽石。不由階級可登樓。君輩及今須勉力。少年才氣泛虛舟。</text>
<title>喜李剛之 健煕 見訪 甲戌</title>,<text>錦水溶溶流不平。去年離別倍關情。落葉長安千里恨。布衣海上二毛驚。懷人夜似天涯水。吹笛秋如塞上城。已言謝眺靑山宅。堪學盧綸數畝耕。</text>
<title>贈別李剛之</title>,<text>江南夜送木蘭船。怊悵離懷似去年。白雲人去仙源裏。靑篛山深西塞前。蟬聲嫋嫋明秋日。落葉蕭蕭生暮天。叢桂深深人不見。亂山踈雨理荒田。</text>
<title>立巖聯句 乙亥</title>,<text>卓犖丈人石。剛之。 魁然鎭巨壑。肅淸神鬼逃。景寬。 瞻仰日星薄。元氣剖混沌。舜華。 包形象槖鑰。顱臨侖圃墉。剛。 頭儼天山鍔。古篆蘚莓痕。寬。 幽窐蔦附錯。地靈毓秘慳。華。 山脈布經絡。夫子昔彷徨。剛。 遺風今寂寞。苔顔想典型。寬。 砥柱尙磅礴。晩學何夢夢。華。 追惟尙落落。遊觀可賞心。剛。 體認得眞樂。志確靈根盤。寬。 工成鬼斧鑿。國家磐石鞏。華。 聖世新民作。石𩪷獻楓宸。剛。 岡陵延壽藥。逍遙流水間。寬。 歌頌聖人澤。華。</text>
<title>修道寺</title>,<text>絶頂來臨俯八垠。仙鄕從古豈無眞。淸晨鳴磬發深省。方丈燒香悟㥘塵。烏鵲欲巢高僧頂。藤蘿不掩老佛身。憐渠不是無淸福。只怕空空誤了人。</text>
<title>送李致億 萬敎 冬至書狀官赴燕京 己卯</title>,<text>大陸萬區劃。參錯列宿躔。瀛海大無外。神州統八埏。江漢爲之紀。滔滔朝百川。廣桑蔭震極。滄滄朝日鮮。宣尼九夷歎。箕聖八敎宣。航海達登萊。梯山抵幽燕。堯封猶如舊。禹鼎問何遷。周民義東亡。淸淨壤地偏。先王勤事大。皮幣二百年。封疆自來重。厥簡惟愼旃。鶴老有肖孫。詩禮守舊氈。王曰嗟爾往。無忝乃祖賢。原隰何茫茫。萬里如風旋。夕宿龍灣館。曉渡灤河船。劒削醫巫閭。危乎高揷天。寃哉烈士魂。應繞松杏巓。范郞歸不歸。片石自嬋娟。眼目從此大。憑軾望豁然。帝城閶闔開。重重九賓筵。燕爾鹿鳴詩。萬方侯度虔。文身與皮服。登廷列後先。有軺自鰈域。風采何僊僊。衣冠漢唐制。曲章周孔傳。對揚君王命。揖讓天子前。孰謂蕞爾東。容光被大千。薙髮彼何人。相顧淋口涎。珍重此行李。勖哉罔敢愆。</text>
<title>發丑嶺 庚辰</title>,<text>翩翩華蓋上靑州。直北關山行路悠。寸步終能千里適。須將心學此中求。</text>
<title>金城驛樓。望金剛山。</title>,<text>平生願一見楓巒。剛恨今行不暫閒。萬物遙臨滄海上。四仙應住白雲間。浮生本自淸緣薄。靈境元非俗眼看。洲翁定力彌高仰。七十康莊上此山。</text>
<title>宿元山</title>,<text>元山舘外大洋回。南北衝要一路開。千家簫鼓月中聞。萬里風煙海上來。周家獻獒通夷服。晉水興龍有射臺。此地傷心天下事。行人強醉濁醪盃。</text>
<title>贈高于漸 鴻逵</title>,<text>野有賢才老北邊。美人迢遰隔雲煙。守默無言非木石。虛心寡欲卽神仙。此身久不離絲竹。今夜初聞說性天。遠游不負初心否。點檢胷中太極全。</text>
<title>與金承宣 演壽 登靈德山</title>,<text>直北秋風落葉天。流光漠漠逝如川。大地東頭渾積水。浮生下界起殘煙。孤臣去國雲千里。遊子思鄕月一年。定知異日恩綸降。旅鴈中分却杳然。</text>
<title>家大人壽辰拈韻</title>,<text>靑州十月宴弧辰。皓首康彊福祿新。六府旌旗連白日。萬人歌鼓動紅塵。西方活佛無量壽。北地蒼生有腳春。願酌鰲川千丈水。年年此日進吾親。</text>
<title>東井水一絶。題玉溜亭。</title>,<text>一歃滌我滓。再歃醫我病。安將此泉水。醫得天下病。</text>
<title>咸興樂民樓。伏次先祖忠貞公韻。幷小序</title>,<text>歲庚辰夏。大人出牧靑海。次于咸州萬世橋。命男錫英曰。此吾先祖忠貞公遺蹟也。在昔麗季。公宰是州。治是水作是橋。咸民賴之。及夫天命歸眞。玉札屢降。公義不就徵。終老邱園。此公傳世之大略也。嗚呼。公之治績。存乎是橋。公之忠節。存乎杜門洞。公之遺文。只治水詩一篇也。之橋也之洞也。可以傳之來世。照人耳目之詩也。想有當時梓板而世久無徵。今於樂民樓上。名公題詠率百數。無人說道治橋之功出於公者。文獻之泯若是哉。今吾邅于玆土。慕先躅之長存。歎遺芬之久晦。安得無千載雲仍之感也。因梓原板于上。用其韻續之其下。錫英汝志其事。錫英承命謹志。我祖煌煌百世前。偉功遺馥尙依然。江山變改三千里。義理扶持萬億年。神禹斧痕餘古渡。羊公碑淚在高巓。孱孫敢曰追先志。不效區區富貴全。先祖詩。有何用區區富貴全。</text>
<title>題南門樓</title>,<text>靑海關前洗箭樓。金湯天府設雄州。大塊東坼扶桑國。二水中分芳艸洲。異代山河懷舊蹟。昇平日月伴春遊。回首長安何處是。浮雲漠漠使人愁。</text>
<title>題三樂齋</title>,<text>性愛佳山水。登亭對夕曛。衣冠六郡會。絃誦四時聞。慕仰先賢躅。齋卽白沙李相國遺躅 煇煌太守文。皓天靡不返。聊與勖諸君。</text>
<title>題安山鄕廳</title>,<text>落日長歌入洞門。漁舟何處覓桃源。浮雲流水興亡事。綠樹靑山寂寞邨。百里文治賢太守。千年遺制古王孫。卽今昭代求巖穴。獨抱淮琴未敢言。</text>
<title>松京懷古五絶 壬午</title>,<text>三季蒼生百六遭。眞人一出嶽崧高。後王無度荒婬甚。不念當年創業勞。滿月臺前日欲斜。山呼亭上鳥相歌。兎葵燕麥蒼茫處。盡是當時卿相家。寥寥鐵犬坐無聲。雲盡南天嶽氣呈。大曆乘除天有命。區區壓勝竟何成。松京雜記。神僧道詵爲麗祖定都崧嶽之陽。旣而雲捲東南。見漢陽三角山兀嵂天際。跌足歎咄。鑄鐵犬十二使吠之。蓋三角爲崧嶽之窺峯云。今府東有坐犬里。千載堂堂善竹橋。煌煌宸墨日星昭。山花萬里雖云晩。扶得綱常翊聖朝。春薇采采首陽巓。洞裏深藏七十賢。緬憶吾家松隱祖。精靈應住此山川。</text>
<title>登練光亭</title>,<text>大同城郭泛長洲。天府崇深瑞色流。白馬東來悲故國。丹烏西去怨千秋。列國史。燕太子丹。自荊軻死後。亡匿於平壤。王翦移兵擊平壤。丹爲所虜。 萬家煙火昇平世。千里江山第一樓。名園歌舞今如許。自笑書生寂寞遊。</text>
<title>陪親到慈山匪所</title>,<text>血腳行行不暫休。山窮水盡到玆區。故園東望如天上。關塞西馳接帝州。魏闕風雲誰補衮。涪陵波浪客登舟。學業無成驚鬢白。怱怱歲月最關愁。余時年三十二。朝起鑷二毛故及之。</text>
<title>陪親將還。酬慈山諸生。</title>,<text>吾人大道直亭亭。達舍歡憂不動形。煙雲捲盡江山出。天地恩深草木靑。相逢海內皆兄弟。歷數浮生等醉醒。威鳳祥麟多此席。佇看他日立明廷。</text>
<title>登伽倻上峰 癸未</title>,<text>緩步崎嶇坦道如。着跟高處力猶餘。天地始知無外大。神仙應有此間居。回看千古皆陳迹。却恨平生少讀書。峻極終非難到處。從前自畫太迂疎。</text>
<title>偶吟 丙戌</title>,<text>北轅當日不知回。冄冄年光鬢已催。學到聖賢方可盡。身忘富貴便無灾。口本興戎緘廟狄。目猶難信攫甑煤。瑤琴一斷無消息。獨抱遺經歎不才。</text>
<title>挽寒洲李先生 丁亥</title>,<text>百年靈鷲毓眞精。天挺英才展也成。宇宙懷襄沈白日。山林出處係蒼生。彌綸千古勘經史。泛博諸家反性情。虎逝龍亡人事變。門牆趨拜隔幽明。</text>
<title>秋興八絶</title>,<text>憶昔故山騎竹遊。當年自擬氣傾湫。世間多少經綸事。雙鬢今朝又一秋。右感舊。天晴沙白鴈聲流。雲物凄凄滿目愁。大景西馳挽不得。却歎吾輩樂荒遊。右覽物。寂寂孤園啼暮蟬。遙遙極浦起殘煙。浮生自有營營志。來往川原落照邊。右望遠。稻花秋足遍郊堙。終歲猶多菜色人。安得大行經界策。不令天下有飢民。右頫野。寒蟲切切月橫牀。遙夜無眠此樂長。遙想世間名利客。金門待漏五更霜。右夜處。巾車日事出郊田。已辦深山老百年。漢北浮雲回首望。名園歌舞杳如天。右晝作。半壁荒荒白日沉。滿天風雨正昏陰。茫茫海左三千里。憂道何人獨苦心。右述懷。強把瑤琴獨自彈。終朝臨水更登山。龍門正韻無消息。猶見千秋水月寒。右自遣。</text>
<title>贈蓮壽上人 戊子</title>,<text>君看四色繒。人生本素絲。素絲皆可染。所以古人悲。水殊淸濁椀。月在方圓池。爲誰論此理。今夜幸逢師。</text>
<title>挽上舍安公 鑽 四絶</title>,<text>江南八月鴈聲流。我馬蕭蕭立渡頭。怊悵荒山崇四尺。不知何處儀形求。當年詞賦氣傾湫。上舍高名世罕儔。記誦文章非本志。晩來看得大源頭。世路崟巇不可登。江樓深處坐來凝。茫茫風雨三韓夜。白首書生懸一燈。電桿南馳卉服來。瑯璫火澤正堪哀。高人一向雲中去。笙鶴飄然不復回。</text>
<title>籠山亭。次原韻。己丑。</title>,<text>仙佛參差列石巒。昔人吹笛白雲間。是非到耳何須恐。流水聲中自在山。</text>
<title>龍山精舍。次板上韻。</title>,<text>天綱地義隻身裁。拜讀荒碑掃綠苔。春回舊里殘花發。日落寒山古柏哀。百年尙有風泉感。四海如今卉酪來。吾人覺得君親重。賴有東方此一臺。</text>
<title>花葉樓。次桐溪鄭先生板上韻。</title>,<text>西來皮服彼何斯。花葉年年帝曆披。千載使人腔血沸。天彝不是古今移。</text>
<title>又次申澹人 佐模 韻</title>,<text>天地嗚呼丙子羞。此間猶有大明區。雷首春薇空自綠。金陵王氣冷如秋。日月中天扶大義。風泉下國起孤樓。千載更無夫子劒。腥羶萬里使人愁。</text>
<title>搜勝臺。次退陶李先生韻。</title>,<text>左海多名勝。金猿獨擅佳。地僻名猶闡。人亡跡不埋。仙靈排掌蹠。俗客洗胷懷。有詩摸不得。虛過此山厓。</text>
<title>挽鄭振汝 周錫</title>,<text>靑春相識歲華遙。重托蔦蘿講舊交。鴟夷到處驚陳座。席帽連年渡灞橋。勞勞白屋千金潤。忽忽靑山四尺高。宗族鄕鄰齊下淚。豐施嗇報是誰敎。</text>
<title>發船道東津 壬辰</title>,<text>圭竇深深老此生。十年料理辦吾行。家國昇平無係戀。江湖迢遰恣懽情。驚濤忽迫千邪息。白日旋晴萬理明。我心不是耽遊賞。大眼將竆灝博形。</text>
<title>第一江山</title>,<text>第一江山第一人。至今行客式虛濱。吾東理學明如許。知有先生啓鑰新。</text>
<title>合江亭</title>,<text>南國初開道德林。層厓陡落一亭深。當年杖屨逍遙地。千古羹牆慕仰心。華嶽崇高瞻氣像。大江涵滀溯胷襟。吁嗟小子生何晩。一棹煙波感古今。</text>
<title>發金津</title>,<text>棹歌淸澈下江臺。雨霽風恬鏡面開。舟檣杳杳雲中去。郡國蒼蒼天際來。悠悠此樂何須說。役役浮生空自哀。汀鷗且莫驚人去。活潑吾心肯汝灾。</text>
<title>鷰子樓</title>,<text>靑山重疊古王州。怊悵登臨鷰子樓。仙馭寥寥餘石面。茜旗杳杳望江頭。鍾鳴角響千家月。海晏河平萬里秋。最是名區行樂地。王家陰雨使人愁。</text>
<title>山海亭</title>,<text>天生南嶽少微星。晩學增深景慕情。江海雄偉山壁立。此間如可覿儀形。</text>
<title>三叉津。遇風不得渡。拈韻戒同游諸友。</title>,<text>人涉卬否古有詩。從凶迪吉本無疑。平生愼勿忘危懼。禍患多從燕樂時。</text>
<title>觀海</title>,<text>東南地盡大瀛環。元氣蒼蒼塞兩間。一判鴻濛惟有水。四望涯際更無山。江淮湊岸無增損。日月懸空自往還。萬殊一本終如許。此理須從道體看。</text>
<title>嶺南樓</title>,<text>行人獨上嶺南樓。海鶴存亡已十秋。無情滚滚長江水。滿目萋萋芳草洲。巫峽雲深遊子別。叢祠花落玉人愁。樓下有阿娘祠。 名區任與風流客。粉黛管絃不暫休。</text>
<title>退雲亭旣成。伏次先考詩集中城南唱酬韻。丁酉。</title>,<text>思𤃡當年卜宅幽。嗚呼邱壑記前遊。黼黻昌辰明似日。琴書晩節淡於秋。蘭亭舊友曾修契。鹿洞遺墟更起樓。小子已無追養地。餘生將老此汀洲。</text>
<title>挽鄭誠遠 厚默 三絶</title>,<text>記昔逢君漢水涯。金晜玉季盛名馳。東華軟土風流席。早晩功名指顧期。大陸沉沉砥柱頹。名津去處幾人廻。靑山壁立塵埃外。國子書生門掩苔。飄然笙鶴遽升仙。仁壽無徵欲問天。世事日非人物渺。思君不見涕漣漣。</text>
