<title>書釼柄</title>,<text>离宮抽太白。霜拍廣寒流。牛斗恢恢地。神游刃不游。</text>
<title>織女巖</title>,<text>白練機中出。分來牛背乾。靑黃元不受。渾爲謝人間。</text>
<title>次觀水樓韻</title>,<text>阿綠羅深面。䲶鴦對浴嬉。沈江三尺日。留與五言詩。</text>
<title>贈吳學錄健上京 字子强</title>,<text>一脚初分處。來來百里遙。山頭回望盡。西路更迢迢。</text>
<title>別敬溫師</title>,<text>僧同雲入嶺。客向塵歸兮。送爾兼山別。奈如山日西。</text>
<title>漫成</title>,<text>天風振大漠。疾雲紛蔽虧。鳶騰固其宜。烏戾而何爲。</text>
<title>寄叔安 朴忻字</title>,<text>梅上春候動。枝間鳥語溫。海亭山月白。何以坐吾君。</text>
<title>漫興</title>,<text>朝徹輕烟泊。沙舟渾似春。西江終古意。不與一番人。</text>
<title>贈別</title>,<text>爲憐霜鬢促。朝日上遲遲。東山猶有意。靑眼送將歸。</text>
<title>山海亭偶吟</title>,<text>十里降王界。長江流恨深。雲浮黃馬島。山導翠雞林。</text>
<title>偶吟</title>,<text>高山如大柱。撑却一邊天。頃刻未嘗下。亦非不自然。</text>
<title>題古屛。贈子修姪。子修。李俊民字。</title>,<text>鰲峯造化手。鳳閣郢人斧。爲問荊楊老。元龍死與否。						又						百雉臨江老。千村看閏州。樵門潮萬里。蓬島定三丘。</text>
<title>在山海亭。次周景游韻。景游。周世鵬字。</title>,<text>可矣豊基倅。行騑繫我門。箇箇談王口。於今爲世尊。</text>
<title>答人</title>,<text>病身瓦未合。公作玉壺看。秋風霜井橘。非海得應難。</text>
<title>種竹山海亭</title>,<text>此君孤不孤。髯叟則爲隣。莫待風霜看。猗猗這見眞。</text>
<title>題龜巖寺 在金海</title>,<text>冬嶺松爲木。佛堂人拜之。南冥吾老矣。聊以問山芝。</text>
<title>題黃江亭舍 姓李。名希顔。字愚翁。</title>,<text>路草無名死。山雲恣意生。江流無限恨。不與石頭爭。</text>
<title>梅下種牧丹</title>,<text>栽得花王來。廷臣梅御史。孤鶴終何爲。不如蜂與蟻。</text>
<title>題德山溪亭柱</title>,<text>請看千石鍾。非大扣無聲。爭似頭流山。天鳴猶不鳴。</text>
<title>遊安陰玉山洞</title>,<text>白石雲千面。靑蘿織萬機。莫敎摸寫盡。來歲採薇歸。</text>
