<title>夢作</title>,<text>長風九萬里。吹月度千門。何處一聲笛。東方欲破昬。</text>
<title>雨夜。用兒輩韻。</title>,<text>月落泉鳴夜。山深葉語秋。夢回孤枕上。窓外雨聲流。</text>
<title>偶吟</title>,<text>林外鳥歸棲。千村煙氣暮。寒聲來遠山。秋色在高樹。天遠鴈驚霜。野長江隱霧。無端澗底泉。半雜松間雨。</text>
<title>雪後呼韻</title>,<text>一夜前村雪。茅簷壓欲斜。鳥投天上樹。人入畫中家。遠峀輝輝日。孤城點點鴉。平郊看更濶。煙外暮江賖。</text>
<title>題畫屛</title>,<text>誰家籬落枕江邊。巖下無人日繫船。政是春光濃點綴。遠村如夢柳如煙。幽人默坐每虛亭。亭上松陰駐遠情。要識此間深靜意。靑山不語水無聲。何來山色非煙淡。自在泉流不雨肥。岸草林花同寂寂。恠他遊客也忘歸。煙深竹逕靜空亭。霧灑江天杳遠汀。漁子幾時移小艇。老翁終日立閒庭。疑有疑無山帶雨。乍欹乍整樹含風。江村杳杳溪橋遠。但見漁翁暝倚篷。天空塞鴈飛何去。月白秋江澹不流。夜靜笛聲如可聽。南船未發北船留。松林靜處覺無風。流水高山寂寞中。彈罷瑤琴人不語。仰看孤鶴點秋空。何處漁翁何處客。孤舟不動蹇驢遲。湖山雪後均淸趣。釣手詩肩較孰奇。</text>
<title>穉松</title>,<text>新移弱植我心憐。綠葉成陰定幾年。已識孤根蟠厚地。待看千尺聳高天。疎枝漏月侵宵坐。偃盖迎風警午眠。肯逐雪霜凋晩節。一庭春色四時連。</text>
<title>雨夜</title>,<text>江暗漁燈出浦稀。濕雲和霧入庭飛。郊原雨足春多事。幾處農人夜未歸。</text>
<title>送春日雨中。用前韻。</title>,<text>靜中心緖出門稀。愁外風花一夢飛。微雨捲將春色去。綠陰深處早鸎歸。</text>
<title>晴詩</title>,<text>雨過千峯展翠巖。芹根泥滑燕雙銜。花蹊春盡樹陰密。蘿逕客稀苔色緘。山郭暮煙橫度鳥。水村斜日亂歸帆。閒來欲學樊遲圃。試問隣家借木鑱。</text>
<title>暇日。步入後谷。呼韻。</title>,<text>洞闢千年地。虛明別有天。山高懸日月。松古老雲煙。苔逕喧幽鳥。風巖韻細泉。我來不忍去。每被綠蘿牽。</text>
<title>靜中。偶閱瑞石集。次卷中韻。</title>,<text>谷口三間屋。階前半畞塘。山深雲作態。雨過土生香。叢菊根初遍。風泉韻更長。病餘看藥性。庭草揔堪嘗。</text>
<title>秋日。次唐詩詠蟬韻。</title>,<text>虛亭秋氣早。高樹夕陽侵。忽聽寒蟬噪。如和病客吟。乍因便風遠。還帶暝煙沉。散盡凄淸韻。誰知皎潔心。</text>
<title>溯流尋奉恩寺。用崔孤竹韻。</title>,<text>淸江一路盡靑山。落日維舟亂石間。疎雨半邊秋色遠。錦林深處扣僧關。</text>
<title>次東坡新年韻</title>,<text>門逕緣山曲。茅齋近水淸。斷氷橫晩渡。殘雪濕春城。遠峀寒全薄。陳根暖漸生。江湖多少興。鮮膾伴芹羹。</text>
<title>春日。次姪兒韻。</title>,<text>對酒聊吟春日詩。隔林啼鳥晩晴時。兒童掃雪驚奇事。報道梅花已滿枝。</text>
<title>次兒輩韻集古句</title>,<text>幽事供高卧。杜甫。 農談日西夕。王維。 郊扉存晩計。杜甫。 蘿逕封行跡。僧靈一。 荷鋤覘泉脉。王維。 倚杖看古石。杜甫。 山雲昨夜雨。郞士元。 晩來山更碧。杜甫。其二暝色起煙閣。韋應物。 牛羊下來夕。杜甫。 古道少人行。韓偓。 空階有鳥跡。岑參。 野曠天低樹。孟浩。 山虛風落石。杜甫。 江月夜深孤。賈島。 遙岑出寸碧。韓愈。</text>
<title>次兒輩韻</title>,<text>欲過林塘路。其如懶慢何。閉門春色遠。惆悵落花多。</text>
<title>白屋</title>,<text>白屋寒煙裏。荒郊老樹邊。前江夜來雪。應滿釣魚船。</text>
<title>己丑元日。自郊入城。</title>,<text>小齋燭影已欲盡。多村鷄聲亂續鳴。詩箋酒具曉仍在。物色生態春復情。二十六年此日始。百千萬事何時成。出門但得一身健。短策扶吾隨所行。</text>
<title>入城路上口占</title>,<text>長安何限丹靑手。誰畫騎驢我入城。政爾新年無事樂。也知多病亦身輕。東風着物皆生態。殘雪當詩更有情。最愛南山增秀色。一眉晴綠故相迎。</text>
<title>東湖北山。有尋寺觀瀑之意。與諸君約。久而苦未就。今春頗早暄。諸君亦相勸起。能無如昨年之事空談否耶。德老兄 鎭成 有詩相示。聊次以呈。</title>,<text>病起身何事。春來意渺然。雲霞東洛寺。䨓雨北山泉。乘我漁舟興。共君驢背眠。兒童且近報。花柳欲無邊。</text>
<title>雨中憶郊墅</title>,<text>物色日應好。山居吾欲歸。江春浮泱漭。野雨濕芳菲。興到思扶策。身輕欲減衣。隣朋枉書札。幽賞莫相違。</text>
<title>黃昬庭步憶郊居</title>,<text>沉痾萬事破。獨立一園淸。雨露氣多潤。松杉陰已成。江湖空物色。漁釣負平生。羡彼歸棲鳥。黃昬羽翮輕。</text>
<title>歸棲日。次簡齋晩步韻。</title>,<text>擾擾隨塵俗。悠悠惱病憂。東風倚山閣。萬事聽江流。鳥語詩相和。雲來意共幽。悠然坐終夕。爭路見歸牛。</text>
<title>德兄約相尋。有寄詩。次韻寫喜。</title>,<text>浮生不必感流年。政喜韶華滿目前。深究世間千萬事。不如花下兩三篇。</text>
<title>又呈德兄</title>,<text>草閣柴扉鳥散鳴。山明水白雨新晴。良朋不至靑春晩。病子孤吟白髮生。</text>
<title>寒食日。憶新村。次簡齋韻。</title>,<text>冉冉趨塵路。棲棲次市門。幾年逢熟食。多病憶新村。野水平湖岸。山齋雜樹園。浮生懷故物。百感集深樽。</text>
<title>雨後。次杜晴韻。</title>,<text>旣雨山如畫。無風水自文。捲簾邀語鳥。倚杖送歸雲。病竹光猶凈。高花意不羣。吟樽須爛熳。時物政繽紛。</text>
<title>道峯。次德兄韻。</title>,<text>兩賢有祠廟。名與道峯尊。對壁巖巖象。雙泉混混源。巳年同禍運。時事可重言。千古雲壇月。留開夜色昬。</text>
<title>登普德窟。窟在山㝡高處。極幽深。傍有懸崖一路。向萬丈峯云。而以其險峻。欲上而未果。遂來坐寺樓。樓在窟底架虛。面勢極爽豁。吟望移日。次德兄韻。</title>,<text>惟天有創奇。巨窟懸崖上。參錯雲石陰。呀拆洞門狀。深入日月昬。屢驚風水響。傍有一絲磴。欲躋神自怳。高有萬丈峯。可挹不可仰。且來樓上坐。忽然天地朗。連山東南豁。原野杳莽莽。昔觀蓬山窟。祗今猶夢想。內知普德高。外覺松林壯。對此侔奇觀。况得憑遐望。中年苦多病。勝境空心賞。今來快疎散。疑有造物相。一笑語同行。告歸莫惆悵。且看雲鶴飛。似欲駕吾往。</text>
<title>次簡齋韻</title>,<text>杳杳山樓迥倚空。陰陰石窟自生風。忽看暗竇飛泉湧。萬古眞源在此中。</text>
<title>暮春梨峴。賞紅桃。次簡齋韻。述意。</title>,<text>冉冉紅桃樹。朝朝費我吟。靑春能幾日。綠葉已繁陰。文墨無長技。功名只苦心。道峯曾有約。吾欲及花尋。</text>
<title>折花一枝。燈下戲賦。</title>,<text>春盡孤花發滿枝。折來燈下弄幽姿。紙窓畫出婆娑影。絶勝中庭日照時。</text>
<title>入松都。次申圭伯 鉉 韻。</title>,<text>臺上悲風吹短蓬。客來無語倚孤筇。荒城莽蕩煙雲色。曠野縱橫鳥獸蹤。百死精忠人作土。千年霸氣嶽無松。最憐宮闕俱焚滅。誰信當時有九重。</text>
<title>又次</title>,<text>人去國隨滅。道存名不竆。短橋惟逝水。喬木尙高風。血有萇弘碧。顔應褚子紅。向來懷古淚。霑灑廟庭中。</text>
