<title>寫扇面。贈人叙別。</title>,<text>欲持楊柳贈。霜後已無枝。便面如眞面。投之叙別離。</text>
<title>龍潭偶吟</title>,<text>霜落龍潭水。秋深景益奇。山中無紙筆。紅葉寫新詩。</text>
<title>悼官妓紅玉春</title>,<text>紅玉春寥寂。春光不復華。靑山固無識。埋却一枝花。</text>
<title>歲除夜。偶吟。</title>,<text>峽裏今宵歲一遒。強將杯酒慰深愁。工夫未用三冬足。明日迎春倍覺羞。</text>
<title>次乾鳳寺祥上人軸中韻 寺在杆城郡</title>,<text>問渠何日別禪關。皆骨春來定好顔。嗟我俗緣磨不得。未移生契入香山。</text>
<title>春日。與李兄聖望 錫老 登山。四首</title>,<text>尋花問柳度千林。山路登登轉覺深。一詠一觴聊自樂。傍人那得識余心。詠高松春山無處不花林。霽日雲霞古洞深。獨向亭亭松下坐。憐渠長保歲寒心。詠飛泉涓涓泉脉細穿林。直向淸江萬尺深。何用濯纓兼洗耳。酌來猶得洗塵心。高樓逈出海棠林。暖日禽謠碧樹深。回首靑山雲暗起。孤舟汎汎在江心。</text>
<title>吟囑兩崔生 鏛，鋼。要挽麻岾移徙。麻岾。卽南宮進士垣所居地名。方欲移去楊根。故云。</title>,<text>君家兄弟更誰當。荒歲猶能不患粮。我願速推周急義。莫令賢士走他鄕。</text>
<title>兪君輔 彦佐 欲較詩酒。故詩以答之。</title>,<text>君能飮酒我能詩。詩酒風流也各奇。一斗何如千首富。可看今夜决䧺雌。</text>
<title>別閔座首 始興</title>,<text>山木蒼蒼曉氣寒。日邊歸路在雲端。暗中欲去緣何事。或恐臨分淚眼看。</text>
<title>送從兄之泛波亭。倩護菊竹。</title>,<text>一鴈孤飛古峽雲。別愁遙入泛湖濆。煩君歸去波亭後。綠竹黃花護十分。</text>
<title>次楓溪壁上韻。投示求和。</title>,<text>四時佳景逐年新。茅屋蕭然絶點塵。閑把漁竿臨水坐。一江魚鳥自親人。</text>
<title>竹浦往吊金棘人 夏吉。見駐春軒。壁上有詩。次其韻。</title>,<text>窮陰景物未全衰。重繫蹇驢殘柳絲。盡日憑軒看不厭。幽禽喚我促題詩。</text>
<title>歸庭時。歷訪成陵寺樓。逢話季舅及再從兄趙吉甫 明迪。</title>,<text>客思因君不寂寥。別愁將奈有明朝。寒天古寺終宵雪。恐沒山前路一條。</text>
<title>促題別蔡友季範 楷</title>,<text>數宵留飮故情歡。雪滿靑山歸路漫。知子此行空獲債。泛波烟月作虗看。</text>
<title>立題屬金李</title>,<text>投轄高風我欲追。留賓輒乞五言詩。斯須筆下雲烟落。七步於君亦謂遅。</text>
<title>慈闈初度日夜席。口占少伸下誠。</title>,<text>佳節過秋夕。晬辰開錦茵。赤誠祈五福。黃髮度千春。南極星明最。北堂酒獻頻。年年歡此日。子女侍雙親。</text>
<title>夜訪麻岾于邑內</title>,<text>偶爾成佳會。孤燈一席間。夜深虫咽竈。秋熟果登盤。得酒愁仍歇。吟詩意不閑。淸談故久坐。新月已林端。</text>
<title>往尋楓溪</title>,<text>日暮蒼山道。尋君疋馬還。草長三徑細。霜落亂峰寒。野峽秋將晩。田家事不閑。茅齋知近水。碧浪暎籬端。</text>
<title>渭城柳 泛波亭。有此柳。</title>,<text>靑靑渭城柳。裊裊臨江潯。每着烟中夢。偏多月下陰。色堪裁繡袖。絲欲貫銀針。手折看無厭。淸香愜素襟。</text>
<title>途中口占</title>,<text>吟髭撚欲斷。霧裏八峰過。去去靑山出。行行赤葉多。雨中開片傘。馬上發狂歌。寄語同遊子。一般興若何。</text>
<title>無題</title>,<text>登登上高嶺。天濶暮雲平。白雨纔秋洗。靑山慣我迎。景多難領略。路細不分明。落日林端沒。淸溪亂鳥聲。</text>
<title>駐春軒。次金子益韻。</title>,<text>花竹春長在。浮生未駐春。壺中閑日月。籬外走風塵。君愛平泉石。我憐金谷人。怡顔故久坐。忘却塵中身。</text>
<title>歸庭時。歷訪成陵。</title>,<text>得得臨溪路。行行叩寺門。竹簷寒雪重。山木暮烟昏。僧宿窓間月。人開燭下樽。琮琤雲確水。入夜近床喧。</text>
<title>次贈蔡生</title>,<text>天寒山意索。江冷水光凝。勝日官樓酒。淸宵旅榻燈。征衫撲飛雪。倦馬踏層氷。別後眞顔色。空樑夜月昇。</text>
<title>次麻岾韻</title>,<text>悠悠長夜道斯亡。志士千秋涕自滂。窅窅天機須默想。紛紛世事莫奔忙。一心眞處私隨凈。萬理尋來味更長。沂水詠歸知幾日。眼靑蘭室共壺觴。南宮進士所居面名。卽詠歸美。故及之。</text>
<title>麻岾壽席。設水墮寺。家親賦一律。敢次。</title>,<text>短瑟長歌笑語塲。諸天物色倍輝光。文章早許追前輩。齒德從知冠此鄕。向暮雲霞迷洞裏。經冬松桂老岩傍。况今初度兼回甲。醉後歸當趁夕陽。</text>
<title>偶逢皆骨詩僧。次渠韻。</title>,<text>癯容瘦骨鶴相同。寂滅禪情水月空。蓮社幾時尋惠釋。會稽今日遇支公。多生綺語猶成習。六道玄機已滿功。一點摩尼烱如水。那能照破箇心通。</text>
<title>敢次家親韻。奉呈杆城宋使君 光涑。</title>,<text>玉洞烟霞敞錦筵。春光淡蕩夕陽天。雲山影裏聯雙盖。花樹叢邊繫兩船。浮世勝遊今日最。泛波淸景古來傳。逢君此地誠非意。携手歸來話燭前。</text>
<title>奉示麻岾求和 四首</title>,<text>七月江樓溽暑收。晩來蟬語轉淸幽。白𩿨逾㓗沙頭雨。赤葉先知峽裏秋。着處溪山酬宿債。隨時景物惹離愁。佳辰况復前宵過。恨負蘇仙赤壁遊。田野農功半已收。山村事事此時幽。江波綠漲三朝雨。楊柳靑衰七月秋。詩不驚人吟又改。酒難忘我醉還愁。麻岡知有同心子。一棹何時續舊遊。地上猉獜棄不收。一間茅屋占深幽。閑中學業窮千古。筆下文章映九秋。滿目雲山渾是樂。暫時貧困亦非愁。吟筇時出溪邊路。來訪吾居許共遊。向晩江樓雨乍收。心閑自覺境淸幽。望中楓葉多裁錦。霽後蟬聲更咽秋。我似相如恒病渴。君同子美半言愁。依然昨夜金剛夢。共把琴樽辦壯遊。</text>
<title>用前韻。示舍弟。</title>,<text>遺史殘經捴拾收。勤工宜着草堂幽。方慙我學拋三夏。更覺君年抵十秋。靜裏光陰須可惜。閑中漫浪豈非愁。殷勤寄語吾賢季。莫逐羣兒事泛遊。</text>
<title>次麻岾韻</title>,<text>故人消息昨宵還。詩札翩翩落案間。江岸楓林秋着早。夕陽天末鳥歸閑。幾瞻雲樹徒勞夢。今得瓊琚可替顔。已繫蘭舟湖上月。會須高脚出深山。</text>
<title>麻岾有楊根移徙之計。又用壽席韻。挽之。二首</title>,<text>新糓穰穰已滿塲。畦塍處處捴秋光。楊根豈必皆仁里。麻岾從知是樂鄕。生計何殊圻峽際。舊遊空負友朋傍。江湖汎汎閑𩿨鷺。應訝君行近洛陽。求田問舍白雲岑。歸思滔滔已不禁。自得此奇如有失。及當相別若爲心。秋風鴈影吳江水。夜月鵑聲楚峽林。他日送君君去後。名亭物色共誰吟。白雲岑。卽楊根移去處。</text>
<title>秋夕夜吟</title>,<text>江上高樓月色華。一年佳節此宵過。庭蕪露泣螢飛濕。澗樹風來鳥散多。寶瑟絃淸如自語。佳人酒重不勝歌。歡娛儉歲誠非易。未醉如今更奈何。</text>
<title>敢次家親韻。示麻岾。</title>,<text>歲月無心老碩儒。靑霞奇氣未舒鋪。聖經賢傳吾師也。山鳥溪花是友于。已學顔回甘陋巷。寧爲阮籍哭窮途。如今莫促搬移計。知子此間不可無。</text>
<title>夜訪麻岾于邑內</title>,<text>邑村聞宿詠歸賓。徒步來從坐草茵。民舍無檠燈掛壁。庭籬有竇犬驚人。口呼強韻償詩債。虫喚寒愁惱客神。吾輩風流天亦妬。中宵不放月華新。</text>
