<title>對庭梅 五言絶句</title>,<text>畵梅雖盡妙。不似活梅眞。一點生生意。猶含陋巷春。</text>
<title>澤中風浪。白𩿨浮沉。</title>,<text>春澤水盈盈。風吹波不靜。中間一白𩿨。浮沒隨波影。</text>
<title>過知止安嶺</title>,<text>漸入羊腸曲。崎嶇行路難。莫歎車軸折。知止是爲安。</text>
<title>七月二十八日</title>,<text>脆骨成塵土。微魂倘在不。竹林寒雨滴。猶是去年秋。</text>
<title>次堂叔氏謫海南韻</title>,<text>山山又水水。去去炎程脩。回首北來處。正敎魂夢悠。</text>
<title>達城路中 三首</title>,<text>湖上淸風起。披襟坐碧磯。爽然煩惱失。斜日不知歸。又藉草江邊卧。波聲入夢淸。頹然睡一覺。回首日西傾。又五步馬一蹶。十步奴一僵。得經泥路滑。川水又無梁。</text>
<title>客中寄所知</title>,<text>客中逢滯雨。歸旆此淹留。故人不可見。家在水西頭。</text>
<title>途中偶感</title>,<text>北風吹水急。鳧鴈不成羣。滿岸惟蘆荻。寒聲處處聞。</text>
<title>風雨牎紙穿破</title>,<text>亂雨乘風至。斜侵屋壁間。竹牕半無紙。軒豁見南山。</text>
<title>題鄭士有聚散說後</title>,<text>分明卷上題。十四年前事。世道日蕭條。誰能知此意。</text>
<title>雪中</title>,<text>上下一粉障。遙分山與水。點點數株松。依依暮靄裏。</text>
<title>道中偶吟</title>,<text>野遠皆秋色。山高欲夕陽。光陰如水逝。驚却鬢邊霜。</text>
<title>贈震師</title>,<text>迷川尋寶筏。覺路駐塵筇。迢遞東林寺。令人憶遠公。</text>
<title>遣懷</title>,<text>築室花溪上。靑山掩靄中。主人無一事。詩史課兒童。</text>
<title>宿成佛菴</title>,<text>昨夜彌陀窟。今宵成佛菴。梵音隨處聽。爭似白蓮參。</text>
<title>口號</title>,<text>理屐尋山去。扶筇帶月歸。衣穿烟靄濕。幽興尙依依。</text>
