<title>孤松</title>,<text>生也本孤直。蒼髯看更奇。四時靑一色。高節歲寒知。</text>
<title>茅屋</title>,<text>廣廈元非願。容身有草廬。窓明因几靜。長日可看書。</text>
<title>秋夕會飮</title>,<text>一年今夜月。千古如霜白。對此何能眠。引壺觴自酌。其二天理若春融。吾心同月白。一毫着却私。妙處難斟酌。</text>
<title>賞老村盆菊。吟示舍弟玄甫 汐。</title>,<text>淡黃兼嫩白。花發九秋心。爾有陶潛興。一樽又一琴。</text>
<title>六月聞蟋蟀</title>,<text>乾坤方盛暑。蟋蟀已知秋。自是天機動。夜深鳴不休。</text>
<title>薔薇</title>,<text>地僻春長在。開花爾獨遅。數莖看裊裊。江上雨晴時。</text>
<title>重陽月夜會飮。以九日龍山飮分韻。得九字。</title>,<text>天上月幾盈。人間陽用九。夜深客到門。酌此黃花酒。</text>
<title>與玄甫携酒登高</title>,<text>數朶黃花發。一壺新酒來。悠悠秋興在。與爾坐高㙜。</text>
<title>閔渭叟 興周 挽</title>,<text>昔有王延孝。公能無愧顔。可哀天不報。布被葬靑山。</text>
<title>尋花向大谷。路逢樵童。聞山花滿發。可喜。</title>,<text>谷口逢樵子。春光問幾何。答云前夜雨。花發滿山阿。</text>
<title>月出</title>,<text>月出道峰山。照臨滄海水。幽人隱几看。翠竹蒼松裡。</text>
<title>題隱溪巖石</title>,<text>溪在寒山之東南隅深谷中。余偶然而得之。盖有巖瀑數層。汩㶁有聲。可喜爲自家境界。命之曰隱溪。賦詩志喜。人不知而我獨知之。故名之曰隱溪。山溪流幾曲。巖瀑數層奇。寂寞無人識。居然我有之。</text>
<title>晴川次尹生命叔 德老 韻 己巳</title>,<text>時吾輩先登高處。尹生後來坐溪邊。高者嘲之。尹生頗厭之。詩以反嘲。余步其韻。以寓勉戒之意。不有君居下。何爲致我譏。攀登須努力。高下竟同歸。</text>
<title>題宋士能上東宮書後</title>,<text>鄭羽良曾於書筵。奏達東方道統。上漏沙翁。下刪遂翁。而以尹拯爲尤庵同德之賢云云。士能於掌令辭書。大斥其非。辭嚴義正。喜而賦之。聖遠詖淫起。無人判是非。一䟽扶抑好。吾黨有光輝。</text>
<title>小學</title>,<text>晦父豈言耄。寒暄悟昨非。寒暄詩曰小學書中悟昨非。 且休談義理。灑掃須先知。南溟與退溪書曰今之學者。口談天理。而手不知灑掃之節。</text>
<title>家禮</title>,<text>夫子從先進。先生謂窃附。休言未再修。大意略儀度。</text>
<title>心經</title>,<text>不害王圖誤。心經載王魯齋人心道心圖。而此啚全不成說話。 一經皆至言。篁墩何意思。初晩漫分門。篁墩分朱子論知行語。以爲初年謂兩邊工夫不可偏廢。中歲道問學爲重。晩歲尊德性爲重。</text>
<title>論語</title>,<text>一書皆切要。龜老見分明。學者問論語二十篇。何者爲切要。龜山曰皆切要。 讀了全無事。朱子曰論語讀了後。有全然無事者。 除非讀未精。</text>
