<title>詠史 十一歲作</title>,<text>楚王好賓客。宮中置香醴。如何隆準公。溲冠太無禮。</text>
<title>春雨</title>,<text>春雨細如絲。夜深人不知。幽禽變初語。杏花開滿枝。</text>
<title>風雪念道傍寒者 十三歲作</title>,<text>歲律已云暮。北風天雨雪。魚龍蟄沙水。鳥獸藏巢穴。吾亦坐吾室。熏爐且煖堗。曉壁霜花凝。衣衾冷似鐵。可憐路傍子。弊褐不掩膝。鬚髯氷欲斷。肌膚龜已裂。况復荷擔重。行走不得疾。掩涕過通衢。想見凍死骨。豈無陽春至。恐汝先溝壑。誰能爲此圖。爲我獻城闕。吾王本仁聖。見之應惻怛。豈無內庫帛。救汝寒凜慄。獻之莫虛徐。虛徐亦無及。</text>
<title>水明樓 辛卯</title>,<text>靑山相對水明樓。鴈雙飛芳草洲。兩岸桃花無數發。淸樽移上木蘭舟。</text>
<title>江樓晩眺。示李老 堈。</title>,<text>楊華渡外晩潮生。蘆渚頻聞吹笛聲。江岸近村無鷺下。野田濱水少人耕。輕霞照日自成色。老樹着花還獨明。行酒賦詩殊未已。主翁於世却無營。</text>
<title>伏波亭下汎舟</title>,<text>水岸悠悠楊柳春。舟行漫漫不知津。杏花深處高樓出。樓上欄干已有人。</text>
<title>相逢行</title>,<text>相逢狹斜路。相揖覇陵社。姓名不相道。意氣不相下。玉劒翠羽鞘。金鞭紫𤗉馬。前日南山獵。莫是射虎者。</text>
<title>寶刀行</title>,<text>風雲龍自躍。化此鐵三尺。出匣玉輪囷。蟠文金錯落。磊磊夜斗寒。閃閃秋天白。持贈更何人。荊軻非劒客。</text>
<title>家奴出江上。阻風而還。</title>,<text>家奴果川去。到江却復還。問奴且責奴。奴言涉水難。昨夜大風雨。今朝江浪高。百人爭一舟。舟急不可操。未敢輕性命。失脚洪濤中。浮雲西北開。請候明日風。而我感斯言。浩歎亮匪他。要津路險𡾟。平地日風波。愚民尙自懼。君子胡不省。寄語世上人。愼莫事奔競。</text>
<title>梅下賦詩。與扶湖翁。宗人。名龍成。</title>,<text>寒梅花下勸君盃。君在西湖亦養梅。別後花開凡幾樹。靑山明月思裵徊。</text>
<title>三月三日江上作 壬辰</title>,<text>江郭鶯啼春日長。百花生樹風吹香。女兒相伴踏靑草。蝴蝶一雙飛過墻。</text>
<title>題牧牛圖</title>,<text>飢牛食靑草。渴牛飮淸流。倦牛眠層坂。一兒牧三牛。山日隱高林。兒歌優以游。物性固自樂。人心本無憂。勞哉彼行路。終年何所求。</text>
<title>采蓮曲</title>,<text>隔水采蓮花。歸來花在手。逢歡聊問道。花得似儂否。其二牽舟下長浦。結伴上橫塘。儂家知有客。白馬繫垂楊。其三皎皎水中月。水動無定色。郞心有如此。愁殺䲶鴦浴。</text>
<title>聽琴次唐人韻</title>,<text>請客且彈琴。琴鳴淸我心。中曲忽泠然。花木爲春陰。天雲靜漸頹。山水高以深。時人好鐘皷。有誰是知音。</text>
<title>道峯書院。敬次尤菴先生韻。</title>,<text>肅肅松杉一徑開。廟庭香火幾年廻。浮雲白日終回照。霽月光風自往來。</text>
<title>水明樓夜望。承舅氏命有賦。</title>,<text>隔浦船行夜有聲。南船火照北船明。相將擊汰橫江去。水鳥羣飛江柳平。其二春潮無際月明多。漁子將船逆遠波。入夜水寒魚不得。滿江風露擁靑簑。</text>
<title>雨後江月明甚。有客數人。携酒賦詩。敬承外王父命。賦古詩十韻。</title>,<text>春天屢陰雨。歌歗在華堂。氷澌流欲盡。江水一何長。深爲魚龍窟。淺有鳧鷖鄕。浮雲夕已霽。洲嶼被淸光。東山澹盈矚。起誦明月章。泠風自遠來。巾袂有餘凉。翛翛水竹靑。冉冉山梅香。揚舟挹空明。飛斝酌寒芳。優游樂衡泌。笑傲凌王楊。坐中各停吟。怪我詩老蒼。</text>
<title>雲水庵。偶次曾王父集中八卦亭韻。寄李士受 鼎輔。</title>,<text>精廬古磬子。秋思極淸佳。野水通禪寂。山雲與佛齋。居人自深洞。游鹿或前階。此夜三盃酒。携君事未諧。</text>
<title>同尹汝朝 百宗。觀玉洞瀑布。</title>,<text>飛流百尺淨浮埃。山木秋生衆壑哀。雪沫半空侵坐石。氷潭一道照行盃。林中白衲希師至。岸上黃驢尹子來。此地荒㙜君莫問。秪今惟有野花開。</text>
<title>春日聘君宅留飮。庭畔丁香花盛開。癸巳</title>,<text>屋角丁香樹。年年花滿枝。每從花底飮。重和去年詩。</text>
<title>淸明日對酒。讀劉長卿詩和之。</title>,<text>四架茅齋三架書。千條楊柳一條蹊。風吹草際蝶飛上。日過墻東花影西。白酒初醅諸客至。淸詩纔罷又鶯啼。身心大抵寬閑是。平日脩眉不肎低。</text>
<title>水明樓。次黃鶴樓韻。</title>,<text>楊柳靑靑黃鳥囀。淸江一曲水明樓。花陰自覆欄干靜。糓雨初回浦溆悠。漁父扁舟生白髮。達官高馬棄滄洲。風塵衮衮春無限。聊與沙鷗日散愁。</text>
<title>挹淸樓。次鳳凰㙜韻。</title>,<text>日照春空野馬遊。畫樓南畔水平流。晴花歷歷分孤嶼。遠草萋萋辨衆丘。蛺蝶相因來院落。鸕鷀不去立汀洲。浮生本住風塵久。此地居人有底愁。</text>
<title>汎舟仙遊峯下。口占示舟中。</title>,<text>江上風微宿霧晴。霽花無數照空明。春還水國魚龍起。日轉松門鸛鳴。何處游仙留舃跡。仙游峯。有神人跡云。 秪今漁父說峯名。浮雲不盡蒼巖古。惆悵歸舟一笛聲。</text>
<title>折花行</title>,<text>折花復折花。東家桃樹出西家。倚杖老翁坐歎息。愼莫折花花可惜。惜花雖不折。明日還應落。秦女彈箏日向夕。秦川公子淚如雪。洛陽酒肆春酒香。且須一飮花間月。花間飮酒蘆子杓。折花折花爲酒籌。酒籌如山醉似泥。花開何樂落何愁。人生但可行樂耳。且莫惜春空搔頭。</text>
<title>出郭秋事</title>,<text>山家黃菊畔。秋日獨來尋。客至方謀酒。人閒每皷琴。古潭鳧浴淺。霜葉馬行深。精舍西林近。鍾聲度水潯。</text>
<title>雲水庵。贈了心上人。乙未</title>,<text>地淸還有月。山僻復無塵。麋鹿知僧面。蜘蛛上佛身。落花空裏雨。流水世間春。一轉金剛偈。緣渠欲問眞。</text>
<title>春朝</title>,<text>醉睡朝慵起。不知春雨過。流鶯還自語。獨樹已先花。</text>
<title>春日書事</title>,<text>深深簾閣午風和。巾幘翛然每日哦。老樹昂藏花着少。春泥柔滑草生多。天機偶以忘言得。隣侶時因問字過。不寫黃庭聊復讀。自家無意換雙鵝。新得黃庭經一部。有以他書請換者故云。</text>
<title>春事漫成</title>,<text>花枝撩亂壓淸樽。我醉無言禽自言。野望不分新柳岸。家居渾得好林園。蜻蜓戱水飛還墜。蛺蝶隨花靜不煩。直是夜中奇絶處。一簾明月破黃昏。</text>
<title>次申企齋韻。與舍弟同賦。</title>,<text>惠風從東來。披書一踈散。葉裏杏結子。梁上燕抱卵。已喜春日永。還惜春夜短。春眠日易曙。禽鳥復欵欵。捉衾更熟睡。簾几朝光滿。琴書自娛心。軒車不盈眼。且期同里子。起柁春江暖。</text>
<title>鷰子來。次老杜。</title>,<text>華堂簾幕照靑春。海鷰雙來結壘新。楚地未逢隨日鴈。漢宮猶學避風人。瞥然拂水差池羽。還是尋巢眇小身。解道遼陽征戍意。盧家少婦欲沾巾。</text>
<title>暮春西園。與客有賦。</title>,<text>三尺孤琴酒一鐘。暮春春服復冠童。不須浪飮殘花下。且可狂歌芳草中。黃鳥飛來無惡樹。綠陰深處有淸風。平居僻巷逢人少。暇日幽襟與子同。</text>
<title>夜步占韻</title>,<text>夜色已盈戶。鍾聲猶在街。送鴻閒卷箔。吟菊懶循階。衆籟天俱靜。孤雲月與偕。靑山高絶俗。耿介得同懷。</text>
<title>題李澄畫山水</title>,<text>絶筆滄洲勢。蒼茫衆壑朝。秋沙多見鴈。落日欲聞潮。酒屋依微近。江花寂歷遙。孤舟猶在岸。漁子若相招。</text>
<title>贈山中人</title>,<text>書生貧獨苦。蓬屋卧三冬。出世惟寬褐。歸山是懶農。琴書當四壁。烟火對寒峯。京洛相逢地。憐君滯旅蹤。</text>
<title>李宜叔 天輔 見過。呼韻共賦。丙申</title>,<text>鳥語柴門僻。人烟四五村。暮花經雨落。晴柳受風繁。睡外無餘事。塵中少可言。君來知有興。偶此置深樽。</text>
<title>汎舟西湖。口占屬舟中。</title>,<text>水舍鷄鳴春晝晴。垂楊拂地遠潮生。中流自見乘舟影。兩岸相聞扣枻聲。花木何村賖酒好。葛巾吾友誦詩淸。百年城市殊無賴。一日滄洲却有情。</text>
<title>次宜叔韻</title>,<text>舴艋行春水。鳧鷖亂不禁。二盃臨渡口。一笛過江心。石仄叢花短。樓明浦日深。漁歌元可意。莫漫費閑吟。</text>
<title>族翁宇重躡屩見訪。次文谷集初夏韻。</title>,<text>村巷門深地自偏。桃梨葉大陌相連。將成絺絡已長夏。不見田園今二年。野客逢迎聊可喜。褐衣短窄更堪憐。少能留我書齋宿。且與家人具酒錢。</text>
<title>携德哉，宜叔。步尋孫氏庄。</title>,<text>遙村老樹辨柴扉。孫氏家深俗事微。暫與道人高笑罷。因逢樵父散歌歸。山瓜有子烏鴉亂。野草無花蛺蝶稀。此去貞陵強數里。隔溪僧火已飜衣。</text>
