<title>古別離</title>,<text>燈前裁一札。遠寄相思邊。相思不相見。朙月復嬋娟。</text>
<title>春江</title>,<text>犢鳴靑草岸。潮落白鷗灘。日暮人爭渡。春江舟不閑。</text>
<title>山中遊賞</title>,<text>此心久疎曠。此地愜素求。于于何所適。丘壑遍登搜。稍上意不沮。漸高山更幽。亦有巖中僧。偶向林間投。知是靜者徒。玆意共悠悠。</text>
<title>一人貴一心</title>,<text>一人貴一心。兩人猶一心。相看不相憐。千里懷苦音。悠悠隔山陂。杳杳寄商參。年光倏已暮。靑歲亦駸駸。願君崇令德。不嘆長如今。</text>
<title>月桂美花也。襍卉交之。鋤治。因感而賦之。</title>,<text>團團奇樹花。翳翳惡木蔕。惡木何繁殖。有如自樹藝。上枝陰新條。下根傷孤柢。我來斧其根。日暮不得逝。鋩刃旣已鈍。膂力旣已弊。厚地勤封植。陽春布德惠。朙䄵三月時。會復成叢翳。</text>
<title>咏菊候朴世能將至</title>,<text>良辰忽已遒。菊花猶自紛。欲持一尊酒。無人共所忻。淸霜日以重。寒香徒爲君。君歸若不早。奈此零雪雰。持此感人意。腸中憂來棼。</text>
<title>寄道橋</title>,<text>跨馬出門去。言從佛巖干。秣馬恩之郊。抵宿天護山。逶迆九峯峽。涉彼佳水瀾。幾何到君門。與君一相歡。有心空不成。憂思徒慱慱。</text>
<title>落花</title>,<text>尙恐泥間沒。猶懷風裏斜。縱難依舊蔕。或得近前査。</text>
<title>白翎</title>,<text>白翎惟母鷄。其子惟靑。其子惟靑。母雞白翎。</text>
<title>送從兄之堤川</title>,<text>至今相送盡。君去復誰行。嗟吾四兄弟。遠別已三驚。出門重相送。問子幾日歸。昨得京城信。歸期猶未知。</text>
<title>憶從兄</title>,<text>歷歷東歸路。分朙在眼看。念君應到漢。或已達堤間。</text>
<title>黃駁駒</title>,<text>黃駁駒者。懷從兄也。得從兄書。馬病不歸。黃駁駒。來自趙木川。木川牝馬。回風急雨相回旋。牝馬之子四五六。黃駁駒絶可憐。兩目紫豔光。兩蹄厚以圓。雙耳竦以姸。朝食靑豆具。暮食黃粱饘。黃駁駒意氣成躑躅欲自前。馬雖肥年紀弱。安得一日兮使汝橫厲凌山川。</text>
<title>傾朙歌。贈朴世能。</title>,<text>燈花 堤本作火 何朙滅。朙滅不可持。朙知不可久。滅願來時遲。願遲不可得。不如無朙時。無朙亦自可。將滅令心悲。君來如朙時。君去如滅時。燈滅朙還速。君去來何遲。請君化爲燈。我願化爲膏。念此依倚情。莫惜沾引勞。請君化爲膏。我願化爲燈。莫惜沾濡勞。念此將熄情。爲燈不厭朙。爲膏不厭傾。無燈膏何用。無膏燈何成。</text>
<title>傾明歌。送道橋却賦。</title>,<text>本裁燈火句。爲送北歸人。那將舊別語。今日重銷魂。</text>
<title>逝風與飛雨。送道橋兼寄萬峴。</title>,<text>逝風與飛雨。吹我園中樹。枝葉東西披。日夕不暫住。風則爲我翻。雨則爲我注。葉則爲君敷。枝則爲君布。布敷一何勤。注翻一何遽。君亦不我延。子亦不我顧。朝朢東公山。夕朢北漢浦。</text>
<title>次道橋路中見寄之作</title>,<text>何須長苦別。吾亦拂衣遊。力弱猶堪道。心傷不易愁。廐馬殊驕影。江潮欲動舟。壁間瞻藥裹。逐意竟無由。</text>
<title>賦雪送人</title>,<text>細恨碍輪弱。輕憐入盞頻。似知將別恨。未解故留人。</text>
<title>盆梅</title>,<text>一尺盆梅樹。常將病眼期。縱橫誰作巧。曲直自生奇。枝葉春還嫰。根株老漸危。移來苔蘚碧。那得着花遲。</text>
<title>枯竹</title>,<text>林煙孤不住。枝雀遂高飛。更覺曾雲近。偏憐舊雨非。亭亭酬夜月。脉脉送斜暉。入密平生地。幽人身事違。尙倚乾坤力。虛霑雨露深。臨風強披拂。向日一蕭森。肅肅添寒意。凄凄長苦心。唯應藏鳳曲。萬一吐龍吟。</text>
<title>沈家亭竹</title>,<text>比歲冬寒甚。家家傷竹同。地優新駐屐。天豁舊敷䕺。稍改臨江宅。頻招過客篷。未應專肅殺。誰是感穹崇。</text>
<title>大風</title>,<text>千林動稍稍。萬竅忽同來。㒹倒傾溟渤。蒼黃降震雷。渾如方地闢。未識已天開。大化停將歇。微陽慘不回。驅雲必颯沓。帶雨或徘徊。走籜聲相引。飛沙勢更陪。鯨魚須謹匿。化鳥莫輕迴。謾折垂雲翼。空殘噴雪鰓。還應纏象魏。無乃捲罘罳。生理寧長泯。幽人只自哀。昭蘇回萬象。揮霍奠三才。下土雖多難。天心莫量哉。</text>
<title>有懷古心齋</title>,<text>南國登高處。天涯思政闌。出雲欲無所。過鳥不容看。萬里雙懸眼。三年八味丸。梅花五載發。難與一叢攀。</text>
