<title>知行</title>,<text>聖門傳授訣。昭在簡編中。兩致知行力。方爲造道功。</text>
<title>冬至吟</title>,<text>冬至陽初動。機緘衮衮來。天人寧有異。復善亦如斯。</text>
<title>晞陽魚龍臺。値重陽日。陪家君及先生。與黃伯厚，李君兼，李達厚，李君範，安慶稷。次李白龍山韻。二首</title>,<text>涪江流不盡。千載又贒臣。怊悵天涯裡。秋光惱去人。蟾水龍臺上。聖朝文學臣。此行眞不偶。團會意中人。</text>
<title>遊別川</title>,<text>休道遊山好。不如坐讀書。人間無限樂。都在聖賢書。</text>
<title>宿元曉庵</title>,<text>追友尋蕭寺。楓丹葉落秋。夜半鍾聲動。超然世慮收。</text>
<title>登靑谷寺雨花樓</title>,<text>客來花雨節。巖下亂紅流。心目頓蕭爽。陶然盪世愁。</text>
<title>自九井峰下山</title>,<text>造物呈奇態。千峰萬疊臺。奚囊收拾盡。眞是不虛來。</text>
<title>次南潤伯別章</title>,<text>征裙雲共散。怊悵各分歸。諸友相期意。吾將感佩歸。</text>
<title>謝趙文翊，李平甫來訪。</title>,<text>我有琴三疊。中莊太古音。待君彈一曲。淸響等匏金。</text>
<title>戱題</title>,<text>泥龜元不食。露鶴亦長飢。吾何緣口腹。時有誤心期。</text>
<title>移植冬栢，蘭草於階前。感舊有作。</title>,<text>冬栢與幽蘭。先人培植物。披荊移近階。童子莫摧折。</text>
<title>咏雪</title>,<text>紛紛輕絮舞。点点素塩堆。頃刻回春色。梨花樹樹開。</text>
<title>贈別李上舍 宇錥</title>,<text>東來李上舍。密老長曾孫。白首門生在。感前義益敦。</text>
<title>明知峴石路</title>,<text>石棧橫雲際。欹傾步步危。回看人世路。百倍險於斯。</text>
<title>與諸友登十翫亭</title>,<text>白鷺沙邊立。蒼波望裏平。襟期元灑落。誰識此時情。</text>
<title>楓灘舟中作</title>,<text>天地秋凉節。江湖夕照時。扁舟懷迭宕。風物入新詩。</text>
<title>贈安幸聃，安道源。</title>,<text>人如希古聖。只在童蒙時。養正孜孜勉。格言豈我欺。</text>
<title>過從祖姑母田氏㫌閭作</title>,<text>夫死婦隨死。萬千一有之。請看三尺碣。烈氣凜於斯。</text>
<title>將軍峰</title>,<text>拄杖千峰上。乾坤小眼中。將軍何處去。遺塔至今崇。</text>
<title>望十字巖</title>,<text>十字巖何在。尖峰欲揷天。淸風生兩腋。羽化若登仙。</text>
<title>贈望日庵主人</title>,<text>雲外寒棲在。人間爾是仙。早知靈界漏。結屋我當先。</text>
<title>和朴紫臯成甫 尙節 韻 二首</title>,<text>惟我峰臯友。高名擅斗南。踈慵忝交末。相對又成三。蕭然幽砌上。特立一株梅。爲愛凌霜節。慇懃手自培。</text>
<title>次安慶稷晩到韻</title>,<text>有約來何晩。霜林錦繡秋。跫音驚倒屐。携手更登樓。</text>
<title>水礭</title>,<text>爾何低復仰。可笑亦世情。向我傳言曰。人間住水衡。</text>
<title>藏巖洞。敬次眉叟許先生韻。</title>,<text>先生播馥地。寂寞幾回春。寶唾留千古。莊吟起後人。</text>
<title>雨霽後和李屹峰君兼贇望韻</title>,<text>雲捲雨初霽。乾坤白日明。天人同一理。我亦意思淸。</text>
<title>贈光山金澔</title>,<text>君自晉陽至。訪吾石路橫。欣然傾盖語。情好若平生。</text>
<title>偶吟</title>,<text>丘隅黃鳥止。深水大魚居。未定遊棲客。還慚彼不如。</text>
<title>黃嶺吟</title>,<text>黃嶺細雨裏。步步吟筇閒。可笑紛忙子。生涯不暫閒。</text>
<title>蟾津江上作</title>,<text>蟾水波寒夕。龍臺葉落秋。天涯相送罷。步步悵回頭。</text>
