<title>吟雙檜洞鄭生幽居</title>,<text>茅屋隔山幽。淸溪抱岸流。閉門無客到。正合暮年休。</text>
<title>淸風溪小酌</title>,<text>昔賢去何處。騷客空來歡。曲水流觴罷。煙林宿鳥還。</text>
<title>贈妓</title>,<text>欲別別無語。贈詩詩有餘。一般情脈脈。他日莫相疎。</text>
<title>宿慶安驛</title>,<text>夜宿東林寺。朝飯慶安村。秣馬催行李。寒天雨雪昏。</text>
<title>宿利川客舍</title>,<text>旅舘寒燈夜。支頤夢不成。那堪孤客處。歸鴈月中鳴。</text>
<title>安保驛途中</title>,<text>千里南來客。行行且未休。名山一路賞。此去挾仙遊。</text>
<title>鳥嶺俯瞰龍湫</title>,<text>百丈澄潭下。應有老龍蟠。此地煩囂絶。一唫暫駐鞍。</text>
<title>客中夜吟</title>,<text>客恨秋山遠。鱗鴻隔海門。寒牕半夜月。應照故鄕園。</text>
<title>春事</title>,<text>春城花欲明。谷口鳥相語。地僻故幽居。不知歲換去。</text>
<title>蕩春臺卽事</title>,<text>夕陽入洞天。芳草茂陵逕。古寺隔煙霞。時聞禮佛磬。</text>
<title>梅</title>,<text>擁腫形偏古。精神衆木超。相看春脈脈。新萼着南條。</text>
<title>漫吟</title>,<text>風月三間屋。蓮魚數畝池。小窓閒日下。高臥愛吟詩。</text>
<title>夜坐。次農巖韻。</title>,<text>滿庭中夜月。松檜自淸陰。散髮平生臥。微風吹素襟。</text>
<title>武溪洞</title>,<text>出郭無塵事。臨溪聽水聲。煩襟方灑落。啼鳥若爲情。</text>
<title>祈晴</title>,<text>一雨連三月。祈晴故不晴。民情已遑急。田野判無耕。</text>
<title>病中對客</title>,<text>老病無心臥。對君一破顔。語皆塵事外。詩或酒杯間。</text>
<title>肺病</title>,<text>肺病還逢夏。孤懷去歲同。時能有佳什。朗詠起衰翁。</text>
<title>述懷</title>,<text>貪宦非干祿。只緣得養親。子亦霑恩重。俱爲報主身。</text>
<title>聽池蛙</title>,<text>一雨破炎熱。六月動微凉。得意蛙鳴亂。何獨任池塘。</text>
<title>夜坐</title>,<text>獨夜坐無寐。孤燈細雨時。百蟲鳴戶外。秋思轉堪悲。</text>
<title>感懷</title>,<text>病裏添吾祟。偏傷骨肉情。飜思日沉醉。寧復慰餘生。</text>
<title>夜坐有感</title>,<text>中宵起太息。骨肉思無邊。蟋蟀悲何事。長鳴到曉天。</text>
<title>秋夕</title>,<text>自生風樹感。猶闕展先塋。白首西風淚。那堪反哺情。</text>
<title>霜菊</title>,<text>耿介平生節。誰移自出塵。霜雪凋零盡。天工怨不均。</text>
<title>聽鴈</title>,<text>自知南北信。霜露惹羈愁。影過三更月。叫深一片秋。</text>
<title>淸風溪</title>,<text>山繞淸風靜。雲隨綠樹深。誰知形勝地。偶此滌塵心。</text>
<title>偶吟</title>,<text>竆何關世事。擊劒歎浮生。形役終難捨。江湖負宿盟。</text>
<title>讀原道</title>,<text>學道存仁術。修身及性行。明明謹有德。先正本心誠。</text>
<title>忠州途中日昬。吟愁字。</title>,<text>日落深山裏。人皆畏虎愁。吾行是王事。夜路亦何愁。</text>
