<title>春吟</title>,<text>日動春浮木。霧收花滿原。急呼一壺酒。遊遍到黃昏。</text>
<title>排悶</title>,<text>旅舍頗涔閴。覊懷只苦吟。無人送絲竹。與我寫煩襟。</text>
<title>寄朱寶城君一 重純</title>,<text>酒熟雲田社。月明豐沛樓。人間淸福是。好去不遲留。</text>
<title>送吳察訪仲溟 鵬南 得由還鄕</title>,<text>薄言送督郵。惠化高門樓。杯勺不成醉。眉端凝別愁。</text>
<title>平澤東軒偶題</title>,<text>芙蓉山似畵。五柳舘如船。非無好詩料。所事不存焉。</text>
<title>永保亭</title>,<text>關北大癡叟。湖西永保亭。淸秋携短劒。落日倚脩欞。</text>
<title>送洪學士 梓 歸洛</title>,<text>靑門落日若爲情。朔野春開朔雪晴。廊廟卽今聞有議。鏡明中半易回旌。</text>
<title>歇惺樓</title>,<text>俗客入山山必誚。故將雲霧秘眞容。自喜吾應仙分在。衆香城下夕陽彤。</text>
<title>別杜鵑花</title>,<text>出自深山入洛陽。紫煙巖下擅名香。風流宰相應憐汝。祗恐嬌紅妬衆芳。</text>
<title>除夕</title>,<text>爲詩除夕全無料。千古詩人已盡吟。且置不如過此夜。新年容俟作新音。</text>
<title>送宋新恩 相殷 還鄕</title>,<text>晝錦南還海上州。他年何處續前遊。娟娟西別堂前月。一笑回頭已一秋。</text>
<title>寒山寺</title>,<text>永保亭前海接天。姑蘇城外客乘船。何須夜半鍾聲到。直上寒山寺裏眠。</text>
<title>淸潭</title>,<text>好是淸潭宿雨晴。卧雲樓上白雲生。剔苔祗誦尤翁句。杖屨何年此地行。</text>
<title>余年六十五歲。計之二萬二千四百日矣。口呼。</title>,<text>世說流年若流水。以我觀之水不如。三分三萬六千日。二已瞥過復幾餘。</text>
<title>贈許吉州 汲</title>,<text>一面便如舊。得公談笑中。英姿荷出水。傑氣鶻浮空。廉袴謠應作。張歧瑞亦豐。擁旄知不遠。自有將家風。</text>
<title>叙別</title>,<text>小燈仍別話。異地各覊遊。贈語留靑眼。忘年慰白頭。侵星人上馬。伴月客登樓。濯錦江何處。氷程起遠愁。</text>
<title>冬至</title>,<text>此日無端送。今年復幾餘。病深書課退。戒在酒樽疎。陽運灰先動。天機梅欲舒。使君詩格老。多是惜居諸。</text>
<title>次兪進士 漢雋 韻</title>,<text>漢陽爲旅食。弊褐十霜寒。親命來千里。君恩入此山。勤心護兩寢。留眼遍羣巒。壁上紗籠勑。瞻來敢自安。</text>
<title>戊戌鄕行</title>,<text>策馬出東門。官程花柳繁。魚能入江海。禽始謝籠樊。幾日參蓮社。餘年寄菜園。終南回首意。爲是佩鴻恩。</text>
<title>夜坐書懷</title>,<text>四載離家久。一官爲客同。涪溪應此月。彭澤忽秋風。有夢時憑蝶。無書或寄鴻。深更成獨坐。懷思劇冲冲。</text>
<title>賦庭中三香樹</title>,<text>羅列三香樹。淸凉滿地陰。最憐異凡木。不許托塵禽。雨露偏宜養。斧斤不敢侵。眄來自怡悅。却憶古人心。</text>
<title>送吳仲溟還鄕</title>,<text>子以督郵歸。鄕山馹騎飛。臨風子夏淚。落日老萊衣。蟻夢黃粱枕。鷗盟綠水磯。朝廷應勸起。北士似君稀。</text>
<title>暮春之晦登雪城</title>,<text>接袂穿行磵徑微。殘花輕薄易紛飛。便過今日春都盡。偶値荒年醉亦稀。客弄玉簫開好抱。花明錦障拂遊衣。閒中詩律摠餘事。作伴靑春猶未歸。</text>
<title>卽事</title>,<text>高樓步下又登船。强半吾行地上仙。終日無心逢白鳥。夕陽擡眼看靑天。龍門山色迎杯裏。燕尾灘聲送枕前。好是驪珠容易摘。蘋風不起老龍眠。</text>
<title>贈別申校理 暐</title>,<text>嘶雲征馬向秦川。驛路東風景物鮮。玉玦遠投千里地。金環俄自九重天。更爲侍座知何處。忽漫承顔惜別筵。華省登揚應不遠。須將長策固荒邊。</text>
<title>答人嘲遠看金剛而近捨七寶</title>,<text>金剛爛漫作奇遊。七寶粧鬟笑下流。試問題詩洗心㙮。誰如倚杖歇惺樓。看山不必論遐邇。探景要須卞劣優。會待秋風多暇日。明州且過展吾眸。</text>
<title>題天然子詩軸。用鳳凰聯格。</title>,<text>天然詩律亦天然。不着繁粧自艶鮮。淸宵獨唳何心鶴。別樹時聞盡意蟬。雲開風送盈盈月。雨淨池涵淡淡蓮。一讀生香滿牙頰。依俙笑拍洪崖肩。</text>
<title>次石梅韻</title>,<text>石丈梅仙孰重輕。氷魂雲骨一床淸。癯容頂揷芳英綻。淨榦根穿硬竇生。五日畵工難下筆。千乖處士獨留名。浩然不在元章遠。伴聽幽人講讀聲。</text>
<title>夜吟</title>,<text>細思自憐吾計癡。薤鹽飽喫欲何爲。綠簑一擲緣爲客。黃菊再開空有詩。九月寒衣猶未授。三秋鄕信渺難知。商量不若歸家好。上有高堂下穉兒。</text>
<title>送或人還洛</title>,<text>公歸不可吾無語。載石投錢摠漫辭。爲政標高傍郡縣。崇儒學仰大宗師。邊城施惠來何暮。廊廟須賢去不遲。也識幷州應有戀。行看玉節此躕踟。</text>
<title>送李兵使 敬懋</title>,<text>買絲欲繡李元帥。自是輿論非我謀。營校息肩恩共飽。丘甿加額德難酬。餘閒揮筆龍蛇動。漫興吟詩神鬼愁。細柳春風臨別意。磨天嶺路愼行輈。</text>
