<title>畫</title>,<text>梅梢老鶴立。顧眄意何如。萬里秋空闊。飄然逸翮舒。</text>
<title>逍遙</title>,<text>閒來無事步村墟。春日淸明小雨餘。遠近風光都領略。草堂長晝且看書。</text>
<title>夏日偶吟</title>,<text>炎夏虛堂午睡回。淸飀陣陣四邊來。箇中老子都無事。臥看紅花日日開。堂前有百日紅</text>
<title>下雞雛</title>,<text>伏雞時日久。將子始成羣。黃白纔交化。雌雄姑未分。未論仁智德。先見化成源。不必求家利。呼童護養勤。</text>
<title>巢燕</title>,<text>白屋人誰到。三春燕占棲。捲簾便出入。借壁任高低。可喜當簷語。不嫌落案泥。靜觀綢戶處。終始用功齊。</text>
<title>忍飢</title>,<text>我性疎慵飢固宜。飢來莫若忍之爲。細思一切人間事。羞辱多從不忍飢。</text>
<title>挽農窩權丈 爾麟</title>,<text>先子忘年契。故家異姓親。况兼同社好。偏荷擊蒙頻。泣玉關時命。耕田任素貧。庭梧鸞鵠峙。餘慶卜他辰。</text>
<title>挽李戚五應 奎東</title>,<text>謂君未敢死。胡忍遽重泉。祖服朞年內。親闈百歲前。子淵嗟不幸。伯道柰無傳。戚記詞場契。性安涕汪然。</text>
<title>挽族叔 逑贒</title>,<text>我欲駕長風。陟戲訟瑤皇。有善未必慶。有惡未必殃。驗之於吾公。此理何茫茫。天公若有意。厥初降非常。平生眞實姿。得來非勉蘉。家庭盡愉怡。宗黨推敦良。處己以沉靜。接物無畦疆。本地旣耿介。餘事兼詞章。揮手走龍蛇。開口吐鳳凰。弱冠遊文苑。聲譽動州鄕。儕類視模範。門戶倚棟梁。謂宜假之年。成就不可量。那知邂逅疾。沉淹經二霜。神鬼竟不仁。靡效試靑囊。三旬白駒隙。一夜風燈忙。猿腸痛斷寸。鴈影悲失行。可憐閨裏孀。結縭二載強。哀哀三時哭。行路猶沾裳。况復一塊餘。非所望構堂。宜豐反嗇報。宜壽還殀殤。誰謂天可必。到此歸荒唐。忽焉念疇昔。有淚自滂滂。親雖叔姪分。情與兄弟當。公以吾稍長。文義時確商。我以公多藝。筆畫資潤光。公憐我之孤。我襲公之芳。無時不相隨。無處不相將。今焉嗟已矣。萬事都亡羊。最惜吾門內。文運日凋喪。先輩次第零。後生迷向方。吾儕若干人。聚首事文房。從今更何爲。便同失路倀。有時對道叔。無意啓書緗。嗟吾未四十。人事悲黃粱。客春景綏逝。看公涕盈眶。云胡數月裏。公又繼之亡。公亡嗟未幾。五應遽北邙。未知九泉下。與之共徜徉。幽明旣殊制。卽遠已束裝。攀紼不忍訣。回首問彼蒼。蒼穹竟不語。曉月照西廂。</text>
<title>奉別金府尹 尙集</title>,<text>吾州壬癸餘氓在。牙纛重看自古家。丘壑濟來傳手段。巷閭興起復弦歌。深山正穩厖眠戶。歸路應敎鵲擁車。連世桐鄕偏荷奬。離亭斜日感懷多。</text>
<title>挽辛丈 命祉</title>,<text>早辭場屋卜閒居。竹巷蓮堂處士廬。靜裏無關當世事。牀頭時閱聖贒書。康寧足令人咸羨。仁壽從知理不虛。戚誼更兼先契重。攀輀回首謾沾裾。</text>
