<title>夏日訪愚山</title>,<text>盡日尋幽處。緣溪逕轉斜。暗香時撲面。風動野棠花。</text>
<title>自劒潭。至淸巖。三絶。</title>,<text>一水去迅駛。千巖屢迎送。桑麻互蔽虧。村犬吠如夢。劒潭及淸巖。沿緣三里餘。雖無眺望勝。端合置茅廬。淸江飮作泉。白石坐爲茵。但使有釣竿。足以老此身。</text>
<title>宿道南書院</title>,<text>江氣涵虛上翠樓。月明人語在汀洲。三更醉夢無人喚。風打松篁滿院愁。</text>
<title>除夜書懷。寄愚山子鄭士仰。宗魯。</title>,<text>紙牕風撲小燈懸。病思悠悠歲暮天。每到新年如有得。閱來除日却茫然。天邊遠鶴雲生翅。壑裏孤松雪滿顚。欲鍊神丹成九轉。何時凡骨換眞仙。</text>
<title>宿竹門</title>,<text>秋日竹門宿。茅簷缺月懸。水聲中有石。山勢北無天。</text>
<title>春日</title>,<text>睡起寒廚報晩蔬。客來時復笑談攄。遲遲日晷悠悠過。慚愧牀頭數卷書。</text>
<title>過道院</title>,<text>古廟蔭松枏。儒賢吾道南。雲深層壁立。江靜夕陽涵。香火儒風遠。烟霞客意酣。千秋絃誦閴。秖有暮朝嵐。</text>
<title>陜川</title>,<text>南邊雄府陜州城。官道旗亭住客行。竹葉碑西斜日落。孤雲寺下亂山平。坐看世態浮雲變。行趁春風芳草生。但使此心隨處穩。科塲何必費經營。</text>
<title>靈源庵。步溪邊濯足。</title>,<text>薜洞深無底。巖蹊細作層。微泉響淙瀉。老樹氣陰凝。濯足同遊客。鳴筇獨去僧。行歌山日暮。坐見嶺雲興。</text>
<title>次愚山子用杜集中韻</title>,<text>古人不可見。宇宙來無盡。同心在默契。何論遠與近。况復生並世。潛深伏林隱。交臂或相失。往往由拙謹。所以求之遍。不避流俗哂。出門皆鑿枘。且復容隱忍。之子名賢後。緩步有規準。脫去文藝習。欲學古顔閔。維時夏孟月。翩然枉蓋軫。掃榻如宿約。令我形迹泯。淸談逮夜分。味道破薺菫。妙語追唐賈。推手動京尹。吾病未濟師。子壯宜擁盾。棄置何足道。勉哉訥而敏。</text>
<title>棲黃嶺寺。復寄愚山子。二絶。</title>,<text>蘭若住白雲。白雲無朝暮。東風似故人。隨我竆山路。千山夜寂寥。老釋睡相向。春月多意態。娟娟梅嶺上。有共棲梅庵之約而不來。故云。</text>
<title>過陽山寺</title>,<text>秋深萬壑夕陽低。黃葉索索鳴馬蹄。溪邊白石瀅無塵。流水被之淸粼粼。胡爲捨此會心境。汩沒東西無日靜。繫馬林間空歎息。仰視曦陽萬丈壁。</text>
<title>和柳煕甫 榮春 次濂溪先生大林寺韻</title>,<text>春陰連臘雪。遙峽遞微明。小砌憐禽語。疎林辨鹿行。詩成牕月白。睡失曉鐘淸。幽寄此焉久塵心漸覺輕。</text>
<title>代人輓伴鷗亭主人</title>,<text>雨歇烟沙草色微。白鷗無語自孤飛。圖書滿架藏遺馥。棟宇臨江掩落暉。地上眞仙元識字。世間淸福在忘機。知音山水淸無盡。留與佳兒理舊徽。</text>
<title>登德峯。望愚山栗里。</title>,<text>水轉山回二子居。山邊小屋夕陽虛。遙知半榻明牕下。午睡初醒好看書。</text>
<title>次愚山子白雲詞四絶</title>,<text>白雲性靜閒。不管行雲去。散入峯嶺中。淡月明宿處。幽人愛白雲。莫敎山外去。却恐人來尋。不言雲在處。我欲尋白雲。川原杳難去。願隨明月影。直到孤峯處。孤高誠可貴。塵紛自遠去。但恐徒自愛。難得到上處。</text>
<title>宿淸溪店</title>,<text>茅窨寄在亂山交。揷竹爲門疊石橋。枕底山溪鳴㶁㶁。不嫌吟病度殘宵。</text>
<title>竹門秋事</title>,<text>深秋峽氣日蕭森。萬樹丹凋響夕禽。種秫居民兼悍樸。佩茱佳節迭晴陰。風傳遠瀨吼仍咽。鳥度寒空瞥更沉。步出前溪尋勝去。佛龕仙舃散幽襟。</text>
<title>曉發嘉興</title>,<text>江臯江氣曉霏微。遠峀雲烟一色圍。出日透紅雲氣薄。老枏脩竹盡依依。</text>
<title>舟行遇風。回泊三洲。</title>,<text>扁舟如畫水如空。柳暗花明落照中。却怪江神多戲劇。無端吹送滿帆風。</text>
<title>自龍山到西江岸上亭觀羅絡</title>,<text>朱欄畫閣迥臨空。十里烟沙活畫中。頗恨主人迷醉夢。一春花柳任東風。</text>
<title>入宋洞。訪鄭祖胤書莊。</title>,<text>逕轉松陰復澗濱。桃花深處小齋春。城南別榭人誰在。谷口惟逢鄭子眞。</text>
<title>秋懷 四首</title>,<text>秋氣日以悽。園林日以疎。槭槭感素懷。悠悠尋荒墟。落葉翳寒逕。凉飆振枯株。燦燦黃金菊。芳華猶自如。永懷林居子。歲暮守竆廬。秋懷感人心。所感諒多歧。憭慄以變衰。楚客悲遭罹。蕭條同老朽。達士歎書帷。而我異於是。默念年光馳。眞同弱喪者。棲棲靡所歸。驅車駕言邁。周流洞八極。俯憫流俗卑。遠慕天游闊。汎覽無竆際。徊徨歧路側。鬢髮颯已衰。忽如夢自覺。顧視還在此。仰望不可越。冄冄逼頹景。默默數平昔。寡過思學蘧。鄰雞每攘月。摧頹病沈痼。坐求三年藥。因仍甘懶散。其如近自畫。努力期桑楡。日夕望三益。</text>
<title>君子亭 在安義花林洞</title>,<text>君子經行處。千秋盤石存。老苔斑遺馥。淸水活來源。卽地追心賞。何人理緖言。歸來臥禪室。宵夢滌塵煩。</text>
<title>迦葉庵 在猿鶴洞</title>,<text>聞說奇庵碧嶂尖。望中雲樹束如髥。斜通一竅珠穿線。戌削千層陛盡廉。泉汲石間鍾乳窟。烟生崖底木皮簷。居僧亦解遊人意。笑指前山掛玉簾。</text>
<title>輓南野朴公 孫慶</title>,<text>春來霜氣厚如銀。巖畔梅花欲損神。南野先生今下世。東都處士遂無人。徐公行義終資學。韓子文章力返淳。可惜吾東無史傳。高風誰使振頹湮。</text>
<title>寄愚山</title>,<text>端居秋意正難刪。俯仰乾坤屬一環。寒梅隴上無來信。䕺桂山中獨往攀。白雪寡諧吟自苦。金丹未鍊鬢先斑。卽今三逕殊牢落。籬菊將凋月欲彎。</text>
<title>寄張蓬巢 漢師</title>,<text>竆居久無客。長夏掩蒿蓬。天地惟吾輩。江山自主翁。雨連遙夜黑。燈宿小牕紅。此際憐滄老。吟鞭拂海風。</text>
<title>曉發石串</title>,<text>杪秋月警眺。曉行已凜惕。遠樹標餘霧。高峯點初旭。喔喔亂雞喚。泠泠幽澗滴。趁投甘泉店。煖酒慰行役。</text>
<title>盤石</title>,<text>盤陀一石勢平攲。橫壓溪流濺濺飛。可合安排營小閣。更將還繞作方池。危懸竹檻供垂釣。劣拓松楹倚著棊。復有前林添勝賞。秋來柹栗剩霑飢。</text>
<title>自警十一絶</title>,<text>躁則不耐事。狹則難容人。二者相爲用。一朝忘其身。苟非性者姿。孰能無褊疾。所以古人學。惟在變氣質。氣質是何物。二五之所賦。隨淸濁厚薄。有昏明駁粹。寄寓形體內。主之者心君。變之果何以。知行如翼輪。平居知得徹。是非森方寸。臨事更硏審。硬脊行不倦。久久無間斷。然後方變得。知明氣變濁。行美質變駁。吾儕浪有意。急處渾無賴。細究其病源。豈無所因祟。每從偏處見。不向偏處克。這邊雖或明。零碎竟何益。那邊轉暗塞。安得望矯揉。况又塵俗累。日以心爲構。卒然撞利害。依舊氣質用。平生讀書功。盡被俗人哄。我亦迷方者。靦然發深省。矢辭諗同志。共勉在矯警。</text>
<title>敬次東巖亭韻</title>,<text>東山小築倚巖頭。晩歲藏修愜地幽。密密開交尋岸馥。源源來續看川流。不嫌淡泊從吾好。要警澆漓向外求。萬事人間無可說。陳編勘訂是歸休。</text>
<title>次李際可 秉運 韻</title>,<text>僕馬來尋崖路崎。墟烟暝樹月窺時。君詩如畫水生菡。我意欲歌山有枝。征邁新功年富日。激昂高節歲寒期。况當邪沴橫流世。大樹家聲益勉之。念慮萌時計較先。纔生計較便非天。被它點却虛明體。雜種紛然方寸田。右慾人於忿懥未能無。每見它人不見吾。它人是非何關我。弄得眞成一箇愚。右怒</text>
<title>輓張蓬巢</title>,<text>雅潔孤高無與倫。寒梅瘦竹見天眞。忍令仙骨埋深土。誰識千秋若箇人。一室圖書左右深。四時花藥暮朝吟。柴門爲我開相向。談笑能消鄙吝心。琅然笑語出簷端。一片精神秋月寒。死後未應隨物散。泠泠風瀑在山間。</text>
<title>輓惠寰居士 李用休○代人作</title>,<text>十年瞻仰少微星。我欲從之河漢盈。流水高山嗟已矣。死生無那負平生。不讀先秦以後書。高懷磊落謝蟲魚。玄亭獨閉無人問。照字藜燈限石渠。攲枕晴齋玩古易。小牕開闔亦乾坤。雞鳴犬吠渾眞境。門外朱輪任自喧。弘道先生有耿光。先君曾掃舊門牆。餘生落拓風塵外。往歲夤緣拜匡牀。短敍長篇贈我行。水光山色共崢嶸。摩挲古篋餘光怪。傳誦山南識正聲。古堤垂柳斷厓春。麥雉朝呴馬亦神。二老丹靑皆造化。先生又是七分人。猿啼月出五更殘。白首香山淚不乾。大筆揄揚題斷隴。土中冤魄渠應寬。鑾燭恩榮草詔多。世間爭說小東坡。一代誰能傳大硯。梅山家世有光華。</text>
<title>輓崔參判 光璧</title>,<text>自出名賢宅。彌甥我亦同。孤蒙依外氏。憐撫記閼逢。重以夤緣久。頻承眷誨隆。敢言鋪盛美。粗有效微衷。竦直肩劉子。端凝目李公。名關透妙歲。典訓著新功。莅邑懷如子。趨朝筮匪躬。超資擢卿月。範俗殿儒風。秩繼松亭峻。門增訒老崇。愈思謙以牧。自視欿然空。縕藉非隨骩。堅貞却內充。風翻波幾盪。玉遇石彌攻。往歲鍾懸舍。前階菊滿䕺。蓮袍攜小阮。柏府侍阿戎。情話欣親戚。衰顚歎懶慵。春來方報健。客地忽傳凶。鄕社虛遵席。庠衿撤庇幪。那堪過友榭。風瀨咽雲松。</text>
