<title>山月</title>,<text>靑山太古面。秋月聖賢心。山與月長對。百年托契深。</text>
<title>泗濱講會。伏次家大人韻。</title>,<text>山水濃如畫。巋然百世祠。法門衰敗日。功令競馳時。秖恐草生野。莫敎鷰蹴池。丁寧說與意。千古晦翁規。</text>
<title>直厨院三日述懷</title>,<text>三日君王近。一年定省違。重光歌頌日。安得赦文歸。</text>
<title>泮邸次李德懋 敬儒 韻</title>,<text>間日三旬雨。坐看屋上苔。夙心歲與去。衰相病同來。遮眼丌無卷。望鄕山有臺。子規啼欲罷。再見洛花開。</text>
<title>贈南姨兄宗伯 漢朝</title>,<text>君自仙遊洞裏來。胷中元有一蓬萊。攜筇萬二千峯日。應有仙人石榻開。</text>
<title>仲弟疇瑞 洛休 臨歸。以短句送之。</title>,<text>明日君將發。今宵月又明。呼工強作樂。摠是別離情。</text>
<title>題亭壁</title>,<text>溪山禽鳥日來嗔。廿載風烟屬底人。無語解嘲還有淚。天恩未報退歸臣。</text>
<title>春日亭居卽事</title>,<text>竹君不耐寒。梅兄三月笑。物性亦不古。抱膝一長嘯。</text>
<title>對月有感</title>,<text>中宵萬籟寂。牕月上三竿。未發虛明體。天人乃一般。</text>
<title>病中送姪兒少文。入上朴寓所。</title>,<text>將母却離父。山蹊回首頻。抽身閒界去。盍與古人親。</text>
<title>輓金昌汝 啓運</title>,<text>古家吾嶺最。賢胄接前徽。荀里門閭大。江宗統率歸。淸疎自本色。隱約是眞機。耉造今誰在。靑山葬布衣。</text>
<title>輓詞[李仁行]</title>,<text>澗流泠泠響玉琴。湖山今古有遺音。欲知晝夜無停妙。看取源泉靜以深。潛德曾蒙聖主知。哭弓中道柰關時。刹塵惟有身心在。灤水前秋老淚滋。憂時恒似切身痾。國事徒從士趨訛。周隱昌言重起感。回淳須罷廿年科。先聖昭垂不二門。先師說敬皦如暾。直愁斷渡無人溯。接引疎愚德意溫。世道年來舟下灘。東南一柱障狂瀾。魯墟又見靈光蹶。回首高山涕自潸。</text>
<title>輓詞[金是瓚]</title>,<text>詩禮傳名父。省存學大師。雍容吾黨表。剛硬聖君知。八耋跟重矩。三城口作碑。斯翁今已矣。南嶺益凄其。</text>
<title>輓詞[李頤淳]</title>,<text>學而優則仕。古道見於今。三世傳文獻。八旬養性心。淵源湖水遠。雨露華陵深。遺業將誰托。稺孫已勝簪。考槃猶在澗。童佩蚤遊門。自出惇家訓。同年愧國恩。後生無足畏。吾道復誰存。涕枕相憐誼。篪牀可共論。</text>
