<title>讀小學書自警 辛巳</title>,<text>言行必忠信。聖賢爲師法。歲去苟無學。悲歎復何及。</text>
<title>秋懷</title>,<text>秋來病起减腰圍。倦枕看山繞翠微。黃葉村深人不到。雀羅終日掩柴扉。</text>
<title>次閔公紀 鍾顯 韻 壬午</title>,<text>山色當虛牖。松陰覆小溪。懷君寂寥坐。花落鳥空啼。</text>
<title>幽情</title>,<text>故宅圓峯下。身閒似隱居。蛛絲披古畫。蠧篆曬殘書。嶽翠當簾靜。花光入戶虛。幽情聊自適。何必返鄕廬。</text>
<title>逸休亭。見叔氏參奉公揭壁詩。次韻寓感。二首○癸未</title>,<text>洞人來訪我。相見盡相疑。八九年前事。依俙共說悲。其二此生多感涕。舊墅坐春晴。花發同誰賞。空林但鳥聲。</text>
<title>自警</title>,<text>人生皆性善。此理本於天。堯舜猶可及。自强則自然。</text>
<title>將發海州行。悵然有作。岳丈趙公爲海伯。○乙酉</title>,<text>出入將何告。分張只自悲。村燈鷄唱後。山雪鴈過時。弟妹皆殘淚。親朋有餞詩。行人莫催發。惜別故遲遲。</text>
<title>宿靑丹驛</title>,<text>一朝離翠白。三日抵靑丹。孤枕耿無寐。强披詩卷看。翠白。故第堂名。</text>
<title>碧城除夕</title>,<text>海鄕淹滯歲將遷。爆竹家家漲夕烟。畫角聲殘無夢寐。不堪羇思轉凄然。</text>
<title>九月八日夜 丙戌</title>,<text>爲客常多病。衣裳早覺凉。一年眞逝水。明日又重陽。白酒難成醉。黃花只自香。夜深開戶望。霜月鴈聲長。</text>
<title>謁崧陽書院 丁亥</title>,<text>苔蘚蒼蒼一院封。靑袍斜日淚龍鍾。空霑雨露王孫草。不變風霜故宅松。萬古雲霄瞻氣像。七分圖畫識儀容。更尋善竹橋邊去。流水聲中植短筇。</text>
<title>東坡冬至夜。陪岳丈退軒趙公 榮順。拈杜翁韻。</title>,<text>寥落東岡歲色催。羣陰剝盡一陽來。大音已協黃鍾律。煖氣潛吹玉琯灰。雪後初逢今夜月。山中復見去年梅。覉蹤强欲酬佳節。攀和高篇更把盃。</text>
<title>北營君子亭。與李國之 耉永，金時可 履中，誠道 履顯，沈景張 公藝，景晦 公著，趙安叔 榮慶，曾一宗喆，子敬 寅喆，大而 宇喆，宋稚存 養鼎，洪履之 羲綏，金可久 魯永，兪聖大 駿柱，金伯敬 魯直 投壺賦詩。戊子</title>,<text>我有靑驢慣北山。皇壇松栢洞中間。勝遊又續今春會。末至猶偸半日閒。憑檻水聲晴聒耳。涉園花氣暖醺顔。新詩讀罷西暉下。更與投壺便忘還。</text>
<title>與時可，景張，安叔，履之，聖大會話于稚存家。</title>,<text>重踐佳辰約。聯筇帶晩霞。臭蘭金子契。喬木玉爺家。韻遞籤三藁。盃巡筭幾花。莫嫌遊佚宕。爲是惜春華。稚存玉吾齋之孫。而時可最親。故頷聯及之。人以佚宕譏吾輩。故末句及之。</text>
<title>寄趙仁叔 鎭宅</title>,<text>君居桂谷我花田。別緖經春倍黯然。聞說近從江上住。他時應泛子猷船。</text>
<title>中本店曉發</title>,<text>遙村鷄報曉。征僕筭盤錢。曙色雲低野。凉輝月掛天。柴門騎馬出。松火導人先。去去迷前路。靑山杳靄邊。</text>
<title>訪歸樂堂。愴懷有吟。己丑</title>,<text>故宅春來杜宇悲。江山依舊主人非。孤花自發臨塘樹。老柳猶垂近巷枝。殘墨年深蛛網設。空簷日暖燕巢依。傷心歷歷當時事。頭白村翁說且噫。進退韻</text>
<title>翠白堂。占廬字。</title>,<text>先祖相公一弊廬。小孫猶是任閒居。門前芳草夕陽裏。山下碧桃春雨餘。舊業三家分井臼。遺芬五世守圖書。白蓮池畔靑瓜圃。耕食從今更付余。池畔瓜圃。舊傳先祖所耕故云。</text>
<title>先人周甲日。會兄弟姊妹。行薦新儀。退而述哀。</title>,<text>孤露偏憎歲月移。先人周甲後人悲。衣冠永閟思何極。豆簋空陳養莫追。萬事不堪風樹淚。半生廢讀蓼莪詩。年年此日伸誠禮。如見爐香陟降時。</text>
<title>陪叔氏與姨兄李喬伯 義弼 及李敬命 義肅。訪吳克卿 載紹貞陵齋居。</title>,<text>城東聯屐出。雨過淨秋天。翳翳洞中樹。涓涓石上泉。頓令塵慮息。渾忘夕陽懸。欲記同遊處。山齋老檜前。</text>
<title>將遊北關。和諸友贐行韻。岳丈趙公爲北伯。○庚寅</title>,<text>卽物添離緖。梅零雪共紛。玆行將出塞。何處是摩雲。千里爲遊客。三春正憶君。投詩當贈策。持此慰相分。</text>
<title>曉踰鐵嶺 二首</title>,<text>氷程叱馭最高巓。月落星殘欲曙天。嶺上宿雲猶不散。逐臣餘淚曲中傳。白沙李文忠謫行到鐵嶺。有宿雲詞。其二登登星斗近衣巾。氣欲崢嶸更爽神。十里羊腸三百曲。上蹊人語下蹊人。</text>
<title>月夜登樂民樓</title>,<text>危樓乘月坐如浮。楚色蒼茫去鴈愁。小妓亦知淸夜好。數聲歌曲倚欄頭。</text>
<title>雨中登至樂亭</title>,<text>咸山形勝控斯亭。沙際微茫柳意靑。園裏梨花方欲綻。不嫌遲日雨聲聽。</text>
<title>寒食日登樓</title>,<text>關外春闌未見花。嫰黃籠柳淡烟斜。登高望遠增惆悵。寒食年年不在家。</text>
<title>方向七寶山。與趙仁卿 元喆，成卿 貞喆 兄弟及康美伯 錫彦 出城口占。</title>,<text>七寶昔聞名。今春始此行。古人詩數卷。匹馬海東城。初日松間照。靑山柳外明。玆遊應最勝。與子擬題評。</text>
<title>咸關嶺。次農巖集韻。</title>,<text>遠上咸關嶺。停輿坐晩風。下臨峯撲地。東望海連空。崖樹纔通騎。邊雲幾送鴻。看花忽開睫。春色洛陽同。</text>
<title>月波軒。敬次三世板上韻。</title>,<text>蓮幕從軍歲。荷衣去國時。北關三世蹟。東壁五言詩。鳥道天雲嶺。鯨波日月池。餘生多感涕。憑檻夕陽遲。</text>
<title>摩雲嶺</title>,<text>物華非故國。風俗是遐陬。地設關防險。人多逆旅愁。馬頭峯日轉。鴈背海雲浮。隨處幾吟眺。還忘千里脩。</text>
<title>老德書院。謁白沙李文忠畫像。</title>,<text>忍說當年丞相行。湘潭故宅書圖明。國憂滿集雙眉皺。世道思將隻手擎。但向歸雲憑涕泗。敢祈明月照精誠。大名今古人皆仰。祗謁祠門一愴情。</text>
<title>北靑城外。見軍容有作。</title>,<text>節度營前刺史迎。陣門開處砲三聲。干戈滿地魚龍伏。笳角翻風虎豹驚。大將威儀方識壯。靑州部曲合稱精。從今不患關防策。肯使胡兒飮馬行。</text>
<title>宣化堂。陪岳丈，廵相拈韻。</title>,<text>坐鎭藩方歲已過。良辰無事費吟哦。書生壯志頻看劒。閽卒閒眠每枕戈。絶塞關防戎務重。大都樓觀客遊多。梨花落地棠陰遍。請採民風入雅歌。</text>
<title>自重泠至平邱</title>,<text>暮涉重泠水。行嗔老馬遲。恐違紅樹色。忙趁白崖期。山轉平邱驛。江鳴石室祠。孤村仍歇泊。初夜上燈時。李兄喬伯方寓居白崖。約與同遊。</text>
<title>豆尾途中</title>,<text>山栝蒼蒼山菊黃。緣江一路斷崖傍。崢嶸峽氣楊根遠。淅瀝灘聲豆尾長。踏過穹巖呼酒榼。折來丹葉掛詩囊。行行忽遇孤僧語。八月金剛已雪霜。</text>
<title>訪李兄喬伯白崖寓居</title>,<text>門對澄江背碧山。一樓高枕樂閒閒。蘆花淺渚晴鳧浴。槲葉疎籬暮鳥還。漁艇沿洄殘照外。孤城隱約白雲間。淸琴畫局皆幽意。珂馬浮榮自不關。</text>
<title>泛波亭</title>,<text>峽氣霜淸浦柳稠。洪城舘外撼寒流。靑山漠漠日低野。落葉蕭蕭風滿樓。一道灘聲渾作雨。數家烟火不勝秋。遠游自有鴟夷酒。手折黃花暫醉留。</text>
<title>合江亭。次板上韻。</title>,<text>布帒菴邊路。臨江有古亭。楓陰經雨薄。松籟引風泠。急峽流何駛。羣巒勢不停。徘徊懷往蹟。落日下空汀。</text>
<title>望雪嶽</title>,<text>奇巖一一白崔嵬。錯把山光認雪堆。鍾得海東英淑氣。較諸楓嶽孰雄哉。</text>
<title>向寒溪</title>,<text>登登山路峻。又經曉雨滑。折松掃殘雪。幾回捫石髮。脅息不能前。楓林坐暫歇。君言瀑尙遠。我惜酒先竭。南眺伽尼峯。參天摠石骨。攢樹暮嵐積。遙空去鳥沒。飄然欲羽化。步步雲生襪。</text>
<title>寒溪瀑</title>,<text>君不見雪嶽山裏寒溪瀑。霧散雪翻無西東。石蒼蒼危乎偉哉。萬丈之壁高揷空。高揷空上承源。朝日照之生長虹。削立定經夸斧斲。飛流怳疑銀河通。但能遠望不可接。東臺坐御泠泠風。有時流急不着石。飄飄捲沫吹丹楓。手攀石蘿俯𢥠然。下淵十二深無窮。天下何限瀑布勝。誰其似者難爲雄。</text>
<title>槽淵</title>,<text>石澗亞承流。舂撞深幾尺。側身一色靑。上有莓苔壁。</text>
<title>永矢庵</title>,<text>幾疊靑山幾曲溪。行尋蘭若峒雲迷。此間勝賞知多少。摠入淵翁舊品題。庵傍。有三淵遺墟。</text>
<title>三淵遺墟碑</title>,<text>雪嶽公來重。雲陰記舊墟。當年游子跡。此地碩人居。苔老碑空在。林深寺獨餘。徘徊挹高韻。淸瀨過虛除。</text>
<title>水簾洞</title>,<text>潭淸石白映秋空。晴日丹藜倚晩風。正好携君山色裏。已能忘我水聲中。峯高怳訝神仙近。巖詭渾看造化工。祇恨斜蹊霜葉滑。上源雙瀑步難窮。</text>
<title>向萬景臺</title>,<text>踏來靈嶽遠。行看水簾淸。洞暗白雲氣。山寒黃葉聲。於仙應有分。與世久忘情。萬景知何處。登登絶壁橫。</text>
<title>彌矢嶺</title>,<text>蓬嶽之南雪嶽前。嶺高眺望更無邊。羣山落落平蟠地。積水蒼蒼遠接天。鳥度楓巖秋色拖。僧歸花寺夕陽穿。令人便有凌雲氣。巾服飄然坐若仙。</text>
<title>凌波臺</title>,<text>臺高凌白波。阧出浩渺間。谽谺石勢古。穿鑿巖形斑。磊磊呈萬態。摠是恠詭顔。亞或肖蜂窠。聳或如螺鬟。驚濤常出納。磨泐自成窟。風來響轟吼。日出勢蕩潏。有時浪如山。天際噴霜雪。排置豈人力。奇巧定鬼設。</text>
<title>三日浦</title>,<text>山開窈窕鏡中天。讀罷香碑更放船。紅葉影翻斜照裏。白鷗飛過斷霞邊。寺臨綠浦金渝佛。崖護丹書石化仙。三十六峯淸夜月。玉簫聲在述郞前。</text>
<title>七星峯日出</title>,<text>十里延曙色。孤舟入大澤。仙峯整位置。揷出玻瓈碧。光搖雪霜秋。勢壓魚龍宅。點點北斗數。灝氣千年積。櫓搖抵其下。泠風生肘腋。秦時採藥船。茫茫何處適。日出苦未出。滄濤忽中劈。赤波俄呑吐。玄雲更辟易。物受成五彩。照爛盈我席。羲和儼前導。上帝臨有赫。重重陳羽衛。萬里天五尺。頃刻倐萬變。異態不可跡。乍陰勝全晴。屢覩猶無射。</text>
<title>金幱窟</title>,<text>金幱窟。前臨浩淼之滄溟。舟人道是甘露壺。箇箇色如紫水晶。束立蒼石亞而空。海濤搗穴吼雷霆。不敢迫視竦余髮。且向叢石揚風舲。</text>
