<title>崐崙 庚子</title>,<text>磅礴結崐崙。西維地勢坤。高山通澤氣。萬里黃河源。</text>
<title>漢挐</title>,<text>瀛洲瑤草靑。玉笋出天半。中有鹿潭深。銀波上接漢。</text>
<title>金剛</title>,<text>巖巖峯萬二。瘦骨鍊剛金。浩浩九龍瀑。流添東海深。</text>
<title>智異</title>,<text>大岳蟠南州。峯巒奇且異。花開洞府深。或恐漁郞至。</text>
<title>隱洞</title>,<text>山南泉水近。宜稼亦宜醞。洞裏二三人。盤旋可與隱。</text>
<title>竹谷</title>,<text>昔人隱在玆。㵎谷餘殘竹。杖策浴淸流。山回第一曲。</text>
<title>支石</title>,<text>峽裏開郊坰。風煙乍曠夷。無端留大石。天上織機支。</text>
<title>龍泉</title>,<text>玉流飛半天。黝黑卽龍泉。膚寸興雲雨。九農同霈然。</text>
<title>長山</title>,<text>兩溪終有合。抱此一長山。山下屋臨水。柴扉盡日關。</text>
<title>水回</title>,<text>十里淸溪水。巖回水亦洄。漁村垂釣者。終日悠悠哉。</text>
<title>芚岳</title>,<text>採藥登雞岳。看花訪大芚。林禽迎我叫。似怪往來煩。</text>
<title>雲谷 新孤雲</title>,<text>山北朝看雲。山南暮宿雲。幽人愛白雲。山亦不收雲。</text>
<title>石泉菴</title>,<text>絶頂懸穹石。龕空靈氣積。冽泉鳴玉寒。可以供晨夕。</text>
<title>大乘菴</title>,<text>雲谷攀巖藤。精廬是大乘。却思搆一屋。終老伴閒僧。</text>
<title>俗離雲臺</title>,<text>天中蒼翠積。雲表玉臺遙。揮手謝塵俗。仙人如可招。</text>
<title>山陽溪舍。待人不來。</title>,<text>碧山隨地阻。靑眼隔年開。水閣懸燈夜。如何宿不來。</text>
<title>贈山陽主人</title>,<text>栗里村中叟。桃源洞裏人。素心渾莫逆。厖俗自相親。晩壑白雲嶂。淸溪明月濱。莫忘臨別意。霜髮更如新。</text>
<title>溪上</title>,<text>吾祖沙翁德業尊。傳家詩禮庇遺昆。睠焉溪上悠悠感。臨履淵冰佩格言。</text>
<title>想金剛 辛丑</title>,<text>至今秋夢裏。猶見衆香城。信筆記幽事。百年山水情。</text>
<title>登永保亭</title>,<text>湖西關防壯城池。壓水紅欄百尺危。大字皇明朱使筆。雄辭左海翠軒詩。潮聲晩打蒼鰲島。山色橫分白鷺湄。回首東天問歸路。江雲漠漠無前期。</text>
<title>吾道</title>,<text>楊墨申韓老佛仙。爭鳴喙喙一千年。道根不爲人言改。天地中間自本然。</text>
<title>龜山精舍 戊申</title>,<text>磅礴龜山百丈靑。拈來吾一揭齋銘。菑畬經傳寬田地。祖述孔朱剩戶庭。排逕竹籬分翠密。引泉松筧挹淸泠。居閒莫道休康濟。巖月林風樂性靈。</text>
<title>送長兒讀書孤雲山堂</title>,<text>送爾爾須勉旃。離吾吾自欣然。白雲盡是乾淨。黃卷好觀聖賢。</text>
<title>暮春。與鄭孟一 煥杓 山行呼韻。</title>,<text>欲訪孤雲去。沿流十里行。草芊三月暮。花暖一山明。到老猶狂簡。耽幽固性情。子眞同此意。隨我聽溪聲。</text>
<title>訪石泉菴</title>,<text>半空一嘯劃然聲。飛上層崖石磴程。法界虛無歸萬象。禪房孤絶近三淸。簷端白靄終朝起。巖竇寒泉盡日鳴。回首欲竆千里目。一泓銀海望中平。</text>
<title>辨釋敎</title>,<text>西方有敎曰浮屠。直指人心說有無。天理本非由外得。須看一線貫珠珠。</text>
<title>再到禪門。悲金德彝 恒淳。</title>,<text>何年與子到沙門。風雨荒臺暗墨痕。人間後死衰翁在。年少如何隔九原。</text>
