<title>觀物吟</title>,<text>春日幽居好。世囂不到門。一元轉洪匀。萬有含乾坤。</text>
<title>自嘆</title>,<text>道在日用間。飮食男女際。求之卽在邇。不是自外詣。矧復古聖賢。提領啓後人。云何不自勉。終身困荊榛。我年今幾何。卄載又加六。這間多少歲。做得什麽物。不見牛與馬。猶循乘服性。不見雞與犬。猶守晨夜性。水陸必舟車。天淵必鳶魚。孰云我爲人。微物反不如。爲子不能子。爲弟不能弟。與人不以信。事長不以禮。一身尙不修。其如家奈何。一家尙不齊。其如國奈何。尙幸秉彝心。得天猶不亡。已往勢難追。自後能無忘。雖不追先哲。其庶免猖獗。勉哉此無負。夙夜用戒惕。</text>
<title>輓詞[柳道源]</title>,<text>竊聽名勝論。可畏有裴君。發得羲文畫。沈潛洛建文。旣無科擧累。故透重輕分。可惜靑春子。荒山數尺墳。</text>
<title>輓詞[金鎭東]</title>,<text>嗟哉裴處士。妙歲已翺翔。義理牛毛辨。身心室女藏。初非賴正獻。未必待文王。天若假之壽。厥脩不可量。人間三十隙駒同。猶向羣經已貫通。講道誠深纂要卷。亮天手見渾儀籠。人才何代無黃憲。吾縣如今有別翁。君頗似別洞尹公。 前去百年將日邁。那知此夕遽云終。</text>
<title>輓詞[趙宜陽]</title>,<text>不奪吾東再格菴。夢中已已少無淹。書堂二日人如玉。委巷三冬雪似塩。大學先尋淸韻吐。羲經姑舍妙精含。未竆蘊奧期可促。暫混光塵意自慊。赤水玄珠空罔象。陽春白雪變韶。蘇湖大匠曾深許。酉谷醇儒亦細諳。聲名遠播雷門響。臭味中薰荀令馣。瑞世奇姿應罕有。出人高足底歸奄。能消鄙吝看淸眼。好是便娟不點髯。苟不尋師惟閉戶。終知寶珠獨藏巖。玄通不獨爲長物。儒雅寧非近淡恬。天下衆生皆弊弊。人間至道勿炎炎。功名不屑心先徹。記誦非關理可耽。九肋龜生江有九。三旬琴化島仍三。太玄我愧如跛鱉。大白君能不附鰜。可惜紅蓮凄宿雨。空餘明月照高潭。如君那得山之北。古道將荒斗以南。海底幽人虛玉案。山西居士掩燈龕。我齋梧竹閑無友。爾屋烟花夙所探。桂樹蒼蒼山日暮。至今含淚復誰拈。</text>
<title>輓詞[鄭志簡]</title>,<text>斯人何不壽。此理亦難知。聖學六圖在。流傳可作師。</text>
<title>輓詞[金煕成]</title>,<text>曲江江水深淵淵。孕出儒山一箇賢。滿卷圖書知學力。平生醇謹驗眞天。竆村有客論奇字。小屋無塵誦極編。白髮莫言亡子痛。槐潭處士世人傳。</text>
<title>輓詞[金煕稷]</title>,<text>天不愛奇士。荒山土一盂。人間哭安定。地下拜堯夫。錯落平生志。縱橫六圈圖。典刑猶未死。家有二童烏。</text>
<title>輓詞[權思晦]</title>,<text>百年農圃起黌堂。書帶芬芬十里香。蚤以是心要道妙。從容湖上負書箱。無中理數問庖犧。昭曠原頭自得師。此世六圖留不去。後來應有子雲知。以君才器以君心。千載分明水月襟。可惜長年天不假。而夫人慟淚霪霪。</text>
<title>輓詞[鄭易簡]</title>,<text>斯文痛未已。之子又胡然。向裏先天學。人間卅一年。英材那可測。眞訣本無傳。三尺孤墳在。書堂望見前。</text>
<title>輓詞[權思勖]</title>,<text>異質澶奎氣。深工澈馬圖。鎚磨純歲月。剖决析錙銖。且望終成就。那知奄逝徂。有親年已老。烏夜去㫌孤。書枕餘雞曉。遼陽已鶴飛。人間少坦道。泉路倘淸期。蔗宿留經馥。帷空落雪霏。千年要里谷。相送伯鸞輀。</text>
<title>輓詞[李周楨]</title>,<text>瀅澈槐潭流。源從何處瀉。涵來月色秋。坐對先天夜。吾黨甚孤軍。有爲皆可愛。西洋多叛徒。待子騰淸凱。道如太白巓。君已到蕭寺。靈境在前頭。假年不日至。人固有神交。不須知面貌。悠悠百里間。所恃俱年少。歲寒北風多。折彼竆林秀。糟粕有圖書。敎誰玄鍵透。</text>
<title>輓詞[李承淳]</title>,<text>呦鹿洞深白鹿眠。山下出淸泉。泉流涓涓。止爲一潭涵碧天。東壁老仙呼白龍。沙崩潭渴靑山空。呦鹿洞幽山草枯。茅屋一燈孤。閉戶忘三冬。二五指圖書。胷步歸湖月後。白笈抱一部。呦鹿洞春秣我駒。夜深無言。言入無爐耳。日月簷角。太乙寸筳。未盡叩洪鍾。山路一暮。吾誰適從。</text>
<title>輓詞[琴養淳]</title>,<text>吾黨中之特。槐潭處士云。工夫勤夕惕。志意勵朝聞。玆世埋荊璞。將來識子雲。秪今增我痛。曩作責沈文。</text>
<title>輓詞[李元默]</title>,<text>負笈湖門學有源。執經溪院士無喧。共期博約衛吾道。不忍秋原葬禮魂。欲識斯人造詣眞。當看圖說貫天人。如何今古簞瓢樂。只限人間三十春。</text>
