<title>冬夜吟</title>,<text>月釣前溪夜。風鍾古木冬。</text>
<title>詠松燈</title>,<text>斫松以代膏。容光照必均。一室多熏氣。散爲寒士春。以上七八歲時</text>
<title>謹次丹溪書院居齋會中韵二首 丁酉</title>,<text>千載朱夫子。今因講會知。童心猶起敬。黃卷儼吾師。雪面三更月。峯頭十里風。一點靑燈夜。奎星照海東。</text>
<title>達城歸路。與宋敬一 相天 擁爐戲吟。</title>,<text>不必吹藜借太乙。土爐茶鼎和甘辛。离明大韛南當午。天陛香烟北拱辰。道客伏丹延甲子。豪兒擁炭守庚申。窓前有樹花開未。雪裏春風訝建寅。</text>
<title>陶山應製。歸路有感。壬子</title>,<text>恩侑從天煥紫綸。溪山草木藹新春。吾曹幸是凡周士。莪化均霑草野臣。</text>
<title>歲癸丑。命修莊陵志。金一老 宗壽 奉鶴峯先生復莊陵䟽。獻于修志所。因與同歸詶贈。</title>,<text>先生樹立凜如霜。當日琅函萬世光。明月南樓鵑血古。朝陽北闕鳳聲長。淸時曠典輝仙寢。故宅遺文出寶藏。闡發非吾私賀語。大東由是振頹綱。</text>
<title>丙辰留泮時。有金河西陞廡䟽擧。疏草中引退高四七辨往復書。措辭若有未安於溪訓。吾與李學源 家淳 諸友。往復䟽廳。推還名帖。至被出齋。因吟二絶以示同志。</title>,<text>尋名非自外。傳誦有元符。四七師門訓。二三嶺下儒。其爭君子也。所學不然乎。明日無齋飯。猶甘飽豢芻。丈夫無一椀。天地出門寬。弊褐蘇秦憊。殘盃杜甫酸。壯心看寶劒。拙計笑儒冠。歸日嶠南稻。黃鷄又上盤。</text>
<title>李永柔 志淳 之任。奉退陶先生祠板入泮。上特遣近臣。宣侑于四賢祠大廳上。自公卿下至韋布往參謁。余當時到之任。修正擧案。夜歸志感。示李學源諸友。丙辰</title>,<text>關西太守奉先龕。太學依如侍丈函。千載淵源師道儼。九天香祝聖恩覃。風雲曠世昭瀜感。襟佩趨庭輻輳咸。盛事分明千一會。合傳圖繪播吾南。</text>
<title>皆骨山歌。送李時應 𡎘 赴關北亞幕。</title>,<text>海有六鰲鰲有骨。其骨化山山突兀。聞說一萬二千峯。上摩星斗下溟渤。盤據何雄瘦削巧。古來稱以神仙窟。仙窟深深不可探。愧余書劒塵中汩。李白時夢天姥遊。覺來靈境猶怳惚。吾友李君客於泮。一躍天池早釋褐。白華峯下急難圖。山南詩禮好家閥。洛下閉戶塊自守。不曾珂馬事干謁。城市常存濠濮想。公退每拄看山笏。長安邸吏叩旅扉。北關佐幕除書出。其官薄薄稱外臺。其地迢迢隣靺鞨。知舊嘖嘖皆惜之。君獨怡然自不屑。人臣執事無閑緊。不敢恩除較得失。况是此行多壯觀。漢之豊沛周沮漆。萬世洪基於此肇。五陵佳氣常葱欝。興龍古址無由見。今幸厨傳與郵馹。得此大遊皆聖恩。又是名山前路列。名山三十六洞天。是行吾將恣搜括。四仙浦上披瓊霞。萬瀑洞中摩璇月。麾却皁盖山下店。約束靑鞋又布襪。回視紅塵聲利客。與我不知誰優劣。同頖故人聞而壯。不用勞歌悵離別。爲我賦來皆骨詩。皆骨烟霞用無竭。</text>
<title>甲子春。拜愚山丈席請先碣。仍留山庵。滯雪構呈。</title>,<text>風打庵扉晝不開。前山儼對玉成堆。天公會事微誠發。故遣程門尺雪來。</text>
<title>丁卯淸和節。與李學源同遊淸凉山。</title>,<text>携手來捫咫尺天。御風雙袂九分仙。斜陽點撿峯名盡。聊把奇遊下界傳。</text>
<title>滿月庵</title>,<text>玆山奇絶冠東南。第一峯前得一庵。倘識如來眞面目。試看明月滿寒潭。</text>
<title>金生窟</title>,<text>蒼壁嵌然混竅虗。天敎仙客發於書。何年去寫黃庭篆。猶遣銀河雪浪噓。</text>
<title>泮邸漫詠</title>,<text>旅邸蕭然佛舍如。故人相對十年餘。羾門灑濯嗟無句。閉戶生凉愧有書。鄕夢喜逢三夜雨。街塵厭逐七香車。吾儕漫飽昇平世。何日歸山賦遂初。</text>
<title>用前韵。和李彜敍 龜星 金吾直廬。</title>,<text>旅榻終朝坐㗳如。忽聞淸籟雨聲餘。明時囹圄閑無牒。當直郞官穩讀書。枕上白鷗多少夢。窓前金虎去來車。秋風莫惱思鄕客。料理歸裝待菊初。</text>
<title>呈韓丈 錫朝</title>,<text>古者昌黎伯。三年博士官。卑何關柝恥。隱盖市朝難。穩飯猶淸俸。耽書是達觀。枵然空槖客。覓債強爲歡。</text>
<title>夏日偶吟</title>,<text>睡甘如醉到斜陽。炎日偏於遠客長。北峀輕雲猶旱氣。上林高樹自仙香。須從世路忙時靜。要驗天機熱處凉。遙想淸陰松竹裏。夏寒亭子是吾鄕。</text>
<title>宮墻卽事</title>,<text>嶠南遊客頖西家。咫尺宮墻也足誇。葵藿猶知依白日。蓬萊常見擁丹霞。參差隱映連甍鳳。多少翺翔借樹鴉。羽籥欣欣臣拜手。太平千載上林花。</text>
<title>邏火</title>,<text>人定鍾聲動九街。牎前邏火似星排。泮翁向我丁寧語。未可尋常一步差。</text>
<title>觀書漫詠</title>,<text>掩書渾不記何辭。愧爾聦明日漸衰。也是緣他游騎悍。倏焉東騖又西馳。</text>
<title>贈鄭際勳 僑</title>,<text>仕而優學見於今。永日垂帷坐整襟。飯到廣文胡不足。名齊東里豈無心。康成帶草遺芬採。子上甛桃正味尋。幸我踈慵隣舍近。請君時下頂門針。</text>
<title>送柳士鉉 台佐 宰安邊</title>,<text>北安華盖自南安。隨處流通儘是安。未必他求安樂法。推吾安宅以民安。</text>
<title>七夕漫詠</title>,<text>針線街娥解占星。如何茶果不祈庭。爭言近日人多巧。未必天孫獨有靈。</text>
<title>送李丈 秉烈 北郵行軒</title>,<text>東出靑門向北關。大遊天下最高山。明時化似傳郵速。老境官如佛舍閒。雙鳳奇毛鄕夢裏。六鰲遺骨海雲間。輸來萬二千峯重。未必輕舟載石還。</text>
<title>和鄭希仁 元善</title>,<text>曩拜愚山老。從容每說君。洛中逢勝友。名下不虛文。航夢驪湖月。燈烟雉岳雲。芳隣依吏隱。疑是謝塵紛。</text>
<title>送李評事來卿 泰淳 赴京。兼寄頖中諸友。</title>,<text>向余留泮縶內省。君馬浩然歸南嶺。我今躡君尋鄕路。君馬又向西雲騁。聖世周諮惟簡在。高秋八月向北塞。北塞鎖鑰從古重。在周岐豊漢恒代。胡兒隔水一衣帶。厥篚貂蔘又文貝。卽今聲敎曁河朔。鎭撫要荒聖恩賴。黑靺水上使節輝。白頭山下獵火歸。薊門鐵騎何彭彭。周道四牡何騑騑。溪山水石秋如洗。我行適到君行啓。幾日西遊到泮中。泮中多少如兄弟。近日如何遠臺丈。世事只有天在上。春郞久客苦未歸。昨過斗廬倍惆悵。生憎苦說湖中梅。此語歸鄕大播來。漏屋散人入太廟。朔望齋罷肉如堆。騎省三僚萃一筵。捐俸時時與酒錢。縱有佳肴喫未快。座中齒豁有誰憐。典設邸寄頖齋郞。三時言笑半間堂。辛憲幾度聞喝導。近來天氣肅如霜。東阿老人東鄰住。水晶居士對朝暮。有時監茶忙借馬。江湖歸夢問船路。旅味經年齒覺酸。夢魂猶是繞長安。憑君此去寄短幅。要替華牋面面看。爲言山南歸臥者。隨處無羈款段馬。麥飯葱湯滋味厚。且看黃稻滿前野。出塞應逢鶴城吏。官梅酒濃古査觶。無常聚散浮萍世。異域相逢亦奇事。况是金剛洞天界。男兒壯遊到此快。今秋我與金剛約。忽被塵冗負仙債。金剛山色秋正癯。請君畫來金剛圖。歸掛淸凉山下壁。試將風物較嬴輸。</text>
<title>奉贐尹侯 光垂 赴晉陽任所</title>,<text>花下生氂睡野。忽聞琴鶴御征幢。自來冰玉雙淸閣。此去烟霞矗石江。官劇猶應僧舍靜。俸閒知是竹醪缸。慇懃寄語南州士。我有豐碑白月邦。</text>
<title>奉賀張侯 瀚 賢胤三加韻</title>,<text>郡齋和氣動梅香。以歲之正以日良。古昔聖王冠重禮。神明太守履多祥。君門奠雉玄端士。隣閤乘龍白玉郞。景貺元從仁政厚。口碑齊頌壽而康。</text>
<title>和族丈金山守 獻源 郡閣松樹歌</title>,<text>使君手栽松。使君自爲歌。歌松有眞意。不是二松哦。使君課野農。農者暑苦旱。直須將翠盖。十分淸陰散。使君觀太極。一本爲萬柯。須得根柢固。枝葉漸看多。使君春有脚。有脚自四時。爲愛冬嶺秀。靑靑也不移。使君携一鶴。一鶴何處巢。爲植鶴踏枝。撫琴日夜翺。使君德如風。風於庶草上。澗壑發淸籟。其聲捷惟響。古者陶彭澤。歸田始撫孤。不待籠鷴放。庭柯自在吾。古者冦萊公。縣庭手植柏。携妓蠟堆夜。如何無此曲。我來花樹歌。偶飮松下酒。金陵留別意。晩唱渭城柳。</text>
<title>謹次金同樞 始東 焚黃宴席韵</title>,<text>高閭迓福德爲符。三達尊榮齒爵俱。稱兕人皆祈上壽。荷龍天乃畀中樞。參同稧席羣仙會。萬石君家內史趨。好剪碧桃千片錦。耆英添繡老萊圖。</text>
<title>謝辛侯 景愈 惠藥</title>,<text>暇日官僮煑藥鐺。經綸多少寄靑囊。固知濟衆由仁術。縱敎淸心奈俗腸。自顧禱醫違宿計。惟堪復餌頌眞祥。金丹好是分憂手。蘇息蒼生最上方。</text>
<title>謹次李進士 祥發 盆梅韻</title>,<text>種德深如種樹滋。培根鞏厚長孫枝。會看槐蔭王公宅。自有同傳鄭氏詩。泮水芙蓉搴佩日。南山枸栲獻觥時。居然四十餘年事。獨爾梅兄歲暮期。文藻江山樹亦奇。寒杳元是丈人宜。月明淸艶藏來好。雷伏微陽靜處知。淡素花添霜髮耀。扶踈枝向案編垂。桑猶敬止梅何况。至慕無窮老益悲。李丈以其王考生朝。盆梅盛開。感泣咏懷故云。遙賀雲樓肯構堂。貽謨淸白物愈芳。枯梧南郭人今老。癯鶴西湖樹自香。剩播奇芬傳永世。堅持苦節飽經霜。愧余蒙蔀墜先訓。多負階梅幾許長。弊廬階前。有王考手植梅。年前培護失宜。致不得保。故末句寓自悼云。</text>
<title>丁卯暮春。京嶺諸勝十四人。會北渚賞桃花。拈唐人詩玄都觀裏桃千樹盡是劉郞去後栽。分韻以記勝。余於是日。滯直內省。獨未參會。遂合諸韻追和。</title>,<text>洞觀造化天。紅紫自玄玄。年光無處無。爛熳集神都。柳行分廛泮。花香耀樓觀。時我苦持被。若縶樊籠裏。聞說北城壕。有村村有桃。是日會羣賢。愛爾紅萬千。不妨苔侵屨。政好花滿樹。剩被酒力緊。緣溪興不盡。天台碧玉蕊。勝賞無乃是。論襟許梅歐。拈韻較秦劉。塊坐負仙香。武陵迷漁郞。風流無定處。適來又適去。倘念踈慵否。鶯啼晩雨後。明年花又開。寄語謹培栽。</text>
<title>贈李直講善始 在璣 直廬</title>,<text>卄載重逢頖水堂。故人相對髮如霜。暮塩堪惜昌黎困。夜甕誰嗤吏部狂。園樹不風花耐久。直廬無事日偏長。萍逢邂逅皆恩霈。來夕觀燈且喚觴。無數芸香拾滿裾。喜君精力未全踈。寂寥從古楊雄宅。題目如今呂氏書。差滿六旬猶眼炯。旁搜百籍更頭梳。官淸剩得陶猗富。光怪珍箱夜夜噓。善始嘗著大事記。盖述我國事蹟。</text>
<title>得喜雨。五言律十二韻。呈內省金令公 箕殷。</title>,<text>麥雨經旬歇。民憂隱聖衷。淸晨凝法駕。吉日拜眞宮。蹕路咨羣瘼。絲言格上穹。洪恩方渙號。甘霈忽隨風。潤塊踈仍密。蒸雲暖更瀜。通宵聞滴滴。多意注濛濛。優渥公私足。分明遠邇同。歧亭誰志喜。瀛閣又觀豊。上瑞昇平世。中和位育功。東曹綾被客。南畝襏衣翁。子美方兼隱。昌黎豈送窮。願天長惠雨。饘粥及柴蓬。</text>
<title>有感更呈一絶</title>,<text>孤露餘生宇宙間。爲誰棲屑未言還。回頭辛未元春事。却羡緋衣日舞斑。金令大人公。與先考同庚。辛未同陞恩資。</text>
<title>贈太社令崔儒瑞 廷鎭</title>,<text>簪紱依如粥飯禪。令人堪笑又堪憐。東風留住鸎花裏。北斗瞻依象魏邊。庭畔杉松移緩步。案頭書史引閑眠。多君淡泊棲心早。靜坐渾忘晝似年。知君非是愛園林。自有吾門樂處尋。班馬雄詞硏素蓄。羲驪遺訣透玄深。工須入靜方爲動。事固無升豈有沉。林下玉人珍重意。寄來瓊藻爲君吟。</text>
<title>贈申持憲敬之 慶會</title>,<text>曾將書劒下趍風。魂夢時時繞泮宮。近日棲山鄰鳥竹。百年流水轉萍蓬。蕭踈髮已霜前白。多少花猶雨後紅。坐羡城西賢主客。爐薰淸晝味無窮。</text>
<title>贈成仲約 守魯 南歸</title>,<text>西薇東菊露斑斑。感切風泉舊甲還。章甫齊聲千里外。日星生色百年間。古家尙有崇禎曆。此去增高太白山。聖世卽今扶植大。明朝殊典自天頒。仲約時爲洪杜谷請謚䟽頭。</text>
<title>次太社令韻。兼呈國子直廬。</title>,<text>炎夏遲遲化國暉。長安遊客覓輕衣。書生志大談經濟。傲吏官閒脫是非。睡起愁因朝雨洗。會來時趁夕烟歸。携君我欲遊於肆。季主垂簾識者稀。多感瓊章寄惠來。欲賡高調愧無才。萍逢盛會今年最。竹醉佳辰是月回。大事春秋文獻載。成均朝暮飯堂催。黃鸝綠樹誠難負。爲爾詩筒懶一開。</text>
<title>謹用朱夫子祝融峯韵。送李愼可 秉遠 遊永同山水。</title>,<text>牢脚行方健。洗眼觀始高。健脚又高眼。歷覽無物逃。所以仁智士。往往山水遭。山水多於永。玉峀與金濤。吾友癖乎遊。直欲跨六鰲。東陵携勝友。筇屐伴楮毫。有淵涵似鏡。有峯削如刀。脫俗元非詭。耽奇亦不饕。前行有奇觀。恣意不憚勞。羾寒疑蛻羽。搜勝若櫛毛。歸登元曉頂。平臨江漢滔。俯笑塵冗客。無聊白髮搔。</text>
