<title>除夜客燈。思念父母之年。不能寐。因成短律。乙巳在洛</title>,<text>浮萍千里客。今夕喜懼新。此夜終難遣。明朝又一年。</text>
<title>夜獨坐口占 己酉</title>,<text>世態朝雲暮爲烟。客心去歲又今年。不寐何事秋燈下。苦憶華陽洞裡天。</text>
<title>出敦義門 庚戌</title>,<text>遲遲一馬城西夕。風勢遡如攬子衣。且蟄田園須勉勵。聖恩使汝佩弦韋。</text>
<title>舟渡臨津</title>,<text>花石亭流淸可挹。登船輒憶古人詩。是非榮辱不須問。只感皇恩玉汝時。</text>
<title>訪李氏㫌閭有感 甲寅</title>,<text>夏余至寧邊少林村。人有云李氏四忠者。余訪其閭按其蹟。盖丁卯之亂。李繼馨赴安州牧使金俊營。城陷罵賊而死。兄繼芳從兄承春。戊午從遼東伯。俱殉深河。承春子大立。丁卯亦死節于雲陽。人稱李氏四忠。而繼馨只得旌閭。殘楝破椽。風雨不能庇。守其閭者。卽其孫鎭儉也。朴實猶有故家風。而藍縷貧寠之狀。殆不可言。人以爲一家四忠。今古罕有。若地非關西。則國家崇報。不若是其冷落。可寃可寃。余謂天道難詰。報有遲速。運有否泰。但當修吾事。待其時而已。因謄來其事蹟。埋沒數架荒草裡。村兒指點四忠閭。西人莫恨終無報。天道好還似轉車。</text>
<title>贈定平韓生 膺祿</title>,<text>韓。北之名族也。家貧初業詞章。晩而不成。遂欲攻經决科。負笈而來。先生以爲大凡行有餘力。則以學文。且居於西北。科宦養親。斷無其望。不如早歸力田。使父母不戚戚。妻子不咨咨。然後以餘力及於科事可也。韓初不之信。留數月。又欲向洛。以便决科。先生更以初語力止之。韓大悟遂北歸。先生一語入人深。起與秋風舊路尋。率是道求无限樂。龍門不必悅親心。卓犖何來士。龍興聖祖鄕。別懷無盡地。三日有餘香。</text>
<title>足諸生月夜韻</title>,<text>秋與月高夜欲寒。虫鳴喞喞樹林間。無心仰觀銀河處。時有淸風上我顔。</text>
<title>題曾朱壁立 乙卯</title>,<text>壁立奇巖可數尋。先生手澤儼然臨。想像當日硏磨地。百世令人發道心。成均舘東。有谷幽邃。宋尤菴時烈做業之處。而曾朱壁立。卽尤菴手筆。刻于壁者也。</text>
<title>淸亭途中卽景 丙辰</title>,<text>活活淸溪水。高高萬丈山。世情忘已久。天地一身閒。</text>
<title>挽李丈 保初○丁巳</title>,<text>溫溫君子與時踈。七十八年一布裾。日用規模勤儉是。天生性質玉金如。克家麟定垂華髮。滿室蘭香蔚有譽。世誼自從姻婭篤。薤歌數闋哭躕躇。</text>
<title>養心齋</title>,<text>先生杖屨養心齋。霽月光風襯我懷。兩日薰陶知不少。宮墻如得最初階。齋是尹松坡就巖父子影幀奉安之所。松坡名居衡。就巖名濟世。寧邊人。</text>
<title>皇甫玶文玉。卽端宗朝忠臣皇甫仁之裔也。居黃州。來留書塾。今告歸。</title>,<text>頎然一士質而華。來自魯陵故相家。幾月同硏香可襲。爾音毋或玉金遐。</text>
<title>路見垂楊有感</title>,<text>問是誰家遊冶子。倒栽楊柳翠離離。吾天不以人爲奪。依舊枝枝向下垂。</text>
<title>咏雪裡盤松</title>,<text>磽磽石上一盤松。堪歎美材生不地。使汝栽培得所時。萬尋欝欝千尋翠。罥之密雪嚴霜又。憐汝逸才値蹇迍。會待六龍爲翠盖。與君共廕太平民。</text>
<title>有悔</title>,<text>吾心權度本然明。事物之來任取平。裁到未安須莫作。丁寧一語與君盟。</text>
<title>加德齋春帖 戊午</title>,<text>香風十里來何處。君子庭中早有蘭。我願先生臯比席。東窓紅日正三竿。有誰天下好男兒。不學卽爲一蠢蚩。我願友朋春可惜。及今努力少年時。今朝子諒忽油然。春色湯盤最到先。我願東君無別語。重華日月太平年。</text>
<title>偶吟</title>,<text>小室從容晝掩扉。精神穩處見天機。一團快活靈臺裡。顔子春風點浴沂。</text>
<title>有感</title>,<text>擧世滔滔醉夢生。曰詩曰賦曰經鳴。分明好路吾家在。何事紛紛走棘荊。</text>
<title>偶吟</title>,<text>宦游非我分。歸作一閑氓。洞外風塵聒。山中日月淸。功名知覺少。學問路頭明。益勵乾乾志。無違歲暮盟。</text>
<title>送趙濟判 慶遠○壬戌</title>,<text>男子之生也。桑弧射四方。蓋以示有事於四方也。天之生我。本非偶然。而四方之事。卽我分內事也。則東西南北。顧何所擇。而又况事君之日正長。許國之志已决。夷險燥濕。又何所取舍耶。此執事所以於人厭避之地。而夷然向前者也。仗忠信而行。金石可透。水火可蹈。吾知執事此行。其必海若爲導。祥飈送帆。涉滄波如平地。保無他虞矣。若乃布王化於絶域。愛島氓如同胞。使吾君無南顧之憂。與夫瘴癘之鄕。戒酒戒色。全身而歸者。固是執事展力之秋而自勖之地也。不待僕言之鄭重。而已入於揣摩矣。故略敍利涉之意惜別之情。作詩二章以送之。較計險夷非素志。春風一葉向瀛洲。海門應唱無波曲。爲道聖人在漢州。萬里長風一葦看。是心安處海波安。引巵滿酌酬君別。橘柚三紅更此歡。</text>
<title>朴泳之以其近作五韻。示余覓和。余素不嫺於風雲月露之詞。而却之則孤其意。故以其所耿于心者。拈答其二韻。不識泳之以爲何如。倘若會意則歸示季君否。餘勿輕掛于他眼。非徒無益而增多口。</title>,<text>世間萬事水東流。汩汩營營且莫愁。君我當今迷路久。天根見處亟回頭。覺者古今有幾人。武夷派接泗洙濱。宮墻孔氏千年業。丹雘朱家一日新。達去乾坤猶合德。活來萬物自同春。存亡操捨斯爲驗。修我廣居坐幅巾。</text>
<title>貞夫人梁氏挽 松潭夫人</title>,<text>寶婺天星降。鍾爲女士身。齊莊惟思媚。縫羃却忘貧。丹誥夫封顯。綵衣子孝眞。蕭然歸玉闕。使我淚無因。</text>
<title>送文典籍 尙表 出關 癸亥</title>,<text>爵祿自是身外一浮雲耳。固有不事王侯。高尙其志之人。而稍知人己之分者。亦視之如塗泥。棄之如弊蹝。誠富貴也有如是矣。况吾西之所謂仕宦耶。嘑咄之食。行乞之所不屑。又况飽嘑咄而元無可食之物耶。然猶滔滔奔馳。患得患失。愚亦落穽之一蠢蚩耳。可笑還可憐。文友伯膺。以親老纔出六。卽三告而歸。可謂知內外輕重之別。而非孝且勇者。能之乎。旣喜吾黨之有人。而且余孤露餘生也。觸懷增悲。書此以送之。聞君親敎曰遄歸。三告行裝雨正霏。祿養何時風不止。蕫生大計報春暉。</text>
<title>獨坐旅邸。最峻投詩索和。走筆得此。盖亦存諸中者形於言也。</title>,<text>遙想四郊霽色新。炎天蝸屋一官人。那堪籠鳥凌霄志。早晩山中有里仁。</text>
<title>和鄭最峻</title>,<text>由前觀後後觀前。萬事人間摠可憐。生寄死歸同傳舍。功名富貴等笆邊。要將窮格爲家計。最怕因循度百年。此意只堪知者道。思君一念是懸懸。原韻有欝欝自憐之意。故解之。</text>
<title>上元。與諸友踏橋。恨北風甚峭。未盡歡而歸。</title>,<text>夜有孰如明月夜。人尤難得會心人。會心人至並明月。臭味金蘭不可倫。天下不如意事多。一邊扶了一邊跎。今宵人月吾雖得。其奈朔風栗烈何。</text>
<title>和金子和 甲子</title>,<text>醉興陶陶呼別我。感君眞箇故人心。南來滿目皆新面。鳥道蒼蒼洛水深。邇來屢見披黃卷。久久悠然發道心。荊棘芝蘭須早別。愛君深故望君深。</text>
<title>和鄭最峻</title>,<text>正好開方冊。感君惠我深。要將慷慨志。期答故人心。歇卸紅塵聒。來同翠竹深。有時黃卷裡。欣獲古人心。</text>
<title>和盧連玉</title>,<text>外氏羣行裡。相知最獨深。寒燈明月夜。懇懇幾輸心。何日微臣出上林。蒼蒼鳥道谷還深。五雲多處蓬萊是。那堪戀結心。余以史官。出爲幽谷丞。</text>
