<title>敬次愚山丈席韻 戊申</title>,<text>自憐就道晩。始覺讀書閒。眞工何處見。前面最高山。</text>
<title>敬呈東隱鄭丈 翼魯</title>,<text>好聞君子語。羞學少年閒。芳風絃誦地。愚老舊溪山。</text>
<title>過檜淵書院百梅園 壬子</title>,<text>先生杖屨地。䕺竹復寒梅。曠世興餘感。周旋玉雪臺。</text>
<title>和贈鄭叔顒 象觀○幷序</title>,<text>愚山古稱名勝。戊申冬。余敬尋文莊公遺躅。因摳衣于丈席。執經問焉。時叔顒瑜環侍傍。已口誦斑馬春秋如己言。余竊竦異之。認其爲老成坏樸也。今年春。余偶占司馬參。尋焉則叔顒丱已弁矣。見余輒階迎懽甚。旣贈之以言。而尾繫以詩。觀其辭旨筆勢。恰成自家繩尺。而藹然勸勉之意。又異於俗士閒漫唱酬之比。於是乎余益信夫叔顒之所存於中者大。而所期於來者遠矣。余於叔顒。有七世之舊。吾月澗先祖與先文莊公結道義之交。有弟兄之親。而叔顒又不以余無似而疎之。其相愛固倍蓰人也。玆不揆辭之拙澀。但記之以情。以答瓊琚之贈云爾。夫君蘊冰玉。光彩媚溪山。先生世七葉。淸士屋三間。雲驥願一附。水犀許兩通。纔見叔度面。已識季偉中。幸依君子林。忻開故人樽。大羹貴淸淡。希音戒哇繁。元龍仰愈高。斥鷃蜚難攀。長歌意無極。西望且盤桓。</text>
<title>洛中値家君壽辰</title>,<text>嶺表離庭五百里。心中祝壽萬千春。遙知兄弟稱觥席。五色斑衫少一人。</text>
<title>遊水回洞 幷序</title>,<text>丙辰秋九月余遊愚山時。朝家遣臣致祭于鄭文莊先生。江左右襟佩之士。相繼來會。暇日謀于衆曰。吾輩周旋於此有日矣。夫所以景仰先輩。不徒在於亭樓几案之間也。凡於平昔筇屐之所及。皆可以寓羹慕。而今聞水回一洞。卽先生遊賞之所也。山淸水媚。景勝尤絶。吾輩盍圖半日之觀。以洗濯吾心胷。衆皆曰諾。遂客治草鞋。主人佩匏樽。沿流而上。歷綸石過船巖。憇于花溆。因過雙壁壇夷于石。上漱流濯淸。夾右靑山村。而次于述志亭。蓋基成而屋未就也。夾流而上。至所謂水回洞。而拱僊諸峯。已在指顧間矣。酒一行。押韻四座賦詩。紅樹蒼藤十里隈。煙霞隨處畫圖開。泉迴雲谷幽聲瀉。峯得淸凉秀色來。早識先生留杖屨。不敎塵客上巖臺。谿山是日增光彩。祠廟天香動侑桮。</text>
<title>秋雨夜吟</title>,<text>雨打庭梧葉葉語。悠悠淸興與誰論。蟲吟壁隙寧愁濕。鳥宿檐間自樂溫。靜裏詩書元滿架。人間榮辱付傾罇。徘徊永夜閒無寐。料理心中舊所存。</text>
<title>訪姜文擧 世綸。夜拈牧隱集。</title>,<text>我輩皆秋士。相逢義氣多。寒蛩侵夜壁。疏雨上庭柯。海內知音少。高軒有酒過。西風冠蓋路。消息近如何。</text>
<title>戊辰三月二十日。行養老禮于齋舍。蓋追丁卯故事也。門父老及鄕長老咸集。謹以一絶呈座上。</title>,<text>罇酒昇平八百春。幽花芳草暎華茵。好將孝悌爲家法。老老餘誠及衆賓。</text>
<title>重陽後二日。金明五 弼敎 見訪。時風葉撲囱。有感共賦。</title>,<text>秋士東南落木初。十秊罇酒一茅廬。經綸壯志猶看劒。料理眞工幾閱書。天地無端君亦老。江湖有分我非疏。南河秉燭殘秊事。努力躋攀是廣居。</text>
<title>和愚山修禊所落成韻</title>,<text>析木東臨滄海涘。靑丘文物九區名。淮閩舊說三重案。荊岱猶肩兩帝京。巨嶺南馳巍鎭望。碧灣中帶媚神精。盤囷積氣無時歇。磊落英豪應運生。講樹瑤琴家宋魯。玉淵丹峀路朱程。中州季葉將多事。宣廟初秊際一淸。申呂猷謨爰赫降。羽僑辭命飾昇平。彌綸事業光垂史。經緯文章學有庭。愚伏山中麾拂儼。洛西川畔衆流傾。演涵三易天機露。協贊二儀灝氣盈。鴻漸龍潛符瑞筴。鳳莊麟見體珠衡。風雲北闕懸魂夢。泉石南山任止行。誦詠黃虞風肆好。盤桓箕𤃡色斯冥。幾畦杞菊殘秊事。數架茅檐一日營。正値奎精來會丙。好看花曆占先庚。煕寧茂草天慳破。廬阜佳岑地勢成。石室僊書傳杜誌。昆明火劫認韓坰。天隨雅號鄰山鹿。雲臥高情伴峽氓。最喜江湖星象隱。堪憐巖壁月評明。姸姸螺角靑當榭。細細龍鱗白抱亭。四代笙簧生古壁。百家鼓吹響遺扃。白雲黃鶴臺猶在。廣樂遊魚曲孰聽。五朵芙蓉天末矗。重磨寶鑑雨初晴。虬龍挐攫排風節。雲漢平臨偃盖形。積翠浮空山氣潤。虛明澈底水心濙。劉安雞犬猶騰蛻。列子崆峒恍御泠。天戴砥標挺六骨。日華阿閣集雙翎。棊枰柯爛仙應笑。鏡面花糚女更婷。九節紅藤穿石逕。萬營靑幔蔭烟汀。雕剜一一誰能似。奇巧形形競自呈。江海尺絲猶重鼎。渭漕千斛可容舲。武陵春水紅霞爛。銀漢天章貝錦熒。丹壁削成如手劈。靑山閴絶有躳耕。灑揮丹鉛看三昧。揖讓星冠會百霛。別有盤渦廻小洞。依然島嶼闢中坪。環圍玉帶生虹蜃。堆積金盤燦火晶。菱石光增廬老筆。愚溪夢入柳州評。濤浸浪噬全天造。谷狠山狂鎭物情。松桂烟霞專窈壑。篔簹歲月迫頹齡。光添嶽瀆瞻顒大。道重琰璜顧眄榮。金韛範圍千匠踊。石渠箋註九師爭。儒精聖粹咸臻極。豫授延傳幾箇英。一體渾融肝膽照。同時薰炙德容宏。黃花栗里移函席。白雪伊川近我閎。兩祖神交兄弟許。七賢言志父師聆。湖庠規範常嫌窄。洛社儀圖擬寫誠。題刻壁詩猶召謗。商量泉址矧宜停。西河組帶空懸仰。東魯靑衿邈式刑。往事虹橋迷翠壁。至今陶峀上金屛。天敎斯學應重闡。道在吾家未遽零。沿㴑周張尊正嫡。辨論管晏黜奴伻。心全體用鑑如應。識洞天人刃若迎。大嶺儒盟歸主席。四方賢幣仰長城。身將道術鳴謙好。運際先朝出治馨。曠世匀衡宸極感。百年鍾律乃家聲。松扃紫誥光儒籍。柏廟黃封邁甲令。雲漢新章炫視聽。乾坤是日怳淸寧。定知喬木陽春返。愈見幽人素履貞。氣溢山眉圭攢拱。聲和水曲錦廻縈。圜橋强半羣賢裔。肎搆思營一畞楹。圭臬縱橫分地絡。箱倉排布走庠黌。三千界內酬恩佛。五百里間聚德星。整理宏規三夏隙。玲瓏秀色入窓櫺。登臨可但塵昏滌。風詠依然醉夢醒。章弁峩峩星燦爛。環除㶁㶁佩琮琤。鱣孚晠化華堂晏。鳥哢歌聲雜管鳴。虹繞六偉來哲匠。蟻傾三酌稱柔觥。地因吾道光增重。天闢林霏運益亨。已仰洛南堂煥額。彌光湖畔石麗牲。分明入戶如誾侍。怳惚登筵庶見羹。李渤遺墟荊棘除。竹林古事頌絃幷。始知有志方成竟。不患綿材値擧贏。大抵儀文元尙簡。從來施設未全輕。述蛾姑倣明倫序。旋馬稍寬奉禮廳。珍重根基如植礎。羽閑儒道象飛甍。訪花豈爲偸閒事。踏實先須想典型。浸灌磨礱沙撥礦。切磋淬勵刃跳硎。千秋心法參三極。列聖精華蘊六經。行合州閭成標準。進宜邦國飾鏞笙。丁寧玉蘊含輝露。早晩金箆刮眼睛。潛省隱微身胖泰。獨遊昭曠意泓崢。晴囱最愛平朝氣。長道宜加日月征。夜露行看山木美。春風時點野燒萌。劘成德器光衣鉢。陶鑄全材作榦楨。嶽麓如今森軌度。靈光終古永崢嶸。升高行遠先師訓。努力盤盂日戒銘。</text>
<title>愚山丈席滯雪留鳳臺。余往拜焉。敬次軸中韻。</title>,<text>騎驢穿白雪。野逕未全開。信息先函席。風流又暖杯。夜深迎月久。春早遣花催。珍重三宵誨。前期續此來。</text>
<title>除夜吟</title>,<text>夜盡應來曉。寒竆更有春。循環元不息。否泰驗吾人。</text>
<title>卞孝子歌 孝子名廷八。年三十八終。</title>,<text>我昔駈馬衢謠樓。邑號比屋定不偶。疊嶂相抱雙溪繞。其俗淳古唐風又。列聖培養環海宇。彝性况是天所授。朴生風節今無徵。柳君名行尙記有。卓卓人瑞不常出。天公有意竢遅久。有孝有孝生卞氏。厥宗古稱家法守。春亭有孫曰中郞。中郞之孝世莫右。是用十一世之後。源源血脈相受厚。厥初溫溫生質美。孩提有知天孔牖。一團子諒春物茁。半畞方塘活水注。爲人沈靜能勤學。良心不曾被外誘。每讀蓼莪不禁淚。靡父何怙只有母。每日入廚具甘旨。淸晨上堂問安否。不憚勞筋又竭膂。惟思便身與可口。片片皆從赤心出。遊方反面猶文具。頎步不敢忘慈戒。却似張公絶飮酒。仰首祝天俯汲水。誠缶盈盈酌大斗。霜雪凝沍手皸坼。移忠可使熊魚取。嘗甜斫指靡不極。銅傾鐘應如相叩。千秋腔血交輝映。伯仲王庾可幷武。崦嵫薄景嗟未繫。高堂竟終天年壽。欒欒墨容絶方甦。絫土爲廬來守墓。飯疏飮水哭聲哀。梁山風雨秋日黝。山确高燥不得水。溫泉忽然鳴入戶。盛夏不涸冬不凝。有時幽咽聲暗苦。又有舊時堂前鷰。飛飛近人繞巖竇。呴呴子母生成樂。土窠團映丹心剖。行路聞之皆爲淚。天若有知天應瘦。中月已過强撤歸。餘哀未忘嬰二竪。其兄自外饋潑潑。對案不食焦腸肚。于嗟孝子眞孝哉。卓行歷歷指可數。州人感歎上其事。刺史聞之聞天府。畧倣前代給復典。次第泉道濡雨露。屛之山水增光彩。間値其人儘不負。遺昆遍丐詩與文。大嶺百里朝暮走。欲闡先美斯亦孝。愧無椽筆貽不朽。天衷孰非人同得。鄕邦庶見爭效慕。他日再登屛山樓。緬仰尙能爲一賦。</text>
<title>次芝巖</title>,<text>縹緲西山萃衆陽。玲瓏奎壁秘精光。百年先廟紅霞裏。四世遺庄白石傍。列葉箕裘開後祿。雲孫簪笏襲前香。更將孝友傳家好。䕺桂靈芝日漸長。</text>
<title>次贈雪山安丈 德文 歸宜寧</title>,<text>湖海悲歌白雪山。淸詩留待主人還。竹林先識賢咸久。薔墅方知老謝閒。家計不離書史外。風流遙想畫圖間。高秋南斗歸鴻遠。文酒何時更奉顔。</text>
<title>竹麓書舍重建韻 竹麓乃遠浦後麓。而書舍卽修溪精舍也。</title>,<text>山脈東頭一畞田。璧球光怪秘千年。重重遠峀文星列。㶁㶁寒泉道氣連。謠俗尙傳麗代礎。絃歌夬掃劫灰烟。滄洲故事留天壤。翠竹紅蘆筆似椽。</text>
<title>次羅溪書院重修韻</title>,<text>南斗文星洛水濱。桑鄕柏廟煥重新。袞褒宸翰輝穹宙。洛濱公尹全州。有御筆淸白之褒。 輿地家聲動薦紳。大憲，洛濱二公。累見於勝覽。 十二代孫追慕倍。數千文士落成因。因落成設白場。會者數千人。 更祈後學承遺馥。禮讓絃歌永萬春。</text>
<title>自城府還。有懷擬古。</title>,<text>是歲大呂月。天寒北風酷。白雪橫斷厓。荒雲餘古木。駈馬入郭門。官閣靜如宿。闉姬曳繡裌。府胥啄肥肉。喟然尋尖僻。叔兮媚幽獨。羞饋雜餻果。揚扢兼雅俗。不覺西日暮。行行林下屋。香衫蔽牛大。入門疑山谷。壁有興寐頌。架揷詩書軸。盆梅溢春意。未花先馥馥。淸腴食舊祉。到耆猶卑牧。眄我謂卽榻。所語惟凉燠。逶迤過城西。甍第敞心目。家居辨勞逸。可敵蔘苓蓄。暝色生鳳棲。童奴識路熟。皓翁坐玉雪。和氣盈門塾。奕葉輝紅楔。聯萼昵蓮燭。心胷凈無滓。不被事物牿。問我何所業。扣我何所讀。經史兼冷熱。詩文頓起伏。靑春流驚湍。爾髮亦半禿。緬然感我心。周旋佩明勖。微微松竹逕。季公又夜速。見處雖管鮑。拊躳實蟲鵠。秋夢西淸遠。野興東岡逐。閒來無所事。遣懷動盈簏。故知明堂球。絶殊市道筑。憶昔少年日。繫纜楊花曲。先朝御丹極。八域同輦轂。聖孝天不匱。東郊觀華祝。烟花匝歌皷。壽域頌岡麓。春深萬八門。一解龍顔穆。樂府爰飾慶。嵩呼簪笏簇。詞臣騰河淸。墨客藹雲遫。璇題自天降。喬木半緋綠。慈德亦遐覃。至化遍海墺。仰念宮園記。俯審人瑞錄。謳吟餘短髮。沒世徒蹙蹙。恭惟繼照初。遹追在新服。長樂春酒暖。文孫受介福。翼瘳頻稱慶。竣擢非夢卜。自慚絲粟材。未効良玉櫝。流落到衰白。羽毛戢深隩。候蟲時自鳴。世事堪駭鹿。敎兒看農書。課僮灌蒔菊。生老田野事。廟謨在肉食。但願隨羣獻。講話開心腹。近聞商山社。詩令速簡牘。聊期聽餘音。敢言發素夙。春雪未全消。天寒北風酷。</text>
<title>和呈皓隣姜丈 世白</title>,<text>入門瞻德宇。勝氣忽然低。梅意寒消北。松陰日已西。不憚來信宿。深感牖蒙迷。永矢懷難忘。歸雲暗碧棲。</text>
<title>次竹社諸賢韻</title>,<text>窈窕城西屋。寒梅一座圓。衣冠常逐日。樽酒到忘年。詩令留淸債。春心付化權。玆遊元不俗。眞率任吾天。</text>
<title>尹聖郊 東野 至。因留拈韻 二首。</title>,<text>湖山秀色伴人行。磊落眞襟皓髮明。幽興應隨芳草細。壯心還與暮雲平。百年紵縞今同榻。四海文章豈異程。怊悵深樽多少話。明朝送別若爲情。佳客翩翩弊箒光。天南紫氣耀山堂。高談仁義排堅白。肆力文章已老蒼。疇昔十年聞令譽。卽今三月爛羣芳。碣石秋光猶未暮。會看岡羽起翺翔。</text>
<title>敬次桐溪鄭先生龍泉精舍韻</title>,<text>砥柱東溟化手裁。洞穹霜劫不能苔。蒼薇一曲春秋寓。黃菊千年祭祀哀。淸老有孫均所事。金淸陰後孫嘗爲宰。多有所助護之事云。 花林多士好同來。想應馬鬣空山裏。萬曆韶光獨上臺。</text>
<title>牧丹</title>,<text>朱唇紅肉綻香房。閙熱豐姿動草堂。勢壓園林都富貴。權傾造化自君王。朝陽好對披心笑。夜月憐看斂色莊。却愧霜髭淸福剩。廵檐盡日不能忘。</text>
<title>與諸益遊龍門 丙子</title>,<text>岧嶤龍嶽接天明。深處烟霞有石扃。盡日寒雲生梵壑。夕陽飛瀑送川汀。文章氣壓千重碧。樓閣山分一半靑。數曲瑤琴徐步下。琅然淸響起餘情。</text>
<title>移席素履亭五律三首</title>,<text>隔水松亭會。參差集晩鴻。長堤烟柳暗。分戶雜花紅。樂事仍餘日。良辰又好風。東南琴酒榻。聲氣自相同。聞道城南老。迤邐到碧溪。一書孤鴈至。千樹亂鶯啼。白雪憐同和。靑霞菀未低。斜陽歸馬倦。回首水雲迷。夕陽驢背坐。微雨鷺邊斜。連天山硉矹。護榭樹杈枒。酒淸惟取足。花爛不嫌奢。吾輩饒閒事。玆遊更覺多。</text>
<title>又拈七律絶各一首</title>,<text>樷竹孤亭積翠陰。朋來信息已先心。楊花着處隨風暖。草色連空得雨深。麗日衣冠同勝事。昇平歌曲自希音。淸遊永夕渾忘倦。微月居然映遠林。桃花流水訪人家。一境桑麻樂事多。却恐他時歸路錯。故看西北兩峯丫。</text>
<title>月夜作</title>,<text>春夜微寒雨後生。雲端露出一輪明。淸隨樽酒因成影。冷徹琴書若有情。列峀從容天末立。遠星明滅鴈邊平。衰年更喜逢堯舜。行聽明朝擊壤聲。</text>
<title>秋夜吟</title>,<text>明滅天星半入雲。高軒樹色夜初分。沉吟舊學如新得。起把松燈更看文。</text>
