<title>謾成一絶</title>,<text>淡靄入眼明。晴嵐覺心洗。終年不厭對。蒼山是舊契。</text>
<title>偶吟</title>,<text>春水正演漾。觸石鳴環珮。遇險也添奇。喜爾流無礙。</text>
<title>偶題東板牖 丙子</title>,<text>欠渠殊竹牖。不受朝旭明。猶有開通妙。還踰蔽塞情。</text>
<title>秋日偶吟</title>,<text>瀟灑茅堂晝氣淸。端居頻問主翁惺。浮雲百變都無著。依舊靑山只麽靑。</text>
<title>稧舍識感</title>,<text>芳草繁陰滿眼懷。風光猶帶舊時回。先生一去微言絶。誰卽中堂講席開。</text>
<title>拜呈竹雨社諸老三首</title>,<text>枕堰書巢入靜寰。紙牕高卧夢團團。任眞起處雲游壑。隨分吟哦月掛山。老菊逢秋成趣易。芳蘭移土學滋難。床頭寶軸堪消日。解事隣朋趁夜闌。右屬內舅南厓翁送老商顔世外寰。紅塵一退玉棊團。衣巾脫略耽書史。簪紱尋常遇水山。鷺睡烟洲成夢穩。羊膓世路著跟難。殘年却喜陽和勝。銀管金椎興未闌。右屬皓隣姜公龍門赫業鰈瀛寰。更老風儀整領團。城市身居淸似水。黌庠言發重如山。哀鵑瘦竹追調古。熟路輕車讀字難。時與老農觀稼返。前林嚶鳥報春闌。右屬林下李公</text>
<title>疊前韻。簡李修溪大彥 升培。</title>,<text>夫君垂白立塵寰。胷裏陽和尙一團。花樹從容川上榭。書樓糚點屋頭山。文章老去紆餘極。理義閒中喫緊難。倦罷茶烟携杖出。前郊春事十分闌。</text>
<title>燁洞詞</title>,<text>昔人采芝歌數曲。後人結茅山一谷。爲覓煌煌三秀色。暇日理我烟霞舃。擧目洞門巉巖石。但有榛莽兼樗櫟。素計不過療飢腹。顚倒居然竆日力。乃知靈芝異鍾毓。紫陽亦歎篔簹壁。願言歸掇簡編馥。地名未必鐵罏獨。</text>
<title>謾題</title>,<text>幽居無事送羲輪。孤嘯乾坤白髮新。梧院虛閒山氣色。竹扉疎冷月精神。農隨野老謀生晩。書借隣朋逐睡頻。但使靈臺無點累。高風何愧踵前人。</text>
<title>山居書事。用退陶先生韻。</title>,<text>萬山書屋白茅鮮。先世遺光是闇然。梁折永傷琴匣廢。才難還恐墨庄捐。排霜傑氣黃花冷。暎水淸標縞鶴憐。閒對翠屛心事晩。世間虛似不維船。平分山色步田疇。時聽寒溪碎玉璆。汗漫風塵天下事。崢嶸歲月鬢邊秋。前人有訣丹田養。晩計無成素圃遊。但得此身安地在。區區喫着更何求。</text>
<title>敬次退陶先生題黃錦溪十畫帖韻</title>,<text>四勿膺來養本然。簞瓢隨分一聽天。始知夫子曲肱樂。壁立商歌並得傳。右陋巷簞瓢瑤琴彈罷響鏗然。春服菲菲六七贒。千仞壇高風詠處。爲邦功業等浮烟。右舞雩風詠宮筵伸脚動乾辰。扶鼎功名愧此身。歸釣七灘風月管。三公不換一竿綸。右桐江垂釣柴桑猶戴義煕天。漉得山巾有濁賢。耕罷西疇孤嘯坐。南山秀色入悠然。右栗里歸耕菊似幽人竹似賢。濂翁何獨愛斯蓮。亭亭潔立能通直。君子冲襟暗合然。右濂溪愛蓮報客仙禽自往還。孤山明月更盤桓。就中婥約寒梅樹。疎影尤堪雪裏看。右孤山詠梅鶴貌淸癯洛社春。滿園花竹入經綸。獨善已知兼濟術。用時還解樂羣民。右洛社獨樂梁甫吟成晦養珍。草廬無事布衣身。若無門外勤三顧。牢卧玆堂好睡春。右孔明草廬靈眞窟宅翠眉浮。遇遯先生此隱遊。九曲櫂歌千載幸。繼開吾道溢聲流。右武夷九曲草茵花錦太和天。肺腑輸春所樂全。且有兒車行樂具。行窩十二一輪傳。右康節兒車</text>
