<title>獨坐巖</title>,<text>獨巖宜獨樂。埋沒幾千秋。遙對公山靜。無人奏水流。</text>
<title>偶題</title>,<text>白雪猶嫌踏。嫰冰且莫泥。人心如許潔。外累敢緇黧。莫唾淸溪上。人家在下流。原茅且莫踐。古廟在原頭。</text>
<title>馬上口占</title>,<text>風靜村烟直。沙平澗水姸。恐驚吾馬性。先嘖後加鞭。</text>
<title>次愚山講會韻</title>,<text>萌宜戒十寒。讀可要三到。黑帳對山樓。屋烏看又好。</text>
<title>次呈玉上舍 穉圭</title>,<text>當年一片鏡。埋沒向來塵。願借重磨訣。昭昭復見眞。</text>
<title>次李太素 師延 贈聾淵主人七絶</title>,<text>蜿蟺公山裏。龍門洞壑開。地由人顯晦。遙對漆溪臺。仁洞聾淵社。南州處士廬。浮雲從宦業。流水答樵漁。夫仁民俗厚。地勢又深幽。弗老經綸處。湖翁記遠猷。數條藍社約。千載峴山碑。哿富哀貧寡。先公及我私。遺躅曾孫篤。康莊發軔初。一心存肯構。餘事做公車。眞率今朝會。春風四面噓。主翁三昧訣。遠客五車書。幸許金蘭契。從欽玉雪姿。看花興未已。把酒更吟詩。</text>
<title>登庠謝恩日有感</title>,<text>天顔咫尺侍。愛慕畏威兼。事一生三義。油然自此嚴。</text>
<title>到華陽洞。仰見萬東廟。</title>,<text>一片忠之土。大明日月懸。臣綱傳萬古。天意在何年。</text>
<title>題金先生三足臺</title>,<text>人固不知足。先生認自足。誰知三箇足。萬事此中足。</text>
<title>憶時至蔣仲文</title>,<text>時至君不至。獨坐我懷獨。君若隨時至。分明慰我獨。</text>
<title>登秋風嶺有感</title>,<text>落日秋風嶺。無言涕自流。鍾離姊不在。何處更焚鬚。</text>
<title>與慶兒渡鷺梁風濤</title>,<text>鷺梁風浪急。不畏一舟輕。父子同心載。先生納拜行。</text>
<title>鳳山書院。和孫其山 廷煥。</title>,<text>自古好山水。得人以擅名。聞翁棲隱地。金鳳毓其精。</text>
<title>訪崔監役 琳</title>,<text>印出峯頭雪。隱山庵下荊。山高斜日遠。石滑一筇輕。如嗅幽蘭臭。時聞谷鳥鳴。此行多信息。適子稅南征。</text>
<title>贈鄭參奉 民秀</title>,<text>四年今始到。前路渺難尋。春滿南藏寺。雲深洛水潯。花開依古石。鳥喚出幽岑。日暮登蘭室。淸風灑我襟。</text>
<title>追次愚山講會韻</title>,<text>暮春道院會。恨曠飮河羣。志守當知帥。騎遊出遠軍。齎誠如立雪。聽說郤披雲。願侍函筵久。先從四敎文。</text>
<title>拜玉山書院</title>,<text>久仰先生學。今來拜玉山。極圖千載訣。獨樂一堂閒。溪水流無盡。心亭高莫攀。此中無限興。得飽詠而還。</text>
<title>別辛丈 耆穆</title>,<text>一心許義氣。千里共危程。白首悲歌客。靑春脫世情。時因竆士阨。智得險途明。臨別更揮淚。相期杳洛城。</text>
<title>聞書堂讀書</title>,<text>世間悅我耳。孰若讀書聲。鐘鼓與琴瑟。磬球又管笙。聽之非不樂。玩著易忘情。顧此咿唔響。愈聞愈會精。</text>
<title>次贈朴景魯 曾浩</title>,<text>策馬篚山上。江風鴈叫時。此間吾有友。其志世誰知。望里呼船急。臨離沽酒遲。南來無限意。嘯罷更吟詩。</text>
<title>和李雪竹 秉殷</title>,<text>幾年坐陋巷。瞻仰德星堂。掃榻聞蘭臭。談經取燭光。香名嶺以外。勝會湖之陽。知有前期在。寧愁別路長。</text>
<title>自憫</title>,<text>傷心惟白髮。萬事渾無聊。齒動甘猶苦。目昏晝若宵。家貧人不訪。形枯病相招。蹩躄空堂坐。堪憂歲月消。</text>
<title>夢拜漆室族兄 華鎭 有感</title>,<text>生三事一義。常恨報無緣。寓慕篇雖輯。遺文集未全。胄孫違突爾。宗祀久茫然。夢覺悲無及。追恩更誓天。</text>
<title>自慰</title>,<text>無求多樂地。安分卽閒人。畢稅心無事。積薪屋不貧。抱孫能識字。蒔藥正當春。方策時舒卷。膏粱味又新。</text>
<title>望金城山。憶李宗緖 魯奎 兄弟。</title>,<text>金城山遠望。依舊屹然高。人事成桑海。客懷聽薤蒿。誼從西席厚。魂促北邙招。意謂長鄰德。如何使我孤。</text>
<title>和李雲傖 宜老 陶山贈行韻</title>,<text>暮年千里步。爲訪古賢墟。湖海心愈壯。桑楡日有餘。尋眞佳水石。進道大門閭。還恐桃源路。渾迷更覓漁。</text>
<title>和孫其山</title>,<text>每恨相思地。悠悠隔一湖。欲成興國會。來對輞川圖。短髮悲新鏡。淸談聽貫珠。願言開杜广。憐我獨巖孤。</text>
<title>和孫樞水 養脩</title>,<text>鳳山不忍別。携手入靑湖。俄對一香瓣。旋摹三笑圖。我方山採玉。君且海探珠。以此相努力。可期德不孤。</text>
<title>次贈李竹隱 彙寧 次沈隱矦韻</title>,<text>踵門承拜日。自擬遇鍾期。溪上論詩席。湖邊惜別時。願蒙朝露借。幸保弱蕉持。叵耐仙峯約。悠悠入夢思。</text>
<title>步前韻贈李竹西 殷淳</title>,<text>浮世遇知己。分明有定期。靑春同榜日。白首盍簪時。蘭臭山雖隔。松心歲共持。何能生兩翅。飛去慰吾思。</text>
<title>又步前韻。贈李安叟 鎭宅。</title>,<text>靑春邂逅席。便託歲寒期。千里西行日。三宵左顧時。風光今又暮。文酒更何持。晩契梅山宅。願君共仰思。</text>
<title>戊子晩雨。不得移秧歎。</title>,<text>五月卄四五。始沛三農雨。摠晩原隰禾。尤急水田稌。老翁催把犂。少婦忙洗釜。未曉殘犢鳴。深昏懶傭怒。趣錢取貰豎。盡歸有力戶。一洑灌沃水。先注勤者土。出門望野色。一時靑無堧。如何一丸泥。獨點寒士田。唉哉彼妻孥。交謫後人佃。人心非不仁。自家力不專。本性猶迂闊。問雨幾處宣。聞有不雨處。此心猶不便。傍人笑此語。舍田代耘然。悵恨良無益。歸來對𥳑篇。𥳑篇乃菑畬。此中力當先。半畒方塘水。獨漑我田園。惡莠勤斯趙。揠苗害又偏。雖後四鄰耒。肯羨八月仙。箇裏家計足。不待賴豐年。</text>
<title>破屋滲漏歎</title>,<text>世上愁憫事。無如屋滲漏。年年夏秋雨。或霖或成驟。如何竆士屋。小雨輒漏湊。直下如空地。四壁沒頹仆。列器承汚泥。鑿突通水流。几籠積一隅。蓑笠坐著履。有門何須閉。有席卷而倚。夜久雨不絶。霑濕實難謀。風何驅雨腳。凄凄打衾裯。蟲何不惡濕。喞喞助我愁。假寐猶不成。忡忡坐如囚。聽婦前致語。身世一何拙。人皆喜此雨。嘻笑聲不絶。吾何憂此雨。擧室共嘖舌。人皆呼僮僕。奔走事稼穡。吾何聚子女。都慮室顚覆。年年此窘厄。何時免而生。慰婦莫深恨。人皆有困衡。世人漏言語。禍患起且急。屋漏晴則已。言漏駟不及。世人漏行事。爲人所薄磷。屋漏但汚衣。行漏汚其身。惟患言行漏。豈憂室廬顚。言行與屋子。非不樂俱全。揚鶴實難得。仁宅當務先。語畢雨忽晴。一室更懽然。</text>
