<title>明鏡堂。伏次先祖晦齋先生次眞樂堂韻。</title>,<text>登堂感舊躅。淸澈小塘空。明鏡無含有。重磨乃驗功。</text>
<title>敬次仲兄深隱公雪亭諸詠 十首</title>,<text>雪消山靜更崔嵬。匝洞紅葩錦帳開。爲報東君花信重。幽香馥馥襲人來。雪山春花冉冉虞淵日欲沈。流光愁殺暮年襟。逝將努力桑楡補。向晦須宜兢惕臨。礪峴落照蒸雲羃羃雨和烟。昨夜峯頭一洗塵。曉起風吹捲地去。西山嵐色更回新。武陵夜雨六出霏花霽景奇。玉龍鹽虎朗吟遲。江村十里歸蹤斷。不使楊公泣路歧。江村暮雪虛亭月上近三淸。隱隱憑聞遠遠聲。故國千年不盡恨。悽音共與玉簫鳴。鷄林遠鍾淥漲江頭舴艋浮。行人來朅未全休。漁歌唱晩蘆中入。惟見輕鷗下急流。鳳湖歸帆紫玉山深淑氣餘。風煙谷谷武夷如。朝朝嵐靄呈眞面。緬仰遺芬此地儲。玉岑朝嵐漁艑夜入澤旗圍。宿𪆽驚人也自飛。暗處明從罟濊濊。世間何物可忘機。洛浦漁火鴣盤種得百年前。霜榦雪枝驗本天。賸馥當簷垂蔭厚。疎壇物色尙依然。前壇老香牛背三三五五行。皷歌不警戍樓平。天機觸處隨而發。豐草那邊又一聲。長郊牧笛</text>
<title>春日偶吟</title>,<text>高吟逸興一舂容。滿目韶光白白紅。驗得吾心胞物我。那將世事作䨓同。遐觀山水希夷外。靜玩鳶魚活潑中。暖布飽藜無不足。世間何者是豪䧺。</text>
<title>先祖家廟賜祭時。次杜曲族兄 在奫 韻。甲寅</title>,<text>尊道以誠不以名。虔將縟禮集羣英。斯文曠典祇成命。多士光榮聳衆情。盡日絃歌絲又竹。滿園花樹醉而醒。旅酬飮徹詩仍作。感戴鴻私載頌聲。</text>
<title>咏梅</title>,<text>種爾多年不見花。淸香羞著主人家。主人未學孤山富。半尺斜枝也自誇。</text>
<title>咏竹</title>,<text>經營栽竹未成簹。短短疎籬廑許長。惟有寒聲凉夜月。颼颼勁葉打淸霜。</text>
<title>咏菊</title>,<text>措置窻前菊數䕺。孤根自托小籬東。春來細雨勤培壅。佇見寒英九九逢。</text>
<title>伏次先祖集中林居十六詠韻</title>,<text>萬彙昭蘇得氣新。一元運處不勞神。花蕾葉綻咸呈露。色色東君造化眞。早春川原紅綠一時新。天剩繁華玉澗濱。興到水竆雲起處。琅然拂袂挹玄眞。暮春輕風細雨近溫天。四月樓高覺爽然。數畝山畦催麥熟。喜聽禽語坐溪邊。初夏書燈月白影分明。驚却西南忽一聲。歲暮靈丹消息斷。道人無復說金莖。秋懷入谷寒飆落洞庭。披離亂葉掩芳馨。孤松嶺上心期托。無使樵兒去斫靑。冬初至人不信有今古。盥讀遺書辨寂虛。萬象森然如指掌。何須齊物濠梁魚。觀物山焦濕暵仰瞻天。靜夜思長作枕泉。誰識當年霖雨志。謾拋十載退歸田。悶旱林端黝黑雨紛紛。經世憂深最喜聞。漢甕韓槔閒不用。神功無跡過虛雲。喜雨圖畫雲山轉入深。躋攀道德見平林。栽種歲久松篁老。惟有居人傳至今。感物鳥嚶花發底情性。物理須探靜坐時。也喜閒中無一事。肯輸努力費吟詩。無爲澄心臺畔鳥簷啼。吾道百年說紫溪。舒卷行藏有定筭。養眞初計冀巖棲。溪亭杖屨遺躅自成壇。樹木蒼然帶舊顔。若識名堂深用意。烟霞盟約此溪山。獨樂淸晨凝坐湛虛襟。萬理分明見此心。洗卻臺頭來活水。徘徊光影箇中尋。觀心玉峯奇絶耳偏醒。無限山光與水聲。要向工夫體驗地。試看中夜一燈明。存養當秋庭實摠殘英。惟有葵丹始發榮。微卉猶爲人愛惜。看渠盡日向西傾。秋葵探遊輕屐等邇遐。秋月春風事事多。管領歸來安素分。雪蒼茅屋足淸歌。樂天</text>
<title>因事寓吟</title>,<text>感應卽天理。昭昭報施明。欲知消禍孼。須養善心萌。</text>
<title>敬次仲兄庭植雜詠 二首</title>,<text>展得新心展未央。朝朝分寸剩看長。野樵誰覺隍中夢。庭蔭好遮日下陽。微雨滴鈴低易濕。暖風搖蓋偃還揚。移根盆土便措置。爲爾脆莖卻怕凉。芭蕉小梔移來儘有緣。種盆經濟屬殘年。四稜子結金黃染。六瓣花開雪白延。弱植畏寒書幌近。炒材合藥岐功全。人情物態多隨變。莫使臘容到上顚。梔子</text>
<title>輓宗姪北圃又玄 能玄</title>,<text>精氣翩翩玉帝前。煩君一訴底寃緣。如何三世中途憾。不弔吾門報施天。隻立人間萬事悠。暮雲流水曲江頭。傷心北圃新春色。竹瘦梅寒不耐愁。</text>
<title>輓族叔上舍公 耆祥</title>,<text>磊落風猷坦夷天。低看世事笑修邊。璧沼歸早敦親政。花樹淸辰五十年。全門氣數轉堪悲。滿載中流失柁維。分付枕邊多少意。取看公哭令公詩。</text>
<title>與菊問答 九日不見花○四首</title>,<text>問菊緣何未肯開。佳辰虛負送醪來。菊言早晩隨天氣。毋使殘英枉被催。問菊憐吾不合宜。衰年底事可能爲。菊言晩節誠難保。與子心期歲暮知。問菊孤芳見不多。休將奇特向人誇。菊言陶後知渠鮮。今遇斯翁意正何。問菊霜華已上頭。如何翻作一番愁。菊言物理固如此。且待明年又是秋。</text>
<title>次漴兒自警絶句 十首</title>,<text>喜爾心神整頓開。冰壺自此淨無埃。庶將那意無休間。便覺超然獨上臺。整心神一心和應一家和。喜爾色辭不放他。所貴有三君子道。眞功要與古人詫。順辭色自憐鬢上雪侵莖。喜爾戚憂遣理明。竚待玉成安樂日。傍人應說兩平生。不憂戚性偏難克打乖時。喜爾和平是特奇。變化能移粗㬥質。伯恭爲我掌指之。要和平世事無關任卷舒。喜爾深味聖賢書。聖賢事業書中在。能使初心不負歟。味學訓公心好惡等金枰。喜爾隱人美自成。離患遠尤守箇法。是非不到太上情。隱人惡世間何事不由躳。喜爾治生亦爲功。須看魯齋先務說。其言不是聽於聾。勉治生直節黎渦亦有情。喜爾存戒戒生平。少年豪氣如難強。笑付風流覓愛卿。防好色竆達於人摠是天。喜爾一任理瞭然。然猶己分宜自力。已說亨通有後先。任之天樂樂憂憂擧不癏。喜爾隨分著心閒。許多天下難平事。自付升沈自往還。安於分[後識]漴兒拈韻示余。皆切己自警語也。余見而喜之。因以喜爾二字。逐絶和之。以足其意。又致勉戒數語。漴乎古人有言曰作心非難。持心爲難。言之非艱。行之惟艱。苟能持久如彥明之服訓。軆行如思叔之書銘。則卒能變化氣質。覺得好意思。安知不如呂伯恭之一朝和平者乎。如或徒事漫吟。而不思存省體驗之實。則終不免鸚鵡能言之譏。可不懼歟。汝旣知而自警矣。吾將企而望之。</text>
<title>輓鄭判事 允愚</title>,<text>輕重山南好箇人。大方風韻未全貧。文莊古宅傳謨遠。立老薰庭及見親。谷口停雲頻入夢。海門殘日獨傷神。山樓舊躅多遺憾。愴挹當年坐了春。</text>
<title>輓止軒崔公 孝述</title>,<text>天餉林園地望尊。南鄕士子仰高軒。八公山下淸修老。百弗家中繼述孫。實著工深登薦逸。達觀理驗遣煩寃。記來抽示夫仁帖。指敎丁寧講世敦。</text>
<title>輓朴丹瀛德仲 英燦</title>,<text>君死吾如不死何。七旬閃景轉頭俄。譚霏永闃靑霞吐。樑夢時疑白雪哦。左海傷今風寂寞。東都追古石嵯峨。媿將知己生平淚。灑向三霜草宿阿。</text>
<title>輓族弟晩塢來于 在海</title>,<text>淚掇春花倚水頭。東風不斷送君愁。東風若解幽明恨。不放殘花吹上樓。評談經旨透精微。擔析羣言快是非。崢嶸百喙隨而定。扶得斯文抵死歸。詞壇攻藝且精專。巨手縱橫誰與肩。軟土一塵飛不到。雪蒼魚鳥舊盟堅。我不苦貧貧苦隨。荒田秋晩室啼飢。盂鹽穩喫吾茶飯。六十三年志不移。東雨西風世路崎。百回商量共扶持。如今多少難平事。淸夜無人獨臥時。</text>
<title>輓杜曲族兄</title>,<text>前年來于哭。今年杜曲哭。哭哭知己盡。靑山淚幾掬。蒼鬱氣皃古。曠夷譚屑眞。七旬甚做了。朝暮卷中人。世路多奇屼。西訌東又喝。賴誰擔夯重。能使不顚躓。海倉曾賞日。疎氣得公多。滯雨江干宿。談襟月半斜。歲暮多離索。邇來懷抱苦。夜筇追景祠。那意是千古。牀診與壙訣。心許負生平。無語披雲望。德溪空自鳴。</text>
<title>和趙明府 耆永 寄梅字韻 九首</title>,<text>使君淸興癖於梅。裁出橫斜筆上開。字字生香二十韻。還魂如帶雪冰來。梅不淸香孰愛梅。淸香最愛雪中開。百花頭上先呈露。會待羹鹽和手來。嶺南春早早看梅。花事長安未爛開。叵耐詩情傷節物。徑輸東閣一枝來。官梅嫌閙憶牕梅。盆上分明也自開。淸想不隨歸夢斷。冰魂夜夜破愁來。年年盟約與殘梅。不負凌寒特地開。如使孤香隨變態。韻人何用入詩來。淸賞偏宜月下梅。芳緣被惱淡糚開。淡糚倚著天然白。誰送仙娥幻現來。梅以觀梅不是梅。格高方可議花開。參橫月落羅山夢。知是龍城弔詭來。閒居端合友斯梅。恰好書牀對面開。誰識中儲香萬斛。恐他漏泄上春來。華牋一幅點成梅。盥手風簷眼忽開。吟到九英翻作恨。世間無事滿圓來。原詩有九英恨語故云。</text>
<title>次立巖二十八景</title>,<text>萬斛煙霞饒一榷。誰敎鰲骨卓成殼。蹈東大老讀春秋。不向腥氛聽畫角。卓立巖山對面前水繞傍。登臨便覺氣昂昂。如蒙睿奬言詩可。自喜當年誰與亢。起予巖吾東文物秉周禮。大義誰將丙子洗。強向臺邊花葉驗。生香不斷自根氐。避世臺歲暮山幽桂正芳。王孫何處友須卬。招招不見起遐想。持贈三秀芝作房。招隱洞月到銀汀水到潯。冷然天氣欲相侵。査滓淨盡明全見。影子方塘呈本心。鏡心臺山谿淸澈不生葦。占犀何須照數幾。潛伏昭昭理可觀。天機動處自掉尾。數魚淵吐月名峯最特奇。生輪露郭上空遲。碧天無際光如洗。莫道明夷向晦箕。吐月峯星精落地象非偶。水觸成䨓崖欲吼。也識化翁多劇戲。名區藏物又成斗。象斗石山聳成尖水噴嘔。人間萬事審關頭。苔橋盡日思弘景。請看畫中水草牛。踏苔橋先天消息問華渚。巢許當年何以去。耳洗猶能恥洗難。朱輪赤芾摠兒女。洗耳潭倚巖爲屋是幽居。奇絶行尋水到渠。造物寧爲空費力。倩他摸畫不虛虛。畫裏臺一步如墜二步虧。躋攀無路得良規。人心爭似斯臺險。精察三言微與危。戒懼臺雲耕雨耨四鄰出。倚杖閒翁是野逸。禾熟登場田事休。夜添松火讀書室。耕雲野棲碧多年與世逖。披雲彷彿幽人覿。時看一抹西山顚。朝似黛眉暮似壁。停雲嶺不琢天眞是大圭。山川精見氣相齊。河南玉色膺休運。驗得當年星聚奎。玉輝嶺猿愁鶴怨山幽幽。歎息高人不少留。聽罷芝歌柴掩暮。昏星錯落已傾婁。產芝嶺名山多產不凡卉。𢶑藥神翁濟衆味。我亦有丹調息宜。石髓溪腋滌塵胃。採藥洞釣臺風古我心攪。澗木生涯獨自飽。薄暮投竿下月灘。三星穿罶見參昴。釣月灘登登積土築猶密。泰華終成拳石一。驗到竿頭進步時。莫將虧簣遽云畢。九仞峯靑田遼闊此潭湄。誰送縞衣浴雪姿。盡日苔磯飛不去。脛長拳一直如觜。浴鶴潭泰山頂屬小華岑。疋練吳門睿視臨。剛恨聖桴終陋海。偏邦今古隔商參。小魯岑汲泉須用短長綆。日日提甕不暫停。不食攸咎勿羃之。于于甃畔幾同井。勿羃井我欲尋眞披靉。煙沈谷鎖使人唏。也知紫洞羣仙府。應有彌明喚護鬼。尋眞洞棲巖媚獨作窠臼。路熟何妨山黑黝。箇裏風光難盡處。月籠寒水煙籠柳。惹烟林緬憶高風步夕汀。羊裘物色惱宸靈。如何太露狂奴態。至使天門動客星。尙嚴臺水鳴汩㶁玉琳琅。可惜名橋落一方。幾箇埋光韜彩者。終年未得吹噓張。響玉橋突兀成臺勢偪側。兩流襟會無停息。要須合處方知同。試看車輪與鳥翼。合流臺周遮碧嶂何峋嶙。世外軟紅惱入哂。哂且徒然商量來。不如掃迹絶俗軫。隔塵嶺[後識]右二十八景。卽旅軒張文康公所命名也。有名而無韻。後人以二十八宿足一景以成。故權壻 周郁 追和見寄。忘拙搆和。</text>
<title>謹次族祖蒼廬公 鼎基 墓道豎石韻</title>,<text>蒼翁幽竁近三丘。謦欬難攀上界遊。大雅多從罏𩏕做。小同爭道筆鋒抽。暖花三月山呈面。片石千秋海盡頭。先契餘生多感淚。愧將遺草蠧魚愁。</text>
<title>遊淸凉山 幷序</title>,<text>淸凉之勝。擅於左海者。不惟玆山之淸淑奇絶。最於他山。蓋以我陶山夫子之吾家品題而名益彰也。余有寤寐夙願於泉光岳色之間而遠莫之遂矣。今上卽祚之元年甲子。特降兩先正廟致侑之命。十月十一日。卽上溪將事日也。余亦往參祀事。祀畢因發淸凉尋眞之論。柳正言季好，金上舍文瑞首先應之。從者數十人。十三日相與扶攜。歷丹砂，彌川，景巖，孤山諸勝。薄暮抵精舍。舍在山之洞府中。環揷十二峯。眞絶境也。翌日飯後。探外淸凉。上文殊菴。至若卓筆，滿月諸峯。在最高處。余以危險辭。諸友則有趲進者。有半塗者。蓋緣腳力之有健澀。而吾人進道之高下。類如是矣。余於是行也。尤有感焉。老先生當日吟賞講道之地。其至意未始不惓惓於來後之登是山者。而吾輩今日之遊。不過探勝選景而止。此尤非反身省懼處耶。留山二日。各尋歸路。因列叙姓貫表德贈一律。以替日後顔面之資。而山之奇勝。具載先生集中。故不敢槪梗云爾。淸凉奇絶石爲門。攜手躋攀共躡雲。無地層臺飛羽舃。揷天高廩列星文。當年講道遺芬挹。此日尋眞座語溫。也恐仙靈嫌俗累。休將六六說云云。</text>
<title>輓朴戚兄 理秀</title>,<text>摧剝殘骸怕㥘灰。無心世事自徘徊。夢中猶識丹山路。淸夜翩然幾度回。遙向靑山痛哭何。煩公欲語語還多。十三年後思兄淚。添灑東溟極目波。</text>
<title>輓毋欺軒李公 樹文</title>,<text>孝友家中福壽長。鄕鄰共倚一靈光。從此靈光無地倚。餘生寂寞拜虛堂。淸餉臺園九十春。世間無事更關身。惟有故人癡弟淚。哭兄庚舊倍傷神。</text>
<title>輓定軒族叔 鍾祥</title>,<text>曉日城東繞翣紅。爲言送葬定軒翁。都將吾嶺斯文痛。閉却新窀一木中。</text>
<title>輓族弟正言季鵬 在瀚</title>,<text>簪花曉拂粉旌斜。高揭臺銜衆共嗟。白屋數間禾北里。靑氈四世藥南家。守雌本色澄如水。軟土浮榮薄似紗。徙倚東風無限恨。萊山細草不生芽。</text>
