<title>偶吟</title>,<text>水自源頭發。山因絶頂高。欲尋仁智樂。到此便雄豪。</text>
<title>說樂堂</title>,<text>學而時習遠朋來。夫子工夫在繼開。願學箇中說樂義。堂扁常目告靈臺。</text>
<title>立春</title>,<text>天道斡流遷。陰剝陽更新。繼善純一理。人物賦予均。偏全由氣化。林葱自繽紛。遠而曁飛潛。細而入刹塵。人爲萬物靈。渾然無極眞。禀得貞元理。蘊成肺腑春。屈伸呼吸間。乾坤備一身。仰觀俯而察。一理自相因。歲除前三夕。立春日在寅。乾元首庶物。天氣初早晨。體此立字義。孜孜學聖人。以之立其心。滿腔惻隱仁。以之立於禮。長長又親親。竆理以立本。知行如車輪。進學以立綱。明德及新民。天君統百體。有如居北辰。苟致化育妙。瑞鳳復祥麟。値此陽回泰。心和氣亦氤。占斗知軒甲。有草記堯旬。料理斟酌久。屠蘇酒幾巡。</text>
<title>遊北漢 七首○壬戌四月</title>,<text>北漢之勝。願一遊覽者久矣。今此留京之暇。與同道二人伴行。過平倉村遇雨。入旅舍小憇謾吟。客從層壁下。倉畔有柴門。溪響迎雷吼。山容帶霧昏。聯衿憑石榻。携手擧匏樽。此會猶仙分。那從俗子言。自倉村緣厓過山腰。有水出盤石間。作卧瀑十餘步。過蒼壁然後作飛瀑。見甚奇絶。空中飛瀑雨。碎碎玉繩懸。霞散蒼苔壁。雷生白日天。巖危疑虎踞。波落訝珠圓。此日登臨樂。神淸骨欲仙。自瀑布將踰嶺。而望其頂若上天。意謂過此則必有城門。及過其頂則又有絶頂。可謂泰山頂上又屬泰山。眞天塹之地也。其巓有奇巖矗起。巖間數椽屋。若燕巢之寄。所謂文殊菴。因留宿。層巒峍屼揷天高。俯視羣峰不敢豪。雲際浮光澄似鏡。霧中遙樹細生濤。山童煑進香蔬饌。老釋斟來大椀醪。坐石劃然長嘯發。尋眞遊子却忘勞。早發入山城門。過鍊武亭。貰飮濁醪。仍午饒于重興寺。小闍梨供進藥草菜。因感孔毅父藥名詩。以吟而每句用藥名二焉。微逕穿山入。靑皮竹一筇。巖紅花作繡。水滑石爲舂。隴麥芽抽夏。谷梔子結冬。當歸斜日路。靈露滴甘松。暮投龍巖寺。林木之間。禽聲上下。足敵絲竹之樂。因感韓昌黎禽名詩。每句用禽名二焉。喚起同鄕伴。提壺入峽中。石田看麥熟。庭樹聽晨風。刹古爰居釋。巖罅側掛楓。今來快活趣。百舌亂西東。午後小雨而晴。因向白雲臺。所謂雲臺。卽三角山第一上峰也。半生平地客。今上白雲臺。林雨留人宿。山樓待我開。爲觀廬山瀑。痛飮祝融盃。勝地多詩債。歸情未遽催。暮宿太古寺石路層層溯澗流。山如太古更幽幽。雲含返照移樓角。風送飛花泛水頭。洗去塵心方是快。覺來人事揔如浮。滿城紅綠紛紜裏。吾輩團欒卽勝遊。</text>
<title>老人亭。次荳溪相公韻。</title>,<text>蕭灑山亭逈出塵。名區曾擅漢南津。老星遙夜芒杓爛。耆會當年杖屨親。松引琴調猶愛古。苔生石字不分眞。今來誰獨吾遊障。暇日吟歸五六人。</text>
<title>謹次族兄悔老堂 海能 回甲韻 癸亥</title>,<text>華甲重回六十年。賓朋宗族賀相傳。瑤桃春滿華觴酒。寶樹風來彩舞筵。獨享康寧身每健。咸稱仁壽福能全。兒孫繞膝參差立。白首含飴任自便。</text>
<title>朴參奉 海淳 壽親韻 幷小序</title>,<text>歲乙丑夏。卽石然朴兄春府丈回甲也。朴兄之英郞除拜。適値於慶燕之際。此無乃誠孝所格。而其於悅親之道如何哉。及其歸也。洛之搢紳章甫競以詩賀之。遂成一時勝事。余以同井之誼。不勝栢悅之私。遂次韻以尾之。古家懿範在經床。六十年來迪吉康。白首塤箎懷孔樂。靑氊詩禮敎多方。賀謄洛社花箋集。壽獻仙醪玉液香。舊甲回時稱慶疊。趨庭簪笏卽齋郞。</text>
<title>家親壽辰韵 丁卯</title>,<text>晬日重回六十旬。高堂壽酌娛今辰。碧桃花信春長駐。南極星芒夜更新。供喜慚無毛義檄。舞班願作老萊身。寸心只切陽輝報。歲歲康疆白首親。</text>
<title>次黃監役秋塘韻 幷小序○辛未</title>,<text>秋塘卽巴下黃公之所卜築也。其山水之勝。園林之美。余昔聞知而恨未得一見者久矣。歲辛未春。自京歸鄕。路由巴下。薄揖秋塘主人。則其左右屛障。卽十二月成歲之圖。而案上有心學圖說。得二程傳心之要訣。且考訂語類而編帙旣成。論解律呂而分寸不差。於此可見其精工邃學。則乃知巴下壯觀。在乎人而不在乎物。若其山水園林之勝。今不盡述焉。壁上有四韻詩。忘拙謹步。花園歸客溯秋塘。人在芙蓉水一方。好月桐陰堪賞價。恬風鏡面更磨光。浣心亭畔漁樵樂。太歲屛中翰墨香。欲識天機流動處。金鱗養得尺餘長。</text>
<title>與趙小荷 成夏 夜話 壬申</title>,<text>翰垣相對揔刮目。文瀾汪汪秋江綠。有樽且可無量醉。猗猗氣凌睢園竹。一觴一詠聊暢叙。以永此夜無相宿。惟此二者誰可兼。魚與熊掌俱所欲。此地禮數寬且厚。我巾已脫帶無束。自愧巴音難和處。陽春白雪摠新曲。我思悄悄何所在。道峰蓮花花續續。</text>
<title>詠懷 壬申</title>,<text>小春三五夜。霽天淸如水。停盃欲問月。捲簾推窓起。九衢人初定。亂碪來聒耳。徘徊忽反顧。家山今幾里。遠遊多怊悵。此責只任己。相離跨五朔。流光急如矢。拈著安分字。用工須到底。有餘與不足。奚論人譽毁。無口亦不妨。堪將匏與比。盥讀春秋義。所學吾夫子。</text>
