<title>謁箕聖墓。續守護所板上韻。</title>,<text>北兎山城外。一抔土幾春。焚香因四拜。我本化中人。</text>
<title>登牧丹峰</title>,<text>俄看鍊光亭。自知盡景來。牧丹峰上坐。天地此中開。</text>
<title>登吐螺山頂上</title>,<text>十年山下客。今作上山人。所見前何似。倚天捫北辰。</text>
<title>香積歸路。滯雨再宿光城金氏庄。</title>,<text>野客入仙扉。風烟果不微。今番香積路。只得五言歸。</text>
<title>歸自浿上。和雙湖白義燮。</title>,<text>世事多奇險。悵然別故人。山盃重會醉。舊誼啓新唇。</text>
<title>贈同犂野人</title>,<text>與君隴上耕。春雨滿花城。八月刈禾後。同隨醉步兵。</text>
<title>贈山城洞主人吉致興</title>,<text>閉關獨守眞。餘慶日將新。如欲門閭大。六經須可親。</text>
<title>贈徐丙哲</title>,<text>事業杳前期。誠身復致知。把作雙輪翼。孜孜十二時。</text>
<title>邊在憲同州人也。往年建齋之役。竊看其傾心努力。已知爲眞實難得之人矣。冬初挾冊請講。晝夜勤勤。已下人十己千之功。而凡齋有大役。不憚血指。樂爲之先倡。同齋尤爲之讓美。及其春深西疇。農謳四起。遂决計束裝。當日歸覲。蓋躬兼耕讀者也。同志者爲之惜別詩以贈之。遂步其韻。搆小詩一絶以送之。以表慇懃之意云爾。</title>,<text>田園草欲深。催君歸去心。耕讀難偏廢。古人每惜陰。</text>
<title>雙湖晩得一男。悶其多病故云。</title>,<text>不見路傍松。節節生腫癰。不見屋上苽。蔓蔓欲天衝。試看霜落後。誰吉誰爲凶。</text>
<title>奉敍本倅南學煕</title>,<text>滿閣梅花發。艶香聞四隣。客來相對笑。雪裏遇陽春。</text>
<title>奉敍表兄明軒崔晶岳</title>,<text>隔川書社在。相看未相言。日夕襟懷切。顚裳來叩門。</text>
<title>和東溪</title>,<text>東風終夜起。白雪滿庭來。阻我從遊路。高軒奈得來。</text>
<title>送金宅西，張己正觀中州風土。</title>,<text>不幸生東土。百年愧面墻。君今鄒魯去。萬里一鞭長。</text>
<title>訪屛泉齋</title>,<text>偸隙訪高廬。主人坐讀書。方池魚自躍。此樂果何如。</text>
<title>玉洞留講時。因事曠齋。文友亨汝悶而代之者再。旣感厚意。而於其別也。甚覺依依。一絶以贈之。以見區區。</title>,<text>寒齋寂寞濱。多謝替勞頻。今日龍山上。送君意轉新。</text>
<title>癸巳春。留燕申堂。一春無雨。至二月十五日始雨。</title>,<text>西京春色至。一雨過城塵。洗出江山面。風烟再得新。</text>
<title>山城道中</title>,<text>入山山未老。到處綠陰新。香山知不遠。猿鶴欲相親。</text>
<title>省楸有感</title>,<text>屛巖曲水東。抔土是吾翁。宿草霜降白。中峰日出紅。殘杯禮有數。哀淚孝無窮。再拜躕躇立。寒鴉吊晩楓。</text>
<title>春日偶成</title>,<text>夢破碧陰柯。悠然見彼阿。澗聲舂壁滑。峰影散簾多。鷗或忘機會。鶯能有意歌。春風驚逸興。今我一遊何。</text>
<title>偶吟</title>,<text>物物循環意。無往不爲眞。夜長終有晝。臘盡又逢春。風送皆花信。天淸卽日賓。萬事都如是。勸君着眼頻。</text>
<title>雨</title>,<text>雨旱適其時。誰能造化知。雷聲從電急。雲影逐風移。鷺下新江曲。鶯愁綠樹枝。須臾天色霽。淸景可觀之。</text>
<title>水檻遣心</title>,<text>坐大心先遠。登高眼已賖。流光憑轉石。春事感餘花。雨歇漁歌集。風微鷺夢斜。吾生堪自笑。蝸角托身家。</text>
<title>登合水臺</title>,<text>酒力仗詩功。朋情接世雄。灘鳴前夜雨。帆過夕陽風。仙跡烟霞濕。漁歌水月空。武陵非俗界。塵跡奈堪通。</text>
<title>江亭觀水</title>,<text>暮向江亭坐。烟雲尙未晴。雨聲連夜急。水色接天橫。有酒方成會。無詩奈敍情。宿痾從此去。一笑謝三彭。</text>
<title>洗足</title>,<text>雨過水有聲。雲捲月生明。不必同愁熱。何難去濯淸。且從多士約。試向小溪行。洗脚當風坐。全身淡且輕。</text>
<title>送洪校理正厚之昌城謫所</title>,<text>蕭蕭風雨夕。有客叩幽居。袖紫長安陌。眉靑太史書。憂國江湖遠。思鄕日月餘。前程山水惡。回首戒行驢。</text>
<title>留別許小隱</title>,<text>欲別隱人居。幾回挽客車。金蘭初結契。風土頓忘疎。同醉良霄月。討論古聖書。如愚何似者。尙此惜分裾。</text>
<title>贈別湖西二儒</title>,<text>小學一篇書。平生可捲舒。耕能資八口。讀必待三餘。講論雖仔細。踐履或虞疎。君去南州後。聲聞第𨀣予。</text>
