<title>夙夜齋讀易</title>,<text>燈下披黃卷。分明古聖顔。夜深開戶看。雪月滿空山。</text>
<title>詠竹。題逸老堂。逸老堂梁公諱灌。字沃之。咸陽人。卽先生外曾祖也。成廟朝淸白吏。</title>,<text>凜凜千竿玉。昭昭一輪氷。遺風留不泯。餘韻痛難承。</text>
<title>月夜。玩溪有感。</title>,<text>仰天慙白月。臨水愧淸流。多少身心累。何能刮盡休。</text>
<title>山天齋。侍南冥先生賞月。</title>,<text>素月明秋練。澄流靜不波。春風坐一夜。眞味正如何。</text>
<title>秋夜。坐夙夜齋。</title>,<text>碧落秋晴響遠江。柴扉撑掩息村狵。竹風不動小園靜。明月在天人倚窓。</text>
<title>贈盧玉溪 子膺</title>,<text>隔林遙望故人廬。溪上登臨雨歇初。欲寫幽懷無紙地。折來楊柳白而書。又釋褐今將二十春。官高名顯寵恩新。浮榮鮮不爲淫肆。愛子猶同布韋人。</text>
<title>贈林士秀</title>,<text>君從智異山中出。數寸靈根帶藥囊。倘愛南隣多病友。願分瑤革一叢香。</text>
<title>次林士秀</title>,<text>吾友林公不世情。欲向滄洲寄此生。我已江湖知路熟。不須鷗鷺引君行。</text>
<title>梅下玩月。得一絶。寄吳德溪。子强。</title>,<text>階下寒梅丌上書。野翁生計未全疏。賞心更有晴天月。淸福人間我何如。</text>
<title>龜谷。初結養眞齋。手植梅菊有感。</title>,<text>誅茅龜谷及新春。不是貪山爲養眞。梅菊已憐冥契宿。故穿溪雨種慇懃。</text>
<title>初建蘫溪書院。得一絶示諸生。</title>,<text>爲憐吾道已寒灰。月冷鍾城歲幾回。凜凜遺風能起敬。庶今狂簡幸知裁。</text>
<title>謝林葛川吳德溪諸兄雪中見訪。</title>,<text>谷裡無人賞雪來。剡溪驚見一船回。葛仙風味人誰似。肝膽相傾酒一盃。</text>
<title>靜夜吟</title>,<text>養性偏從靜裡多。夜中全覺樂如何。天心月素山門掩。誰把塵緣入我家。</text>
<title>逸老堂詠竹</title>,<text>主人能解事。窓外玉成林。凜凜霜侵骨。蕭蕭雪蘸心。楚雲秋已晩。湘雨夜將深。歲晏遺風遠。空敎費短吟。一云。薄暮多愁思。搔頭不耐吟。</text>
<title>遊花林洞</title>,<text>南冥携玉溪。喚起及吾儕。芳草山容好。吟鞭馬首齊。月淵足初濯。龍澗詩更題。賞心隨處樂。輸與野禽啼。一云。應知歸去後。花落鳥空啼。</text>
<title>龜谷偶吟</title>,<text>金臺邀月幽禪磬。龜谷耕雲野夫耰。靈鷲楓酣紅似染。楸城嵐陣翠如流。寒泉激激龍湫石。峭壁巖巖獨女秋。物外閑行眞得趣。佳山好水任長休。</text>
<title>同吳德溪，盧玉溪，梁思庵。讀書山寺。</title>,<text>一場歡會是良緣。浹月連床豈偶然。心利斷金交已密。工深麗澤道誰偏。源頭活潑池中水。心體虛明霽後天。自此藏修期不負。肯終悠泛枉百年。</text>
<title>次鄭梅村遂初韻</title>,<text>追逐良朋後。吾知此味眞。水從愁共遠。山與意俱新。碧凸甌中酒。紅團面上春。任他嘯咏外。憂喜世間人。附原韻喜到西溪上。重尋物外眞。儒酸行色淡。巖古水聲新。僧渡澗頭棧。鳥啼山暮春。崔仙佔畢興。千載付吾人。鄭梅村復顯次道腸無妄想。塵外得淸眞。石潔行行勝。泉淸曲曲新。詩歌千古意。杯酒一場春。此日窮源處。相携不俗人。金東岡宇顒曾知仁智樂。此地爲尋眞。谷帶朝煙滑。泉徑夜雨新。楓霜思九月。花錦想三春。濯足聊吟咏。相逢摠可人。金開巖宇宏字敬夫西溪鳴屐齒。幽興動天眞。白石顔猶古。蒼髯韻更新。三抔凌五岳。一笑傲千春。今夕是何夕。同來皆故人。曹梅庵湜字幼淸良朋來自遠。呼我此尋眞。雨後山容好。巖邊草色新。淸談相愛意。抔酒太和春。今日吾儕會。誰知物外人。盧徙庵祼字子將</text>
