<title>南郊罷酌 五言絶句。十三歲作</title>,<text>平郊千里闊。乾坤入酒杯。篴聲嫋嫋起。使我暫徘徊。</text>
<title>題神勒寺塔</title>,<text>巖畔千年寺。丹靑今已昏。惟餘孤塔影。長作半江痕。</text>
<title>南海 二首</title>,<text>海國恒多霧。北人心更愁。坐看山吐月。不見金波流。金鴨薰寒被。銀花映篇。亂離殊不薄。白髮丈三千。</text>
<title>走和僚兄李先生韻</title>,<text>一官緣秫酒。痛飮效淵明。直到鷄三唱。休言鼓五更。</text>
<title>遞還慶尙右道方伯。借寓永嘉江墅題贈。</title>,<text>江流新漲綠。村篴謾生哀。喜脫龍旗下。欣逢碧眼來。</text>
<title>次碧潼枕虛樓韻</title>,<text>未控靑絲騎。來憑紅粉樓。雲邊高下樹。客路別離愁。</text>
<title>次統制使李舜臣韻</title>,<text>虎節兼三道。勳勞聖主知。如今休拊髀。應喜與同時。</text>
<title>東陽山城早出</title>,<text>靄靄春陰日。微微花信風。客行殊不惡。心緖自悤悤。</text>
<title>書畵扇次南窓韻</title>,<text>湘江竹爲扇。九疑山作圖。南風今不競。還把障塵無。</text>
<title>題金浦蓮亭</title>,<text>楊柳千條列。芙蓉一朶開。淤泥不相染。池面任風來。</text>
<title>贈人</title>,<text>卞老郊園好。來棲未遣愁。雲深朝日隱。扶策出庭幽。</text>
<title>閑山島次洪宜老韻 七言絶句</title>,<text>春雲釀雨似多情。擬做淸歡恨轉生。醉夢醒來風信好。一帆惆悵向孤城。到處龍鍾不稱情。玆遊聊可慰平生。干戈海戍重宵話。幾日同歸五鳳城。道盡從前未盡情。閒愁又向醉中生。天南鯨海同爲客。落日黃昏是洛城。獨憑孤館不勝情。暝色依依遠島生。中酒病來愁又切。悔敎歡伯破愁城。東門折柳別離情。宛轉新愁篴裏生。座上重逢靑眼舊。却疑身在洛陽城。分司御史足香情。粉紅三行百媚生。楚兩未成孤客夢。彩雲遙歷鳳凰城。夢裏團欒却有情。舟人來報早潮生。煙波萬頃孤帆影。暮雨蕭蕭入海城。</text>
<title>南海步洪益城 聖民 韻</title>,<text>島嶼依依望裏遙。雲沈海口雨蕭蕭。分司御史僧同冷。坐嘯空廊送晩潮。</text>
<title>過咸昌。少憩松樹下。以待御史。</title>,<text>山花濺淚鳥驚心。作伯周南歲月浸。雙節偶停松樹下。臥聽風籟勝棠陰。</text>
<title>再回閑山</title>,<text>睡覺蓬窓報雨聲。舟人又道逆風生。來來每遇風兼雨。行路從知不稱情。</text>
<title>和奉善師</title>,<text>楓林纖月共淸宵。桂子天香渡石橋。仙馭想應迎玉節。鳳簫聲響綵雲遙。</text>
<title>丹溪李都事 惟諴 新居小飮</title>,<text>密席靑娥送羽觴。纖歌一曲斷柔腸。千竿脩竹半庭月。不醉無歸夜未央。</text>
<title>贈義僧學祥</title>,<text>手持弓箭脫袈裟。三載從軍獻馘多。殺盡寇奴歸故寺。任他麟閣畫嵯峨。</text>
<title>丹溪江上</title>,<text>臘月江南春氣廻。燒痕靑草異花開。風光偏薄分司客。惟遣嚴霜鬢上來。</text>
<title>換鵝亭步故韻</title>,<text>天下湖亭罕有雙。山將畫閣影涵江。無窮形勝無窮恨。風打疏篁月半窓。</text>
<title>天將贈胡椒。有感而題。</title>,<text>憶曾簪筆在蘭臺。傳賜鴻恩逮不才。盛事如今那更有。看來不覺淚盈腮。</text>
<title>郭令公再祐獨與鄕兵閑住宜寧云故題</title>,<text>東海英雄有一人。聊將羽扇試風塵。妖氛未靜先藏跡。散盡同盟俯鼎津。</text>
<title>衙罷偶唫</title>,<text>午前衙罷坐虛堂。天氣微陰日正長。山鳥亂啼人寂寂。梨花雪落滿庭香。</text>
<title>酒泉</title>,<text>兩峽分開一水通。靑山面面似壺中。淸虛自是神仙府。劫火何能掃地空。</text>
<title>除夕宿上山驛</title>,<text>殘燈挑盡到三更。客子心中百感生。却憶昔年騎省裏。金吾來報進儺名。</text>
<title>再登召公臺 五首</title>,<text>拂面霜風冒曉寒。踏氷羸馬陟巑岏。海雲多事爲魔障。不見江波湧玉盤。靑雲如嶂壓鯨濤。紅紫輪囷怪氣敲。繚繞赤龍千仞上。倒斜金柱萬尋高。雲披日上海茫然。灝氣冷風不盡邊。水闊蒼蒼包大塊。鷄黃旋覺一丸圓。蓬萊一望路迢迢。飜覆桑田閱幾朝。群玉峯頭駐旌斾。桂花叢裏自吹簫。黃公碑在斷崖頭。沒世遺民荷澤流。滄海有容山似鎭。千年仙李倚貽謀。</text>
<title>別人</title>,<text>相逢如夢似非眞。却記前時折角巾。何當投轄留君飮。直到仙山躑躅春。</text>
<title>次宋之問寒食陸渾別業韻。卽事。</title>,<text>曾看柳絮飄如雪。更覩閒階紅藥發。柳絮飛時鎻銀臺。紅藥花開雨無月。日復日兮節序新。綠柳鶯啼已換春。人生一世幾時歇。白髮猶作名韁人。</text>
<title>和狄踰館板上韻</title>,<text>江似瞿塘十二灘。月如眉樣映朱欄。客行已遠離懷惡。三月春宵亦苦漫。一溪三十二廻縈。每度危橋白髮生。若是鬼門關下路。地名惶恐漫虛聲。</text>
