<title>次答聞喜倅 沈宗直 問梅</title>,<text>造化移茅舍。先春暖氣催。所嗟人在遠。不見臘前開。</text>
<title>寒食</title>,<text>義士昔爲燼。佳辰今尙傳。年年風雨節。一度禁春煙。</text>
<title>瀟湘竹</title>,<text>江上萬竿竹。至今依舊斑。二妃怨不極。千古蒼梧山。</text>
<title>次任茂叔 叔英</title>,<text>地遠虞翻老。途危阮籍窮。相思一千里。日夕遡淸風。誰似全都事。居窮志不窮。遙知讀書罷。高臥北牕風。附原韻</text>
<title>省中聞蝦蟆</title>,<text>久旱天中節。和鳴夜半池。報知靈雨候。眞箇爲公私。</text>
<title>宿軍威官舍。夜雨有感。</title>,<text>急雨溪應漲。羸驂路轉艱。夜涼愁不寐。祇爲近先山。</text>
<title>祇林贈僧</title>,<text>勝地尋般若。高僧得惠勤。東華塵土事。三日隔重雲。</text>
<title>黃龍偶吟</title>,<text>寺古餘雙塔。山深只數僧。人間乾淨地。今得種瓜陵。</text>
<title>哀六朝 乙酉</title>,<text>一收王氣邈難尋。文物千秋鞠草深。凡楚若干如夢業。任他牛背牧童心。</text>
<title>宮詞</title>,<text>長信宮官奉旨行。馳尋玉輦到華淸。君王正臥遊仙枕。不省殷勤數紙情。</text>
<title>次題五德寺僧詩軸</title>,<text>海雲西望向無涯。遊騎斜陽駐梵家。直對老禪談勝界。頭巾方欲掛三花。</text>
<title>辛亥偶吟 時遇兩賢被詆之事</title>,<text>千載胡生脫粟猜。世間何代乏人材。若非累聖崇儒後。吾道從今亦殆哉。</text>
<title>讀宋史 前賢被誣於人。故云云。</title>,<text>梅菊松篁半畝庭。柴扉無事晝常扃。閒中閱到南朝史。仰屋時時泣考亭。</text>
<title>過柳浦灘有感 竝小序</title>,<text>龍蛇之亂。避地管山故基。乙未暮春。家有癘疫。老親以下纔免危境。予以絶糧。乞糶于商山。阻水未歸。經旬之後。急於救飢。負米涉江。不暇計深厲淺揭。後日過去。追感而作。輕生昔日恣憑河。血氣當年幾許多。乘馬此來猶戒索。一心操舍較如何。</text>
<title>四皓</title>,<text>一行鴻鵠飛冥冥。千仞鳳凰來儀庭。避呂安劉儘可尙。商山萬古磨靑靑。</text>
<title>城下釣</title>,<text>八尺身持九尺竿。城邊獨立意桓桓。當時漂母猶能識。不怪劉王爲設壇。</text>
<title>麥浪</title>,<text>雨過南郊生晩風。層波十頃起田中。漁翁枉了持竿出。却對農夫話歲豐。</text>
<title>殘菊</title>,<text>昨夜寒風拳地惡。東籬物色偏蕭索。金錢滿砌暗香消。五柳先生爲誰酌。</text>
<title>大夫松</title>,<text>周家雨澤培貞節。秦帝高官奈若何。威武定知移不得。蒼蒼自在泰山阿。</text>
<title>鶉鷹</title>,<text>紺眼緇翎短短形。前身自是海東靑。平原忽伴韓盧去。行見懸鶉日滿庭。</text>
<title>述事 三首</title>,<text>惹口招拳過半生。身心都放況知行。欲從晩景收將去。終免人間枉性情。先賢喫緊爲吾人。多少功程要入身。衰鈍未能窺彷彿。病中空復費精神。格致先當定脚跟。須將主一戒狂奔。吾人次第無窮業。方策分明有聖言。</text>
<title>劍舞</title>,<text>鴻門高宴龍泉躍。壯士翻身光閃鑠。項伯徒勤翼蔽心。不知天遣逃杯爵。</text>
<title>舟行 此下。朝天時作。○乙丑</title>,<text>扁舟一過萬重山。三角形顏便渺漫。魂夢不知身已退。夜來猶復入金鑾。</text>
<title>長山島留泊 二首</title>,<text>身在銀漢博望槎。洪濤日夜接天涯。愁來莫着思歸夢。靡及懷深不念家。許國初年分義明。況逢恩遇死生輕。杯看渤海三千里。遑恤妻兒遠送情。</text>
<title>皇城大洋遇風</title>,<text>木道二千里。風餐三八蓂。曾聞達去舍。今覺沒吾寧。肯以顚危動。須從造化聽。開蓬發一笑。萬事寄冥冥。</text>
<title>題慈雲扇 皇城島寺僧也。</title>,<text>骨相淸高儘不凡。前身龍象讀楞嚴。蒲團翦燭三宵穩。萬里畸遊勝事兼。</text>
<title>贈慈雲</title>,<text>短棹行穿滿島雲。便從眞界訪茅君。身離苦海腥塵慮。夢入諸天絶世紛。仍與道林時講道。爲憐文暢更留文。明朝試向瀛洲去。碧水茫茫信不聞。</text>
<title>皇城夜泊</title>,<text>北風撼海海波揚。秋夜如年几席涼。魂夢不知身已病。曉天霜露入明光。</text>
<title>廟島偶吟</title>,<text>一粟滄溟渺。三旬老病侵。鯨波常洶湧。萍跡動崎嶔。已斷思家夢。惟殫報國心。危途有生道。益覺聖恩深。</text>
<title>登州卽事</title>,<text>十月登州關北村。天寒怯病掩重門。城臨海國濤聲壯。牕近民廛市語喧。臣職死生非所念。旅遊愁苦不須論。中原更隔千千里。未暇悲吟憶故園。</text>
<title>過呂東萊讀書堂</title>,<text>家學從來識正傳。東南諸子莫之先。至今依舊藏修地。五尺羞稱陸九淵。</text>
<title>過雍齒墓</title>,<text>喬木寒原鎖暮雲。行人指點什方墳。身先萬戶名千古。不羨當時第一勳。</text>
<title>過濰水</title>,<text>壯士何年奮此身。平齊去作漢功臣。至今遼海風塵暗。空向流沙憶古人。</text>
<title>過晏平仲故里</title>,<text>三十年裘一豆豚。顯君功烈豈卑云。祇緣不識宣尼聖。至魯功程退十分。</text>
<title>過牛山</title>,<text>茅塞王心已牿亡。聖言於此謾精詳。至今濯濯猶前日。山性元非喜牧羊。</text>
<title>過齊景公墓</title>,<text>七十餘城舊業殷。當時列國是賢君。淸秋謾灑牛山淚。千載令人笑廢墳。</text>
<title>過齊桓公墓</title>,<text>九合當年得一匡。葵丘歃血正尊王。只緣詐力羞童子。行路猶知說富強。</text>
