<title>山寺卽景 戊辰○幼時作。寺在尼山。</title>,<text>大風起天中。落葉滿空山。月如將卛星。星如兵衛月。</text>
<title>除直赴殿試日有感 癸未</title>,<text>禁林春色十分奇。碧樹紅花暎玉池。觀德堂前無限興。壯元今日唱名時。</text>
<title>贈趙參議 泰億 求劍韻 時趙公以上使往日本○丙戌</title>,<text>荊卿擿後徐生得。童女舟中寶彩遙。六國誅來猶帶血。千年海外未銷膏。龍光豈合蠻兒手。神物終歸壯士腰。會待雷公能掘取。提携西出掃氛妖。</text>
<title>次趙參議留贈子弟扇面韻 丙戌</title>,<text>星軺暫住釜山村。舘接傳廚慰早昏。江樹橋頭違別袂。蜒雲瘴裏悵離魂。扶桑日月秋迎艦。蠻國管絃夜咽門。歸櫜寶刀如脫贈。漢津先候對淸樽。</text>
<title>獵山 丁亥</title>,<text>邊塞塵淸解右鞬。將軍無事獵平原。樹疑大纛高牙立。山似千兵萬馬屯。猛虎吼時蒼壁裂。老龍驚處白波掀。半酣不覺歸侵夜。畫燭引前皷角喧。</text>
<title>雨中贈鄭樴 戊子</title>,<text>農家得雨驗年豊。吾友鞱弓歎害工。今朝正好談兵藪。莫憚衣沾許一逢。</text>
<title>次朴 玄卿 韻</title>,<text>欹巾緩帶小塘臨。經雨流泉韻更深。遊魚舞鶴眞吾友。步月携壺又朗吟。</text>
<title>次智異山僧 應連 韻 己丑</title>,<text>老禪飛錫欲何之。智異山雲帶汝眉。邂逅要探眞箇景。答云霜葉勝花時。</text>
<title>出獵</title>,<text>手弓腰釼陟高岡。大醉呼鷹又殺獐。不憚層巖頻上下。樹頭落日已斜陽。</text>
<title>詠老松 庚寅</title>,<text>幽居卜築商山東。愛看前峰十丈松。當年肯受秦家爵。獨立風霜不改容。</text>
<title>在湖左水營。思家偶吟。</title>,<text>薄晩人烟羃兩邱。江湖物色浩難收。可憐今夜還家夢。不憚山川萬里脩。</text>
<title>在嶺左營戱贈幕裨 辛卯</title>,<text>皷角寒聲半夜天。將軍無事撫龍泉。門前病樹迎秋早。海外高峰得月先。義重碧油同患難。心懸丹闕報埃涓。勝遊知在南樓上。庾子風流豈獨專。</text>
<title>又贈幕裨</title>,<text>休言深愧負平生。結義從來等弟兄。殉國一心宜勉勵。風塵自古不時驚。</text>
<title>贈別崔 潤 歸覲韻</title>,<text>跡滯江南素計違。嗟君先我促征騑。也應歸覲萱堂日。孝席欣迎老子衣。</text>
