<title>日 乙酉</title>,<text>太陽全體明。蓋有君人象。品彙莫逃形。恠奇森萬狀。</text>
<title>月</title>,<text>盈盈海底月。琢玉以爲輪。一轉斯黃道。顒昂下界人。</text>
<title>集慶堂春帖 二首○丙戌</title>,<text>龍樓問寢乍愆和。直宿經宵快祛痾。歡曁飛潛猶蹈舞。慶同跛躃亦謳歌。羣情每頌騰華胥。聖孝猶深講蓼莪。不日十行紆賞賚。諸臣榮福一何多。朝野憂遑問幾時。候班幸作賀班儀。三壇吉兆開金匱。八域歡聲動玉墀。擁護百神天理見。平康五福聖工宜。宸情每切淵冰戒。大德恒思永命期。</text>
<title>燈夕</title>,<text>萬戶懸燈趁此宵。月光雲影共迢迢。珠星燦燦仍垂地。火樹搖搖遂接霄。醉語遙知花外路。行歌應度柳邊橋。淸和氣象繁華竝。水缶村村不寂寥。</text>
<title>詠月</title>,<text>水面初涵夜氣淸。盈輪新月極高明。若窮所照歸吾化。東漸應知過八紘。</text>
<title>碧波潭</title>,<text>帶月龍舟泛。天光映綠潭。驪龍頷下寶。一任錦囊探。</text>
<title>端陽志故事</title>,<text>令節天中屆。薰風殿角廻。艾符爭貼戶。蒲釀喜盈罍。夏五方絺葛。秋千又綠槐。宮娥迎鷰子。朝日祝高禖。</text>
<title>聽苑鶴</title>,<text>三淸仙鶴語。逈徹九天深。取象中孚義。其鳴本在陰。</text>
<title>示或人</title>,<text>漢津舘外水如天。軟綠輕紅十里連。去棹來檣紛似織。浦歌強半是漁船。</text>
<title>登平樂亭</title>,<text>北杏南桃盡意開。鶯兒學語鷰雛來。太平有象於何覘。士女傾城擊踘回。</text>
<title>題折檻圖</title>,<text>尙方劒借鐵腸堅。折檻危忠正凜然。凡百後人知所懼。千秋遺跡畫圖傳。</text>
<title>眺木覓</title>,<text>節彼南山霄漢連。扶輿磅礴見千年。如雲如蓋葱蘢氣。散作陽和布四埏。</text>
<title>荷塘</title>,<text>鮮紅豔翠劇淸明。殿閣風來晩馥生。出自淤泥能葆潔。花中君子豈虛名。</text>
<title>天下地圖</title>,<text>山河包絡際無外。歷歷移來一幅繪。萬國提封如此耶。吾猶不識九州大。</text>
<title>長樂殿記舊</title>,<text>慶會長秋每奉歡。朝朝來請起居安。岡陵華祝頻稱斝。大內儀文屬女官。</text>
<title>登杏壇</title>,<text>和氣冲然杏樹陰。農山化雨語春琴。二三子各言其志。魚躍鳶飛是我心。</text>
<title>謹獨</title>,<text>意馬心猿未易擾。捨宜操得放宜求。於皇帝鑑昭臨汝。屋漏淸蜎愼厥修。</text>
<title>維天維祖宗。佑我宗祊。聖候不日乃瘳。玆賦近體三首。示直宿諸公要和。以寓同慶之忱。</title>,<text>聖躬康復屬昌辰。仰認皇天佑北宸。珍劑效功元不日。寶籌添壽却回春。歡傳八域疲癃起。賀獻千官蹈舞新。集慶堂名非偶爾。融融和氣浹臣民。猗歟翼瘳慶。上有祖宗靈。喜氣騰仙仗。新休迓帝庭。天晴三伏退。秋熟八方寧。環珮朝將集。爭看祝萬齡。仁風躋壽域。覽德有皇天。院直纔前夜。邦休又是年。蟬鳴金殿樹。魚戲玉塘蓮。樂意同羣品。神功奏十全。</text>
<title>喜雨</title>,<text>一雨知誰賜。通宵解澤均。飯牛趁曙起。聞鳸占晴頻。滋綠平蕪潤。敷黃細柳新。田官知節候。春及告農人。</text>
<title>仲舅以說書。直春坊。適値庚炎。可想午渴。玆送西瓜一盤。</title>,<text>有圓珍果自西邊。擎出髹盤色愈鮮。丹液宜沾文苑渴。靑綾要擺禁廬眠。</text>
<title>陪駕登北苑。瞻望皇壇將事。</title>,<text>丁東玉漏夜何其。苧藶山河左海悲。一朶黝雲黃帳幕。雨過風肅唱臚時。</text>
<title>陪駕龍興舊宮。路出主第。聊寄一絶。</title>,<text>輦路塵淸布豔陽。沁園春色遠相望。洞門斜日移仙仗。咫尺樓臺思更長。</text>
<title>樂善齋盤松</title>,<text>宸慕追堯墻。鸞聲駐漢邸。拂天庭畔松。盤屈固根柢。</text>
<title>登朝陽樓</title>,<text>紅日上東海。最先照此樓。山花當檻靜。溪柳近簾浮。枕簟來朝爽。琴樽得晩遊。朗吟渾忘返。巾服更夷猶。</text>
<title>望白塔</title>,<text>累石平如掌。穹崇任獨尊。不由持重力。何以抵天門。</text>
<title>鷄鳴詩</title>,<text>宮簾花睡春宵闌。銀槽漏滴聲三四。后妃御夕君王近。脫簪餘誠尙夢寐。君王放朝趁淸晨。有意東方屢興視。檻外更籌過幾巡。天末星光影欲墜。重幃驚動營營蠅。午月虛明迷蝶翅。不是蟲鳴在戶牖。不是燈輝减紅膩。天曙一道來晃晃。遠遠鷄聲又何自。借問莫是鷄報曙。如海宮門但深邃。宮門深邃不可知。庭燎會昌時或値。時或値也將何爲。爲告君王莅政事。宗國俄傳關雎章。文王至化東南被。請君編入女四書。滔滔後來多譏刺。</text>
<title>寄光恩 幷小序</title>,<text>光恩造候班。扶病歸家。費數月調將乃痊。然病源尙未夬祛。甚悶然。玆付短詩。以寓少愈之戒。兼伸稍阻之緖。憐子刀圭浹月餘。調將凡節近何如。戒存少愈須無忽。噉著惟時愼起居。</text>
<title>鳳翔樓</title>,<text>層樓飛出九重霄。歷歷明河上可橋。瑞鳳翔庭渾聖世。賀騰元日奏虞韶。</text>
<title>季舅赴國子監試。贈管玄。</title>,<text>妙歲文章已夙成。何難國子榜中名。香煤寶管聊相贈。須展羅倫錦繡情。</text>
<title>書進宴圖禊屛</title>,<text>天眷吾東聖候安。稱觴法殿會千官。嵩呼是日衢歌並。繪畫留傳萬歲歡。</text>
<title>秋夜。課讀葩經。不覺漏徹。仍賦此。</title>,<text>自家點檢亦云疎。較看前人我不如。重繹詩經言外旨。禁雞鳴盡又披書。</text>
<title>花下偶唫</title>,<text>寒食東風三月花。花邊楊柳柳邊家。夕照樓前山似畫。烟光十里盛繁華。</text>
<title>詠時牌官</title>,<text>夙夜宮門有近臣。天時十二報楓宸。衣冠肅拱渾無語。猶愛玄機在爾身。</text>
<title>會祥殿春帖 丁亥</title>,<text>觀蠶盛事濯龍園。絺綌王家古禮存。十載陰功昭儉德。六宮輿頌浹仁恩。祥光北闕浮仙仗。淑氣東風繞彩幡。獻祝羣情環八域。融融喜氣滿千門。</text>
<title>題關西地圖 三首</title>,<text>東明舊邑象箕躔。高閣臨江景最憐。仙客朝天何處向。大同門外水連天。練光亭爭說關河第一州。中原未易有斯樓。恰如坐井觀天大。自是東人眼孔鯫。降仙樓淸江一帶抱城回。絲管紛紛酒席開。寄語五營兵馬使。詰戎餘暇細傾杯。百祥樓</text>
<title>詠史 九首</title>,<text>大度包容達且寬。如何慢罵溲儒冠。沛宮一曲風雲想。從此昇平四海安。漢高祖 膏澤元來浹兆民。及時賑貸輒方春。末音短喪終雖媿。恤四窮時足見仁。文帝  獄中佳氣爛如雲。天命終歸大寶尊。躬政縱多功可紀。諸臣獨奈少全恩。宣帝  里社爭稱宰肉均。終憑鱗翼作元勳。若無游學應難用。始信阿兄智過人。陳平  橋下神韜幄裏籌。靑齊三萬却封留。風塵餘策從仙去。一格爭高范蠡舟。張良  謹恪持心博陸侯。明堂朝會倣姬周。中恢漢業非無策。戚里專權自此由。霍光 春睡矇矇孰辨眞。枕邊時墮臥龍巾。終然一出陽秋義。成敗唯天不在人。孔明  五柳秋深栗里邨。葛巾歸去酒盈樽。東籬老菊多淸露。司馬春秋一部存。陶淵明  爲將當如郭子儀。未曾輕殺匹夫微。須看晩境全安享。君子元來福履綏。郭汾陽</text>
<title>贈硯</title>,<text>石重歙端蓋玉如。玄雲噴處潤床書。墨卿楮子延佳友。吾道扶將定不虛。</text>
<title>憎蚊</title>,<text>不現其形但遺音。乘昏游嘴透簾深。世間多少營營客。鑽刺朱門亦底心。</text>
<title>神宗皇帝諱辰。有感恭賦。</title>,<text>萬曆神功若普天。漸東洪化我家偏。帝恩可忘存邢日。國恥能酬去衛年。極北明星無處拱。江南紅荳有謠傳。三壇是日凄凄雨。曉灑君臣望拜筵。</text>
<title>又敬次肅祖志感韻</title>,<text>設壇宮苑報皇明。珪幣虔伸事大誠。玉輅東巡秋節屆。漫將淸淚憶周京。</text>
<title>雨過</title>,<text>蒼蒼遠樹淡抹。嫋嫋垂簾斜陽。庭院雨過綠潤。池塘波暖微香。</text>
<title>陰山大獵屛</title>,<text>大漠之南曠虜庭。漢家天子振威聲。白登餘恥酬容易。千古應辭黷武名。</text>
<title>雲臺</title>,<text>十八元功一幅中。英姿颯爽儼諸公。始知帝德邁高祖。未覩南宮著畫工。</text>
<title>萬里長城圖</title>,<text>當時妄擬萬年皇。只謂深憂在北方。無賴長城連萬里。須看奇禍自蕭墻。</text>
<title>渭水</title>,<text>名利要津是渭磯。誰能離俗憺忘機。若非當日文王遇。白首風塵詎免譏。</text>
<title>讀項羽本紀</title>,<text>鴻門帳外楚聲皆。隆準俄從百騎來。浪死居巢頭白老。未聞此日乞骸回。</text>
<title>畫仙笑漢武</title>,<text>三山碧海路茫茫。海上求仙一夢長。病處多從高處得。秋風無悔奈秦亡。</text>
<title>題周穆王八駿圖</title>,<text>昔放華山任去來。今焉驅策又瑤臺。嗟渠駿骨非時出。謾憶當年牧野回。</text>
<title>閱箕子墓圖志感</title>,<text>朝日扶桑瑞彩鮮。八區井畫宛先天。檀君邈矣箕師遠。父老猶思聖作年。</text>
<title>白頭山祀式。方議加品際。閱地圖書此。</title>,<text>有屹高岑鎭北關。兒孫羅列九州山。聖朝祀典斯爲重。佳氣長留宇宙間。</text>
<title>南漢雉堞入望。如在眼中。唫此寄城尹。</title>,<text>層巒疊石漢南城。西將臺高可按兵。請看三田頑石立。當時奇計媿陳平。</text>
<title>有人在楓嶽。錄送游覽之勝。遂書此以歸之。</title>,<text>衆壑皆朝歇惺樓。九龍飛瀑入天流。奇觀多在毗盧頂。努力須從上面求。</text>
<title>春和亭。拈屠長卿韻。</title>,<text>禁苑春如海。芳茵日抵年。且須看沆瀣。豈直管雲烟。細草迎風嫩。繁花繞日姸。陽和鋪遠邇。民樂定無邊。</text>
<title>送伯舅按湖南節</title>,<text>靑春刺史美風流。名動江南五十州。翠竹紅榴湖海遠。此離贏送一年秋。</text>
<title>登𥳑儀臺</title>,<text>肩輿高陟九層臺。松韻禽聲入坐來。大道洛城臨似案。晩天騁目一徘徊。</text>
<title>慶會樓池</title>,<text>百架高樓尙舊基。十尋紋礎此深池。我朝開刱䂓模大。小子今來燕翼知。</text>
<title>陪駕西郊卽事 三首</title>,<text>朝陪法駕國都門。風颭龍旗瑞色飜。列營齊候紅夷砲。士馬滔滔靜不喧。仙蹕升壇鼓角鳴。天開細柳萬軍迎。霜飜畫戟回金帳。草木秋風曉氣淸。壬辰王業更恢基。萬曆洪恩沒世思。仗鉞桓桓楊御史。千秋紀績有穹碑。</text>
<title>臨淵閣</title>,<text>聖心乾惕若臨淵。四表聲光又格天。燕翼周家心法在。丕承洪業萬斯年。</text>
<title>謹次麟坪大君鳳翔樓宴席韻</title>,<text>高燭煌煌映畫堂。近簾星月逈搖光。方塘水蘸歌筵敞。禁苑雲生舞袖長。霜後晩容楓葉嫩。雨前秋色菊花香。先朝曲宴何年是。泛酌飛泉尙帶凉。</text>
<title>閱麟坪大君泛舟東湖圖。遂步其韻。</title>,<text>東湖十里畫中收。水欲有聲山更幽。極浦帆檣雲遠近。團沙鷗鷺日沉浮。蒹葭是夜多淸露。絲竹何年鬧晩秋。月夕花晨來去地。麒麟公子好觀遊。</text>
<title>聞承旨尹勉憲訃。悼惜有唫。</title>,<text>書筵玉立幾多時。是日歸眞夢亦疑。多少抽心交勉語。至今無迹奈予悲。</text>
<title>賀桂坊金基大登科</title>,<text>黃甲唱傳第幾名。獨余憂意勝歡情。况今阿叔聯金榜。一念須存戒滿盈。</text>
<title>淸漪亭</title>,<text>芳草明花趁晩晴。筧泉珠沫動新聲。觀瀾有術逍遙久。直到宮林夕照生。</text>
<title>逍遙亭</title>,<text>野馬溟鵬各任天。小亭猶得管風烟。上淸花木迎春易。釀出韶和遍四埏。</text>
<title>禁苑書齋四詠</title>,<text>禁林深處百花多。隔水紅欄纈彩霞。爲是乘春觀物理。小輿時踏綵虹過。春花 殿廊稀報漏聲長。玉潊荷生萬柄香。賴有端陽如月箑。炎雲不敢近書床。夏日  畫樓東畔月初生。隨意霜華著處明。大界三千光照遍。自來天宇十分淸。秋月 疎梅孤燭夜相親。金鴨添香煖似春。簾外時聞風撼竹。滿天飛動玉龍鱗。冬雪</text>
<title>翠寒亭。敬次肅廟宸章。</title>,<text>㵎翠空濛開畫境。庭松偃蹇鬧琴聲。佳山未許遊人到。可愛幽禽隔樹鳴。</text>
<title>上林十景</title>,<text>乳鳩拂翅斑鳩鳴。水滿公田始課耕。自是帝王勤稼穡。寶歧堂下告秋成。觀豐春耕游絲粉蝶弄春晴。碧樹陰濃盡日鶯。時鳥自鳴猶造化。仁天位育聖人情。望春聞鶯春塘鸂䳵太生憐。草似芳茵柳似烟。杏子宮衫繽挾路。仙香一陣豔陽天。天香春晩水暖魚潛渚日悠。不收紅纜放蓮舟。米家書畫如山載。贏得春風汗漫遊。魚水泛舟漱玉淸流曲曲長。近欄山色納新凉。濠梁自有觀魚樂。可但蘭亭遞羽觴。逍遙流觴不須雕飾乃全天。時透香來好雨邊。千古濂翁惟解愛。欲編花史壽其傳。喜雨賞蓮心將夜氣較誰淸。却會東林霽月生。堂奧蔽幽皆似晝。一天之下定同明。淸心霽月畫鵠鳴時箭中心。雲霞步障擁仙林。三淸物色元如許。樂與諸君醉不禁。觀德楓林瑞日春臺法駕臨。仙人仗下簇靑衿。誰知試院諸公筆。升降無私一乃心。暎花試士歲色崢嶸欲暮天。騷騷輕雪也堪憐。須臾遍灑山河去。瓊樹琪花擁後前。凌虛暮雪</text>
<title>愛蓮亭</title>,<text>採蓮聲在曲欄前。涵碧浮紅映水天。愛看流萍開一道。藕花深處住蘭船。</text>
<title>暮春 戊子</title>,<text>簷日如年病起遲。經春不作玩春詩。園鶯喚我聲相近。萬樹花生豔景移。</text>
<title>廣津船上</title>,<text>長堤十里柳生烟。駕出江頭三月天。飛幔龍舟春色外。行營螺角夕陽邊。中流彩仗祥雲動。遠望平郊碧草連。一豫重宸斯有度。黔黎爭祝羽旄前。</text>
<title>江頭晴望</title>,<text>三月東風漢水湄。落花芳草媚陽時。中流舟楫靑山轉。雲物氤氳入數詩。</text>
<title>陪駕詣獻陵經宿</title>,<text>輦路如天羽衛行。迎風鼓角接三營。珠丘日月浮佳氣。齋夜星河動漏聲。萬幕懸燈旗影直。千軍休飯馬鳴生。是時倍切羹墻慕。靈閣精禋醴醑淸。</text>
<title>拈生字</title>,<text>雲捲長空宿雨晴。千門半夜近秋淸。簷松警鶴或雙語。堦草候蟲時一鳴。赤葉黃花今後色。玉山藍水古來情。俄然朗誦歐陽賦。徙倚欄干夕照明。</text>
<title>送興恩往覲江西縣</title>,<text>行旌秋日下荒荒。浿水西流客意長。今日送君怊悵意。陽關一闋路蒼茫。</text>
<title>夜登映翠園</title>,<text>滿霄星月皎相闌。紗燭搖紅夜不寒。酌酒逍遙高閣上。送鴻搖落碧天端。</text>
<title>聞雞</title>,<text>內庭西畔聽雞鳴。歷歷星河一道明。駕鶴寢門天欲曙。紫宸閤外會朝盈。</text>
<title>壁畫</title>,<text>蓬萊洞壑太嶙峋。桂實楡花度幾春。採藥仙郞無處覓。連天海水碧粼粼。</text>
