<title>次韻崔相國娛賓亭</title>,<text>▦山▦▦▦▦亭。松▦寒▦獨也靑。▦▦月▦▦▦▦。▦▦▦▦▦忘形。草塘殘夢驚新句。▦▦▦▦▦▦▦。▦問▦歡何處在。賓來只▦▦▦▦。</text>
<title>和劉沖基金君綏兩翰林拜贈 二首</title>,<text>▦▦▦▦▦▦▦▦▦來塞馬不▦然▦▦▦▦▦▦▦▦功名▦▦▦▦▦▦▦▦▦▦▦[落張][落張][落張][落張][落張][落張][落張][落張][落張][落張][落張][落張]▦雨▦看▦有年。塵顔已洗舊時頑。柳金初染高▦岸。松蓋新縫遠近山。細▦綠煙分野外。亂扣▦▦漏雲間。與君曰雨篇堪詠。自愧詩書未得删。</text>
<title>次韻林秀才春樓有感</title>,<text>何處春光好。浮萍觸處忙。柳風碧裊裊。花雨紅浪浪。樽酒談盤古。笙歌醉洛陽。倚欄文長老。詩味爲誰長。文於林▦▦▦▦▦</text>
<title>御樓醉西施</title>,<text>憶昔西子下吳臺。醉魂因風一舞來。書▦▦▦▦▦破。淺紅何忍踏庭苔。</text>
<title>暮春。和林天院三春詩。</title>,<text>▦▦▦來無限春。嶺南深塢別藏春。尋芳▦▦期應晩。綠密紅殘欲暮春。</text>
<title>次韻同院諸賢題喜神圖</title>,<text>世俗從來未悟眞。道將身外更求人。唯君養體如枯木。命盡分形圖喜神。暮對紫雲詩▦古。朝▦白鶴野情新。▦▦有紫雲▦▦ 謝公悲鏡還▦笑。▦▦河▦歎已陳。</text>
<title>寄贈隴西天院</title>,<text>春風不可往來▦。待此淸時但覆棊。別後客柯河▦▦。竹窓燈▦亦便宜。</text>
<title>夏日。寄林秀才兼簡大原文長老▦▦庵。</title>,<text>日永人待意不窮。榴花香夢已成空。園林鶯▦▦▦▦。籬落鳩閑桑椹紅。砂枕半推舊榻雨。▦衣▦▦▦▦風。懶軒孤臥無詩友。誰與相▦倒▦▦。</text>
<title>訪正陽禪老。偶書壁上。</title>,<text>▦世忘榮辱。叅禪慠主賓。釋儒今▦▦。休忌洞庭春。禁洒故云</text>
<title>夏日。與李翰林春卿，文長老遊龍興寺。山頭月夜小酌。文長老有詩。次其韻。</title>,<text>石障嵓屛不假粧。草煙苔露自然香。白雲溪暗▦▦歌。片月松高鶴夢長。己與陶潛携慧遠。不須山簡到襄陽。夜䦨稱盡斗杓落。醉札多情雁數行。</text>
<title>▦▦▦▦▦▦評題▦▦山▦▦▦▦</title>,<text>▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦</text>
<title>▦</title>,<text>▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦傳▦▦▦▦▦▦▦▦▦▦▦▦▦</text>
