<title>長白山</title>,<text>春盡雪猶在。不秋添新白。凌凌蔽天多。邊城日易夕。</text>
<title>海</title>,<text>深根入地多。濶宇同天大。悠悠百川奔。日夜此來會。</text>
<title>長者池</title>,<text>䧺波濶如海。兩岸失牛馬。群流盡兒戱。宜爾名長者。</text>
<title>溫泉</title>,<text>坼地湧如霧。不火勢湯沸。停流貯有屋。往往風瘡至。</text>
<title>元帥臺</title>,<text>斗起有山高。前臨溟海濶。年年會戎駕。臺名不虗得。</text>
<title>塞浦</title>,<text>海波易爲沙。川流自天塞。汀洲少人行。茫茫秋草碧。</text>
<title>柳亭</title>,<text>築石當水衝。何人手種柳。濃陰綠滿亭。淸風三夏有。</text>
<title>烽燧嶺</title>,<text>高峰倚靑天。點火星難辨。邊音一夕馳。能達君王殿。</text>
<title>衙有七苦。下車之初。幾不能堪。今反思之。苦爲人所棄。則如余者當受。烏得辭爲。况處苦不苦。則苦亦可樂。余苦旣多。不無省躬自反之益。於是乎題之。庶幾自礪云。</title>,<text>隘房苦斗屋僅容膝。坐觸臥不安。元來名路狹。那似釣舡寬。泣烟苦觸眼令人泣。斜風晩滴多。思鄕淚已足。何用助余嗟。冷堗苦趍世紛多路。炎凉向背殊。寒官百不熱。爾亦學名途。陷廳苦板落施虗席。居常足屢墜。人行不擇蹈。何處無危機。破窓苦風雨無全紙。傾殘毁驛同。時來猶可用。能納四方風。㓒壁苦久壁多塵陋。今看㓒不分。誰知墨色裡。尙有素心存。近廁苦對食鼻常掩。當風窓不開。未見幽蘭馥。秪愁惡臭來。</text>
<title>見放牛有感。</title>,<text>暫脫田間苦。江湖自在身。偸閑應未久。還有絡頭人。</text>
<title>譏大中齒分西苽仁 大中藥圃字。公之再從侄。</title>,<text>形眇齒難着。磨唇物益逃。吃多分少處。方識味全膏。</text>
<title>春日</title>,<text>夷界春來晩。年光異洛中。山高猶澗雪。海近每顚風。畏病增新服。尋芳餘舊叢。陽和南國遍。誰寄北來鴻。</text>
<title>偶吟</title>,<text>萬里久爲客。星霜再去來。愁多頭易換。歡少面難開。塞鴈吟邊過。鄕心月下催。黃花行可折。待得泛秋醅。又秋凉生薄暮。塞北氣先來。白髮氷霜合。靑山錦繡開。他鄕時物變。故國夢魂催。遣悶無如酒。臨缸添舊醅。</text>
<title>初秋夜坐。値風雨大作。時倉麥在庭。漕舡在海。慮有沉沒之患。翌朝。叔平遺詩索報。仍次其韻。送似。</title>,<text>夜坐遭風雨。驚聞伐物饕。積庭憂麥漂。流米畏波高。瓦破寒衾濕。窓虗嘯紙號。愚儒何所成。添火詠離騷。</text>
<title>送大用北赴行營。二首。名叔樑。號會隱。</title>,<text>晩托金蘭契。同懷千古心。人生空聚散。世事只浮沉。海極天樞遠。山深厲氣陰。離亭杯酒罷。相送一霑襟。又幕下來賢佐。方中只古心。飢槽神驥蟄。斗水寶珠沉。紫極遊何晩。天涯日易陰。長懷誰與語。老我幸同襟。</text>
<title>次士遂鎭北樓韻。二首。名享秀。號錦湖。</title>,<text>遠客嘯明月。淸宵來上樓。欄傾垂入海。簾豁捲懸鉤。聚散乾坤濶。興亡古今悠。何須嗟異地。亦是帝王州。又鬼域猶行色。天多地不窮。背看山削釰。前去海磨銅。別恨關河外。歸心醉夢中。登高堪遠望。得子共樓風。</text>
<title>初秋月夜。偶吟。</title>,<text>秋晴天似洗。况此月明時。暑盡虫吟苦。凉多鴈叫悲。覊懷從此薄。歸興自心知。何日關河路。揮鞭故國馳。</text>
<title>陪兩使遊元帥臺。錄呈元龍都事。</title>,<text>山斷蚕頭小。前臨萬丈深。波平多釣舫。巖老坐沙禽。銀躍頻燒玉。黃流每吸金。誰知滄海濶。准擬丈夫心。</text>
<title>次富寧客舍韻</title>,<text>截據要衝路。䧺州鎭北邊。地形壺口隘。城勢月輪圓。政邁民新沐。兵精葉舊穿。將軍何所事。閑作飮中仙。</text>
<title>兄弟巖</title>,<text>奇巖雙立古。名號未爲虗。樹色紫荊合。山光錦被餘。渚多鴻鴈集。原有鶺鴒居。遠矣嗟吾季。人生石不如。</text>
<title>枯木</title>,<text>雨露何偏隔。危幹立嘯風。哀音霜夜靜。寒影月庭空。屈曲龍文錯。雕鎪蠧畫工。誰從上苑樹。能借一枝紅。</text>
<title>次而中韻</title>,<text>歎子儒冠久。吾生亦老人。名途多棧嵲。交際小雷陳。異域鄕心苦。氷江月色新。徘徊無限恨。不覺淚沾巾。又材大時何晩。明主不棄人。舌存非說趙。囊竭尙留陳。好挾鵬心濶。空勞釰氣新。窮通皆有命。莫嗟久烏巾。</text>
<title>哭申榮仲 名命仁。號龜峯。受業金老泉。豪邁能詩。禍作。率諸生。號泣闕庭。不仕。</title>,<text>已矣嗟吾友。幽明隔幾今。堂空惟見月。絃絶尙餘音。有酒春誰共。無人夜獨吟。茫茫從此別。不覺淚霑襟。又事業儒冠後。謀身一縣微。恩繁春手滑。心靜客塵稀。養至還多病。愁纏猶未歸。無端東洛路。薤露正斜輝。又未老衰何甚。長嗟齒髮䟽。永辭殘縣食。還作夜臺居。月白酒醒後。春歸花落初。當時一掬淚。憶子情何如。又舊識紛彫喪。十年餘幾誰。關山千里友。肝肺兩心知。事去追何及。情多淚自垂。春風一斗酒。甚矣吾之衰。</text>
<title>醉後書贈而中</title>,<text>萬事傷心處。孤臣一嘯長。霜頭添凍雪。枯恨隔春陽。根毁難危立。蹄殘欲走僵。玄黃吾已矣。不復上高崗。又聚散紛來去。東西一路長。江山箕故國。盃酒歲新陽。困翼吾無托。窮蹄子久僵。相看悲世事。落日下西崗。</text>
<title>次金敎官韻。慰解其意。</title>,<text>天心何取舍。窮達力難辭。野杏逢時早。秋荷出水遲。繩樞卿相貴。渭釣帝王師。事業詩書在。虗名未足追。</text>
<title>送漢佐都事赴柳京。次松岡韻。松崗趙士秀。</title>,<text>西路山河壯。箕京是勝遊。民猶今晟化。地亦古封侯。樹色迷晴岸。歌聲擁畫樓。靑油機事少。知子臥滄洲。</text>
<title>次柳仁仲韻 名希春號眉巖</title>,<text>昭代光新化。淸朝宿孽消。羣英皆錦晝。妖魅已奔宵。紫極紛傾稛。天涯獨守潮。歸心滄海濶。愁緖亂蓬飄。鴈影吟邊急。鄕音夢裡遙。楚蘭悲屈子。漢月泣王昭。失侶同懷土。逢君怳在朝。神交千里會。情吐兩心澆。擬合輸肝肺。寧徒作友僚。光陰相代𧬄。聚散若昏朝。世路人喧聒。天心理寂寥。蟬蛁元不貴。寒塞亦非迢。大智無凡楚。冥觀一壤霄。泥蓮能皎㓗。膏火自煎銷。地遠風塵靜。庭空鵲語囂。拘衙雖坐縶。御氣可飛超。物外思歸范。牢間笑械蕭。何時茅屋裡。休我一枝鷯。</text>
