<title>安坦峴</title>,<text>三百羊膓曲。胡爲安坦名。若將世路比。此道坦而平。</text>
<title>普賢寺。次監軍御史柳彦遇 仲郢 韻。</title>,<text>峽束千尋壁。何年闢震雷。一水當中瀉。能令去客回。</text>
<title>普賢寺。次金相公 明胤 韻。二首</title>,<text>香爐獨不名。千載愧松石。一自相公題。山靈應憤釋。探勝不知疲。倦來坐白石。夜囪客夢淸。塵惱蹔消釋。</text>
<title>詠葵</title>,<text>布葉風還妬。傾心天不知。羞同龍眼草。一笑獻楊妃。</text>
<title>偶吟</title>,<text>楓葉紅爭錦。蘆花白奪綿。且無風雨打。能取蹔時憐。</text>
<title>西方太平曲</title>,<text>匈奴數盡勢當烹。將帥威靈更震驚。得將逐胡天實佑。積年邊患一朝平。</text>
<title>癸丑三月十三日。自商州還家。到安孝思江亭。與諸友飮酒。因題一絶。</title>,<text>辛酸舊識蓼虫苦。落拓方知鮎竹艱。靑衫匹馬商山路。廣文還是勝伶官。時公爲商州敎授</text>
<title>季秋之夜。飮于蘓混元家。醉中與閔叔道口占聯句。</title>,<text>瀟瀟秋雨落空階。道。 尊酒相逢十載懷。夫。 世事已將流涕了。道。 只應歸興故山佳。夫。</text>
<title>次趙松岡士秀韻</title>,<text>相公開徑在南厓。培植羣芳次第佳。獨有孤根寒未吐。滿堂猶欠一隅諧。附松岡韻黃葉黃花滿石厓。小樓秋色十分佳。明朝欲與君同賞。却恐人間事不諧。</text>
<title>香林寺。贈玉淸上人。</title>,<text>白雲臺下路高低。偶過秋山訪舊栖。剩得淸遊天所借。一宵閒話小軒西。</text>
<title>謝陽德倅金君棐仲惠玉篴</title>,<text>耀目寒光欲把疑。故人遙寄意堪知。秋深塞外無窮恨。擬向東臺月下吹。</text>
<title>石橋院。次樊川韻。</title>,<text>下焉溪亭日欲斜。傍山臨水兩三家。峰頭霜葉明如錦。不道楓林不道花。</text>
<title>泉水臺。次柳彦遇韻。</title>,<text>輕衫快馬並溪汀。杖屨時從勝處停。短碣沒苔留古迹。分明大字記同行。</text>
<title>香林寺。用回文體吟成一絶。</title>,<text>歸僧野寺暮雲晴。晩向秋崖小笛橫。衣滴翠光山路細。依依遠峀帶煙平。</text>
<title>九月十八日。大設筵慰義牧李公澤之。卛歌兒與篴客。列坐共唱。管弦裂響。歌笑喧闐。用慰邊苦。而叙其覊愁也。大歡之餘。使歌江邊六歌。從之以辭。大手與澤之。聽之不厭。共占聯句。</title>,<text>滿酌鵝黃臨鴨綠。大手。 低回泥赤照蜻靑。勉夫。 燭淚不緣離別落。大手。 歌聲應爲酩酊高。澤之。</text>
<title>余行年三十有八。而二毛始見。百年人生。已矣強半。感吟 二首。</title>,<text>今朝明鏡裏。驚覺雪侵腮。眼底靑衫薄。頭邊歲月催。二毛今始見。百歲事堪哀。遊宦無情興。林泉夢幾回。四十年纔滿。霜髭針雨腮。尙平昏未畢。潘岳興先催。匣底神龍泣。槽間老驥哀。馮唐誰更惜。歲晩獨徘徊。</text>
<title>普賢寺</title>,<text>北來山盡峻。香岳獨專䧺。龍鳳三千里。芙蓉一萬重。洞房深窈窕。松檜鬱葱籠。一入梵宮宿。塵煩盡滌空。</text>
<title>靈雲庵</title>,<text>峽路幾多曲。危巒千萬層。崖蒸白日雨。巖積早秋冰。臣妾羣峰小。盃盂衆瀆泓。莫言天地大。海岳一汚陵。</text>
<title>香爐峰</title>,<text>香爐千萬仞。緣壁賴藤纏。雲雨被山腹。乾坤入眼前。拊髀疑騎鶴。擧手欲撑天。時見林間子。相逢盡偓佺。</text>
<title>金藏窟</title>,<text>何年開窟穴。幽黑也雖探。因广爲深宅。憑巖代靜庵。石苔鋪錦褥。楓葉映朱簾。殿閣尋常事。淸寒性所堪。</text>
<title>安心寺見懶翁舍利浮屠塔。前朝所建。稼亭撰碑。</title>,<text>吾道一隳地。邪論競日紛。不惟迷衆聽。能使誤明君。舍利從何出。浮屠自拂雲。前賢亦可哂。濡筆謾題文。</text>
<title>香積寺。贈不言不食僧。</title>,<text>辟糓辭身累。括囊戒口災。樞機知所愼。哺啜孰加咍。缺</text>
<title>又次前日普賢寺韻</title>,<text>欲賦遊山句。慚無筆力䧺。徒存仁知樂。虛復往來重。暫似騏辭勒。還如鳥出籠。遇宵懷更苦。卧榻聽談空。右普賢寺衆峰霜更出。秋磵雨猶蕪。雲衲時三兩。煙嵐遠有無。溪巖窮窈窕。魚菜嚼香腴。安得龍眠手。移來紙上摹。右上院庵疊嶂高千仞。庵樓在百層。亂峰巉似戟。巖路滑於冰。眼入乾坤大。胷呑八九泓。從前遊覽處。今日盡丘陵。右靈雲庵嵐翠長懸想。塵鞿尙我纏。淸遊難再復。奇覽但懷前。曲曲緣巖路。飄飄落雪天。時時卧榻上。閒夢逐喬佺。右香爐峰</text>
<title>長洞舘。次潘相國 碩枰 韻。</title>,<text>嶺途長且險。飛騎不堪驅。水遠魚難到。峰高鴈亦無。臨囱吟倦客。隔砌嘯飢鼯。自笑懸懸意。何時閒履鳧。</text>
