<title>聞農談</title>,<text>蹔憩路傍松。偶聞田叟語。不怕生飛蝗。只願去碩鼠。</text>
<title>竹嶺露宿 二首</title>,<text>老傍風塵際。方知行路難。千層竹嶺上。露宿九秋寒。不畏虎豹害。不愁霜露侵。欹枕磵邊石。落月低空林。</text>
<title>夏日卽事</title>,<text>偃卧茅齋下。淸愁鶴髮翁。炎炎東井日。洒洒北窓風。</text>
<title>讀孟子浩然章</title>,<text>一粒靈丹一偶偸。紅顔那解駐千秋。月中更有長生藥。玉兎年年搗未休。</text>
<title>秋思</title>,<text>草蟲嗚咽石階間。桐葉飄零金井欄。風露小堂人獨卧。一眉新月暮雲端。</text>
<title>送僧遊江南</title>,<text>西海名山已遍參。又將飛錫向江南。正知春盡鶯花老。榕葉堆邊結小菴。</text>
<title>晩發金郊過松京</title>,<text>天磨山畔亂雲堆。靑石洞中路縈廻。客行曉發金郊驛。怕過前朝滿月臺。</text>
<title>槐山廢衙梨花</title>,<text>雙飛蛺蝶過墻來。兩樹梨花相對開。池館寂寥門晝掩。使君終日獨徘徊。</text>
<title>撰集廳飮鄭和伯所餉酒</title>,<text>閱殘騷雅有餘閑。花雨霏微濕畵欄。憑仗南坡一杯酒。破窓今夜不知寒。</text>
<title>舟中貽睦佐郞叙欽</title>,<text>同乘一葉下龍山。西指楊花杳靄間。照影不羞霜鬢髮。對人唯喜玉容顔。</text>
<title>駱峯下宗室葦城君園也。同貴遊尋賞。</title>,<text>名花滿苑王孫宅。芳草爲茵列相筵。白玉盞深傾美酒。烏絲牋滑寫佳聯。</text>
<title>漫興</title>,<text>涼露新零七月秋。繁霜允已着人頭。自從五十三年後。流景忙於下峽舟。</text>
<title>撰集廳飮宣醞</title>,<text>西山落照映方塘。萬朶芙蓉雲醁香。拜賜紫露人盡醉。水風吹送滿堂涼。</text>
<title>李天衢宅廳琴謌</title>,<text>琴韻初驚似碎瓊。歌聲又愛遏雲淸。座中摠是風流客。兩鬢唯吾白髮生。</text>
<title>婆娑城</title>,<text>雲帆冉冉轉婆娑。故壘蕭條夕照斜。風角一聲迎五馬。滿林驚噪起栖鴉。</text>
<title>七夕</title>,<text>靈鴉神鴉塡漢日。牽牛織女渡河時。無人看向深更裏。報道劉家未足知。</text>
<title>有感</title>,<text>荷葉荷花傷客情。曉霜初落晩風生。一池憔悴無顔色。唯有餘香抵死淸。</text>
<title>道旁梨花</title>,<text>一樹山梨花滿枝。風吹香雪落霏霏。地偏不爲笙歌賞。留照慇懃是夕暉。</text>
<title>朔寧郡齋卽事</title>,<text>亭亭列岫夕陽邊。紫翠崢嶸競揷天。公退小齋無一事。臥聞千樹噪涼蟬。</text>
<title>小憩一直川。川在安東。</title>,<text>溪邊下馬愛溪淸。魚鳥娛人似有情。自酌寒潭一勺水。晩風晴日又長征。</text>
<title>經義城縣</title>,<text>周遭何處覓城池。秋草離離沒舊基。惟有官衙老槐在。不禁憔悴半無枝。</text>
<title>自慶州至蔚山。夐無人烟。露宿中墅。</title>,<text>曠墅茫茫天四低。荒林落日恠禽啼。行人汲澗煑晩飯。仍向澗邊披草栖。</text>
<title>墅宿彦陽</title>,<text>家書久斷客衣單。寄宿南雲㝡遠端。無奈臘寒寒徹骨。滿天星月不眠看。</text>
<title>白馬江次韻</title>,<text>笙歌歌散水東流。何處當時結綺樓。惟有高蘭古寺在。歸僧獨上夕陽舟。</text>
<title>碧桃</title>,<text>碧桃種日傷頭白。豈料今看滿眼花。從此擬看千歲實。攀條其奈夕陽斜。</text>
<title>送聞慶宰沈竹西</title>,<text>少年爲客出仁縣。曾倚危欄王粲樓。山畔夕陽橋畔水。至今猶似舊時不。</text>
<title>寄僧將休靜</title>,<text>豈意空門老。時危亦臥薪。摠收飛錫侶。仍作冠軍身。法陣圓龍象。靈符役鬼神。佇看揮慧劒。談笑靜風塵。</text>
<title>過軟灘遇雨。灘在平山。</title>,<text>軟灘秋水淸。灘上石梁平。鳥雀墅邊樹。麒麟山際程。凄風催落木。冷雨打歸旌。未午投荒店。寥寥遠客情。</text>
