<title>元夕偶吟 庚寅在鷲山</title>,<text>客裏逢春信。愁情逐歲新。故鄕千里遠。誰問獨居人。</text>
<title>吟旱</title>,<text>去年卒圭璧。靡遺周人子。今夏又滌滌。昊天威亦疾。不㤪彼蒼者。惟㤪居匀軸。匀軸是何人。愆陽胡不若。明明聖王在。只應蘓圭蓽。</text>
<title>詠塵扇 烏竹爲柄藤心束柄○辛卯</title>,<text>湘竹思操堯女節。綠藤淸共雲孫㓗。淇篁更挹衛侯風。揮破炎塵露碧空。一榦萬枝。上圓下方。在人用舍。合於行莊。</text>
<title>挽寒岡鄭先生 庚申</title>,<text>妖氛閉兮春晝昏。雨雪瀌兮木氷稼。天無色兮愁雲結。悲風吹兮人相訝。痛先生兮翛然逝。朝玉皇兮上赫戱。芙蓉裳兮綴忠信。芰荷衣兮褰仁義。香霏霏兮襲帝鄕。天上驚兮相榮觀。駕鸞凰兮鞭雷霆。歷靈芝兮向陶山。陶老莞兮粲一笑。飮灝氣兮共盤桓。天風吹兮神馭擧。祥雲集兮仙旗噵。夷之邦兮不可留。指中州兮問大道。先南閩兮拜考亭。質博約兮釋羣疑。指河洛兮禮二子。講性理兮究精微。前與後兮無二致。古猶今兮同一揆。旣有聞兮死亦可。舍如斯兮達如斯。又何必兮懷故都。故都陋兮多危機。人間世兮有名利。莫我知兮其何之。豈於彼兮有所較。我浩然兮了無時。哀諸徒兮挽不及。哭籲天兮將安倣。念儀刑兮在羹墻。想警欬兮完下上。經一部兮有發揮。踵希元兮闡範軌。述五賢兮輯禮書。繼晦翁兮遵遺志。此先生兮死不死。提我蒙兮千千祀。獨小子兮二竪侵。違凾丈兮將十年。病不扶兮歿不含。亦赴哭兮後諸賢。負敎育兮白紛如。何面目兮拜九泉。天無涯兮地無邊。欲抒情兮空摧咽。一作徒佇延寒岡大老是吾師。道德文辭冠一時。敬義學成無不可。明誠功到事優爲。退陶絶筆今方繼。一作寧難繼 閩洛微言亦細推。楹夢遽嬰多士慟。偏傷誘掖小儒思。</text>
<title>挽朴德凝 惺○丙午</title>,<text>久恨沉鱗羽。驚呼隔死生。工夫專且力。論議正而平。雪裡寒梅發。峯頭霽月明。精神倘復見。南望淚河傾。</text>
<title>挽朴叔彬 而章○壬戌</title>,<text>有美君子人。洒洒衆趍中。質溫如良玉。加之琢磨功。治心恒慥慥。行己詳而恭。拔身科目中。鵠立雞叢。耿近日月光。一任公且忠。讜言終批鱗。夕貶滄海東。腰金超亞卿。昭代實優容。又遭難進勢。寂寞看靑松。病遆卧桑鄕。藜藿饑膓充。寒窓對古書。奧義頗硏窮。破屋墻壁倒。數間同盧仝。柴門關不開。無人問孤蹤。直須眼孔大。脚跟不撓風。七十六年間。不輟淵氷工。乘化朝玉皇。應無愧怍衷。老我哭寢門。哀淚盈矓矇。托契四十年。非如把臂庸。窮達由命異。情義因心通。幽明忽此隔。悲恨塡心胸。白雲九萬里。丰容倘再逢。今日朴參判。明日茅谿翁。投筆因大噱。風雪迷前峯。</text>
<title>挽全原泉景弼 八顧○壬子</title>,<text>推孝焉爲政。敦仁自適怡。親鄰元任恤。師友早歸依。雖享宣尼壽。奈無伯道兒。末句缺</text>
<title>挽全源溪景追 八及</title>,<text>天之爲我莫能知。何者窮而何者達。天之爲我莫能知。何者通而何者塞。孜孜矻矻對明窓。讀盡中庸與大學。勤苦一生成何事。布褐白首卧草屋。七十二年大夢罷。黃卷藜床餘舊宅。病寒未能親執紼。九原他年無面月。倻嶽岧嶤雪月明。東望徘徊霑老臆。</text>
<title>挽李和彦 希雍○癸丑</title>,<text>迢迢戊辰歲。與君初相識。四十六年間。知君莫我熟。古貌任眞卛。古心惟悃愊。語古寧矯餙。禮古無邊幅。義古鄕鄰推。行古友朋服。雲雨多變態。古人獨自若。古人忽作古。長夜何時闢。霜風凋碧樹。丈夫淚沾臆。</text>
<title>挽鄭都事直夫 樟○甲寅</title>,<text>托契師門到白鬚。陳亢聞禮又聞詩。天因福善生聦穎。我取昏冥自隕隳。泗上爭觀無槨葬。寒泉坌慰望人悲。病夫遙向山中哭。恨入幽明涕滿衣。</text>
<title>挽尹汝述 景男○甲寅</title>,<text>少而壯而。同遊同學。知志慕兮噫。之豊之嗇。其懽其慼。兩白頭兮噫。一死一生。奄忽今朝。天曷故兮噫。老友茅谿順甫情。不能成文兮噫。</text>
<title>挽朴君秀 文楧○癸亥</title>,<text>禀得圭璋淑氣專。摳衣聞道自初年。幽蘭久掩林泉下。潛德時升日月邊。窮達任天吾豈與。行藏在我操彌堅。每欽世分元來厚。題挽今朝涕泗漣。</text>
<title>挽卞朔州明叔 渾○丙寅</title>,<text>却敵弁巖殺氣撗。犹閒渭朔足毛生。丈夫聲績今何處。白嶺千秋雪月明。</text>
<title>挽李山立 屹○丁卯</title>,<text>淸時不市只深藏。今日方知用意長。城下胡兵和議沸。羡君凝卧夜㙜凉。</text>
<title>挽尹而受 應錫</title>,<text>鳥嚶春樹來相訪。雨雪雱時遽報悲。一部質疑期共勉。中程日暮㤪何爲。</text>
<title>挽愼汝栗 克寬</title>,<text>聞道春山葬汝栗。老夫和淚寫哀詞。從今一訣成千古。君在重泉知不知。</text>
<title>挽李汝善 得慶</title>,<text>芳草街頭同賞翫。黃花溪畔共朋樽。從今村社佳辰會。四座應悲少一人。</text>
<title>挽邢恭叔 禮甲</title>,<text>始聞君訃已傷摧。今日求辭更愴哀。愿厚懿姿親黨悅。謹溫良性友朋推。人間未答宗兄望。地下難忘弱子懷。衰病莫能臨穴訣。何堪老淚自盈腮。</text>
<title>挽李亨伯 應時</title>,<text>四十六年事。眞如石火忙。鴒原風正急。萱室月堪傷。㤪婦膓猶斷。哀兒口尙黃。老懷誰與吐。涕淚灑山陽。</text>
