<title>鳴巖醉吟</title>,<text>樽酒尋秋日。休令報夕暉。晴沙與錦葉。照我綠蘿衣。</text>
<title>鵲院途中</title>,<text>今朝別梅院。去去江天暮。百里鏡中行。山寒楓欲老。</text>
<title>憶柳汝見 仲龍○柳公時爲金山守</title>,<text>同行我先歸。故人今安在。獨賢不可言。征驂下東海。</text>
<title>別幽谷丞李日章</title>,<text>古驛當幽谷。秋山案上堆。客來還送別。離恨付深杯。</text>
<title>七節瀑</title>,<text>春晩花初暖。潭淸興自幽。遊人苦無事。嘯破心悠悠。</text>
<title>陰崖偶吟 二首</title>,<text>有山有水處。苔逕此躋攀。西岑日已暮。新月幾時還。樽酒重來訪。秋山落照時。陰崖今古色。不任遠相思。</text>
<title>翠寒亭 姜應璜溪亭</title>,<text>澗畔林松舊。搆亭一屋新。平生夢想地。今日得幽人。</text>
<title>海雲臺。次寒岡先生韻。</title>,<text>湖海平生志。東陲此日行。仙臺松共老。玉宇水同平。遠嶼舟行近。靈槎月來迎。自慙遊賞晩。難續舊賢名。</text>
<title>贈趙景懋 敏德</title>,<text>可笑馬官老。蹣跚驛路中。重聞蟬咽樹。再見露墜桐。秋思風虛閣。詩情繞菊叢。唯憐舊小澗。一脉竹間通。</text>
<title>再疊</title>,<text>客舘新秋動。風烟供眼中。凉颷生岸柳。一葉下庭桐。墻角松千幹。池邊竹數叢。擧頭孤外。雲路與天通。</text>
<title>次內舅河公 渾 暮軒精舍韻</title>,<text>軒外開方沼。有源倻水邊。漣漪餘半畝。上下一天圓。楓島糚新畵。楊花生白烟。都將供逸想。聊對任醒眠。</text>
<title>伽倻還路憶山中。用邊字韻。</title>,<text>我自山中來。千重綠澗邊。仙區忘曆日。人世說方圓。雅想寄蘿月。詩魂繞紫烟。喬松嗟不辨。且向草堂眠。</text>
<title>挽朴君信 廷璠</title>,<text>慟哭鶴巖老。如何謝世忙。慇懃師友契。脫灑是非塲。眼目超凡子。心肝別覇王。渭涇皮裏在。鈇鉞笑餘揚。翫愒消光景。藏修積自强。江湖今寂寞。無物不悲傷。</text>
