<title>贈信煕</title>,<text>永興僧信煕。冒雪扣荊扉。談罷忽歸去。孤筇散夕霏。</text>
<title>贈法正</title>,<text>一握春山蕨。老僧袖裏持。柴門來剝喙。正是夢回時。</text>
<title>臘雪夜吟。次李學官韻。</title>,<text>缺。朔風邊雪客愁新。遙憐故國江梅動。處處芳樽戶戶春。</text>
<title>偶吟</title>,<text>客歸碁散坐虛堂。閒看庭苔漸上墻。就枕欲成南國夢。思鄕一念自回腸。</text>
<title>梅花 以下次聯珠詩</title>,<text>疎影端如玉色人。淡粧能占雪中春。千年箕潁淸風面。此日高標正逼眞。</text>
<title>閒居</title>,<text>缺 獨閉門。竹窓新旭微溫▣。▣▣▣▣觀元化。對卷那堪病眼昏。其二鶯囀楊枝語若流。月移松樾掛如鉤。一般淸景供朝暮。無酒無花別有愁。其三一年春事已無多。萬點風花瞥眼過。端坐小軒淸似水。怡顔終日眄庭柯。</text>
<title>山寺早起</title>,<text>風定山門曉靄生。佛燈燒盡已天明。道人起躡芒鞋去。石逕孤筇步步聲。</text>
<title>題雜畫</title>,<text>卧看圖畫作神遊。指點便生江上愁。靑嶂白波呑吐裏。如聞欸乃起溪舟。</text>
<title>偶題</title>,<text>少時狂簡氣如虹。半世眼高四海空。畢竟摧藏茅屋底。無私白日紙窓紅。</text>
<title>曺將軍馬</title>,<text>將軍風骨稟山西。龍種知歸效俊蹄。料得破胡還凱日。雪消花暖一聲嘶。</text>
<title>御溝</title>,<text>缺 砌出潺潺。日夜悲鳴響玦環。▣▣▣▣還有意。莫將紅葉付人間。</text>
<title>竹夫人</title>,<text>缺 長搖白玉團。脫巾相對碧琅玕。漫膚只願恒炎燠。却恐高秋送薄寒。</text>
<title>憶得</title>,<text>美人歌罷採蓮詞。江上聞歌暗有期。欲語中情不敢語。紅顔羞澀畏人知。</text>
<title>宿湖亭</title>,<text>小閣憑虛生夜凉。長風縷縷動荷裳。珠簾不隔池香氣。松樾微明水月光。</text>
<title>心遠亭</title>,<text>空堂晝永語烏衣。地僻林深客未歸。賴有主人心械靜。沙禽兩兩近前飛。</text>
<title>北山紀行</title>,<text>盡日山行松逕微。烟霏作雨滴春衣。探幽欲上最高頂。颯颯天風駕腋飛。</text>
<title>趙子昂墨蘭</title>,<text>曾逢屈子播騷詠。繼有吳興寫此莖。不爲無人芳自掩。可憐空谷暗香淸。</text>
<title>水仙花</title>,<text>馨香爲骨月精神。生在秋江不受塵。好是幽閒君子友。水仙花對老仙人。</text>
<title>缺 浦</title>,<text>缺 襯肅霜裘。逸興爭似採蓮舟。三月鶯花春欲晩。更呼從事帶靑州。</text>
<title>吳王納凉圖</title>,<text>紈扇無能起午凉。不堪脂汗汚紅粧。淸風只在姑蘇殿。玉輦回來月滿廊。</text>
<title>題淵明小像</title>,<text>把菊胡牀擁弊裘。高標落落凜霜秋。閒中日月長含古。晉室乾坤獨戴頭。</text>
<title>蘇臺懷古</title>,<text>荒臺烟雨鎖空洲。莫把西施罪逸遊。江上䲭夷千古恨。至今哀唱滿吳州。</text>
<title>醉起</title>,<text>酒盡甁傾醉倒牀。火殘金鴨逗餘香。一聲山鳥驚殘夢。烟雨濛籠睡海棠。</text>
<title>過楊州</title>,<text>南國繁華歌吹沸。靑樓珠箔映紗燈。相攜女伴步明月。二十四橋涵淨冰。</text>
<title>春夜</title>,<text>持酒尋花山上城。夜窓愁聽雨來聲。殘紅準擬明朝賞。却怕狂風起五更。</text>
<title>題宋徽宗畫</title>,<text>缺 去國愁。靑城寒月汴京秋。▣▣▣問通天罪。秦檜何能戴爾頭。</text>
<title>美人圖</title>,<text>雲鬟玉貌淡如秋。宿醉濛濛倚小樓。爲愛風花推繡戶。還憎泥鷰下簾鉤。</text>
<title>寄友</title>,<text>昨夜秋聲渡鴈門。茫茫楚樹隔秦雲。一天明月共千里。君憶吾時吾憶君。</text>
<title>漫興</title>,<text>三月葡萄醅野潭。萬山紅綠染朝嵐。我家淸景知如許。夜夜歸心在水南。</text>
<title>夢裏</title>,<text>夢中垂釣坐苔磯。覺後依微露滿衣。衙鼓五聲還上馬。不堪山鳥喚催歸。</text>
<title>搖落</title>,<text>秋深樊口我來遲。黃葉蕭蕭滿水涯。獨向空山恨搖落。草堂楠樹大風吹。</text>
<title>泛舟</title>,<text>舟入蘆灣水鳥飛。柳深江碧自依依。蘋花採採無人寄。日暮歸來雨滿衣。</text>
<title>村居</title>,<text>爲愛烟波屋已成。自來鷗鷺不須盟。缺 遂園翁去。月印前溪暮靄平。</text>
<title>峴山秋晩圖</title>,<text>花前倒着接㒿迷。知是山公醉習池。峴首遺風又幾許。令人墮淚至今悲。</text>
<title>燕都雜題</title>,<text>燕圖樊首登秦殿。可惜霜芒未及揮。易水千年餘猛氣。寒風蕭瑟白虹飛。</text>
<title>儀眞館中雜題</title>,<text>北客心驚南去鴻。林聲偏送夜霜風。鬢如絲處愁如海。千里秦京一夢中。其二莫嗟橫死大江濱。聖智元來外此身。流水乾坤眞逆旅。古今多少寓形人。</text>
<title>漫興</title>,<text>前溪一夜下嚴霜。蟋蟀今朝入我牀。匡坐小軒懷耿耿。不堪窓外葉聲長。其二雲自無心鳥自還。耽看不覺坐生寒。傍人豈識此中樂。人世元來夢寐間。</text>
<title>送李伯英</title>,<text>綠欲暗時紅欲稀。一年春事轉頭非。眼前時物渾多感。鴻鷰如何南北飛。</text>
<title>失題 元韻。有遊京之語。放次韻亦及之。</title>,<text>缺 俠客出幽燕。劒帶湛盧冠進賢。今子往遊應有意。須看虹影尙橫天。</text>
<title>題范文正公書伯夷頌後</title>,<text>箕陳洪範微存祀。夷也扶持萬古倫。同是聖人無異議。秖今孤竹獨長春。</text>
<title>寄戶部楊友直</title>,<text>爲卜幽居江上邨。塵寰仙界此中分。遙知高卧身無事。點檢靑山與白雲。</text>
<title>重陽</title>,<text>手掇黃花泛玉舟。人間此日樂悠悠。天涯旅宦無歡意。獨向樽前愧白頭。</text>
<title>通州東菴</title>,<text>小菴孤絶暮鐘沈。淸影依依散月林。碧眼胡僧方入定。風花那得起禪心。</text>
<title>春晴</title>,<text>長堤百草綠初齊。日照新添雨後菲。拂面和風堪暢敍。兩三春服浴沂歸。</text>
<title>春浦帆歸圖</title>,<text>藍作江波錦作苔。靑山一面亂雲堆。輕帆穩泛桃花浪。莫是漁郞失路來。</text>
<title>有懷</title>,<text>缺 花甎生碧苔。牀頭酒甕沒浮埃。自憐多病人來絶。不是華筵懶自開。</text>
<title>水仙花</title>,<text>淡粧蕭灑水心明。月下圓簪墮翠瓊。國色天然誰得似。可憐神女玉精英。其二亭亭獨立倚荷裳。皓月多情送夜凉。天與幽人同臭味。朝朝相對曲池傍。</text>
<title>昭君出塞圖</title>,<text>一辭金闕向王庭。天地無情莫我聽。千古沙塲埋玉骨。秖今孤塚草長靑。</text>
<title>博浪沙</title>,<text>上黨孤臣忠憤高。沙中黃屋一椎搖。當年雖免轀輬載。虎視精魂半已銷。</text>
<title>陳平章席上。題琵琶亭。</title>,<text>霹靂遺材不失天。至音留得鳳凰絃。平章宅裏聞哀怨。恰似當時汾浦船。</text>
<title>赤壁</title>,<text>孰是龍挐孰虎耽。令人追憶鵲飛南。周曹爭戰蘇仙賦。千古奇蹤數此三。</text>
<title>絶句</title>,<text>睡正濃時竹簟凉。雙飛乳鷰拂華堂。參差水荇含風輭。繚亂松花落地香。</text>
<title>題祈眞人異香卷</title>,<text>幾乘笙鶴過緱山。來自飄然去自閒。靜坐每尋香在處。天書一部置牀看。</text>
