<title>偶書</title>,<text>默坐維摩室。凝心靜六塵。春風花柳動。詩眼損精神。</text>
<title>寄如愚</title>,<text>搖落山川晩。蕭條景物新。襄陽多病卧。秋月獨傷神。</text>
<title>與諸友約翫月太一洞。値雨不果。</title>,<text>松稠沙白太一洞。相約月明遊洞中。天公嗔我喜吟弄。故遣淫雨鎖蟾宮。</text>
<title>有感書示浩叔</title>,<text>呼吸烟霞分卧山。偶鞭羸馬入秦關。明珠萬斛懷腔裏。縱寫何人着眼看。又半生癡疾不堪醫。強厭人間核是非。昨夜霜風欺破絮。故山歸計入支頤。</text>
<title>讀書開巖寺。憶故鄕山莊。</title>,<text>海掀茅屋松千本。雲凍寒溪玉一圍。遙想去年明月夜。擧瓢斟酒獨尋詩。</text>
<title>和䃢之詠墨梅</title>,<text>君山月落曙光迷。岸竹蕭蕭泣露啼。瑟罷湘娥江上立。淡烟濃抹翠眉低。又寫眞延壽誤明妃。不着香凝氷雪肌。泣向穹廬沙塞月。玉顔無復漢宮時。又月暗風輕薄霧移。苦竹叢邊出數枝。恰似樊姬懷舊事。潛然擁髻背燈悲。</text>
<title>贈文上舍季昌</title>,<text>家在月波江上頭。批風抹月幾啁啾。一來京洛生鄕夢。魂入滄洲伴白鷗。</text>
<title>江村雜興</title>,<text>春雲漠漠雨絲絲。獨把漁竿立釣磯。日暮歸來沙路永。江風欹笠戰蓑衣。又魚闖浮萍柳弄絲。一江烟雨鎖苔磯。倦來罷釣沿洲渚。手折新荷自製衣。</text>
<title>病卧京中。寄硡之。</title>,<text>稜稜病骨卧寒氊。冷焰殘燈惱殺眠。半夜風霜驚入幌。歸魂忽斷白雲邊。</text>
<title>遊待價蓮塘</title>,<text>風定池塘日已斜。小荷浮水荻生芽。嘗盡世間寒熱味。柳陰和睡岸烏紗。</text>
<title>暮春</title>,<text>小庭苔色上堦除。謝客門前路自迷。睡覺不知春已老。一簾紅雨索詩題。又忽聽黃鸝囀遠林。薄遊京洛認春深。何方可化身千億。花柳村村處處尋。</text>
<title>寒食日。有感。</title>,<text>杏含新萼柳搖靑。寒食風光撼客情。一夜歸心催欲老。夢魂依舊上先塋。</text>
<title>題金谷驛</title>,<text>村南村北僕姑鳴。田婦相呼餉晩耕。遙望亂山愁向路。半天踈雨夕陽明。</text>
<title>望佛足峯有感</title>,<text>九陌紅塵眯兩目。十年空負此山雲。歸來欲向林泉卧。却怕英靈已勒文。</text>
<title>醉贈如愚</title>,<text>睡矂年來中酒聖。逢人無語着淸狂。逝將歸卧江湖上。魚鳥生涯策最良。</text>
<title>佩之茅齋</title>,<text>茅齋閴寂樹陰團。冷漱淸飈牙頰間。閑倚小窓睡自醒。雨餘嵐翠抹前山。</text>
<title>訪紋上人</title>,<text>水雲鄕裏訪瞿曇。巾屨淸幽濕翠嵐。共卧蒲團驚午夢。滿山風雨颯松楠。</text>
<title>伏日山中</title>,<text>䕨蘿陰合小溪涯。雲影離離滿地垂。塵間蟣虱遭湯沐。獨睡微凉亭午時。</text>
<title>寄洛中諸友</title>,<text>海山星月溢寒淸。多病逢秋恨不平。枕上每聞新鴈過。絶無書札到柴扃。</text>
<title>送僧</title>,<text>逢秋飛錫出囂紛。好向靑山躡白雲。遍禮禪關傳祖印。定將何處對香熏。</text>
<title>野興</title>,<text>霜風殘菊一村深。四面靑山揷玉簪。倒騎老牛吹短笛。不知秋日已西沉。</text>
<title>秋夜</title>,<text>任他文字闘時名。閑向山林學鍊形。獨對靑燈秋夜冷。靜聽飛葉破寒聲。</text>
<title>江上</title>,<text>湛湛長江天雨霜。芰荷枯折滿江香。家兒爲報松醪熟。乘月相携上釣航。</text>
<title>池邊</title>,<text>池邊散髮弄淸凉。柄柄新荷釀翠光。淡月欲傾風露下。曉紅驚綻十分香。</text>
<title>題碧瀾亭</title>,<text>芳洲烟草綠迢迢。偶歇孤亭慰寂寥。午睡初醒風力好。更憑高枕聽江潮。</text>
<title>夏日</title>,<text>炎熱熏蒸毒我腸。樹陰終日困移床。偶然一抹雲西北。好雨從風送晩凉。</text>
<title>寄硡之</title>,<text>一封書札寄硡之。蕭瑟江山黃落時。病骨又添雲樹思。獨携殘菊泣霜籬。</text>
<title>廣石洞</title>,<text>廣石秋深海日斜。潮頭雄鎭萬人家。我來獨立孤松下。一笛隨風落晩霞。</text>
<title>霜落</title>,<text>霜落楓湖沙水光。門前灘截作漁梁。晩來醉卧身何處。蘆荻花中白鳥鄕。</text>
<title>秋懷</title>,<text>誰令跌宕支離漢。化作禪那戒律僧。山雨響殘秋夜冷。靜消魂魄對寒燈。</text>
<title>詠史</title>,<text>開元天子幸西忙。劒閣雲飛路杳茫。帳下佳人無辠死。化蟬哀唱出宮墻。</text>
<title>江村</title>,<text>江村籬落淡烟斜。鴉噪空林雪意多。獨立草亭寒日暮。却疑身世畫圖家。</text>
<title>寓佛足庵</title>,<text>雲木空山裏。安禪一病翁。豗堆形索寞。蕭散髮髼鬆。緩步尋苔徑。長吟倚桂叢。平生獨往願。泉石也能容。</text>
<title>愛僻</title>,<text>愛僻棲山谷。人間路不通。濯纓南澗水。披髮北㙜風。敲月千庵磬。傳笙半嶺松。時逢衣衲者。相與說空空。</text>
<title>何處難忘酒 二首</title>,<text>何處難忘酒。幽人在澗槃。芰荷身上潔。雲月句中寒。山態當姬妾。泉聲響珮環。此時無一盞。緣底破天慳。又何處難忘酒。靑山瘴海頭。魚龍愁冷夜。猿鶴弄高秋。覽物情堪愴。懷人意轉悠。此時無一盞。幽寂獨離憂。</text>
<title>曉坐</title>,<text>歲月催陰律。窮村久索居。風霜侵破絮。星斗揷踈廬。點壁殘燈在。添灰宿火餘。尊中賴有酒。懷抱暫能攄。</text>
<title>六月晦日。夜遊東亭。</title>,<text>郭外孤亭僻。登臨樹木稠。山風凉送日。江月冷迎秋。斫膾銀絲脆。開尊綠蟻浮。徘徊探絶勝。淸興恐分留。</text>
<title>山雨</title>,<text>晩雨山初霽。蒼葱草樹陰。凉飈生遠壑。爽氣豁煩襟。柱礎看猶濕。溪流漲已深。遣兒鋤藥圃。扶杖更移參。</text>
<title>春日遊南江</title>,<text>浩蕩江天闊。微茫島嶼晴。碧迷芳草遠。紅襯晩霞明。漁笛凌風逈。鯨波蹴日生。超然孤興極。眞箇訪蓬瀛。</text>
<title>秋日遊廣石</title>,<text>蕭瑟秋山響。唅呀洞壑深。楓林寒日晩。樵逕暮烟沉。白石鋪霜練。淸泉碎玉琴。留連因待月。搔首更成吟。</text>
<title>冬夜書懷</title>,<text>坐久燈初焰。寒侵睡不成。風來窓穴嘯。雲湧鼎濤鳴。身世貧無累。心懷病更淸。賦詩聊自遣。何必要人驚。</text>
<title>仲夏江村</title>,<text>衰病江村晩。林棲苦欝蒸。形羸難強力。骨瘦易生稜。伴坐唯孤影。扶行只老藤。飄零今轉劇。還復笑無能。</text>
<title>晩興</title>,<text>田園甘自老。頭角爲誰低。煑藥嘗新汲。吟詩留舊題。伴閑憐野鶴。哀病賴山妻。日晩無餘事。聽鷄向柵棲。</text>
<title>寄仲栗</title>,<text>憀慄秋將晩。支離病不辭。靜觀誰獨智。無愧我全癡。霜落楓巖秀。雲生佛足奇。與君相謝日。蒼壁要題詩。又獨卧唯高枕。寒燈照寂寥。衰顔秋共老。短髮葉爭飄。酒濁茶全冷。香殘篆已消。思君誰與晤。城裏想煩囂。</text>
<title>夜坐</title>,<text>茅屋三更雨。荒村九月秋。不眠違漏濕。危坐聽颼飀。兒起挑殘火。妻來問弊裘。生平堪笑拙。命也不曾求。</text>
<title>雪後有懷。寄姪子老泉。</title>,<text>病身寒起粟。布被冷生稜。推戶朝看雪。前溪夜閣氷。炊煙隣舍近。乞火小兒能。坐有山陰興。哦詩恨不勝。</text>
