<title>自勉</title>,<text>四德時磨琢。三綱日切磋。惟我平生志。在玆不在他。</text>
<title>次崔德基 應信 韻 崔公號龍巖</title>,<text>侈靡非素願。衣服取安躬。只冀林泉下。樵漁任苦窮。肉食望甞絶。菜根還自甘。潛悲世上事。咄咄費空談。</text>
<title>索居拙吟</title>,<text>恬憺身無累。溫恭意自安。考槃淸澗上。思繼碩人寬。</text>
<title>石溪暮雨</title>,<text>雲繞於尼腰。雨注石溪頭。獨坐茅齋下。悠悠懷百憂。</text>
<title>進學</title>,<text>進學有其道。恒加勉勉工。此心須作撤。未免棄前功。</text>
<title>過喚仙亭。遇崔德基。留吟挹溪亭。</title>,<text>佳節到江亭。枕邊喜雨聲。慇懃開舊抱。臨別更多情。醉卧挹溪亭。耳邊汲水聲。誰識閒中趣。憂國不禁情。山下一高亭。知非要美聲。應作藏修地。看書討性情。淸溪繞草亭。山鳥兩三聲。佳節逢時雨。欣然這裏情。</text>
<title>次友人韻</title>,<text>客從遠方來。池邊晩菊開。故人知我意。珍重勸情盃。</text>
<title>次朴丈韻 朴公號二川</title>,<text>聞道蘭亭會。緣涯訪故人。寒齋山月白。同枕舊懷陳。</text>
<title>謝主倅 滄浪成公文濬</title>,<text>日險愁歸路。天寒勸酒頻。太守恩何報。情義久轉新。</text>
<title>夜吟</title>,<text>深山何事到。夜夜夢家鄕。禪窓曉月白。懷抱自悲傷。</text>
<title>昨承二川朴丈來宿石溪</title>,<text>一言一行皆吾師。景仰平生歎別離。山空地靜寒齋裏。夜夜難堪見月思。</text>
<title>寫懷</title>,<text>取義成行是我志。朝聞夕死亦吾心。惟將賢聖丁寧訓。眷眷平生佩服深。惟孝惟忠已立志。寡尤寡悔又存心。世間榮貴非吾願。鷗鷺江湖契已深。</text>
<title>四月朔大旱之際。遇細雨於半日陽行。次夕登江路。路中吟成拙句。</title>,<text>細雨川邊石路斜。行行隨柳又訪花。停鞭忘却歸來晩。更愛千林新色多。</text>
<title>至崔德基家次韻</title>,<text>石開巖創小㙜。源塘洞口碧溪隈。地秘天慳知有意。却嫌遊人浪飛盃。</text>
<title>索居閑吟</title>,<text>寂寞山堂晝掩扉。那堪人跡近來稀。林深晝永閒無事。惟有簷前燕自飛。</text>
<title>次童子韻</title>,<text>落日秋風洞更幽。淡烟踈映碧江頭。獨立漁磯楓樹下。漫然淸興自悠悠。</text>
<title>除夜吟</title>,<text>萬事蹉跎踽踽身。寒燈此夜幾傷神。手摩鬢邊添白髮。可憐終未免鄕人。</text>
<title>次邵康節暮春韻</title>,<text>時維三月日遅遅。桃李花殘俗客稀。閒來猶有沙𩿨伴。得意汀洲任自飛。</text>
<title>次宋友永叔 邦祚 題石溪壁上韻</title>,<text>十載經營創一堂。數間茅屋數椽樑。平生每恨知音少。自幸今來示敎方。原韻 附○宋習靜爲開江上一書堂。擬育人才作棟樑。俗子誰知培植意。只誇淸景冠東方。</text>
<title>次蓬山九老韻</title>,<text>獨釣磯頭雨濕衣。手扶藜杖夕陽歸。芝歌纔罷魚㙜上。遠憶蓬山九令威。濯足滄浪又濯衣。風乎㙜上詠而歸。朝饔夕粥惟吾分。尙志何曾屈武威。尊其瞻視正其衣。克念能爲聖共歸。吾年六十猶強健。何羡遼東丁令威。閒來無事誦無衣。取適江湖暮詠歸。不掃門庭庭草茂。蠨蛸掛戶有伊威。</text>
