<title>江行</title>,<text>日暮江上遊。冠童人五六。愁連芳草生。極目烟波濶。</text>
<title>過南溪</title>,<text>春早溪聲冷。庭空鶴影孤。獨行巖下路。惆悵水雲區。</text>
<title>夜坐憶友人</title>,<text>獨坐殘燈伴。思人百慮侵。西峯月已落。窻外夜沉沉。</text>
<title>夜坐</title>,<text>孤燈耿不滅。霜月滿西林。多少關心事。書空到夜深。</text>
<title>春日獨行</title>,<text>幽居意不適。竹杖溪山行。興盡歸來晩。夕陽芳草汀。</text>
<title>山中</title>,<text>山中春欲歸。綠樹鸎聲滑。美人不可見。川原萬里濶。</text>
<title>有所思</title>,<text>美人江上在。江波日暮濶。月出水禽啼。橫空烟一抹。</text>
<title>卽事</title>,<text>竟日無他事。虛堂閱簡編。銀塘秋水綠。孤鶴自閒眠。</text>
<title>逃酒先歸。路中口占。</title>,<text>沉醉歸來後。仍行幾百盃。遙知溪柳下。淸唱晩徘徊。</text>
<title>卽事</title>,<text>秋老碧梧桐。庭空孤鶴怨。臨風試一鳴。極目雲天遠。又漠漠雲垂地。冥冥雨打蓮。湖山秋色老。孤客最堪憐。</text>
<title>溪上有懷</title>,<text>潺湲溪水聲。雨後寒更淸。美人不可見。臨流傷遠情。又蕭蕭山雨聲。颯颯林風淸。臨溪獨惆悵。歲暮愁人情。</text>
<title>秋雨有感</title>,<text>白水靑莎遠。丹楓綠樹秋。空階落桐雨。孤客倚南樓。</text>
<title>偶吟</title>,<text>是亦一無窮。非亦一無窮。多少人間事。看來揔無窮。</text>
<title>過金海首露王陵口占</title>,<text>故國周遭在。荒陵暮草秋。繁華餘海月。曾照幾人愁。</text>
<title>客裏偶吟</title>,<text>客裏秋將老。愁邊日又曛。鄕關何處在。歸思轉糾紛。</text>
<title>偶書</title>,<text>憂國鬢添雪。傷時淚濺花。殘年無好况。心事入長嗟。</text>
<title>題松溪集後</title>,<text>四十年前事。分明卷裏人。詩壇今寂寞。一詠一傷神。</text>
