<title>詠海 十歲作</title>,<text>有物半天地。萬古含元氣。胷中亦有海。丈夫當如此。</text>
<title>河回。同金昌遠 弘微，柳汝章 裿 詠月。</title>,<text>高峀送寒影。脩林生薄陰。騷人醉欲去。回首一長吟。</text>
<title>送鶴峯金先生日本通信使 己丑十二月</title>,<text>古人將命出國門。已置生死度外耳。今人持被入直日。言語刺刺顧婢子。吾觀二人之氣像。逈然不侔如天地。先生當世鄭圃隱。早有男兒四方志。昔年曾觀周禮樂。星駕超超幾千里。今年奉使曰出地。海波茫茫接天起。先生滿腹無他物。只有詩書與忠義。使乎使乎眞使乎。朝廷可謂得人矣。君命猶能赴湯火。萬里滄溟一杯水。朝辭北闕暮南關。驛路煙火搖斐舋。椰帆初掛五兩風。海色浮空迷遠邇。炎風吹雨板屋鳴。夜聞驚濤打船尾。雲煙渺渺故國遙。北辰昭昭猶可指。應將忠信懷鴂舌。更敷王言化雕齒。天涯日暮海山碧。徐市祠前草如綺。先生何處酹一杯。堤上忠魂應不死。此行雖無意外憂。須愼殊邦風氣異。書生欲別丈夫行。一笑東風無限意。歸來一拜石門路。披得錦囊好文字。庚寅三月。先生奉使日本。行過桑鄕。余與李時晦。往拜於石門精舍。以此拙語奉呈。先生讀之數遍。擧手而揖曰。朝中士大夫別章。無慮數百篇。無一人及於朴堤上事。君詩及之矣。</text>
<title>仙遊亭。次金靑溪韻。</title>,<text>憶昔甲申重九日。偶逢微雨宿仙菴。小山臨水如龜曝。孤火明篝訝虎眈。李白已能吟瀑布。徐凝何必汚霜縑。襄陽耆舊今安在。千古聲名斗以南。</text>
<title>曉發黃江驛 丙申</title>,<text>曉發黃江驛。靑山處處遮。草深藏戰骨。樹老上啼鴉。凍路行人少。寒沙落鴈多。中原遙入望。無復舊人家。</text>
<title>至日奉別都事兄。兼示柳汝章。</title>,<text>一別便千里。誰傳京洛音。蒼茫悲世事。抰圠見天心。雪嶺千重險。氷江萬丈深。人間雖可託。不似舊山林。</text>
<title>山村</title>,<text>高峀昜送影。脩林風自生。雪中逢虎迹。屋後聽鵂鳴。井路侵田出。樵車過澗行。偶然値林叟。閒坐說春耕。</text>
<title>曉霜</title>,<text>曉月茅原上。霜華點點翻。初疑星宿落。還訝露螢繁。冷氣侵征袖。淸光爽客魂。平生板橋迹。今日向天門。</text>
<title>題知品村舍 癸卯</title>,<text>一雨洗殘暑。淸風生葛衣。稻花香滿逕。茅屋水侵扉。亂石新磨釰。頑雲晩解圍。駕言滄海去。不恨世相違。</text>
<title>從使相巡到金海。行望闕禮。吟示河提督。受一○乙巳</title>,<text>遙瞻北闕五雲間。文武分庭曙色寒。形勝關防窮地角。精誠咫尺見天顔。千尋粉堞臨滄海。百尺紅旗擁碧瀾。快注銀河洗兵甲。二陵松栢夢中看。</text>
<title>從巡兵兩使泛海 幷序</title>,<text>丙午十月。使相卛兵水使及諸將佐登太宗臺。臺乃沒雲臺東枝也。斗起海中。前面如削。乘舟二十餘里。泊于其下。先使輕健者持大索攀上。係于石角垂下。使相先攀索緣石而上。兵水使諸將佐皆從之。余與河提督受一，李陜川潚，李梁山達最後登。隨使相先至臺上。吹笛彈琴。酒行數巡。又有一層險倍於前。使相攘臂必陟。將佐皆諫不聽。隨行者或脫靴徒跣。緣崖魚貫。至于一隅。高可一丈。削立峻急。上執石角。足之所履。僅容數指。先登者扶引。在下者擎推。上下百餘人。皆免跌墜。旣登又有坼峽。其隙僅五六尺。其高十丈。滄海通於兩間。深黑莫測。𢥠難俯視。有一石跨于兩邊。其廣約三尺許。必由此石至彼臺。然後所見無碍。度去者不能下視。只見石面而行。萬一掉脚失足則落於蛟窟。吁可危哉。然歷盡危險。至于坦處。則東海接天。扶桑咫尺。馬島如塊。可以靴尖趯到。超然有乘槎御風之志。有樓船十餘艘回泊于巖下。南有一面。可下而不可上。係索如前。脫衣去靴。輕身攀下。至于船上。然後流汗始斂。屛氣始通矣。偃旗回舟。皷角聲震。至夕下碇落帆。息桴揮旗。以試諸船用命不用命。飮酒樂作。船皆一時掛燈。海底皆明。俄而海月東來。萬頃鎔金。相國使將佐起舞。幕客賦詩。余大醉。先成一絶云。風伯吹雲盡。山含好月來。篝燈須急撤。且進一深杯。</text>
