<title>香山寺。與李淸潭 希得 相和。丁酉秋。倭寇逼京。兩殿影幀奉安于香山。公時爲內翰。與判書李公陪往。留五日。各體雜詠。</title>,<text>匹馬西來日。危樓北望時。溪山饒勝賞。觸目不堪悲。</text>
<title>贈上院庵僧海日 二首</title>,<text>萬卷名山迹。千年太史心。西風一枝竹。終日倚西林。學士西歸日。香山九月秋。關門浮紫氣。誰識度靑牛。</text>
<title>影</title>,<text>日出影隨我。日入影不尋。無心影如此。况復世間心。</text>
<title>寒暑</title>,<text>寒至愛朝日。暑來憐夕陰。天工亦多事。不得滿人心。</text>
<title>別學者金卿月</title>,<text>十載香爐讀。名山太史藏。他年雲漢翮。應是破天荒。</text>
<title>贈兒戒酒 繼源宗人。以酒夭世。</title>,<text>愛親不如酒。罔念惟疾憂。無將繼源淚。更濕逐臣眸。</text>
<title>介山</title>,<text>介子雖逃晉。綿山不是亡。胡爲一炬火。燒盡數峰蒼。</text>
<title>偶占</title>,<text>生涯謫裏謫。身世夢中夢。萬事視浮雲。那爲名所動。</text>
<title>江村</title>,<text>釣客蘭舟蕩。驚飛鷗鷺羣。潮深無處着。一一點秋雲。</text>
<title>贈石州敎授李介立</title>,<text>路斷金牛地。山連鐵瓮城。秋風一劒客。去慰倚閭情。</text>
<title>送奴。問安親庭。</title>,<text>爾歸吾未去。吾身爾不如。空將數行淚。濕盡謝寧書。</text>
<title>前簷玉龍</title>,<text>見晛消簷雪。中溝鑄玉龍。胡天殘臘後。無復舊時容。</text>
<title>寒食有感。先壠作愛。</title>,<text>寒食淸明節。家家焚紙錢。胡爲吾獨否。終日意茫然。</text>
<title>覽鏡有感</title>,<text>病起臨明鏡。白頭翁是雖。儀形雖似我。憔悴減前姿。</text>
<title>次兒昌運韻</title>,<text>萬江深似海。何處繫孤舟。太傅空三涕。龍圖只二憂。</text>
<title>臘梅</title>,<text>爲愛淸香早。移栽入室中。排冬花映雪。還愧奪春工。</text>
<title>詠史</title>,<text>項氏萬人敵。孫郞一世雄。縱然多智力。終不保江東。</text>
<title>述懷</title>,<text>去國三千里。思君十二時。知心唯日月。滿鬂雪絲絲。</text>
<title>新荷</title>,<text>積金君莫多。我富他人異。萬緡綠玉錢。閙亂春塘水。</text>
<title>題畫竹 二首</title>,<text>人道醫人俗。我言同我襟。風霜百變後。獨立轉虛心。縱然風動葉。勁節不應移。寥落風霜後。靑靑獨自知。</text>
<title>謝錦山倅李子敏 安訥 寄仁廟御製韻</title>,<text>璧水同遊日。如今卄八年。情緖與墨帖。千里鴈來傳。附原韻西塞幾千里。東風今五年。傷心屋樑月。書札倩誰傳。</text>
<title>效霽峰集古句</title>,<text>柴扉存晩計。老去戀明時。日暮倚脩竹。中心君詎知。</text>
<title>露梁途中。思親庭。</title>,<text>蕭蕭梧葉露梁秋。病㥘新凉攪弊裘。怊悵獨登江上路。不堪回首望仁州。</text>
<title>過仁川山寺。追憶上年讀書。有感。</title>,<text>山下孤城聽夕鍾。十年如對碧紗籠。大醉不知歸路遠。半竿斜日照西峰。</text>
<title>乞暇還鄕</title>,<text>眼寒霜髮倚閭時。幾待塵埃暮出兒。昨夜春風吹海嶠。滿庭萱草雨如絲。</text>
<title>香山寺。和李淸潭韻。三首。</title>,<text>睟容行色似岐山。扈衛孤臣夢亦酸。應仗皇靈殲古月。中原不日見重還。石門秋夜雨聲沉。坐較時艱淚不禁。挑盡玉虫因假睡。太平烟月夢中尋。一宵談屑散霏霏。歸思遙催到玉扉。別後客窓長寂寞。夢魂應逐鴈同飛。</text>
<title>贈普賢寺僧委來 二首○時在香山</title>,<text>鴨綠江邊古壘隈。危根千里孰移栽。山蜂不放春消息。猶逐餘香冒雨來。自從衣鉢出曹溪。無數庭松盡指西。滿殿曇花秋寂寂。貝經雲氣掩仙梯。</text>
<title>偶吟</title>,<text>隔籬歌吹枕邊聞。大嚼屠門意已醺。莫把斜暉爲酒誓。羲輪能照不能言。</text>
<title>送義僧天運</title>,<text>多師墨名而儒行。早識君臣道義存。腰佩蓮花手明月。滿山風雨向轅門。</text>
<title>應金秀才 瀅 索別</title>,<text>白頭烏帽尙風塵。何事離君又送春。湖外驛程千里路。落花芳草獨歸人。</text>
<title>次鄭老 濟 韻</title>,<text>海甸秋炎倍欝蒸。樹陰無處不行憑。輕衫還似貂裘暖。恩賜長思玉井氷。</text>
<title>寄舍弟</title>,<text>大隱金門又一年。海鄕歸計政茫然。池塘一夜生春草。知有江南夢惠連。</text>
<title>癸卯春。以行臺。暗行關西。贈定州深遠寺僧。</title>,<text>遠辭北闕三千里。行盡西關四十州。到處逢人問凋瘵。夕陽蕭寺獨登樓。</text>
<title>題永川郡樓</title>,<text>功名有似黃楊木。九載靑衫鬂獨明。坐嘯郡樓堆簿領。到來溪月幾虧盈。一作坐嘯郡樓因一謔。</text>
<title>書安東驛</title>,<text>赤壁黃岡蘇子宅。淸川白石謫仙居。莫將兩地誇奇勝。綠竹靑梅此有餘。</text>
<title>詠池荷</title>,<text>驚脫紅衣倚小塘。空餘綠子擁靑房。西風一夜吹菡萏。無復華容似六郞。</text>
<title>與尹參判 仁涵，尹副提學 覃茂，柳僉知 祖訒 曁外舅權公同席醉。尹參判先占一律。使余步之。謹綴以謝。</title>,<text>黃花欲晩重陽後。白首相逢萬死餘。歌嘯數聲因一謔。滿山秋色小堂虛。</text>
<title>過楊花渡</title>,<text>霜落吳門鴈政飛。水程楊柳葉初稀。孤舟明日菱江渡。何處漁家不掩扉。</text>
<title>贈國師道正</title>,<text>何處仙遊紫氣浮。關門不禁度靑牛。明朝海上生歸思。留別林僧下石樓。</text>
<title>送安同知 玏 官滿還京</title>,<text>江天空濶塞雲低。別路茫茫別恨齊。遺愛四年人仰德。龜龍突兀峴山西。</text>
<title>夢過黃陵廟有作。記而書之。</title>,<text>春晩黃陵野鳥啼。一庭紅雨杏花西。赭山伐樹何爲者。不識湘靈是舜妻。</text>
<title>孔明</title>,<text>三顧恩酬八陣圖。君臣際會近唐虞。永安宮冷原星落。虛老黃桑八百株。</text>
<title>紀信</title>,<text>却乘黃屋出城門。萬古長嗟未死魂。天下未應三傑力。璧間誰畫紀信勳。</text>
<title>塞上曲</title>,<text>明月春風塞壘孤。何人吹送小單于。離君欲贈無楊柳。彊向原頭折白楡。</text>
<title>秋至 二首</title>,<text>及瓜征卒未還家。入塞聲稀出塞多。今夜靑閨幾處夢。一時隨月到龍沙。旅人身上尙春衣。南路茫茫驛使稀。昨夜西風吹塞草。早鴻應向上林飛。</text>
<title>秋胡子</title>,<text>採採柔桑不滿筐。行車何事駐途傍。當時若受黃金贈。誰識多年守空房。</text>
<title>虞姬草</title>,<text>漢軍何事楚歌多。泣別虞姬奈若何。唯有寃魂爲綠草。至今相對太眞花。</text>
<title>松明火</title>,<text>排却風霜不受凌。歲寒勁節倚山陵。雖明未燭藏身智。任剝膏腴替夜燈。</text>
<title>沽酒聽漁歌</title>,<text>卸舟西岸日初斜。彊逐靑帘訪酒家。狂脫葛巾經醉臥。不知身已謫長沙。</text>
<title>畫竹</title>,<text>誰將彩筆畫猗猗。踈影依俙渭水湄。安得致身江海上。釣竿須斬最長枝。一云誰將戱墨畵猗猗。數朶琅玕紙面移。</text>
<title>畫梅</title>,<text>誰將玉妃舊精魂。留作溪藤數幅痕。香萼獨明霜雪裏。西湖風景入牢門。</text>
<title>戒嘉兒</title>,<text>少年嬉戲探書懶。老去貧寒悔莫追。風動短衾身似鐵。夢中猶記勸文時。</text>
<title>贈別</title>,<text>別後形容猶黯黯。計程今日宿誰家。秋風落葉鳴窓外。疑是情人倘復過。</text>
<title>送鄭梨洞還家 梨洞。江界堡名也。鄭卽南人。而爲堡主者。</title>,<text>孤障休官莫作愁。故鄕歸興政當秋。門臨碧海三千里。竹外潮生動釣舟。</text>
<title>聞昌運過香爐山 十年前。以御史作遊。</title>,<text>蕭蕭馬影踏新霜。遠入招提宿上方。回首舊遊今十載。香爐山色壓僧房。</text>
<title>開閤</title>,<text>關山千里㤪相離。日暮琴臺淚獨垂。多病已開居易閤。西風莫唱柳枝詞。</text>
