<title>寄徐上舍精甫</title>,<text>長夜耿不寐。寒燈愁照人。回頭語孤影。微爾更誰親。</text>
<title>留別友人</title>,<text>薄酒我如魯。高才君長滕。猶供文字飮。淸興亦堪乘。</text>
<title>登觀魚臺</title>,<text>十載塵寰夢。常嫌落地偏。平生雄偉氣。遙倚海東天。</text>
<title>與李評事新之 濯。相別符仁寺。</title>,<text>君歸三省中。我向八公下。依然傷別心。厭聽蕭蕭馬。</text>
<title>甑灘舟上。次溫卿韻。贈李從事季徽 如璜 宗契。</title>,<text>舟上有閒地。壺中多別天。何妨碧江外。吹面晩風顚。</text>
<title>歲除前一日</title>,<text>庭梅輕歲月。臘盡不開花。鬢與誰爭白。先春卻自華。</text>
<title>十二月二十日大雪 是時。合境六年被停諸生。有徵銀民間。納官解免之議。故作此以譏之。</title>,<text>一夜新安境。家家滿地銀。儒停當自解。不必斂竆民。</text>
<title>戲人乞詩</title>,<text>寂寞柴門外。阿誰剝啄頻。不禁衰病裏。日有乞詩人。</text>
<title>自家移處統勝廬。因移菊於石塢上。物我相類。故感而賦之。</title>,<text>叢菊在籬陰。愁渠鬱屈心。移栽石塢上。共我出幽吟。又正似淸標士。愁吟季世間。年光更促暮。黃髮被衰顔。</text>
<title>元日。呈地主朴大瓠 𥶇。</title>,<text>萬福自叢身。人間第一人。惟祈君子德。更與歲俱新。</text>
<title>次金正字方叔 榘 韻 時冲海法師來見。</title>,<text>今夜書囱下。看花太喜燈。朝來竹扉外。忽有作詩僧。</text>
<title>遊桐華寺。歸路題徐立之 時立 溪亭。</title>,<text>二日遊蕭寺。吟成幾首詩。歸來有餘興。還似在山時。</text>
<title>河陽客舍。次朴宣傳韻。</title>,<text>薊外金城險。奴酋。自稱後金可汗。 遼陽玉壘深。河南殘酒席。看劒兩人心。</text>
<title>塞下曲 百家衣體</title>,<text>漢月恒持滿。賓王。 頻年不解兵。嘉運。 戎衣何日定。賓王。 征戰是平生。盧象。</text>
<title>夜坐書懷。寄金上舍萬古。</title>,<text>破囱無紙曉風多。半壁寒燈未著花。勤苦讀書成底事。且將詩句答年華。</text>
<title>孤村對酒賞梅。呈地主金退軒。中淸。</title>,<text>春將晴色嫩梅魂。吟筆餘香動酒罇。東閣此時應更好。夢和殘月過琴軒。</text>
<title>曉聞杜鵑</title>,<text>星落天空月已傾。向人何苦盡情鳴。西山老樹陰濃處。不忍年年聽爾聲。</text>
<title>與李新之同入符仁寺。途中作。</title>,<text>羅朝古寺符仁路。聖代閒遊半畝翁。竹杖芒鞋綿布襪。綠陰千樹亂山中。</text>
<title>新之帶李時馦等。步往三省。余以年老難於攀躋。遂獨作東行。書此寄孟堅。蓋與新之同入符仁。有共訪孟堅之約。故專用子猷事。</title>,<text>乘興而來乘興返。昔年曾笑剡溪舟。誰知三省菴前路。今日翻成一子猷。</text>
<title>泗濱。留別睦督運使溫卿 大欽。勸酒辭。</title>,<text>樂莫樂兮新相知。悲莫悲兮遠別離。明朝相憶各千里。此日此杯君勿辭。</text>
