<title>山房偶吟</title>,<text>蕭蕭落葉聲。錯認飛疎雨。呼僧出門看。月掛溪南樹。</text>
<title>伏次家君眞字韻。贈鄭子孚 士信 朝天行。二首</title>,<text>朝天冠葢幾多人。今日儀章始見眞。幹事歸來報明主。繡裳猶帶鳳城春。令意欲以朝服入參賀班。革去前古因循之陋。盛事也。句中聊述此意。千里人分萬里人。臨行握手更論眞。歸期政趁桃花節。同醉湖山爛漫春。客中又作關河之別。尤覺悵黯。家君詩以眞字相勉。故幷及之。</text>
<title>謹次謹獨翁韻 二首</title>,<text>靑林飛雨暗雲端。布穀聲殘人倚欄。盡日野亭車馬少。紫桐花細落巖間。洞裏烟霞護一臺。芳時明景政佳哉。雲拖細雨籠山去。風散飛花泛水來。履舃從容溪上會。杯樽取次水邊開。今辰奉袂知何幸。行盡關東十二迴。</text>
<title>伏次家君戲題崔進士 雲海 壁上韻 江原道軍餉御使時</title>,<text>望雲遊子在天涯。寸草三春意若何。攀躅當年吟賞地。滿庭依舊碧桃花。</text>
<title>次具別座 忠胤 贈詩</title>,<text>春風關嶺客。秋日又東還。吏卒知前使。驪駒諳舊山。路分紅樹外。村住亂松間。始覺三淸近。靑鸞我欲攀。附原韻君向關東去。行旌不日還。花明萬瀑洞。春滿五臺山。縹緲烟霞外。淸幽水石間。仙翁逢往往。豈是俗人攀。</text>
<title>止上人詩軸。次西厓先生韻。</title>,<text>客裏逢渠半日閒。渠能玉雪我心曲。秋風吹我過臨瀛。靑海茫茫雲日黑。</text>
<title>栢潭先生輓</title>,<text>童子無知愧互鄕。前秋始得拜鱣堂。提撕縱賴垂誠眷。慵懦其如昧向方。河岳忽驚收間氣。門牆那復挹餘光。丹旌落日阡南路。回首西風淚萬行。</text>
<title>歸來亭醉題</title>,<text>歸來亭在洛江濱。今日登臨興更眞。繞郭澄波千尺練。出籬紅杏萬家春。松醪啜罷風生腋。桂棹回來月滿津。莫向此間談世事。座中皆是素心人。附次韻 金葛峯 得硏勝日尋芳二水濱。閒遊淸味宛玄眞。千村桃杏家家雨。四野風烟處處春。桂醑滿斟鸚鵡杓。蘭舟移棹杜蘅津。吟餘追想名亭意。林下歸來是一人。</text>
<title>次金葛峯汝精 得硏 止水亭韻 三首</title>,<text>方塘半畝引淸流。雲影天光一樣留。靜裏竆融看得理。名亭止水豈無由。不須高架與脩椽。茅棟居然可學仙。世味多端愁似海。山居無事日如年。溪心剩得高秋月。池面晴涵近午天。多謝主人襟抱曠。客來聊借枕書眠。松聲溪響繞瓊筵。坐覺心神轉爽然。春色滿山花似錦。蓮香擁鼻藕如船。園中日涉聊成趣。雪裏吟鞭獨聳肩。造化豈能人力致。四時風景不須錢。</text>
<title>次黃海月會元 汝一 韻</title>,<text>丙午春。以江原道軍餉御使抵平海時。會元伻書見邀。余旣許之。而氣適不平。且因日暮路遠。直向郡廨。會元以詩讓之。翼日余欲歷訪。而又滯雨阻水。次其韻以謝之。倦客仍多病。關山道路難。書來猶見意。日暮未承顔。知子休相怪。嗟吾苦未閒。前宵春雨急。行色阻深灘。附原韻同世旣云幸。相逢良獨難。深知五里遠。又隔數年顔。驄馬乘風迅。孤雲出峀閒。臨流多少恨。一夜化鳴灘。</text>
<title>敬次晦齋先生獨樂堂韻</title>,<text>丹碧曾聞慈命强。陞堂瞻想感通腸。超然獨樂求仁處。不啻顔曾孝友庄。</text>
<title>宿獨樂堂有感書贈同年李僉知 浚</title>,<text>幽磵玲瓏遶竹流。山禽啼歇月窺樓。當時觀物無竆意。靜室焚香獨自求。</text>
<title>惟一齋先生墓會奠日。次權時中 得可 韻。</title>,<text>此會從今閱百秋。先生德業永芳流。迷蒙獲被薰陶力。欲報誠心未敢休。</text>
<title>次金汝精臥龍庵韻</title>,<text>尋眞來到碧山南。一室蕭然分自甘。亂峀千層跨壑聳。喬松百尺與天參。窻含月色寒生榻。壁帶霜痕冷著龕。左右琴書無外事。整襟長對聖賢談。</text>
<title>輓權玉峯叔晦 暐</title>,<text>令德堪毉世。眞醇衆所欽。朝聞夕死志。今世古人心。舊屋梅魂冷。新阡月影沈。病中愆執紼。西望淚盈襟。</text>
<title>輓金孝伯 奉祖</title>,<text>京洛分攜未浹辰。忽聞哀計倍傷神。人間烏府乘驄客。天上瓊樓秉筆身。一世高標誰復見。百年吾道不重晨。自憐多病愆扶紼。他日西門醉後春。</text>
<title>會賞金汝精止水亭。次李伯憲 敬遵 韻。</title>,<text>聞道山中勝。穿雲度壑來。澗邊瑤草合。巖上木蓮開。松竹成深契。烟霞長綠苔。採薇兼有酒。不亦樂乎哉。</text>
<title>又次汝精韻</title>,<text>爲愛池亭勝。持杯破寂寥。溪聲寒㶁㶁。竹影淨蕭蕭。地僻人烟少。山深世路迢。忘歸無盡興。臨別更逍遙。</text>
<title>關東遊山詩 江原道軍餉御使時</title>,<text>丙午三月十一日。朝發豐巖 高城郡名 訪楓岳。謝去簪笏拋朱衣。供帳徒御從簡約。紅塵俗緣猶未了。馹騎騈闐誠可噱。十里湖光入望中。三日 浦名 曾留四仙躅。巖邊瑤草閱幾春。石間丹書字半缺。螺鬟點點蘸明波。天水相涵爲一色。蘭舟搖蕩鼓角喧。驚起蛟龍舞幽壑。春醪啜罷倚風欞。巍眼晴空豪氣發。揮鞭轉入亂山中。廩庫茅簷 山僧儲穀之所 在斷麓。文殊 村名 山店數三家。百川橋橫一溪曲。尼巖可坐數十人。上臺中臺宜遠矚。山僧十數出洞迎。擧我籃輿能遠涉。連天狗嶺幾千仞。仰之可以捫參壁。從知山上自有泉。可笑盧春傳幻說。人言盧春臨渴駐杖得泉云 纔踰獐項棧道懸。雲起巖邊山日黑。淸流泱泱響琳琚。老樹楂牙交劒戟。巖花澗草不知名。怪鳥相呼未見質。行行渡水復渡水。明月 橋名 白雲 橋名 橋相續。山名楡岾寺名同。黃昬到門飛蝙蝠。僧房穩著佛燈明。一夜淸夢蛻塵骨。松窻日高 十二日 始攬衣。鬻蕨烹葵供晩食。煕師 泰煕 導我佛頂 臺名 歸。歷盡頭雲 庵名 與成佛。高臺 卽佛頂也 聳出縹緲間。頭上重霄纔五尺。臺前蒼壁畫圖開。複峀重岡勢崱屴。巍然屹立蹴東溟。鳥飛猿攀不能越。松林 窟名 石竇對鶴巢。臺名 栢田 庵名 小刹連寂滅。庵名 丹崖隱映杉檜間。中有十二飛來瀑。胡僧遙指九井峯。玉筍銀簪倚雲揷。吟筇何必到內山。僧言內山尤奇云 已見金剛眞面目。山雲約束無顚風。僧言此臺側有狂風。不能如意探玩。今日則無風故云。 自詫遊人非俗迹。逶迤回步入船潭。鬼斧何年斲成舶。如舟形故有船潭之號 巖流喧豗盡日舂。上下無塵好泉石。老僧辟穀漕溪菴。斫樹代瓦愈勝絶。雲龕住屋是養眞。窟名 霞外攢峯號彌勒。峯名 天風吹散玉樹花。澗霧林霏香不歇。日晩歸來山映樓。水上橫欄構一閣。怳然坐我淸冷宮。山影波光搖几席。解衣頹臥雲翠堂。借得浮生半日樂。聞鐘僧舍發深省。見月瑤壇塵慮寂。王程多事苦催歸。吏帶晨星吹畫角。十三日 巖巒窈窕似佳人。十步九回不忍訣。又踰狗嶺出洞門。漸覺塵寰與山隔。軍州紫綾入眼頻。飭吏還將用鞭扑。松堂昨日有此否。心境閒忙隨地別。空山只合臥白雲。底事東西長役役。明波 扞城地 驛路雜花開。咏月樓前 扞城郡 梅盡落。一年春事政瓓珊。客程光陰凋鬢髮。殘燈孤舘悄無人。片夢鄕關天一末。長程鞍馬不暫閒。僕夫又告車已轄。南歸一路傍海門。撲面風沙不貸客。日午來投淸澗亭。急呼香茶澆肺渴。憑軒片時著春眠。夢裏分明身化鶴。飄然飛入枳涅山。萬二千峯看歷歷。尋常寤寐不能忘。只緣名山遊未洽。亭邊斗石自成臺。上有枯松枝半脫。森羅雲物一望中。萬景之名不虛得。五里一置十里堠。永郞之湖千頃闊。烟花明媚夕陽天。松石蕭森淸可掬。可笑冥頑馬前卒。亦知疎慵山水癖。名區隨處道其名。謂余征驂可登陟。飛仙 亭名 入海數十步。崛起波心成突兀。狀如金鰲飮滄海。霜刃斫斷頭半截。洛山 寺名襄陽地也 門外繫征驂。西日已從芳樹沒。微風不動春意深。滿樹梨花 梨花臺名 壓香雪。烟鐘寂寂翠微間。月色溶溶照林樾。海天風露轉凄淸。怳如笙鸞下寥廓。金雞三唱曉日生。十五日 火輪如盤光射赤。窻臨蓬島萬里遙。臺下奔鯨可掀鬣。薄暮登眺倚成臺。臺名 臺在東崖巖勢矗。平鋪綺筵落花前。綠樹芳罇相對酌。吹簫一聲海鶴怨。數曲纖歌白雲遏。俄看新月湧東溟。一片淸光含碧玉。夜深歸去蠟炬紅。烟樹濛濛驚起鵲。明朝 十六日 欲作梨亭遊。日日淸懽幽意愜。半夜狂風特地吹。雪落紛紛深沒膝。花開花謝摠須臾。造物誠知如戲劇。靑林朝雨 十八日 爽氣生。入戶春山明似括。香消寶鴨鳥聲幽。繡幕玲瓏捲簾箔。雖知信美難久留。十九日 又見祥雲舘裏竹。二十日 竹間誰復置水亭。留客新名揭草額。洞山 驛名 門外有石臼。日暮招招搖輕楫。巖形詭怪千萬狀。定是神功用斧鑿。或如怒虎當谷蹲。或如壯士相拱揖。中通隱隱剖大甕。削立亭亭橫玉槊。臼中波浪日夕撞。仙子何年搗靈藥。回舟夜眠孤舘中。朝旭燦燦 二十一日 到連谷。驛名 臨瀛太守好事者。鏡湖仙舟開落日。風流不必載紅糚。衆樂交轟宜盡徹。只敎連唱赤壁詞。旋倚烟波弄長笛。臨瀛舘裏畫燭燒。隔窻琵琶歌咽咽。人情客裏喜跫音。况是同宗連氣血。爭持壺榼慰羇愁。二十二日 此意良勤感歎極。寒松形勝久聞名。人道今時不如昨。江山變遷尙如此。人事有終知鮮克。由來名實不相副。地得虛名寧有實。不向寒松向羽溪。二十三日 剩得傍人相怪詰。晴沙何事不得平。馬蹄輕輕鳴戛戛。白鷗飛盡水如藍。海棠初開紅錦萼。平陵古驛牆宇殘。暮入眞城仙舘宿。千尋蒼壁下有潭。飛閣臨流號凝碧。竹西名樓在其東。燕謹之堂連檻闑。前山嵐翠滴人衣。沙觜眠禽閒拳足。輕舟泛泛在中流。芳渚和風吹杜若。黃昬粉堞列炬紅。波底羣星明的的。關東絶景四大字。昔人題評誠不忒。驅馳因抱採薪憂。窻外凋零四蓂葉。自二十四日至七日留 交柯龍化少淹騑。冒雨踰山衣半濕。何年旌節 召公臺 駐松關。一片螭頭願勿伐。古縣 沃源 蕭條日將曛。黃蘆枯竹繞牆屋。臨溪野亭興富驛。二十九日 山上孤城蔚珍邑。山中石窟名聖留。愈入愈深不可測。凝成鍾乳可延年。折來冰鬚露盈匊。延曦亭下數十里。鑿破山根通軌轍。望洋亭上見滄溟。無底無垠不盈竭。自我觀玆最鉅物。天下萬川等杯勺。胷中斗膽覺輪囷。莫敎一點渣滓著。蒼龍偃謇十里堤。越松亭 雲錦離披沙岸白。淸陰滿地隔天日。靈籟蕭蕭聞廣樂。杜鵑躑躅生其間。衆草凡卉不能雜。四時佳興各成趣。最見眞機宜月夕。神仙有無固難知。仙若有之遊此陌。行盡關東一千里。鳳棲亭中迄可息。滿院香動牧丹開。葉裏靑紅三四結。一身隨處可忘機。世緣悠悠都拋擲。搜羅景物飽得歸。到地君恩難報答。此生若得長無事。欲向此間新卜築。括一作刮</text>
