<title>謁玉山書院 五言</title>,<text>冐雨謁賢院。齋庭靜且閒。衣沾何足惜。瞻拜怳承顔。</text>
<title>獨樂堂</title>,<text>流水靑山裏。蕭然獨樂堂。昔賢云已歿。空使我心傷。</text>
<title>溪亭</title>,<text>一亭枕碧流。遺跡已千秋。不盡山中興。觀魚更下樓。</text>
<title>定惠寺</title>,<text>古寺僧稀少。秋山葉半凋。天公助晩趣。故遣雨蕭蕭。</text>
<title>無邊樓 七言絶句</title>,<text>楓染秋光玉澗寒。別區蕭灑有餘閒。無邊樓上無邊景。此日登臨盡日觀。</text>
<title>澄心臺</title>,<text>澄心臺上雨初晴。落木寒泉一㨾聽。想像先賢遊賞處。徘徊終日愧餘生。</text>
<title>仙査船遊。分韻朱子漁艇詩得猿字。五言古詩○辛丑暮春。樂齋先生與張旅軒，呂鑑湖諸賢。同遊賦詩。先生亦與焉。○朱子詩曰出載長烟重。歸粧片月輕。千巖猿鶴友。愁絶棹歌聲。</title>,<text>日暮輕棹疾。疑聞楚峽猿。巖花紅綺爛。汀柳綠袍翻。追陪作高會。綢繆情更敦。何幸干戈後。重傾酒一罇。閒分白鷗戱。心逐孤雲奔。收將不盡意。更泝伊洛源。</text>
<title>精舍雜詠 五言律詩</title>,<text>梅花不有眞趣。世誰謂汝梅。魂醒雪裏返。香動月中來。寧入幽人詠。羞爲俗士開。翁心如有契。故傍曲欄栽。竹古之王子猷。借宅猶栽竹。小屋龍山巓。林捿欲自宿。名樓宜我琴。別舘求君族。園巷轉幽深。令人能不俗。幽居竹深荷凈處。塊坐日如年。蕉鹿歸塵夢。林禽訪宿緣。野塘涵水月。石竈裊茶烟。睡起心神灑。床書對聖賢。郊扉郊扉閒自掩。門外寡車輪。友道尙千古。農談聽四鄰。居家甘淡泊。憂世少經綸。畢竟收功處。不知這㨾人。</text>
<title>門前槐杏成列。築以壇之。感吟。五言古詩</title>,<text>闕里壇前樹。琴湖水南家。地本中外別。歲又古今遐。誰令百代下。聞風起咨嗟。緬昔吾夫子。講道倡絃歌。葉送洪鍾響。枝掩玉斗和。愼勿植物看。想像意如何。</text>
<title>觀魚㙜歸路有感 五言絶句○二首</title>,<text>寂寞伊川月。凄凉泗水烟。絃歌今不聞。吾道向誰傳。又易理窮難賾。極圖辨未精。師門勤託意。終恐負吾生。先是己丑。樂齋贈勉周易。丁未寒岡先生印贈太極圖說啓蒙圖書。故末句及之。</text>
<title>丁丑春。聞講和之奇感吟。</title>,<text>痛哭漢南月。傷心瀋北風。誰令天下士。復見却秦功。又禮義海東國。忍看城下盟。哀哀三學士。千里泣忠貞。</text>
