<title>雨夕</title>,<text>舟輕楊柳風。鷺點澄江色。隱几晝焚香。前山帶雨黑。</text>
<title>示東溟 鄭君平</title>,<text>江漢夕陽裡。靑山山上雪。杯心泛菊花。却訝重陽節。</text>
<title>秋思</title>,<text>松籟傳秋響。荷風送晩香。凉生一枕夢。山雨落池塘。</text>
<title>東林送僧</title>,<text>香爐瀑布好。山客發東林。月白虎溪水。浮雲何處尋。</text>
<title>拜新月</title>,<text>少女下堦拜。琅琅向月祝。月中有姮娥。應憐儂獨宿。</text>
<title>神勒寺。次蓀谷韵。</title>,<text>錦水生微波。斜陽隱古樹。孤僧與暯鴉。共入靑山雨。其二暮鴉壓平蕪。孤烟生遠樹。漁翁睡蓬窓。夢濕前灘雨。</text>
<title>自君之出矣</title>,<text>自君之出矣。網結合歡衾。思君拜新月。新月知儂心。其二自君之出矣。羅衣空自香。思君步蘭渚。怕見雙䲶鴦。</text>
<title>宮詞</title>,<text>寒虫近玉階。碧窓紗如霧。淸空白露斜。曉作梧桐雨。</text>
<title>花藏寺</title>,<text>指點花藏寺。沿溪細路通。踈鍾秋色裡。僧語白雲中。</text>
<title>前出塞 二首</title>,<text>策馬渡河氷。三宿長堤下。西風一鴈聲。落月陰山夜。白玉翠眉兒。應思萬里客。征馬及春來。休爲望夫石。</text>
<title>遼陽</title>,<text>驅車穿絶塞。霜月宿遼陽。千年鶴不返。碧落雲茫茫。</text>
<title>次金浦板上韵</title>,<text>遠岫參差畫。長江上下天。孤舟一聲笛。吹破白鷗眠。</text>
<title>聽琴</title>,<text>我有白露酒。君橫玄鶴琴。高樓捲珠箔。明月出江心。</text>
<title>偶吟</title>,<text>世路無靑眼。淸江有白鷗。扁舟一樽酒。長笛下中流。</text>
<title>靑流壁。贈僧。</title>,<text>靑壁暮江路。獨歸何處僧。僧言永明寺。遙在白雲層。</text>
<title>滄浪亭 二首</title>,<text>漁村夕陽邊。扁舟何處客。蕭蕭一帆風。滿載秋江色。水岸淨流澌。春禽啼弱柳。田夫叱牛耕。無乃長沮友。</text>
<title>野望</title>,<text>湖田麥苗靑。野艇炊煙白。江淨浴鸕鷀。林深啼布穀。</text>
<title>次白軒赤壁韵 李相景奭</title>,<text>赤壁蘇仙月。淸江李郭舟。波濤駈入筆。天地借高秋。</text>
<title>送人入薇源</title>,<text>江上一聲笛。桃花千樹春。靑山隱隱處。應有避秦人。</text>
<title>夜坐</title>,<text>西風夜鳴竹。月落秋江深。獨倚土窓下。無絃千古心。</text>
<title>夕望</title>,<text>兩兒騎一牛。犢鳴隨其後。豊草齕且行。不覺前山暮。右荒池亂蛙吠。草屋匏花白。牛背一笛風。雨壓靑山夕。</text>
<title>送春</title>,<text>無酒奈送春。贈詩春自知。君收百花去。何處可吟詩。</text>
<title>朴淵鶴巢</title>,<text>幾時別蓬壺。棲棲此雲壁。一去不復來。杳杳秋天夕。</text>
<title>馬上口占</title>,<text>細草高低岸。桃花前後村。一聲牛背笛。落照漏殘雲。</text>
<title>玉河關逢立春</title>,<text>北館逢新歲。東韓路幾千。孤臣垂白髮。聖壽祝齊天。</text>
<title>後出塞</title>,<text>忽忽出都門。行行西擊胡。微軀安敢顧。天子按湛盧。</text>
<title>偶吟</title>,<text>莫問江湖事。誰知放浪翁。扁舟一壺酒。棹歌月明中。</text>
<title>木鴈</title>,<text>不識蘇卿節。寧知帝子絃。佳人持錦字。猶倩玉關傳。</text>
<title>望海樓</title>,<text>落日金波上。孤城望海樓。西風何處笛。吹送古今愁。</text>
<title>望夫石</title>,<text>萬古天無語。千山月共寒。只應微雨過。粧淚似闌干。</text>
<title>淸宵棹歌</title>,<text>銜山水月低。帶露踈鍾重。漁郞叩歌。喚起江村夢。</text>
<title>滄波白鷗</title>,<text>江漢渺連天。沙鷗千點雪。忘機釣魚翁。吹笛蘆花月。</text>
<title>龍山霽月</title>,<text>露洗白蓮花。蒼茫掛空碧。江客酒一樽。漁舟人送笛。</text>
<title>鷺梁烟樹</title>,<text>古樹夕陽裡。孤烟生遠村。江山呈活畫。水墨近黃昏。</text>
<title>仙峯落照</title>,<text>仙峯上下天。茫茫九萬里。落照下海門。千山紫烟起。</text>
<title>蚕頭踏靑</title>,<text>斷岸近天飛。風光暮春好。初從浴沂來。更踏王孫草。</text>
<title>氷江雪馬</title>,<text>長江銀作橋。仙槎去無跡。如通牛女津。會覔支機石。</text>
<title>鐵浦釣魚</title>,<text>蒻笠與蓑衣。蕭蕭一竿竹。客星莫隨我。不識劉文叔。</text>
<title>謝人送酒</title>,<text>楊葉翠眉細。桃花紅粉均。淸江一聲笛。誰送洞庭春。</text>
<title>答人 洛中人來言。勿守隱約。稍尋名利。以此答之。</title>,<text>烟波吾富貴。風月我生涯。江村春酒熟。處處典衣賖。</text>
<title>桐江釣叟</title>,<text>細雨桐江暮。披蓑嚴子陵。維舟罷釣去。家在亂雲層。</text>
<title>自挽</title>,<text>適來奚足喜。適去奚足悲。文章與道德。落落未留皮。</text>
<title>咏畫榴鳥</title>,<text>王母宴周帝。蟠桃獻十枚。石榴南海在。猶遣鳥㘅來。</text>
<title>春江雨</title>,<text>渺渺桃花浪。淸淸白鷺洲。春風吹暮雨。應濕釣魚舟。</text>
<title>別趙生 世彙 歸公山</title>,<text>空江暮雨來。別路秋風落。紅樹白雲間。君爲錦水客。</text>
<title>同福縣樓。次張持國韻。</title>,<text>竹色梅香共一樓。春山無月子䂓愁。禁城西望秦雲隔。遠客傷心不待秋。</text>
<title>岳陽 在頭流下 別人</title>,<text>踏破溪邊一逕苔。白雲山影共徘徊。此去莫言關路阻。江梅花發卽歸來。</text>
<title>雪花大如手</title>,<text>江天雪花大如手。飛落西湖湖上山。西湖病客寒無酒。抱膝長吟行路難。</text>
<title>書人便面</title>,<text>一曲離歌行路難。西風吹水楚江寒。湘浦春來有歸鴈。莫敎書信阻秦關。</text>
<title>題人壁</title>,<text>明時誰似此愚夫。閑愛漁翁淨愛湖。欲駕長風千里去。岳陽樓上望蓬壺。</text>
<title>塞上聞笛</title>,<text>玉門西北接燉煌。白草茫茫落日黃。胡兒笛裡梅花引。三月關山一曲香。</text>
<title>夜坐</title>,<text>小村遠火如踈星。微雨暗風吹囪欞。方壺道士夜無睡。袖手一讀黃庭經。</text>
<title>憶大容弟 壬戌春</title>,<text>西湖春物攪新愁。花撲重簾柳拂舟。悵望關雲消息斷。夕陽何處獨憑樓。</text>
<title>龜潭夜泊</title>,<text>日落空江生白波。蘆花如雪月明多。萬疊靑山深樹裡。一燈砧杵是誰家。</text>
<title>思君恩</title>,<text>危樓北望萬山平。佳氣䓗蘢白玉京。碧桃紅杏春風裡。亦有葵花向日傾。</text>
<title>宿漁村</title>,<text>春江月出夜雲輕。垂柳踈篁入望平。漁舟且莫吹長笛。恐遣沙鷗夢不成。</text>
<title>簡寄金浦倅</title>,<text>金陵此去無多地。君泛秋江正渺茫。西社重峯古祠在。莫敎香火四時凉。趙重峯。曾莅本縣云。</text>
<title>贈劒西邊倅 辛酉春</title>,<text>我有龍泉劒三尺。九天曾欲决浮雲。爲贈關西都護別。陰山瀚海動星文。平生袖裡蓮花鍔。少日屠龍氣有餘。男子臨分意氣贈。虹光先射斗牛墟。</text>
<title>別人</title>,<text>七十鳴灘水正肥。白雲歸思片帆遅。明宵泊舟淸心月。烟樹深深聽子䂓。</text>
<title>夜傍西巖宿</title>,<text>漁翁夜纜泊西巖。暗峀孤猿聲兩三。日出靑林棹歌去。白鷗飛盡水如藍。</text>
<title>塞下曲</title>,<text>雪滿軒轅千尺臺。孤鴻影度金河月。精兵夜守玉門關。萬里長安夢魂絶。</text>
<title>栢梁臺</title>,<text>縹緲仙臺特地齊。君王新御火龍袍。昭陽白日來王母。袖裡分明見玉桃。</text>
<title>簡天官 求延安</title>,<text>千年方丈別烟霞。潦倒風塵鬢已華。欲把一麾江海去。暮天踈雨賞蓮花。</text>
<title>九連城</title>,<text>月落胡天大漠寒。征人烟火傍陰山。長安此去三千里。夜夜思君鬢已斑。</text>
