<title>題畫</title>,<text>寒鴉啼日夕。風浪急前灘。漁舟將早泊。何處賣魚還。</text>
<title>登鏡浦㙜</title>,<text>海闊乾端露。湖平地軸浮。秋風踈雨後。長笛倚虗樓。</text>
<title>偶吟 四首</title>,<text>獨卧邊城外。誰知遠客心。杜鵑啼盡處。明月上遙岑。雪月千山色。松濤五夜聲。孤臣眠不得。多少戀君情。踈雨千山夕。琴書萬古心。高談不覺曉。窓外白雲沉。落日三盃酒。滄溟萬里心。長風何處笛。殘郭暮雲深。</text>
<title>賞花湖亭 三首</title>,<text>萬葉濃陰處。幽花一樹香。山禽如喚客。啼盡碧雲傍。霽色千山畫。松聲萬里風。獨憑虗閣上。身在白雲中。碧蘿飛急雨。危石觸洪流。高僧入定處。衣上翠嵐浮。</text>
<title>聽琴</title>,<text>微雨靑山夕。梨花滿地香。瑤琴彈一曲。新月爲留光。</text>
<title>次友人寫懷三十韻</title>,<text>余咨荒學圮。刻志徒咋指。腴道飫勘經。博古够耽史。應機黜否臧。閱人謝譽毁。攄抱一世艶。尙友千古士。耕舌擬食硯。盖體唯衣紙。壯心競霄崢。牢愁較泰峙。刈枯自要鎌。耕荒躬剚耜。休營不蹈苟。食力何蒙恥。時命一何左。造化之所使。聽天旣無怨。捫舌敢出訾。退藏志在山。卜築居臨水。蒸霞錦綉張。嵌恠蛟龍起。去年旱猝暴。嘉穀枯如燬。粒粳斷市廛。餓殍遍江涘。有興賞佳景。無心泛湜沚。處獨省衆非。息游悟今是。默坐泥塑如。檢心死灰似。良幸識道人。適與聯鄕里。酎以潤新歡。詩以道玄志。妙斡風雲氣。俊拔烟塵裏。扛鼎力兼人。擲地聲聞耳。淸輝徹宵光。奇寶盈棐几。心聲自往來。肝膽照彼此。何由謀合幷。醪侑山梁雉。恣韻襲杜陵。硏文範韓氏。雪絃仍對和。郢斤將恭俟。窺奇澁纏疵。探幽晦成累。難將一尺布。敢敵千段綺。闘華固餘事。績學宜安止。須事玄訓邃。聖心今不死。</text>
<title>次友人十六韻</title>,<text>卬與陳人伍。針石四百病。蹈禮䂓喪儀。侈文靦罹評。內觀瀹眞源。潔甚滓難倂。或熾炎火焦。或置凝氷冷。尖鋒互觝觸。悍馬相馳競。嚴束萬紛閧。痛剸一以靜。理微衆嗜張。私杜天機盛。幾分盍省硏。釐差判狂聖。道從至約邃。萬善根一性。愼爲習坎樞。謙爲塞兌柄。勤學手書耽。理情將詩詠。鏖邪苴衆愆。刻身闖入正。倘寄雲與等。圭窬恣樂命。浩如萬頃波。印月魚游泳。頤如百鍾酎。潤枯欣冥醟。行將鱠巨鯨。何患齒齧鯁。</text>
<title>哭李蓮峯 基卨</title>,<text>台與白沙密。歷談千古史。台與蓮峯善。極論天人理。兩翁許以心。台亦託知己。兩翁今舍世。吾道嗟終否。蓮峯世濡染。孝睦範仁里。韜光德輝著。天爵不求至。超階爲親屈。雷封陶赤子。德雨洽草萊。口碑鑱德美。扶顚志未展。拱璧還招訿。遂筮幽貞吉。貧樂萬鍾侈。深遡伊洛源。允蹈先哲趾。冲和一身輕。明月照秋水。淸猷激頹俗。天書徵不起。諫職浮雲等。厚祿微塵視。蛇馬猘逞妖。翁遷吾罹譭。默對血盈眶。鬼神會所以。欲歸身未歸。讕言事求是。卜築幸接隣。昕夕心相披。翁喩胤問字。瞑道盲或指。談玄擬徹宵。肄禮將竟晷。遽驚哲人萎。天道終難恃。名全子孫豐。景福誰能比。江湖更寂寞。此身生如死。縻事負會窆。搥胷不自已。寫心寄歸雲。悲風吹不止。</text>
<title>次秋懷 九首</title>,<text>秋深萬品成。黍稷方茂薿。居閑樂事饒。憀慄何無已。庭院自蕭條。蟋蟀爭聒耳。松踈怒濤鳴。竹凉愁聲起。觸物自生感。悲歡不相似。致澤志難成。盛年何足恃。不如早歸來。仰希玄聖軌。從容欣有得。浩然心自喜。又牡丹盛繁華。霜下先憔悴。松篁獨蒼翠。相對幽居地。拊琴自饒興。獨樂心不恣。日月電光閃。烟霞朝暮異。感時獨興歎。誓心非慕貴。我愁何悄悄。秋夜自漫漫。憂國變兩鬢。戀君臨一飯。耿耿雖抱忠。落落難遂願。閉戶耽書史。忠孝爲人勸。冥觀細重思。一理分爲萬。力踐應遠契。野芹何能獻。優游任天時。自足心無怨。霜隕古鍾鳴。露翻仙鶴警。晃朗玉宇高。風緊寒宵永。隨時斂初服。莅事寬濟猛。斲堅乏利刃。汲深垂短綆。持志才不逮。免愆猶爲幸。嘿然守吾玄。端居塵迹屛。又時序倐相遞。荏苒難駐景。天高爽氣肅。桂臨寒水冏。悄然自疚心。慄如履枯梗。守靜已息機。出門靡所聘。撫劒獨悲歌。長纓無路請。天時如轉梭。倐忽流光暗。只恨效績遅。鬢白心何憾。貧樂迓天休。心非畏鬼瞰。迹絶競世利。泂臨秋水淡。源深逝不休。波凈流不濫。華月散淸輝。玩賞何能暫。得意自忘歸。浩如隨錦纜。垂絲可扶鼎。翰墨何須勘。志非在溫飽。不必謀石甔。金飈起夕林。摵摵聲滿軒。棲鳥不定枝。飛集如爭奔。獨立聘遠望。感懷悄忘言。黃昏羣動息。童子趍庭前。靜觀萬物理。得食還忘餐。俯仰自相契。硏朱點韋編。爲問聖賢心。相傳歲幾千。遭時有否泰。遇事異甘酸。答云爾童子。夜徂須不眠。心法體不已。收功在暮年。又秋晏百穀收。苗秀先自乾。生民失所天。一粒如琅玕。携筐入深山。爭摘橡實團。兵屯苦望哺。邦本恐難安。憂國夜不眠。獨坐涕汍瀾。誰陳醫世策。誰進壽民丸。何時掃妖氛。壯士解征鞍。秋成萬物藏。迅雷何馳聲。天怒敢逸豫。一德須浚明。齊莊守篤敬。不息體純誠。志遠致覃思。守謙戒持盈。善積獲天慶。仁博屈人兵。感應在呼吸。頃刻異辱榮。乾乾恒警惕。對越天之令。</text>
<title>讀微子篇有感</title>,<text>淸心拂塵服。敬誦微子篇。仰思千載心。血淚自泫漣。天何畀明哲。不紹殷祀綿。元惡溷宸極。虐焰燔蒼天。黔黎胥淪喪。宗社將崩顚。悄悄靡所騁。戚戚議空宣。祭器不深毖。芬苾誰祀先。去就各明義。敷心父師前。嘉遯忠告切。血誠何精專。自勵不臣節。矢心日星懸。少師拚一死。奮忠繩厥愆。童心益驕固。長惡終不悛。三仁道不同。同成心德全。疇能籲凶人。革面任三賢。天生命世器。宜拯衆顚連。才何愧阿衡。周室商彜遷。干戈揖讓存。聖賢道義玄。獨夫誅難逭。元子位可傳。民情聽天命。王道順自然。空餘百聖意。寒江秋月圓。</text>
<title>移東峽</title>,<text>移舟月溪邊。山高天咫尺。玉洞白雲深。境與塵世隔。幽鳥共忘機。門無車馬客。獨立無所思。長歌暮天碧。</text>
