<title>次沈楚賢</title>,<text>養拙山深處。仍爲無事人。阿誰還錯認。謂我葆天眞。</text>
<title>贈沈敎官 沅 元之</title>,<text>屛跡荒村僻。幽慵味寂寥。從來安蹇劣。不是避塵囂。</text>
<title>偶吟</title>,<text>身世無根絮。生涯有髮僧。誰將知此意。孤照五更燈。</text>
<title>雲梯山亭。與沈淸之 沆 把酒。次沈察訪信叔，都事潤甫前遊此亭詩韻。</title>,<text>人生本自寄。何處有眞吾。醉下雲梯去。眞吾在一壺。</text>
<title>贈洞友</title>,<text>我向雲巖去。歸當一往尋。荒辭須爲和。休說少知音。</text>
<title>次寄遼人文可尙</title>,<text>萬里遼陽客。秋風故國愁。十年猶瑣尾。誰識不凡流。一曲淸秋笛。誰催遠客愁。故鄕歸不得。千里淚長流。原韻</text>
<title>遊雲臺洞 洞在龍巖上流</title>,<text>天開蒼玉峽。瀉出碧瑤流。淸秋明月夜。轟笛更來遊。</text>
<title>偶吟</title>,<text>萬事皆由命。皇天炯照臨。雍容棐几下。方見古人心。</text>
<title>送兪萬里赴玉果</title>,<text>南國風霜後。幽蘭日夜凋。天時近人事。別意更遙遙。</text>
<title>次梔子韻</title>,<text>雪片元同色。眞堪帶月華。炎天萬草木。爭及此閒花。</text>
<title>歲暮</title>,<text>舊曆無多日。新年隔幾旬。前溪流不盡。催却白頭人。</text>
<title>次沈敎官</title>,<text>嗜酒緣多感。哦詩爲看花。除詩兼止酒。何以處山家。</text>
<title>次寄姜復泉子久 鶴年</title>,<text>遷次君無宅。懷安我有居。何時山水處。高棟接茅廬。西塞軍麾滿。生靈未奠居。風塵無息日。吾敢愛吾廬。</text>
<title>戱呈鄰友</title>,<text>昨上松臺望。知君客滿堂。樽前猶醉睡。應夢老蓴塘。又落葉蕭疎響。空山雨脚斜。孤吟愁絶處。無酒對黃花。</text>
<title>詠龍巖溪恠石</title>,<text>形色皆同肺。眞堪置闕前。如何混沙磧。終古卧溪邊。</text>
<title>恠石答</title>,<text>莫以同形色。移將置闕前。世人皆結舌。只合棄溪邊。</text>
<title>寄李大諫 失名 謫所</title>,<text>死別呑聲久。蒼茫彼老天。悽悲湘水畔。知爾鐵膓堅。</text>
<title>雲巖寺</title>,<text>客自西峰至。僧開竹戶迎。一罇山月下。霜菊滿荒庭。</text>
<title>送僧</title>,<text>棲遯初年志。雲林晩節期。東巖幽絶處。與爾共生涯。</text>
<title>贈梁上舍誠之 九思 華硯</title>,<text>硯面無光澤。中心炳若丹。贈君供寶玩。要作故人看。</text>
<title>步訪權郞 在</title>,<text>芳草煙郊路。携藜一老翁。長吟渡水去。衣袂生冷風。</text>
<title>新正磨鏡</title>,<text>古鏡塵昏久。新年試一磨。淸輝渾似舊。玄鬢奈成皤。</text>
<title>任退之 進 携諸子來訪</title>,<text>白鳳飄空外。將雛到野亭。竹寒無翠實。何以住雲情。</text>
<title>送心上人</title>,<text>送君歸名山。千林秋欲晩。去去雲錦中。衲衣影凌亂。</text>
<title>謹次季父竹牖先生韻。送重卿歸京。</title>,<text>歲暮千山雪。遙程送別愁。那堪分袂後。獨自下樓頭。</text>
<title>偶吟</title>,<text>人事年年改。交遊漸漸乖。猶憐好風月。到老不相離。</text>
<title>吉語</title>,<text>吉語來何處。旄頭落遠天。重陽今日會。歡樂最餘年。</text>
<title>雲臺溪上醉。次諸少韻。</title>,<text>楓葉三秋暮。閒行溪路斜。紅顔與華髮。終日醉香霞。</text>
<title>嘉林東閣盆梅</title>,<text>千林埋積雪。東閣綻寒梅。煖律生談笑。何煩七七開。</text>
<title>藍洞盆梅</title>,<text>臘前梅蘂發。芳意先陽和。誰知深雪裡。春色在山家。</text>
<title>訪鍊溪</title>,<text>何處可閒行。鍊溪春有聲。梅村經臘酒。滿酌不須淸。</text>
<title>京叔關西都事時。吟成一絶以寄。</title>,<text>愛身如愛玉。眼淨綺羅筵。應笑周公瑾。回頭誤拂絃。</text>
<title>短扇</title>,<text>短扇將風至。輕凉掌上生。開襟滌煩暑。分外得身淸。</text>
<title>感懷復泉</title>,<text>歲暮窮愁處。荊江下世辰。小窓梅蘂發。如見故人眞。</text>
<title>獨酌</title>,<text>門外蓬蒿滿。庭中梧竹陰。數杯聊獨酌。萬事不經心。</text>
<title>呈金陰竹 宗海</title>,<text>工夫無寸效。講讀負三餘。寂寞吾身世。愚慵老草廬。又官慚參奉號。貧羡野僧居。千里同心侶。應知賦遂初。</text>
<title>過萬竹徐舍人 益 舊居</title>,<text>大贒曾避世。於此卧江軒。歲月幾多改。溪山依舊存。又鶴去松無主。巖空竹有孫。偶來傷往事。斜日獨停罇。</text>
<title>江月亭秋夜。諸友佩酒來飮。</title>,<text>故人踏月色。淸聖又同來。高閣松聲逈。空江鴈叫哀。喃喃交軟語。衮衮勸深杯。惆悵今宵會。湖亭復幾回。</text>
<title>大王洲。雨中獨渡卽事。</title>,<text>湖上殘春雨。煙波碎碧羅。輕添征客袖。斜拂釣翁蓑。遠樹雲光暝。長洲草色多。江城荒半月。孤思復如何。</text>
