<title>郭天初。見惠盆菊。寄示以謝。</title>,<text>遺我一枝菊。不啻千金贈。感此故人意。愧我空手應。</text>
<title>次壁上題野寺荒㙜晩絶句</title>,<text>花發知春晩。殘花不自悲。悠悠含至化。隨日復隨時。</text>
<title>無題</title>,<text>人間紛壽天。非鬼孰爲仙。未信啚南志。無心數月眠。</text>
<title>次壁上古詩韻。自嘲。</title>,<text>有智皎如日。有愚渾如泥。佳語聞皆好。怡顔解老妻。</text>
<title>謹次 二首</title>,<text>行休不敢向人謀。強倩深觥謾自由。誰信終南非捷徑。江湖還有廟堂憂。						蕭條書釰海雲濱。百慮艱危淚滿巾。奮翼桑楡應有待。勉須高出漢功臣。</text>
<title>寄澤堂 李植</title>,<text>容祖行藏未易言。至今猶有是非存。不須赤壁留餘響。早向龍門更討論。</text>
<title>題白江李相國 敬輿 江亭 亭在白馬江龜巖上。號龜甲亭。</title>,<text>千年老甲壓行津。看取汚隆閱幾春。爲樂不須泥曳得。白鷗滄海好爲鄰。</text>
<title>乙酉十二月初十日戊子。得外曾孫男。</title>,<text>今朝忽見外曾孫。悲喜無端有淚痕。新舊去留常此路。層巢幾處待來昆。</text>
<title>乙酉季冬二十二日夜</title>,<text>松檜紛騰萬壑回。狂風暴雪一時迴。孤燈倚壁留餘暈。頭白昏然酒後頹。</text>
<title>丙戌元日</title>,<text>五十五年今日得。外曾孫子去旬看。人生至此猶堪詑。况復山村把酒歡。</text>
<title>挽白上舍 尙賓</title>,<text>王家效體自紛紛。三世能名次第聞。五十三年八法盡。獨憐依附失靑雲。</text>
<title>寄自也 二首</title>,<text>料他皆是好心身。經把僞書妄吐眞。章甫已行鄒魯制。白頭羞戴小烏巾。						貧病多年任索居。忽承榮問意何如。只緣衰朽孤光晩。欲效涓埃計已踈。</text>
<title>挽白上舍 尙賢</title>,<text>樂天無嗣惱平生。強把枚臯便慰情。滄海空瞻朱雀影。千秋寂寞少公名。</text>
<title>挽梁進士 致南</title>,<text>數間茅屋玉泉頭。白首沉吟駕鶴秋。萬事人間眞戱劇。好隨簑笛月中遊。</text>
<title>次洪進士韻</title>,<text>駑才誰擬價崇丘。堪笑黃塵自白頭。湖海亦非終着足。謾隨吾黨暫迴輈。</text>
<title>次陶靖節止酒詩韻</title>,<text>止字平分二十分。沉吟一一味當醺。猶知詩酒還成癖。羞對無心出峀雲。</text>
