<title>贈萬德山白蓮社僧勝佑</title>,<text>萬德難磨地。白蓮無盡秋。長看法海上。明月滿虛舟。</text>
<title>苦難</title>,<text>吾王亦盡心。平日何其寡。壤壤征塗間。誰知葬地者。</text>
<title>霜鴈</title>,<text>爾自無心叫。吾猶到骨悲。如何與爾約。回翅遠吾爲。</text>
<title>有感</title>,<text>世路愚爲智。人才拙是能。含情說不盡。劫怕鬼神憎。</text>
<title>僧軸。見石川詩。</title>,<text>舊慕石川老。吾生慨後時。至今僧軸上。山色在淸詩。</text>
<title>讀莊有感</title>,<text>鵬翼一何殷。垂天雲亦愧。拔之試傳鳩。不過控於地。</text>
<title>戱吟</title>,<text>男兒眼孔大。天地小如珠。倚醉觀无妄。愚兒反謂愚。</text>
<title>釋悶</title>,<text>老作松京客。酸寒百味俱。欲歸迷所向。何處問前途。又浮生不滿百。誰使與憂俱。落日蒼茫外。窮途接暮途。</text>
<title>語主人</title>,<text>登途汝卽吾。在宅吾猶汝。易地等行人。行人君莫阻。</text>
<title>遣懷</title>,<text>十年根腐木。能復發靑枝。以此思天理。無憂白髮絲。</text>
<title>鎭海樓</title>,<text>萬古傷心處。秋風鎭海樓。英䧺無限淚。添洒大江流。</text>
<title>初見白髮</title>,<text>新物人皆好。偏嫌白髮新。如銀非不㓗。秪解送吾人。</text>
<title>過舊門生家</title>,<text>舊堂來舊客。新塚泣秋魂。不忍題詩句。空憐曲几存。</text>
<title>遣遇</title>,<text>水閱千年態。雲無盡日顔。乾坤白雪裡。含笑看靑山。又吾目猶難信。人情更可論。靑天雲盡處。明月照心源。</text>
<title>砭愚</title>,<text>莫把東陵富。笑彼西山餓。哀哀死利人。淸士不汝唾。</text>
<title>畏天</title>,<text>暗裡䂓爲事。欺人實自欺。非關俗輩見。只畏上天知。</text>
<title>浙江潮</title>,<text>萬古英䧺淚。奔流作海潮。橫江長吼怒。暮暮又朝朝。</text>
<title>厭歸開京</title>,<text>病有君臣藥。貧無子母錢。生涯淡若水。何意傍圜鄽。</text>
<title>感興 八絶</title>,<text>圜中白黑交。幻出乾坤夢。七尺大男兒。閑將隻手弄。右太極一日一周旋。工夫在不息。包容盡洪纖。雨露均八域。右天德厚柔而順。爬搔任所遭。不擇賢邪負。辛勤養以毛。右地尊作衆陽宗。出爲羣目用。有時揜食之。君子懷深恐。右日淡黑羣陰母。淸明借日光。長看晦朔滿。不必走其傍。右月色赤如殷血。彷徨宇宙中。世人看不見。那得辨雌䧺。右風無渠物不澤。功用配穹蒼。蔽日獨何意。甘與小人方。右雲起處日星晦。怒時天地驚。泰山近帝座。故作嬰兒聲。右雷</text>
<title>嘲大夫松</title>,<text>曾被周天雨露濡。官秦能保後凋無。紫陽饒爾心猶直。單道楊䧺莾大夫。</text>
<title>苦難</title>,<text>宇宙元來閑且寬。軒皇何事俑爭端。至今民受干戈毒。草動風吹不得安。</text>
<title>路傍四株松</title>,<text>路傍松樹碧童童。五大夫中少一公。日庇炎程來去客。世人誰解紀君功。</text>
<title>沿路各邑。見淸德碑。有感。</title>,<text>邑邑官門五里間。人人淸白盡鐫頑。皆廉此世惟吾濁。縱逭刑章亦厚顔。</text>
<title>別押送羅將</title>,<text>押卒辭歸客意驚。家書欲作涕先橫。誰知燠日驅吾者。猶有悽然惜別情。</text>
<title>夜雨</title>,<text>小雨簫騷生暗愁。終宵難得蝶爲周。親庭去此千餘里。獨有何心不淚流。</text>
<title>嘲雲</title>,<text>隨風來去度千山。雲本無心亦不閑。爭似遺榮安處客。羊魚得計臥巖間。</text>
<title>題性天軸</title>,<text>一點禪心萬慮忘。高僧眉宇見毫光。慇懃爲轉蓮華序。坐使塵顔不狹長。</text>
<title>贈贊煕和尙</title>,<text>鳥語林間渾有味。風敲竹上儘存奇。觀心見性須閑熟。莫遣工夫鬼得窺。</text>
<title>觀魚有感</title>,<text>濠上喁喁是魚樂。與人無競自浮沉。羲皇結網成湯解。誰識機心世漸深。</text>
<title>和李明府花堂韻 二首</title>,<text>雨裡聞君勝賞回。淸香料得滿衣來。慇懃爲問春消息。幾種名花幾樹開。遊賞名區晩始回。想應觀化不虛來。須知造物用心處。向北花枝開未開。</text>
<title>嘲屈原</title>,<text>堪笑靈均過自詑。無端埋骨汨羅波。安排禍福都由命。縱遇明君奈爾何。</text>
<title>峽路楓秋</title>,<text>露浥靑松日暎楓。滿山紅翠綵雲濃。遲遲策馬巖前路。如在圍屛繪畫中。</text>
<title>非軒昊</title>,<text>吾尤太昊初乘馬。重劾軒轅始作舟。若使兵家無二物。卽今那有北南憂。</text>
<title>和成明府題望北棚詩</title>,<text>仍舊爲之豈究奇。不淫而樂得於詩。初心望北成還爽。却怕多猜造物兒。</text>
<title>羡籬鷃</title>,<text>羡他籬鷃氣頗驕。輕尾軒頭自矜嬌。強似大鵬摧六翮。哀鳴拍拍怯鴟鴞。</text>
<title>四時吟 卽所謂四氣體</title>,<text>夏氣薰蒸秋氣凉。須知露結卽爲霜。君看春日枝頭艶。便是前冬雪裡香。</text>
<title>觀兩曜有感</title>,<text>前船行快後船遲。磨上閑忙我自知。扇燭相交相掩處。須看近一遠三時。</text>
<title>有感</title>,<text>白屋生涯經世變。眼中唯有一身現。無田不可墾人田。羞向倉廒食破硯。</text>
<title>意怠 意怠。卽燕也。</title>,<text>意怠身世最無憂。棲息人家豈有求。毛可禦霜虫可食。閑閑來去閱春秋。</text>
<title>偶閱老佛書有見</title>,<text>鏡中未始藏前影。竈下何曾見舊烟。若謂儒家無此理。請將斯語質文宣。</text>
<title>祖龍墓</title>,<text>殉人已甚象人俑。寶物奚關身後奉。何不借他愚叟來。移將凾谷藏驪塚。</text>
<title>垂簾寢戶。以遮外扇。一日風洒驟雨。如綴珠。狀。因戱題。</title>,<text>爲妨蓬戶直柴扉。編取蒹葭當妓衣。天意似憐窮士儉。故敎行雨綴珠璣。</text>
<title>奉別崔少尹歸上都 少尹。卽逸也。</title>,<text>黃汚人衣霜滿天。呂梁懸水卽沙川。一壺春酒非難覔。吹篴橋頭阻別筵。</text>
<title>江庄阻雨。憶壺隱。</title>,<text>微茫極浦雨絲絲。東望雲山有所思。跨鶴樓中謫仙子。此時吟得幾篇詩。</text>
<title>客譏不掃室堂</title>,<text>簫條環堵百爲空。宇宙中間一病翁。塵滿小堂慵不掃。風吹軟紅自西東。</text>
<title>送人作縣</title>,<text>誰畫君行得意時。榮光喜氣舞雙眉。傍人錯認專城好。奉檄深情我自知。</text>
<title>讀史有感</title>,<text>與賢如曰德之休。風姓相承亦可羞。軒后干戈炎帝死。伐君何獨罪商周。</text>
<title>苦雨</title>,<text>支離暑雨萬人嗟。愁苦偏深病客家。猶有管絃兼鼓吹。一林蟬噪一池蛙。</text>
<title>畢阬</title>,<text>挈榼持鰲意態閑。萬鍾千駟不相關。能言畢阮無奇節。請把功名視這般。</text>
<title>答人</title>,<text>傍人憐我十年窮。勸向朱門謁上公。我以不容爲大用。未窮何處更求通。</text>
<title>喜晴</title>,<text>兩曜安行照八垓。恒星無恙向西回。天公晩悟晴光好。彌月頑陰不肻開。</text>
<title>鎭海樓</title>,<text>未斬長鯨聖主憂。樓名鎭海亦堪羞。欲知憤死忠魂怨。嗚咽江波萬古流。</text>
<title>客笑一小盆種一莖菊。安堂上。霜後數花未枯。</title>,<text>莫笑殘英托小堂。一花還有一花香。却勝陶令東籬下。顚倒風霜漸不芳。</text>
<title>移住松京集古</title>,<text>故國移居見客心。許身愧比雙南金。欲塡溝壑惟疎放。日暮聊爲梁甫吟。</text>
<title>苦悶</title>,<text>久客松京愁恨長。思歸江國非吾鄕。男兒不是無高趣。却笑平生爲口忙。</text>
<title>有一武人憐我。欲以衣食相仁。詩以示意。</title>,<text>平生傲骨病相纏。不縛於官二十年。阽死焦原吾命耳。男兒肻受別人憐。</text>
<title>題乞詩扇</title>,<text>如鳥數飛同學習。隨時舒卷近行身。反觀無物非柯則。莫向西風謾蔽塵。</text>
<title>遣遇</title>,<text>食少兒童忘敬禮。官閑僕妾緩譍聲。市顔不在門庭外。莫向他人怨薄情。</text>
<title>贈惠師和人韻</title>,<text>爾法何曾出世間。生前要識捨身難。須探實實虛虛處。刮眼澄心仔細看。</text>
<title>歎老</title>,<text>玄花巧眩看書眼。白雪偏侵覔句鬚。不識蒼茫造物意。世間何限浪遊夫。</text>
<title>擬古金針扇對格</title>,<text>昨日臨流弄紫霞。醉從詞伯詠殘花。今朝隱几看靑峀。渴向奚兒索冷茶。</text>
<title>和壺隱詩</title>,<text>曳月簪星赤斧風。曾傳玉字蕊珠宮。謫來猶上楊州鶴。却向淸都憶夢中。</text>
<title>詠朴淵</title>,<text>朴淵何以得詩艱。境絶几才未易攀。吾老已能知此意。肻敎塵土涴仙山。千尋山帶掛猶艱。萬丈天梯羽或攀。今古詩人無傑句。只緣談水更談山。</text>
<title>江上吟</title>,<text>岸上誰家垂釣郞。閑閑意共海雲長。吾行亦着烟波裡。掛席炎天底事忙。</text>
<title>留壺隱案上</title>,<text>先生獨愛玉腰圍。太僕惟愁馬不肥。毛羽自能輕雪霰。冬寒不必戀鷄衣。</text>
<title>贈韓少尹祀尼山</title>,<text>君向名山誰共遊。秋風病臥恨悠悠。精禋定感神靈意。一夜衡雲萬里收。</text>
<title>留別林進士 長儒</title>,<text>西湖處士昔同遊。一別流光十二秋。樽酒相逢忽成別。玉京歸夢逈添愁。</text>
<title>周赧王</title>,<text>勢屈終雖取敗亡。合從初不畏秦強。求之後世亦難得。莫笑當年周赧王。</text>
<title>遣懷</title>,<text>莫說瞿塘蜀道難。人生處世最難安。醉鄕還有閑田地。榮辱無聞禮數寬。</text>
<title>讀史有感</title>,<text>人間萬事謂之然。眞是眞非世莫傳。白黑在前猶不辨。何由盡信古陳編。</text>
<title>白頭翁艸 一名。胡玉使者。</title>,<text>不因名字罪王戎。稱道雖同實不同。何事我心還異是。呼兒鋤盡白頭翁。</text>
<title>寄宿古支村。主人待之甚厚。</title>,<text>遠路東西竟誰托。叱嗟長任主人爲。方知德惠偏難忘。日聽兒童說古支。</text>
<title>上洪留相韻 留后。卽洪相重普。</title>,<text>分司百里返淳風。相國治成不自功。晝靜苔庭無一訟。却憑金印夢周公。保障無虞政化明。廣文今作受廛氓。餘生飮啄皆公賜。不盡江山萬古情。上一絶。奉玩相公書簡中。有訟庭寥寂。晝眠爲事之敎。因感興而賦之。下一絶。自幸窮人得此歸定地。傳與雲仍。永不忘曲成之惠。聊復詠歌其事。</text>
<title>留相左顧。詩以敬謝。留后卽權相大運。</title>,<text>堂上橋頭堂上過。慇懃來訪故人家。慚恩戀德平生意。更向尊前一倍多。</text>
<title>呈鄭東溟詞伯</title>,<text>鄭老禀才䧺。山枯天地病。生玆左海偏。氣與中華競。文襲兩京高。詩鳴千古盛。侯生服子雲。此意誰能正。</text>
<title>具郞中內挽 郞中文濟</title>,<text>婦德人難識。徵之別有方。客來看酒食。郞出見衣裳。未卜全身熱。先潛隙月光。魂隨丹旐去。却繞兩兒傍。</text>
<title>次楊州牧伯詩</title>,<text>遊觀有苦樂。但聞所從誰。每伴山公醉。仍看謝眺詩。名區兼美景。樂事又明時。已識容疎放。論懷不復疑。</text>
<title>朴淵詩 和李小府光迪 韻</title>,<text>白日雷霆闘。神龍不敢蟠。䧺聲千古怒。爽氣四時寒。廬瀑虛驚李。蓮峯錯怖韓。已空觀水眼。未信北溟寬。</text>
<title>次贈李上舍 絿</title>,<text>聖代多才俊。英豪小似君。詞華咽露爽。氣味飮醇醺。仙鶴元無匹。驊騮自不羣。浪跡誰能縶。秦山又楚雲。</text>
<title>賞蓮</title>,<text>君子有心賞。荷花凈晩塘。如嫌蘭不實。似笑竹無香。耻受淤泥染。寧爲桃李粧。千年秋雨洗。遺恨比張郞。</text>
<title>差祭江都摩尼山。登壇君所築天壇。遣遇二首。</title>,<text>靈壇初罷薦牲罍。拂曙登臨最上臺。脚下峯巒殘似繡。眼中滄海小如盃。五雲丹闕關情戀。萬里黃圖入望哀。看劒忽忘才力薄。欲傾銀漢洗氛埃。爲將晨事陟巑岏。聊上高臺展壯觀。星近怳聞天女笑。風微不見大鵬搏。未應落鴈煩携謝。肻遣衡山但識韓。乘興欲傾滄海飮。滿前烟島卽杯盤。</text>
<title>奉別益平都尉從江都歸京城</title>,<text>跡斷朱門貴介庭。沉綿已度千秋螢。幸陪江左周都督。得近宮中漢客星。洒落心將雲水白。英豪氣葢海山靑。誰能小別愁肝肺。他日相期燕尾亭。</text>
<title>病中寄壺隱</title>,<text>十日吟呻見忘身。千金始悟等埃塵。茫茫大塊無窮物。冉冉長途開幾人。已信生前渠是我。誰知身後夢非眞。欲從詞伯論斯理。刮眼分明辨火薪。</text>
<title>謝申正字 卽今大諫晸也</title>,<text>大姓名家冠海東。靑春學士是文䧺。似看太乙恒星裡。如得天球萬玉中。摸索定知眞國器。周旋綽有古賢風。他鄕邂逅非閑事。到處逢人說某公。</text>
<title>送朴員外朝天 丙子亂前。泛使通朝人。皆苦之。</title>,<text>生此東方老此東。寧知中國帝居䧺。今承聖旨辭丹陛。行泛靈槎上紫宮。溟渤要須看勺水。窮通當自任皇穹。凝然正坐龍猶蝘。何似浮沉䆠海風。</text>
<title>擊楫渡江 用李靑蓮。雖有匡濟心。終爲樂禑人意。</title>,<text>愀然掩卷對金缸。擊揖忠心萬古降。起舞未應當亂日。着鞭何必待危邦。從知勳業頻牽意。未許君憂但滿腔。怏怏長終功莫遂。深盟誰使負淸江。</text>
<title>烏鵲橋</title>,<text>人間烏鵲有何求。去作長橋銀漢頭。本爲神官供力役。終敎織女慰離愁。梁津豈乏龍腰曲。橫海非無鵬背脩。獨任二虫成好會。年年七夕古今秋。</text>
