<title>曉雪</title>,<text>夢覺東囱白。初疑曙色明。呼兒排戶視。尺雪耀前程。</text>
<title>同孤山尹公 善道 題萬德寺</title>,<text>滯雨金山寺。微凉八月秋。樓頭朝暮鼓。水際古今舟。</text>
<title>別酒隱居士</title>,<text>白雪埋山路。寒梅綻驛亭。此時分手後。何日更談經。</text>
<title>與崔鎭叔 東 遊硏經院。轉向桐華寺。</title>,<text>三日淸遊後。連鑣過石門。願分山一半。長與鹿爲羣。</text>
<title>湖西。贈別都和叔 擧元 順伯。</title>,<text>未見長相思。相逢還惜別。別後如不忘。看取東來月。</text>
<title>寄朴以彬</title>,<text>江樹迷前路。靑雲繞斷橋。離懷催歲暮。怊悵度良宵。</text>
<title>硏經院。贈蔡沛然 之洛。</title>,<text>五載風塵客。多慚對攢峯。靑襟咸集處。攜手喜相逢。</text>
<title>別都順伯</title>,<text>雪擁西關日。唫詩欲寄兄。南來魚鴈斷。徒賦別離情。</text>
<title>雪後。自雙溪寺。步出立巖。</title>,<text>靑菴訪舊迹。步出雙溪淸。雪擁山容凜。冰凝澗道明。奇巖千尺立。白石一盤平。想像先師意。沈唫句不成。</text>
<title>秋懷</title>,<text>落木荒山日已西。掩門秋思轉悽悽。如何滴瀝茅檐雨。一與孤臣盡夜啼。</text>
<title>大谷上人詩軸。見老先生手筆。有感。</title>,<text>先生遺墨落胡僧。愛玩挑殘一盞燈。唫哦未洽催歸錫。飛入雲巒第一層。</text>
<title>湖西旅懷</title>,<text>湖西遲滯客。中夜耿無眠。故國一千里。今春六十年。行裝如水淡。短褐似鶉懸。欲寫關心事。眵昏生細煙。</text>
<title>沃溝縣。贈楊參奉。</title>,<text>海西樓頭作遠別。短鞭東指路漫漫。初登龍峴踰棃峴。更下高山向錦山。歸意已忙湖嶺外。夢魂長在季元間。旅囱不耐離懷苦。多少書灰到夜闌。</text>
<title>贈河景瑞</title>,<text>赤裳城畔小溪濱。怳似桃源有逸民。掃榻歡迎靑眼舊。岸巾相對白頭新。門前柳絮初成雪。峽口殘花欲盡春。未了開懷還作別。楚天風雨夢驚頻。</text>
<title>玉山東閣偶唫</title>,<text>殘燈耿欲滅。雪擁與庭齊。獨臥心猶苦。閒唫意轉迷。</text>
<title>硏經觀逝樓。贈鄭慶餘 承明。</title>,<text>月滿方塘菊滿籬。朋來攜酒朗唫詩。人間聚散元無定。此後相逢更幾時。</text>
<title>蔡而濟 榏 山庄口占</title>,<text>倦遊歸客故遲行。入眼秋光惱我情。此後相思何處苦。五更殘月轉分明。</text>
