<title>石門歸路</title>,<text>繁陰生遠樹。芳草夕陽天。白鷺知閒趣。將詩落我邊。</text>
<title>效東岳朝暮吟</title>,<text>朝亦此窓間。暮亦此窓間。牕間地有餘。客子身世閒。又朝亦對靑山。暮亦對靑山。靑山不我棄。幽興入孱顔。又朝亦獨坐吟。暮亦獨坐吟。坐吟吟底事。耿耿江海心。</text>
<title>雜言</title>,<text>志士惜日短。幽人愛林深。林深也不惡。日短若爲心。又古人已冥漠。今人吾不知。倚杖荒林外。天寒鳥影悲。又天地常不隤。日月亦雙明。如何人世事。歲歲長紛更。又黃河縱使淸。但恐吾頭白。寂寂掩門深。靑山淡將夕。又古人骨已朽。其言在方冊。晴牕閒點檢。樂矣忘日昗。</text>
<title>次尹斯文韻。贈李晦卿。</title>,<text>蚤歲曾求道。茫然泛大洋。如今蓬屋底。頭白感懷長。</text>
<title>折取梅花。揷之水甁。置諸案上。</title>,<text>對花那不飮。把酒忍無詩。呼酒又吟句。花香十分奇。</text>
<title>朗州使君李叔弼書示我六年前拙句。且送酒壺。余茫然不記。其詩曰杜谷秋風佳節迫。白衣能復問淵明。似是余罷歸後作也。欲次其韻而不記上句。遂以其句分作十四韻。擬寄叔弼。</title>,<text>臥病錦江濱。柴門日夕杜。誰知佳訊來。惡詩兼記取。右謝記得舊日拙句白雪笑前人。巴人非我曲。誰憐深谷中。寥落友麋鹿。右敍拙客龜縮之狀法泉爲勝境。奇賞屬淸秋。爲問風流守。能思舊日遊。右敍舊日遊蹤落月窺秋岫。酣楓嘯晩風。僧盤薦新果。賓主各西東。右記深夜入山之景佛殿幽而靜。階花香且佳。雙娥能解事。檀板殷秋崖。右記朝來遊賞之事山靈忌俗客。吏事妨佳節。鳴騶分路歸。黯黯傷離別。右記罷散之恨去留春後分。牢愁秋更迫。山城佩玦處。誰意停行輹。右記謫所見過之感君顔能尙紅。我髮都成白。白髮與紅顔。相對共手拍。右記當時老少之狀杜曲晩閒臥。天寒愁短衣。遙聞使君駕。又向江南歸。右敍喜聞更分南符班荊望已失。伺候最難能。夜窓歸咄咄。離恨轉添增。右敍伺候失時之恨人事有離合。天地徒反復。何由石門中。更得回華輻。右敍前日枉過之幸貧病日相侵。死生誰更問。唯應竆峽中。蔬糲安微分。右敍竆谷寥落之狀倦翮尋竆谷。殘鱗守故淵。平生張仲蔚。不受俗人憐。右敍拙懷月出雄南服。奇峯醮海明。興來當理屐。春洞倘相迎。右記春尋月出之意</text>
<title>遊石門。醉後示同遊。</title>,<text>愁眼無喜物。喜眼無愁物。獨有石門翁。愁喜不同髮。又貧賤士之常。富貴皆外物。丈夫平生志。安排自結髮。又江山呈勝景。更有盃中物。醉眼看天地。佛山杳一髮。</text>
<title>夜半風雨大作</title>,<text>颯颯前峯雨。初疑落葉聲。俄然噫萬馬。轟踔振山扃。</text>
<title>孝浦霧行 戊戌○離騷錄</title>,<text>霧樹疑葱綠。雲山似翠濃。那知竆沍日。還見仲春容。又非盲皆墑埴。遇險不知危。若使高明見。唯應一笑之。</text>
<title>謝僧印海持木果煎來饋</title>,<text>日暮烟初起。天寒僧獨歸。殘年行欲盡。寂寞揜柴扉。又淸晨開小牖。落日坐支頤。不是多愁思。還應爲詠詩。又凍日亭亭下。疎籬鳥雀悲。愁吟還得意。癡坐不知疲。又遠寺僧歸夕。孤山鴉噪時。幽人方獨坐。暮景入新詩。</text>
<title>命小奴牽出馬子見之。則疲瘠殊甚。感而有賦。</title>,<text>喂養情非淺。權奇奈慘傷。離鄕渠似我。安得不玄黃。</text>
<title>次錦倅邊春長 命益 韻 四首</title>,<text>朔雪埋寒嶠。猛風撼凍雲。魂夢迷半嶺。何處去尋君。又世道多翻覆。交情似雨雲。平生金石契。末路有吾君。又殘年鬂欲雪。浮世事如雲。芹曝平生志。無由獻我君。又泣玦韓山斗。閉門楊子雲。竆途身伴影。萬事夢爲君。</text>
<title>次李馨之韻</title>,<text>新詩響金石。墨色動微瀾。盥手時開讀。羈懷頓自寬。</text>
<title>印海持薑煎果來饋。率爾書贈。</title>,<text>昔果情仍厚。今薑意益眞。近來浮世態。猶未及山人。</text>
<title>兒還</title>,<text>棲禽尙一林。父子乃商參。想爾離吾意。猶吾憶母心。</text>
<title>醉中戲贈善貽 公之從侄孝錫號生老堂</title>,<text>山我有深癖。家誰不愛之。飛潛難易性。強則益乖宜。</text>
<title>追記瑞峯寺水閣之作</title>,<text>閣之直得地。來者似憑虛。足下風雷動。乾坤盡蕩中。</text>
<title>錦江作</title>,<text>遠岫烟光薄。長河水急流。年年芳草岸。行役幾時休。</text>
<title>贈李子暉，柳晦叔，吳善貽。</title>,<text>久誤尋眞計。空成送客篇。殷勤孤枕夢。和月度江天。又一病江村暮。三宵夢碧巒。思山兼憶友。愁倚竹欄干。又蘿月三千靜。烟霞古峽幽。送君歸勝地。仍憶少年遊。又學子山中去。白雲山上還。雖同在山裏。爭奈不同閒。</text>
<title>別仲氏 以奎號支川 後書懷</title>,<text>暝色連芳草。微風度竹林。離懷無與說。寂寂掩門深。</text>
<title>次從氏西湖韻。贈林令。</title>,<text>客從湖上至。爲說湖中奇。湖水接天遠。小舟風拍之。</text>
<title>留別湖翁</title>,<text>人與白鷗去。鷗還人亦來。烟波望不極。孤棹月中回。</text>
<title>寄朴叔</title>,<text>病久神無枉。腰疼溲溺頻。還將劑藥法。往問下簾人。</text>
<title>谷口歸路。悼鄭 漢參奉 丈。</title>,<text>誰使舟藏壑。天摧白玉樹。出門揮涕歸。斜日明寒水。</text>
<title>夜入藏溪 二首</title>,<text>白露下遙空。蒼烟羃遠樹。垂鞭獨詠歸。月印寒溪水。虫聲起四林。露色明孤樹。路入小山中。時聞幽磵水。</text>
<title>宿藏溪。朝起望雲。</title>,<text>怪底波千頃。還從山下生。兒童咥其笑。云是曉雲橫。</text>
<title>藏溪呼韻 壬七十二。與李上舍及弟明仲同棲。凡十五日而罷。○二首。</title>,<text>靑山一霎雨。庭樹晩凉生。散髮溪邊坐。因之候月明。草濕虫聲冷。山空松籟生。隣家貪夜績。孤火隔雲明。</text>
<title>次石川，苔軒諸老霽月梧桐韻。二首</title>,<text>雲放秋天月。凉生石上梧。風光吟不得。才短我非夫。苔翁與石老。氣像月臨梧。佳句人間在。千秋起懶夫。</text>
<title>醉贈白足</title>,<text>草堂梅雨日。白衲半空回。聞道山中事。塵心自已灰。</text>
<title>壬寅春。趙春卿自朴山來見。怱怱告別。率爾贈。</title>,<text>趙子江南至。連城動彩輝。老夫渾寂寞。春酌送君歸。</text>
<title>春卿送其所眷于土泉而來。故臨別走草以贈。</title>,<text>遙分江上路。暝約峽中臺。張范雖多意。蕭鸞柰興催。</text>
<title>次贈金季旋</title>,<text>歲暮誰相問。孤村子遠尋。靑燈一夜話。耿耿百年心。</text>
<title>朴忠克來言鄕友爲鄕丈設酌山寺。故戲吟。</title>,<text>寒啑頻頻至。烟茶緩緩持。惟應蕭寺會。共說楚江纍。</text>
<title>喜悲吟呈濟卿</title>,<text>雪中叩門聲。誰乎曺濟卿。握手話遊跡。山風庭樹鳴。右喜來兩腋我無羽。故園那得去。雪中送君歸。惻惻還忘語。右悲去</text>
<title>松林獨坐</title>,<text>獨來松樹下。斜日坐長吟。寥落愚溪記。千秋見爾心。</text>
<title>同君明 俊臣號歸樂翁 集句</title>,<text>暮雲低古戍。殘日下荒村。君明。 握手松陰下。悲歡酒一樽。</text>
<title>次濟卿寄贈韻</title>,<text>春風九十日。八十是傷離。病與愁兼極。年來不賦詩。</text>
<title>贈梁永叔 世南參奉</title>,<text>嶺路人相訪。春風酒更香。梨花一樹雪。相對是吾鄕。</text>
<title>永叔別後。次其韻口占。</title>,<text>昔子尋吾至。庭梨香滿花。人歸花又落。寂寂揜山家。</text>
<title>書贈李再馨</title>,<text>酒與情人至。情深酒更香。小庵春寂寂。相對細傳觴。</text>
