<title>順陵齋室偶吟</title>,<text>已負平生計。誰爲此日謀。沉吟猶未决。難去亦難留。</text>
<title>露梁船上</title>,<text>落日下長湖。西風吹古木。中流一葉舟。滿載靑山色。</text>
<title>彭澤縣齋遣懷</title>,<text>五載彭城客。今春看又過。羈愁千萬緖。孰與落花多。</text>
<title>閑居漫吟</title>,<text>小屋晴池上。幽蹊長碧苔。門前無俗客。月與白雲來。</text>
<title>詠月</title>,<text>最愛靑天月。淸光霽後新。娟娟盈又缺。萬古一精神。</text>
<title>病起</title>,<text>病起山窓曉。呼兒問物華。孤村昨夜雨。落盡海棠花。</text>
<title>杖枕</title>,<text>行而木上佐。卧則竹夫人。二者若無一。于何托此身。</text>
<title>新月</title>,<text>獨坐捲簾看。虛簷明月來。慇懃如有意。催我小詩裁。</text>
<title>燕含虫</title>,<text>乳燕含靑虫。羣雛開口受。爾雖愛爾雛。虫亦有其母。</text>
<title>戒得</title>,<text>有得寧無失。無憂必有災。以玆常凜凜。貧亦莫貪財。</text>
<title>春雨</title>,<text>月額微微雨。潛滋細草芽。春風無冷熱。先到野人家。</text>
<title>老僧</title>,<text>曳杖石間路。穿雲下翠微。夕陽踈雨後。秋露濕霜髭。</text>
<title>歎老</title>,<text>眼暗耳聾後。唯餘一息存。默然長閉口。從此又忘言。</text>
<title>樵叟</title>,<text>白頭背負薪。僂行顚復蹶。及暮到柴門。猧兒搖尾出。</text>
<title>示兒</title>,<text>父子食君食。俱非適用才。國恩吾未報。惟汝勉乎哉。</text>
<title>枯池</title>,<text>池水出於泉。泉枯池亦涸。涸中大小魚。尙且相啖食。</text>
<title>四翫</title>,<text>坐對窓前竹。行尋嶺上松。又於垂柳下。灼灼見芙蓉。</text>
<title>看鏡</title>,<text>何來白髮翁。宛在靑銅裏。熟視始知吾。胡爲今若是。</text>
<title>悔</title>,<text>欲養我無親。願忠身已老。當年不及時。到此傷懷抱。</text>
<title>雨後</title>,<text>一夜山溪雨。陽坡細草生。幽禽先得氣。啼送弄春聲。</text>
<title>西巖夜吟</title>,<text>月來照綠水。吾坐對靑山。月動吾常靜。吾閑月未閑。</text>
<title>雨中卽事。回文詩。</title>,<text>暮天春雨細。歸雲濕遠山。露含花滴滴。眠鷺伴人閑。</text>
<title>秋夜</title>,<text>風高庭樹夜如水。村杵寒聲月下悲。山近碧窓人獨宿。一簾秋氣夢先知。</text>
<title>鳳凰巖餞席。代印武贈別垂楊妓。</title>,<text>天下傷心此路歧。歌殘舞罷夕陽時。鳳凰巖畔無窮樹。惟有垂楊管別離。</text>
<title>順陵齋閣。示東溪李士常 恒。</title>,<text>西峯暝色漸依微。古寺寒燈禮佛時。紅葉下山松逕暗。洞門僧與白雲歸。附次夜久虛窓月色微。寂寥孤客未眠時。書灰多少關心事。家在終南幾日歸。</text>
<title>思家 以下三絶。宰河八時漫詠。</title>,<text>愁雲不動海天長。閃閃寒鴉過夕陽。衙罷片時閑事業。暫憑烏几夢家鄕。</text>
<title>春寒</title>,<text>陰雲漠漠雨霏霏。官樹棲鴉濕不飛。病㥘風寒長閉戶。暮春猶着去冬衣。</text>
<title>漁翁</title>,<text>罷釣歸來何太遲。乘潮遡上半帆攲。月明睡熟無人喚。船到柴門自不知。</text>
<title>田家</title>,<text>瓜花瓠葉覆田家。深巷無人亂暮鴉。翁抱小孫眠樹下。不知山外夕陽斜。</text>
<title>西巖瀑布</title>,<text>石本無聲水亦靜。偶然相値激成雷。卽今人事亦如此。白日驚波平地來。</text>
<title>爲見兒小入洛。人或疑我干祿而來。吟此以示。</title>,<text>問余何事向何之。兒在長安久別離。此日此行君莫訝。我頭今已白如絲。</text>
<title>贈丹丘翁金元瑞 世珍</title>,<text>重疊春山晴碧烟。丹靑畫出太平年。雲川野老閑無事。坐對孤松盡日眠。</text>
<title>林居漫興</title>,<text>垂柳門前一逕荒。瓜花瓠葉掩山庄。林塘寂寞閑雲晩。松下炊烟起夕陽。</text>
<title>贈人</title>,<text>十九年來避世翁。白頭歸卧艮岑東。相逢莫問人間事。君已忘言我亦聾。</text>
