<title>送人作南郡。用李季眞 稹 韻。</title>,<text>小吏發長安。風光行正好。寒梅開未落。春早江南道。</text>
<title>送春日。季眞自湖外至。醉後口號。</title>,<text>三春今日盡。千里故人來。迎送揔堪醉。頻呼花下杯。</text>
<title>一架亭。逢鼎卿堂兄 柱三。○一架卽長公永安都尉池亭。</title>,<text>風雨一番過。西林黃鳥來。聊因惠連至。又把沁園杯。</text>
<title>雪夜。金水部建中 震標 第賞梅。</title>,<text>詩人元水部。物色卽西湖。更下山陰雪。今宵興不孤。</text>
<title>歲除日生女。戱題。</title>,<text>四女今添一。明朝節届元。堪誇新歲慶。盜不過吾門。</text>
<title>自連原乘舟向洛</title>,<text>欲向秦城去。春江正穩流。休言官是馬。行色一漁舟。</text>
<title>統軍亭。望見獵騎。</title>,<text>八月胡天黑。陰山欲雪時。遙看數騎獵。莫是射鵰兒。</text>
<title>鍾城道中</title>,<text>關號纔聞鬼。州名又喚愁。俱非吾世界。合作醉鄕侯。</text>
<title>六鎭歸路。望行營城。</title>,<text>閱盡邊州役。初歸節度營。人情還可笑。如見洛陽城。</text>
<title>春日。次東岳思歸曲。</title>,<text>傍海孤城逈。回風捲磧沙。春來白山雪。工作鬢邊華。溟海與天平。風雲連北庭。邊州春到晩。三月柳微靑。</text>
<title>水中臺。次車五山韻。</title>,<text>萬古水中臺。誰傳傑句來。五山東岳老。先我此徘徊。</text>
<title>飛鴻湖</title>,<text>十里渟湖黑。人言深莫窮。吾知龍所宅。錯遣號飛鴻。</text>
<title>自北幕承召。秋七之望。行到端州。有懷李節度 晩榮 令丈。</title>,<text>悄坐端州舘。新秋月滿宵。南樓不淺興。能憶舊參僚。</text>
<title>人日。賦示兒輩。</title>,<text>今日是人日。人當與日新。人能新日日。方始得爲人。</text>
<title>金子公 得臣 丈來訪。無酒不得共飮。錄奉一絶。</title>,<text>不意老詞伯。來尋花發時。嗟無一杯酒。追寄五言詩。</text>
<title>寄梧灘沈仲美 攸</title>,<text>江漢西風起。相思意轉孤。今秋强半過。又負季鷹鱸。</text>
<title>聞隣友欲賣京第。捲歸江上。走寄。</title>,<text>莫賣道南宅。休歸江上村。春來新酒熟。誰與對淸樽。</text>
<title>謫居杏洲。聞李諫議次山 嵇 言事被譴。出住廣陵。</title>,<text>獨鳥東南下。長江西北流。明時同放逐。相憶倚高樓。</text>
<title>隣客夜歸偶記</title>,<text>村犬吠如豹。江樓有歸客。依然輞川庄。夜語同裵迪。</text>
<title>次李仲羽 䎘，季羽 翊 寄示韻。</title>,<text>野墅閑懸榻。湖亭懶廢書。不妨君學稼。宜許我知魚。</text>
<title>次奉梧灘</title>,<text>凉意集江臯。梧桐葉上雨。懷君費獨吟。夜久燈添炷。</text>
<title>江樓月夜。次贈沈甥沖。</title>,<text>不向城中路。頻成郭外期。滿江明月色。偏照對君時。</text>
<title>寄仲美廣陵謫居。兼示次山。</title>,<text>一曲廣陵散。送君離恨多。應逢同病客。憔悴近如何。</text>
<title>見杆城倅尹養一 敬敎 書。走錄簡尾。</title>,<text>傲吏公餘興。登臨淸澗亭。時逢瀛客否。相憶杳東溟。弼卿。時宰臨瀛。</text>
<title>醉奉許兄仲玉 珽。兼示朴仲八 世柱。</title>,<text>昨過潘南宅。仍逢丁卯翁。歸來餘興在。呼酒杏花風。</text>
<title>次東岳韻。寄李大來 以泰。</title>,<text>宿醉不知曉。開窓春雪深。悠然子猷興。忽起訪君心。</text>
<title>謝李甥瀅餉雉酒</title>,<text>杜老長飢渴。巴東憶李甥。華蟲帶綠蟻。知汝渭陽情。</text>
<title>鼎卿兄宅夜飮。憶許兄仲玉。抽韻共賦。</title>,<text>酒盡山頹玉。更深燭墜花。長懷許玄度。一唱浪淘沙。</text>
