<title>洞口卽事</title>,<text>澗水潺湲響。楓林爛熳紅。扶筇何處去。笑指白雲中。</text>
<title>大王大妃殿迎祥詩</title>,<text>暖律回春早。祥雲擁陛高。東朝開勝宴。樽壓萬年桃。</text>
<title>大殿春帖</title>,<text>苒苒春回琯。遅遅日映窓。千官蹈舞處。環珮影成雙。</text>
<title>梧灘 沈公攸號 餞席留別</title>,<text>手把梧灘酒。心驚關嶺路。依然分袂處。暝色已生樹。</text>
<title>喜雨堂謾吟</title>,<text>炎天乍雨乍陰。病客或眠或吟。案有啚書可愛。庭無簿牒來侵。小院風來自凉。前峯雨歇猶暗。愛聽鳥語蠻蠻。閑對茶烟淡淡。門外何曾有賓。老夫經月不出。燒香靜坐看書。一日還如兩日。</text>
<title>與申元瑞 命圭 同宿奉恩寺。次元瑞韻。</title>,<text>禪窓相對倍依依。夜色凄淸酒力微。送爾不堪孤露感。扁舟載得老萊衣。</text>
<title>許丈 格 江樓贈主人</title>,<text>高梧踈雨已新秋。臨水柴門几杖幽。語罷斜陽分手去。木蓮花下掉孤舟。</text>
<title>大王大妃殿端午帖</title>,<text>五月含桃正滿盤。宮簾高捲水晶寒。朝聞內竪平安報。近侍先瞻玉色歡。</text>
<title>白鷺洲。伏次伯父韻。</title>,<text>携得枯筇登翠壁。半山松檜半山雲。洲邊最愛雙飛鷺。此地吾將與爾羣。</text>
<title>淮陽客舘。留別舍兄。</title>,<text>蕭蕭征馬欲行時。掩淚相看各盡巵。一自弟兄孤露後。等閑離別亦生悲。</text>
<title>酒席次止庵丈韻。寄子華。柳公之芳</title>,<text>安陵半刺寄詩來。開卷吟時恨轉催。花柳滿城君獨遠。小窓誰與把春杯。</text>
<title>南漢山城</title>,<text>地覆天翻丙子年。當時戰血至今鮮。白登遺恥那堪說。愁見孤城尙屹然。</text>
<title>次起之 柳公之發 韻</title>,<text>楊花落盡麥苗肥。擬把棋樽向晩磯。烟雨濛籠天一色。卧看天外片帆歸。</text>
<title>次梧灘沈仲美 攸 韻</title>,<text>山齋寥落對黃昏。雲物凄淸月露痕。興遶剡溪舟可掉。懸知雪滿戴公村。雲物凄迷月欲昏。卧看烟樹露微痕。探梅興在羸驢背。直到孤山雪滿村。</text>
<title>江陵芳林村逢喜雨</title>,<text>芳林形勝畫啚如。處處耕麻競把鋤。太守到來田畯喜。共言今日雨隨車。</text>
