<title>絶句</title>,<text>靑山六七丈。白屋二三間。中有一迂士。平生述與刪。</text>
<title>過洪公汝徵 必瑞 峽庄舊池</title>,<text>好人何處去。蕪沒見枯池。谷鳥相哀喚。殘荷復帶悲。</text>
<title>髡于洞盤松</title>,<text>枝枝屈折象玄奇。數丈周回日不窺。處地在深誰可玩。笑他樗散被人知。</text>
<title>和行峽路 回文</title>,<text>深山路甚險。雜石亂橫縱。音滑耽鸎聽。樹多畏虎逢。</text>
<title>登臺觀漲</title>,<text>支離霖雨苦不開。俯視黃流若震雷。勢欲須臾呑遠邇。陸沈還怕沒崔嵬。</text>
<title>金君九用求和挹翠樓韻次贈</title>,<text>邂逅芝眉心洒然。縶駒永夕迓新年。坐談七老高樓飮。不覺魂遊挹翠前。</text>
<title>權君賚爾 胤錫 書送退陶老先生遊新巖韻。其意欲我尋新巖。次其韻。</title>,<text>招我名區耳覺明。復看手澤眼隨靑。耄荒縶坐終難辦。孤興遄飛不自停。</text>
<title>自悼</title>,<text>頭上日月何太忙。身年向暮不再壯。平生志業無所成。中宵孤坐懷愴悢。翻思衛武九十五。猶存懿戒自懲創。還當自讀古人書。不以晼晩輕沮喪。我恨不及古之人。時勢則然亦誰尤。終朝鬱鬱更屬時。志業顚狂終難收。素心手欲挽天河。而今摧頹心如秋。七尺躬命何眇眇。一生憂患長江流。</text>
<title>和河上金姊兄 薰 寄示</title>,<text>飄然詩思苦驚人。啖蔗方知味漸新。石澗盤桓還自樂。雞䆫諷誦可忘貧。常懷高志凌三古。空抱沈痾換十春。學得屠龍投刃妙。豈宜虛負百年身。</text>
<title>淸夜吟</title>,<text>淸宵坐一閣。月色 缺 間臨。巧婦聲酸耳。寒蛩叫感心。微風時有動。凉氣始知侵。志士情何極。令人久朗吟。</text>
<title>敬次外高祖冲齋先生次琴進士元貞望仙庵韻</title>,<text>飛閣巋然幽邃中。南眺奇秀畫圖同。繁陰霮䨴軒邊宿。細路崎嶇草際通。落日照巖疑錦繡。羣巒成帳宛芙蓉。常情害馬同歸盡。肯與斗筲亂競雄。</text>
<title>黃池</title>,<text>源泉日夜流。無底託根幽。學問當如此。盈科進未休。</text>
<title>朝日賞雪</title>,<text>䆫外無垠雪。九天一夜功。皓然紛可喜。神機孰有窮。</text>
<title>棲白雲</title>,<text>避喧棲白雲。塵襟尙紛紛。壹氣將何致。營營未易耘。</text>
<title>宿道淵聞鳥好音。驚起述懷。</title>,<text>伊昔飽遊今始回。豈知友會起摧頹。忽然疲苶生豪氣。危喘還忘大暮催。佳辰玩景問何方。峽裏儒宮物色光。袞袞羣英欣合席。耄昏何幸坐參傍。昔我陶山赴友徵。夏卿顚倒一時朋。今玆雲集同風味。不覺心神忽自澄。</text>
<title>與金徵士安安 泰基 兄弟，外姪輩金司諫士興 邦杰。同遊臨河上流仙刹次韻。</title>,<text>佛事煥然象牟尼。奇巖異境素聞知。俗緣掃地能忘世。幽興盈懷更屬詩。登閣縱眸耽水靜。餐霞連日出山遲。良朋勝會今何夕。正値高秋採菊時。</text>
<title>與金安安諸益會陶山</title>,<text>儒先謝世久。雲物尙新圖。鳴鳥翾高木。躍魚弄鏡湖。至今疑講學。依舊宛招徒。生晩門無及。臨風一長吁。</text>
<title>延日圃隱村</title>,<text>大賢遠出南溟邑。千載英名蓋八垓。舊址空餘人指點。黃雲落日獨徘徊。</text>
<title>舍弟同牢宴席上書懷</title>,<text>人世同牢有幾許。供親醮禮四男曹。佳賓濟濟臨匏葉。春色生杯氣味豪。</text>
<title>酬芋園李夏卿 惟樟 述懷韻</title>,<text>假睡驚蝸室。投詩逼盛唐。詞源從庾至。銳氣射天長。彷彿湘絃律。依稀彩鳳祥。有同星煜煜。還似海汪汪。雲鶴方離去。林鳩豈共翔。文章隨處顯。日月與爭光。和氣奪冬日。巵言鳴佩琅。晨吟垂董幌。夜讀照螢囊。神勞貞心秀。人憐美目昌。摘髭蓮已采。點額命何防。奄失拯黔首。愈勤尙紫陽。守眞安素履。通理吉黃裳。揚側誠非偶。屈心遽未嘗。賢愚分異路。玉石詎同量。丹扆深求理。淸班屢起芳。電藏辭爵退。風動致人强。縱壯百年節。反虛三月糧。心潛懲與窒。毛產縹幷緗。顧我敦趨闕。掉頭吝下牀。白駒難縶繫。綠野已奔亡。散步閒同邵。著書課襲楊。朝無時子逐。功缺聖明彰。世急賈生哭。人危洪水湯。生民誰使立。死骨路繁僵。播老嗟容易。底安固眇茫。外馳嫌魏闕。內顧繕城隍。歸宿惺翁舍。彷徨大樹傍。質疑殆信蔡。探古常存羊。長幼頗多益。應酬苦少遑。化行風尙草。志合舸逢檣。龜縮吟梁甫。雉飛學楚狂。箕揚麤穢散。鶴峙俗塵襄。三老靑雲踏。累年舊社藏。神交無墮地。卲德有升堂。涉世崇蘧瑗。持身戒范滂。中和期被服。禮讓務治粧。杖屨尋佳境。慕徒聚壹場。縱觀心自廣。宣鬱氣隨揚。水美臨如鏡。山奇望若鋩。吟懷追甫白。講籍顯雌黃。夫子猶收拙。鯫生實喪良。濫吹知不塞。窮桎謝無忘。坐使瓦盆韻。化爲白雪香。知音同此世。託意拔諸行。昧學慚光景。曉文委卜商。獄中開寶劒。目下耀淸霜。近耋慵疎穎。抱孫見弄璋。奇功欺盛歲。白首亂中腸。宿志風雲遇。致君竹帛煌。並求師彥聖。長與鑄顒昂。百事營多舛。一身動輒妨。天君惟不减。外物復何傷。老死雖無日。收心欲識鄕。佳期如得契。雲壑指爲方。連袂筐蘭蕙。呼童罩鱒魴。人生如此足。何必熱中忙。</text>
<title>次李季見 後龍 韻</title>,<text>君今毛潔卒難識。疑似雲間降白鶴。聾不聞言能鶂視。令人不覺穢腸易。皤皤長老孩童識。淡泊行裝騎雙鶴。少壯交遊同夢幻。愴然今日面光易。我玆過老昏無識。君亦减盈髮盡鶴。相對兩翁增感歎。追思舊契事多易。</text>
<title>挽李翼升 玄逸</title>,<text>儒林碩德今冥漠。寵辱人間夢一場。悵望南雲空淚灑。先生精爽想陽陽。</text>
<title>挽丁君翊 時翰</title>,<text>兩感是誰勸。敢言明類同。未曾親色笑。猶得和于喁。共仰靈光巋。忽驚紫氣空。亦知乘化順。其奈失儒宗。</text>
<title>挽李君則 東標</title>,<text>夫子入窮鄕。人瞻若鳳凰。位高能下賤。名盛善韜光。庥庇民蠲瘼。薰陶俗向方。不虞舟夜失。朝野共悲傷。</text>
