<title>丁未八月。夷山邑人來送于終浦驛。口號贈別。</title>,<text>邑子隨我來。送之終浦驛。臨分不忍分。相對淚雙滴。</text>
<title>朔寧羽化亭。見崔周卿 後尙 板上韻。愴感次韻。</title>,<text>故友不可見。臨風爲愴然。人間是何世。壁上有遺篇。</text>
<title>秋興。次白洲韻。</title>,<text>蟹肥兼酒熟。風味入秋嘉。蠟屐登山興。何如霜滿靴。</text>
<title>以禧陵丁字閣奉審事。路出鄭松江墓下。壁上有李可成 商翼 所題詩。仍次其韻。寫其左方。</title>,<text>功著經邦日。忠深去國時。千秋志士淚。一曲美人思。相國衣冠葬。昔聞今日過。風流嗟已矣。毁譽一何多。</text>
<title>偶吟</title>,<text>今年復幾許。正月已云過。但報淸尊滿。休言白髮多。</text>
<title>漣川縣衙賭醉。歸路有詠。二首</title>,<text>峽裏無人到。公門晝亦關。但與狂吟客。論詩日往還。深淺盃頻把。浮沉事不關。澄江十里路。乘月醉中還。</text>
<title>從弟玉汝 錫璋 呼韻口占</title>,<text>鄒賢非好辯。魯叟欲無言。語默宜須愼。由來禍福門。</text>
<title>寄呈漣川地主</title>,<text>客在澄江北。吾將賦遂初。仁賢有地主。生理自贏餘。</text>
<title>送李季心 彦綱 赴日本書狀官</title>,<text>聞說東萊府。吾東地盡頭。行行復東去。幾日到蓬邱。</text>
<title>謝李進士 粹完 惠酒及柿 重陽節近。故末句云。</title>,<text>滿案赬虬卵。盈樽綠蟻醅。應知故人意。催我更登臺。</text>
<title>平海任閒堂主人朴生文哲寄書。兼有一絶。次寄。</title>,<text>每憶閒堂勝。歸心若轉圓。其間有故友。安得致君邊。海色浮天碧。松影落沙圓。十載紅塵夢。滄波白鳥邊。</text>
<title>寄甲山舊學徒 二首</title>,<text>塞札翩翩至。披來喜却悲。相思無限意。惟有兩心知。遠別三千里。相思十五年。春來多北鴈。書翰倘能傳。</text>
<title>龍安宰尹民瞻 濟民 餞筵。走筆戱贈。</title>,<text>去矣龍安宰。淵者龍所安。近日多雨雷。上天應不難。</text>
<title>李正郞大叔 集成 酒席。呼韻走筆。</title>,<text>木以直而伐。驥以瘦而棄。世態固其然。麯蘖吾所嗜。</text>
<title>雪夜邀隣友朴仲輝 瑊 與話</title>,<text>天將歲欲暮。雪與月交輝。不用山陰棹。何妨欵夜扉。</text>
<title>贈別李奉事子夏 萬亨 謫固城</title>,<text>此別那堪道。今行幾日歸。傷時淚已盡。不覺更沾衣。</text>
<title>漫興</title>,<text>綠水鷗邊雨。靑山鳥外烟。誰家春酒熟。恰有杖頭錢。</text>
<title>江邊踈雨。在麻湖時。三首</title>,<text>靄靄滿空雲。疎疎盡日雨。江頭水欲生。半沒堤邊樹。風來自何處。一番催花雨。當春催發生。芳意滿庭樹。白鷗戱晩沙。來去鳴踈雨。斜日忽已低。暝烟生遠樹。</text>
<title>送海運判官尹士悅 悏 之行</title>,<text>北鴈南歸日。秋風客路長。那堪垂老別。孤負菊花觴。</text>
<title>寄題山陽醉遯齋。次李生厚遠韻。</title>,<text>豪士人間少。名區天下無。壺中看日月。丸走止甌臾。</text>
<title>醫人金克祥來見。誦其所作。走次以贈。二首</title>,<text>近市塵侵箔。臨溝水嚙籬。陋居心愈凈。吾與爾同隨。貧猶甘白屋。跡不及朱門。昕夕勤來訪。論詩到鍾昏。</text>
<title>堂弟叔九。作碧桃嘲紅桃。紅桃答碧桃詩。戱和。</title>,<text>白得天然貴。紅偸分外姸。若敎君子見。稱美在那邊。右。碧桃嘲紅桃。紅凋始變白。衰白使人傷。也應知爾醜。前身是老嬙。右。紅桃答碧桃。</text>
<title>金克祥。業醫販藥者。次其壁上韻以贈。</title>,<text>藥肆韓康伯。神醫秦越人。千載傳妙法。三昧是前身。</text>
<title>柳靈山萬春 長元 酒席口號</title>,<text>春早梅偸暖。宵深火撥寒。却愁杯易渴。頻把冷樽看。</text>
<title>贈人</title>,<text>西窓蟲語夜。南浦鴈賓秋。時物看看變。吾人共白頭。</text>
<title>仁同宰楊子瞻 顯望 送酒詩以謝之</title>,<text>脉脉臨岐別。遲遲去國行。慇懃一樽酒。多少故人情。</text>
<title>大殿春帖子 二首</title>,<text>神功隨曰轉。聖德逐春深。默契生成妙。潛參造物心。海徼烽烟息。宮中淑氣多。四方無一事。齊唱太平歌。</text>
<title>大王大妃殿春帖子</title>,<text>北陸凝陰盡。東闈淑氣深。資生孚至化。坤德合天心。</text>
<title>中宮殿端午帖子</title>,<text>仁風薰紫闕。化雨浥彤庭。辟鬼桃符赤。成人艾葉靑。</text>
<title>名成八陣圖 課製</title>,<text>壘石留眞蹟。風雲護壯圖。千秋見伊呂。兵法失孫吳。</text>
<title>己巳春帖子 二首</title>,<text>鄭驛賓從遝。于門駟馬容。問君何所賀。三子幷登龍。塞北烽無警。天南海不波。太平佳氣象。耕鑿老人歌。</text>
<title>大殿春帖子 二首</title>,<text>八域乾坤泰。重宸日月高。上陽春色好。先着禁園桃。物與新陽動。人包聖德容。宜春恭獻帖。何幸樂時雍。</text>
<title>壬申春。來在漣川庄。歸去辭集字。三首</title>,<text>酒可携壺酌。山期杖策登。閒來復奚往。春水引舟乘。雲關尋菊逕。衡宇翳松柯。酌酒聊行樂。春風復幾何。世人奚役役。春景是三三。輕棹任來去。經東復向南。</text>
<title>玉汝呼韻口占</title>,<text>日出雞鳴犬吠。風和蝶閙蜂喧。山家寂寂無事。晝永常關柴門。池南池北花草。屋上屋下溪山。風宜朝月宜夜。身無事心亦閒。</text>
<title>過崔永孝家。醉後白聖瑞 以倜 呼韻輒對。</title>,<text>主催詩客催酒。酒不足詩有餘。以有餘易不足。主心安客心舒。</text>
<title>僑居漣城有詠 二首</title>,<text>竆居峽裏愧無能。門外惟看乞米僧。寄語世間名利子。莫將雞肋任嘲陵。汩沒紅塵我不能。閒中生計靜如僧。時來獨向溪邊釣。欲學羊裘漢子陵。</text>
<title>坡山牛溪上。新造木梯。一鄕儒生。拈出虹字韻。各賦一絶。余亦和之。</title>,<text>一帶長流十丈虹。雨餘晴碧射秋空。欲要後學開前路。濂洛淵源逈自通。</text>
<title>歎世路</title>,<text>山不爲高水不深。世間艱險只人心。炎凉厚薄斯須變。深淺交由多少金。</text>
<title>詠老將</title>,<text>自是關西第一豪。少時意氣凌雲高。如今廢置南山獵。泣把龍泉惜二毛。</text>
